MANDT,EBELN,EBELP,MATNR,WERKS,LGORT,MATKL,INFNR,IDNLF,KTMNG,MENGE,MEINS,BPRME,BPUMZ,BPUMN,NETPR,PEINH,NETWR,BRTWR,BUGSZ,RETPO,WEPOS,WEUNB,REPOS,MWSKZ,ADRNR,PACKNO,FPLNR,BELNR,LOEKZ,BANFN,BNFPO,EBELN2,EBELP2
100,0200000027,00010,MZ-FG-M550,5001,8557,834832,,,,2,EA,EA,,,5010.11,1,"2186,63",2499,,,X,,,V1,,,,,,,,,
100,0200000027,00020,M1,2000,9125,550893,,,,5,EA,EA,,,200.2,1,1001,1144,,,,,,V3,,,,,,,,,
100,0200000027,00030,FG226,2000,6864,611194,,,,6,EA,EA,,,2386.4,1,"261,63",299,,,X,,,V2,,,,,,,,,
100,0200000027,00040,MZ-FG-C900,3001,0549,709081,,,,5,EA,EA,,,7604.69,1,"459,38",525,,,,,,V2,,,,,,,,,
100,0200000027,00050,MZ-FG-P010,1001,1253,925116,,,,7,EA,EA,,,657.5,1,"1049,13",1199,,,,,,V2,,,,,,,,,
100,0200000027,00060,MZ-FG-M525,1001,6364,676396,,,,7,EA,EA,,,1771.0,1,"1749,13",1999,,,X,,,V2,,,,,,,,,
100,0200000029,00010,M-01,1001,8358,682324,,,,1,EA,EA,,,3378.85,1,"279,13",319,,,X,,,V3,,,,,,,,,
100,0200000029,00020,MZ-TG-SR01,4000,2696,232008,,,,1,EA,EA,,,4200.0,1,4200,4800,,,X,,,V1,,,,,,,,,
100,0200000029,00030,MZ-TG-A25,1001,7649,230187,,,,7,EA,EA,,,7171.4,1,"1312,5",1500,,,,,,V2,,,,,,,,,
100,0200000029,00040,MZ-FG-E16,3001,2524,348715,,,,8,EA,EA,,,3591.4,1,"2186,63",2499,,,,,,V2,,,,,,,,,
100,0200000030,00010,MZ-FG-C900,2001,7809,214363,,,,4,EA,EA,,,8325.23,1,"459,38",525,,,X,,,V3,,,,,,,,,
100,0200000030,00020,MZ-FG-C950,1001,9283,441681,,,,3,EA,EA,,,3534.08,1,"602,88",689,,,,,,,,,,,,,,,
100,0200000030,00030,MZ-FG-P010,3000,7144,754718,,,,2,EA,EA,,,388.84,1,"1049,13",1199,,,,,,,,,,,,,,,
100,0200000030,00040,MZ-FG-E17,2001,0520,222435,,,,3,EA,EA,,,7157.99,1,"2186,63",2499,,,,,,V1,,,,,,,,,
100,0200000030,00050,MZ-TG-A26,4000,2465,216947,,,,6,EA,EA,,,1065.72,1,"1662,5",1900,,,,,,V2,,,,,,,,,
100,0200000030,00060,MZ-TG-E202,1002,1313,118212,,,,7,EA,EA,,,2229.73,1,"4024,13",4599,,,X,,,V3,,,,,,,,,
100,0200000031,00010,MZ-FG-C900,5001,3343,795113,,,,5,EA,EA,,,6090.05,1,"459,38",525,,,,,,V1,,,,,,,,,
100,0200000031,00020,MZ-FG-C20,1000,1353,246447,,,,10,EA,EA,,,939.94,1,"1190,88",1361,,,X,,,,,,,,,,,,
100,0200000031,00030,MZ-FG-M525,4000,5108,548618,,,,4,EA,EA,,,7272.34,1,"1749,13",1999,,,,,,V2,,,,,,,,,
100,0200000032,00010,FG226,1001,1182,005039,,,,3,EA,EA,,,6191.6,1,"261,63",299,,,,,,,,,,,,,,,
100,0200000033,00010,MZ-TG-Y120,1001,1897,439902,,,,2,EA,EA,,,4175.57,1,"6912,5",7900,,,,,,V1,,,,,,,,,
100,0200000033,00020,MZ-TG-A25,3001,8409,127288,,,,10,EA,EA,,,7918.33,1,"1312,5",1500,,,,,,V2,,,,,,,,,
100,0200000033,00030,MZ-TG-A25,1002,2248,007488,,,,5,EA,EA,,,8118.06,1,"1312,5",1500,,,X,,,V3,,,,,,,,,
100,0200000033,00040,MZ-FG-M525,2001,3588,449565,,,,7,EA,EA,,,8246.62,1,"1749,13",1999,,,X,,,V2,,,,,,,,,
100,0200000033,00050,MZ-FG-C950,1001,4353,340002,,,,6,EA,EA,,,823.35,1,"602,88",689,,,,,,V3,,,,,,,,,
100,0200000033,00060,MZ-FG-C10,4000,1710,296771,,,,9,EA,EA,,,116.67,1,1050,1200,,,X,,,V3,,,,,,,,,
100,0200000035,00010,MZ-FG-E17,2000,4894,022184,,,,7,EA,EA,,,6424.05,1,"2186,63",2499,,,,,,V1,,,,,,,,,
100,0200000035,00020,MZ-FG-E108,3000,5093,362486,,,,9,EA,EA,,,2407.34,1,"1136,63",1299,,,,,,V1,,,,,,,,,
100,0200000035,00030,MZ-FG-C10,1001,0974,325268,,,,4,EA,EA,,,262.5,1,1050,1200,,,X,,,V2,,,,,,,,,
100,0200000035,00040,MZ-TG-E202,5001,9628,513781,,,,10,EA,EA,,,2679.27,1,"4024,13",4599,,,,,,,,,,,,,,,
100,0200000035,00050,M1,3001,7786,393496,,,,7,EA,EA,,,143.0,1,1001,1144,,,X,,,V2,,,,,,,,,
100,0200000036,00010,MZ-TG-SR01,1002,3367,865352,,,,1,EA,EA,,,4200.0,1,4200,4800,,,,,,V3,,,,,,,,,
100,0200000036,00020,M1,1000,9187,332241,,,,4,EA,EA,,,250.25,1,1001,1144,,,X,,,,,,,,,,,,
100,0200000036,00030,MZ-FG-C20,2000,6707,974512,,,,4,EA,EA,,,8999.15,1,"1190,88",1361,,,X,,,V3,,,,,,,,,
100,0200000036,00040,MZ-TG-E202,2000,8086,486941,,,,3,EA,EA,,,8027.39,1,"4024,13",4599,,,,,,V1,,,,,,,,,
100,0200000040,00010,MZ-TG-A26,3001,4413,087081,,,,2,EA,EA,,,8242.13,1,"1662,5",1900,,,,,,V2,,,,,,,,,
100,0200000041,00010,MZ-FG-C10,2000,9118,488579,,,,7,EA,EA,,,150.0,1,1050,1200,,,,,,V1,,,,,,,,,
100,0200000041,00020,MZ-TG-SR01,1001,6646,353890,,,,3,EA,EA,,,1400.0,1,4200,4800,,,,,,V3,,,,,,,,,
100,0200000042,00010,MZ-FG-E15,2001,9036,212316,,,,5,EA,EA,,,8703.87,1,"3499,13",3999,,,X,,,V2,,,,,,,,,
100,0200000042,00020,MZ-FG-C21,2001,8909,209029,,,,3,EA,EA,,,9235.73,1,"567,88",649,,,,,,V1,,,,,,,,,
100,0200000043,00010,MZ-FG-E108,2000,8083,557198,,,,6,EA,EA,,,9812.39,1,"1136,63",1299,,,,,,,,,,,,,,,
100,0200000043,00020,FG226,2000,2943,390843,,,,5,EA,EA,,,7766.11,1,"261,63",299,,,,,,,,,,,,,,,
100,0200000043,00030,TG11,5000,6471,526466,,,,5,EA,EA,,,525.0,1,2625,3000,,,X,,,,,,,,,,,,
100,0200000043,00040,MZ-TG-Y120,1001,6967,780630,,,,2,EA,EA,,,3688.76,1,"6912,5",7900,,,X,,,V3,,,,,,,,,
100,0200000044,00010,MZ-FG-C950,5001,2441,212187,,,,1,EA,EA,,,8836.32,1,"602,88",689,,,,,,V2,,,,,,,,,
100,0200000044,00020,MZ-TG-A25,5001,2118,190063,,,,3,EA,EA,,,1775.69,1,"1312,5",1500,,,,,,V1,,,,,,,,,
100,0200000044,00030,MZ-FG-C20,4000,8285,786908,,,,3,EA,EA,,,3769.04,1,"1190,88",1361,,,,,,V1,,,,,,,,,
100,0200000044,00040,MZ-FG-R100,2001,6768,338611,,,,8,EA,EA,,,6715.34,1,"4374,13",4999,,,X,,,V1,,,,,,,,,
100,0200000048,00010,M1,3001,0975,539535,,,,10,EA,EA,,,100.1,1,1001,1144,,,X,,,,,,,,,,,,
100,0200000048,00020,TG11,1002,3952,036491,,,,7,EA,EA,,,375.0,1,2625,3000,,,,,,V2,,,,,,,,,
100,0200000048,00030,MZ-FG-R200,3001,5771,618164,,,,6,EA,EA,,,7922.1,1,"1311,63",1499,,,,,,,,,,,,,,,
100,0200000048,00040,TG11,2001,2700,981662,,,,9,EA,EA,,,291.67,1,2625,3000,,,,,,,,,,,,,,,
100,0200000048,00050,M-01,1001,7085,462696,,,,8,EA,EA,,,149.18,1,"279,13",319,,,,,,,,,,,,,,,
100,0200000048,00060,MZ-TG-SR01,3000,7527,823283,,,,3,EA,EA,,,1400.0,1,4200,4800,,,X,,,V1,,,,,,,,,
100,0200000049,00010,MZ-FG-C990,5000,0449,605562,,,,6,EA,EA,,,4618.72,1,"630,88",721,,,,,,,,,,,,,,,
100,0200000049,00020,TG11,2001,7667,695870,,,,7,EA,EA,,,375.0,1,2625,3000,,,X,,,V2,,,,,,,,,
100,0200000049,00030,MZ-FG-R200,1002,6247,829344,,,,5,EA,EA,,,5811.58,1,"1311,63",1499,,,,,,,,,,,,,,,
100,0200000049,00040,TG11,1001,2992,946164,,,,3,EA,EA,,,875.0,1,2625,3000,,,,,,V1,,,,,,,,,
100,0200000049,00050,MZ-FG-C21,1000,3415,978485,,,,1,EA,EA,,,6388.5,1,"567,88",649,,,X,,,,,,,,,,,,
100,0200000049,00060,FG226,5000,0686,530383,,,,2,EA,EA,,,271.61,1,"261,63",299,,,X,,,,,,,,,,,,
100,0200000050,00010,MZ-FG-C20,1000,8854,353488,,,,10,EA,EA,,,4478.6,1,"1190,88",1361,,,X,,,,,,,,,,,,
100,0200000050,00020,TG11,1002,2239,156653,,,,5,EA,EA,,,525.0,1,2625,3000,,,X,,,V3,,,,,,,,,
100,0200000050,00030,MZ-TG-SR01,3000,9420,677274,,,,10,EA,EA,,,420.0,1,4200,4800,,,X,,,,,,,,,,,,
100,0200000050,00040,M-01,5001,1272,334402,,,,2,EA,EA,,,2305.94,1,"279,13",319,,,,,,,,,,,,,,,
100,0200000052,00010,MZ-FG-M525,2001,2692,254216,,,,5,EA,EA,,,7773.22,1,"1749,13",1999,,,X,,,,,,,,,,,,
100,0200000052,00020,MZ-FG-C20,1002,6172,813371,,,,1,EA,EA,,,2192.34,1,"1190,88",1361,,,,,,V2,,,,,,,,,
100,0200000052,00030,MZ-FG-E103,1002,4602,131704,,,,8,EA,EA,,,4092.7,1,"392,88",449,,,,,,,,,,,,,,,
100,0200000053,00010,MZ-FG-R100,2000,9835,371512,,,,10,EA,EA,,,8400.07,1,"4374,13",4999,,,X,,,V3,,,,,,,,,
100,0200000053,00020,CM-FL-V00,2001,1943,079451,,,,1,EA,EA,,,3463.47,1,"699,13",799,,,,,,V2,,,,,,,,,
100,0200000053,00030,MZ-TG-Y120,4000,2386,760652,,,,1,EA,EA,,,5405.2,1,"6912,5",7900,,,,,,V1,,,,,,,,,
100,0200000053,00040,MZ-FG-C950,1002,4061,933028,,,,1,EA,EA,,,1012.22,1,"602,88",689,,,,,,V1,,,,,,,,,
100,0200000053,00050,MZ-TG-A27,5000,4783,600744,,,,3,EA,EA,,,9441.38,1,"1968,75",2250,,,X,,,V3,,,,,,,,,
100,0200000054,00010,MZ-FG-R300,2000,7655,566675,,,,4,EA,EA,,,4836.1,1,"1093,75",1250,,,,,,V3,,,,,,,,,
100,0200000054,00020,MZ-FG-E101,2000,3472,287212,,,,3,EA,EA,,,1583.9,1,"217,88",249,,,,,,V1,,,,,,,,,
100,0200000054,00030,MZ-TG-A20,3001,4456,914884,,,,3,EA,EA,,,5503.06,1,"3499,13",3999,,,,,,V2,,,,,,,,,
100,0200000054,00040,MZ-FG-E103,3000,5269,328371,,,,8,EA,EA,,,3643.07,1,"392,88",449,,,X,,,V1,,,,,,,,,
100,0200000054,00050,MZ-FG-E16,1001,7426,055193,,,,10,EA,EA,,,5641.53,1,"2186,63",2499,,,X,,,V1,,,,,,,,,
100,0200000055,00010,MZ-FG-M500,5000,6819,851089,,,,9,EA,EA,,,6716.09,1,"4811,63",5499,,,X,,,V2,,,,,,,,,
100,0200000055,00020,MZ-FG-E15,5000,3110,670823,,,,7,EA,EA,,,3931.49,1,"3499,13",3999,,,,,,,,,,,,,,,
100,0200000055,00030,MZ-FG-C10,1001,2833,592304,,,,1,EA,EA,,,1050.0,1,1050,1200,,,X,,,V3,,,,,,,,,
100,0200000055,00040,MZ-FG-E101,1000,7763,691269,,,,7,EA,EA,,,8262.17,1,"217,88",249,,,,,,V3,,,,,,,,,
100,0200000055,00050,MZ-TG-Y120,2001,5214,346289,,,,9,EA,EA,,,1618.95,1,"6912,5",7900,,,,,,V1,,,,,,,,,
100,0200000056,00010,MZ-FG-E108,1000,9032,746268,,,,7,EA,EA,,,4757.99,1,"1136,63",1299,,,X,,,,,,,,,,,,
100,0200000056,00020,M-01,1001,8234,031762,,,,1,EA,EA,,,2849.49,1,"279,13",319,,,X,,,V3,,,,,,,,,
100,0200000056,00030,MZ-FG-E103,1002,3474,508601,,,,3,EA,EA,,,6572.63,1,"392,88",449,,,,,,V3,,,,,,,,,
100,0200000057,00010,M-01,1000,3039,436526,,,,2,EA,EA,,,7424.67,1,"279,13",319,,,X,,,V2,,,,,,,,,
100,0200000057,00020,MZ-FG-R200,1001,6278,120060,,,,3,EA,EA,,,3477.86,1,"1311,63",1499,,,X,,,V2,,,,,,,,,
100,0200000057,00030,MZ-FG-C20,3001,7850,564388,,,,8,EA,EA,,,9802.81,1,"1190,88",1361,,,,,,,,,,,,,,,
100,0200000057,00040,M1,1001,8157,141990,,,,7,EA,EA,,,143.0,1,1001,1144,,,X,,,V1,,,,,,,,,
100,0200000057,00050,MZ-TG-SR01,5001,2940,761101,,,,10,EA,EA,,,420.0,1,4200,4800,,,X,,,V3,,,,,,,,,
100,0200000059,00010,MZ-TG-A20,1000,4844,153026,,,,4,EA,EA,,,4653.46,1,"3499,13",3999,,,,,,V3,,,,,,,,,
100,0200000059,00020,MZ-FG-C10,3000,5214,772100,,,,4,EA,EA,,,262.5,1,1050,1200,,,,,,,,,,,,,,,
100,0200000059,00030,MZ-FG-C10,5001,6963,491369,,,,1,EA,EA,,,1050.0,1,1050,1200,,,,,,V1,,,,,,,,,
100,0200000059,00040,MZ-FG-C950,1001,2722,625710,,,,2,EA,EA,,,8916.99,1,"602,88",689,,,,,,,,,,,,,,,
100,0200000059,00050,MZ-TG-A27,5001,9365,341457,,,,10,EA,EA,,,7532.94,1,"1968,75",2250,,,,,,,,,,,,,,,
100,0200000059,00060,MZ-FG-R300,1000,7018,664978,,,,10,EA,EA,,,2993.57,1,"1093,75",1250,,,,,,V2,,,,,,,,,
100,0200000060,00010,M1,1001,7413,625344,,,,2,EA,EA,,,500.5,1,1001,1144,,,X,,,V1,,,,,,,,,
200,0200000060,00020,MZ-FG-E101,3001,0945,854684,,,,3,EA,EA,,,773.33,1,"217,88",249,,,X,,,V1,,,,,,,,,
200,0200000060,00030,MZ-FG-C10,2001,4763,592123,,,,7,EA,EA,,,150.0,1,1050,1200,,,X,,,V3,,,,,,,,,
100,0200000060,00040,MZ-FG-R100,1000,9859,860255,,,,2,EA,EA,,,4267.48,1,"4374,13",4999,,,X,,,V2,,,,,,,,,
100,0200000060,00050,MZ-FG-M550,1001,6970,209069,,,,10,EA,EA,,,3216.71,1,"2186,63",2499,,,X,,,,,,,,,,,,
100,0200000062,00010,MZ-TG-A27,4000,9944,797864,,,,5,EA,EA,,,9459.41,1,"1968,75",2250,,,,,,V3,,,,,,,,,
100,0200000062,00020,M1,1001,5503,769173,,,,1,EA,EA,,,1001.0,1,1001,1144,,,X,,,V1,,,,,,,,,
100,0200000062,00030,MZ-FG-C20,1000,3382,377569,,,,2,EA,EA,,,8761.58,1,"1190,88",1361,,,X,,,V3,,,,,,,,,
100,0200000062,00040,MZ-FG-C20,5001,1468,079630,,,,3,EA,EA,,,3368.12,1,"1190,88",1361,,,,,,V1,,,,,,,,,
100,0200000064,00010,MZ-FG-R300,3000,3844,117981,,,,5,EA,EA,,,6053.47,1,"1093,75",1250,,,,,,,,,,,,,,,
100,0200000064,00020,MZ-FG-M525,4000,5838,602497,,,,6,EA,EA,,,7612.69,1,"1749,13",1999,,,X,,,,,,,,,,,,
100,0200000064,00030,MZ-TG-A20,5000,2941,344804,,,,3,EA,EA,,,627.91,1,"3499,13",3999,,,X,,,,,,,,,,,,
100,0200000064,00040,MZ-TG-A20,1000,0278,515148,,,,7,EA,EA,,,9901.26,1,"3499,13",3999,,,,,,V1,,,,,,,,,
100,0200000064,00050,MZ-TG-Y240,2001,9449,451172,,,,9,EA,EA,,,38.89,1,350,400,,,,,,V3,,,,,,,,,
100,0200000065,00010,MZ-FG-M525,2000,5058,432198,,,,6,EA,EA,,,9416.45,1,"1749,13",1999,,,,,,V3,,,,,,,,,
100,0200000066,00010,FG226,3001,8429,638511,,,,1,EA,EA,,,2350.5,1,"261,63",299,,,X,,,V2,,,,,,,,,
100,0200000068,00010,MZ-FG-P010,1002,7633,623199,,,,8,EA,EA,,,3517.94,1,"1049,13",1199,,,X,,,V1,,,,,,,,,
100,0200000068,00020,MZ-TG-Y120,2000,6559,623972,,,,1,EA,EA,,,9382.43,1,"6912,5",7900,,,X,,,V1,,,,,,,,,
100,0200000068,00030,MZ-FG-E103,1001,5358,271917,,,,9,EA,EA,,,6938.68,1,"392,88",449,,,,,,V1,,,,,,,,,
100,0200000069,00010,MZ-TG-Y240,2000,4580,516004,,,,2,EA,EA,,,175.0,1,350,400,,,X,,,V2,,,,,,,,,
100,0200000069,00020,MZ-FG-R300,1001,9063,655937,,,,2,EA,EA,,,2218.79,1,"1093,75",1250,,,X,,,V1,,,,,,,,,
100,0200000070,00010,MZ-FG-E16,2001,6493,011683,,,,1,EA,EA,,,6406.77,1,"2186,63",2499,,,X,,,V3,,,,,,,,,
100,0200000070,00020,MZ-FG-C10,1001,6561,965749,,,,6,EA,EA,,,175.0,1,1050,1200,,,,,,V2,,,,,,,,,
100,0200000070,00030,MZ-TG-SR01,4000,3219,158584,,,,5,EA,EA,,,840.0,1,4200,4800,,,X,,,V2,,,,,,,,,
100,0200000070,00040,MZ-FG-R300,5001,7471,079737,,,,7,EA,EA,,,9177.54,1,"1093,75",1250,,,,,,V1,,,,,,,,,
100,0200000071,00010,MZ-FG-E17,3001,9854,553560,,,,9,EA,EA,,,6266.72,1,"2186,63",2499,,,X,,,V2,,,,,,,,,
100,0200000071,00020,MZ-FG-E102,3000,4789,400770,,,,3,EA,EA,,,1279.76,1,"349,13",399,,,X,,,,,,,,,,,,
100,0200000072,00010,MZ-FG-E15,3001,5924,120724,,,,7,EA,EA,,,1227.03,1,"3499,13",3999,,,,,,V3,,,,,,,,,
100,0200000072,00020,MZ-FG-E103,5000,0845,920439,,,,7,EA,EA,,,6872.21,1,"392,88",449,,,,,,V3,,,,,,,,,
