MANDT,LIFNR,LAND1,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,PFACH,PSTL2,PSTLZ,REGIO,SORTL,STRAS,ADRNR,MCOD1,MCOD2,MCOD3,ANRED,BAHNS,BBBNR,BBSNR,BEGRU,BRSCH,BUBKZ,DATLT,DTAMS,DTAWS,ERDAT,ERNAM,ESRNR,KONZS,KTOKK,KUNNR,LNRZA,LOEVM,SPERR,SPERM,SPRAS,STCD1,STCD2,STKZA,STKZU,TELBX,TELF1,TELF2,TELFX,TELTX,TELX1,XCPDK,XZEMP,VBUND,FISKN,STCEG,STKZN,SPERQ,GBORT,GBDAT,SEXKZ,KRAUS,REVDB,QSSYS,KTOCK,PFORT,WERKS,LTSNA,WERKR,PLKAL,DUEFL,TXJCD,SPERZ,SCACD,SFRGR,LZONE,XLFZA,DLGRP,STCD3,STCD4,STCD5,PROFS,EMNFR,LFURL,CONFS,UPDAT,UPTIM,NODEL,PODKZB
100,0000000011,PL,A to Z Fitness   ,e Filhos,,,West Daniel,N/A,,41389,693-6149,RR,A TO Z FIT   ,314 Anna Tunnel   ,586518,A TO Z FITNESS,,,Herr,,,,0001,S,,,,,20210603,9,,,0001,,,,,,D,5067165726,,,X,,6839542781,+441632 960849,,,,,,,,DE77694531473,,,,,,,,,,,1000,,,03,,,,,,,,,,,,,,http://www.a2zfitnes.com,,20250814,081839,,
100,0000000012,CN,Move by Bike,S.A.,exploit back-end sup,,Rathenow,,68216,L6 8JU,70143-634,PR,MOVE BY BI   ,855 渡辺 Street,135182,MOVE BY BIKE   ,,,Frau,,,,,H,,,,,20210603,1,,,KRED,,,,,,D,3749894134,,,X,,4136278910,,,,,,,,,DE52408240084,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,http://www.movebybike.ca,,20260515,212025,,
100,0000000013,NL,Unolab Manufacturing   ,,syndicate compelling,,Badoberan,Celle,N/A,53022,10690,FL,UNOLAB MAN,"Flat 3
Nicole Track",999386,UNOLAB MANUFACTURING   ,,,Frau,,,,0002,I,,,,,20210603,13,,,LIEF,,,,,,E,7496499091,,,,,4381762683,,,,,,,,,DE34123281206,,,,,,,,,,,5000,,,01,,,,,,,,,,,,,,http://www.unolabmanufacturing.com,,20251109,123314,,
100,0000000014,SE,Eiffel Bikes,Ltd,re-contextualize bac,N/A,羽村市,,CH83 4FD,22248,71746,PE,EIFFEL BIK,190 石川 Street,139904,EIFFEL BIKES,,,Firma,,,,0003,N,,,,,20210603,9,,,KRED,,,,,,J,0278742967,,,X,,4203876954   ,256.955.1256x746,,,,,,,,DE54516808760,,,,,,,,,,,1002,,,03,,,,,,,,,,,,,,http://www.eiffelbikes.fr,,20250707,002426,,
100,0000000015,SE,Alpha AG,LLC,enable front-end sys,,Campos de Alves,Santos,NR0 1JE,16763,SP48 6UU,NH,ALPHA AG,398 遠藤 Street   ,584044,ALPHA AG   ,,,Ms.,,,,0003,H,,,,,20210603,6,,,0001,,,X,,,F,9727875588,,,X,,2511415   ,,,,,,,,,DE75339636057,,,,,,,,,,,5001,,,01,,,,,,,,,,,,,,http://www.alphabikes.de,,20260422,142050,,
100,0000000016,AT,BuchungsKreis 1010,PLC,N/A,N/A,文京区,,N/A,58212,69438,AC,BUCHUNGSKR,"Via Leonardo Barbosa, 64   ",615865,BUCHUNGSKREIS 1010,,,Firma,,,,,O,,,,,20210603,1,,,0001,,,,,,P,7809134316,,,,,9078563412,001-517-824-0050,,,,,,,,DE22219693792,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,http://www.buchungkreis-gmbh.de,,20250527,163809,,
100,0000000017,MX,Avante Grande Bikes,- EI,optimize visionary c,N/A,千代田区,,47436-713,73467,302-4837,MP,AVANTE GRA,"Aeroporto Carlos Eduardo Pereira, 44",533942,AVANTE GRANDE BIKES,,,Firma,,,,0002,M,,,,,20210603,10,,,0001,,,,,,D,1047095214,,,X,,6789012345,,,,,,,,,DE62328588424,,,,,,,,,,,1000,,,02,,,,,,,,,,,,,,http://www.avantegrande.co.uk,,20260601,025156,,
100,0000000018,CH,Carefree Cycles   ,and Sons,cultivate impactful ,N/A,Lemgo,N/A,35164,126-7451,96513,AC,CAREFREE C,174 鈴木 Street,471138,CAREFREE CYCLES,,,Herr,,,,,N,,,,,20210603,1,,,KRED,,,,,,E,6758692617,,,,,2589436180,40-5377-3515,,,,,,,,DE50643171390,,,,,,,,,,,5001,,,01,,,,,,,,,,,,,,http://www.carefreecycles.com,,20260120,201726,,
100,0000000019,SE,Cycle World,and Sons,,,山武郡芝山町,Seantown,N/A,28421,20539502,AL,CYCLE WORL,"Studio 11
Parkin Lake",917839,CYCLE WORLD,,,,,,,0001,L,,,,,20210603,12,,,LIEF,,,,,,E,8470076617,,,X,,4050378468,(031) 1159-2124,,,,,,,,,,,,,,,,,,,1000,,,02,,,,,,,,,,,,,,http://www.cycleworld.co.in,,20250929,075606,,
100,0000000020,CA,Hudson SportsTec,SA,embrace killer e-com,N/A,Pasquier,N/A,66156,52711,12720,AM,HUDSON SPO   ,"Conjunto Dante Pastor, 285   ",560494,HUDSON SPORTSTEC,,,,,,,,G,,,,,20210603,10,,,LIEF,,,,,,P,1983273158,,,X,,6714954542   ,+49(0)4936 89980,,,,,,,,DE40244550229,,,,,,,,,,,5001,,,01,,,,,,,,,,,,,,http://www.hudsonsport.ca,,20250412,190421,,
100,0000000021,NL,Reese and Sons,S/A,,,Stendal,,N/A,62721,53379,WV,REESE AND ,614 松本 Street,369003,REESE AND SONS,,,Mr.,,,,,S,,,,,20121002,ericwilliams,,,KRED,,,,,,F,3244510762,,,X,,06 31 52 54 59,,,,,,,,,DE68388516060,,,,,,,,,,,5001,,,,,,,,,,,,,,,,,,,20260428,142819,,
100,0000000022,NL,橋本電気有限会社,,orchestrate dot-com ,N/A,Port Abbie,Port Courtney,97182,459-9248,52717-744,MI,橋本電気有限会社,770 小林 Street,199867,橋本電気有限会社,,,Firma,,,,0003,H,,,,,20190217,iwona23,,,KRED,,,,,,P,8079359782,,,,,(805)329-7516x13,415.718.2037x788,0482352181,,,,,,,DE46659051518,,,,,,,,,,,2001,,,03,,,,,,,,,,,,,,,,20250402,054203,,
100,0000000023,MX,Farias Barros - EI,N/A,deliver robust web s,N/A,Sankt Goar,,N/A,20266,TD9E 0SQ,NV,FARIAS BAR   ,383 藤原 Street   ,597746,FARIAS BARROS - EI   ,,,Frau,,,,0002,P,,,,,20141117,martindoyle,,,LIEF,,,,,,E,8623924075,,,,,+55 (011) 5462-9,,0255816850,,,,,,,,,,,,,,,,,,4000,,,01,,,,,,,,,,,,,,https://www.karge.de/,,20260507,071824,,
100,0000000024,DE,Miller-Martin   ,N/A,N/A,N/A,Augsburg,Warendorf,N/A,22047-277,005-1298,KS,MILLER-MAR,986 Gerard Freeway,103697,MILLER-MARTIN   ,,,,,,,0001,G,,,,,20170605,recepbutte,,,0001,,,,,,D,1798089324,,,X,,+33 5 86 13 75 0   ,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,20240625,170421,,
100,0000000025,IT,Chartier Laroche SA,Inc,incubate cross-platf,N/A,Robinsonfort,Carvalho,94354,05400,L0 4WR,GO,CHARTIER L,5054 Lauren Mews,765277,CHARTIER LAROCHE SA   ,,,Herr,,,,0003,S,,,,,20220622,vargasbrenda,,,KRED,,,,,,J,N/A,,,,,090-1888-8806,,+33 (0)5 33 54 0,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,20260430,071916,,
100,0000000026,KR,"Coleman, Jordan and Carney",Ltd,seize customized par,N/A,Pimenta das Pedras,N/A,N/A,16582,19215,AL,"COLEMAN, J",5 Cooper Port,927557,"COLEMAN, JORDAN AND CARNE",,,Frau,,,,0001,K,,,,,20160525,tilo96,,,KRED,,,X,,,J,9285654310,,,,,+44191 4960451,,,,,,,,,DE27868144739,,,,,,,,,,,3000,,,03,,,,,,,,,,,,,,,,20251113,134334,,
100,0000000027,US,Price Ltd   ,LLC,maximize out-of-the-,N/A,山武市,横浜市瀬谷区,09118,78669,16927,RS,PRICE LTD,8528 Katrina Curve Suite 801,242253,PRICE LTD   ,,,,,,,0002,J,,,,,20130419,frankpearson,,,0001,,,,,,E,8414384249,,,X,,+33 (0)4 72 51 8,070-8299-2299,01632960258   ,,,,,,,DE90010943969,,,,,,,,,,,1002,,,,,,,,,,,,,,,,,,,20240716,231829,,
100,0000000028,BE,Mendes,GmbH & Co. OHG,transform turn-key a,,Sainte Catherine-sur-Mer,N/A,N/A,B4 9SJ,OX5 2UW,PR,MENDES,Dimitri-Kreusel-Weg 63-13,479748,MENDES,,,Frau,,,,,O,,,,,20.08.2013,catarina62,,,0001,,,,,,J,1624565060,,,,,08081570647,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,http://www.perry-marshall.com/,,20250808,163717,,
100,0000000029,SE,Gordon-Duran,PLC,N/A,N/A,いすみ市,Eberswalde,,78857,88879,PR,GORDON-DUR,1694 Candice Greens Apt. 097,896230,GORDON-DURAN,,,Herr,,,,0001,I,,,,,20120228,elaine87,,,KRED,,,,,,P,1307562636,,,X,,(09121) 655852,02-8385-7865,+44(0)20 7496086,,,,,,,DE78585497334,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,20250128,215315,,
100,0000000030,IT,Sales Santos - ME   ,KG,empower global platf,N/A,神津島村,N/A,,245-3972,88297,SC,SALES SANT   ,6 Edwards Courts,208267,SALES SANTOS - ME,,,Herr,,,,0002,T,,,,,20150430,luctanguy,,,KRED,,,,,,P,3454019380,,,,,05844 198665,,,,,,,,,DE62067240049,,,,,,,,,,,2001,,,,,,,,,,,,,,,,,https://www.nolan-hooper.info/,,20240910,083022,,
100,0000000031,MX,Carvalho,LLC,,,Sales de Goiás   ,,N/A,88029,61501,CE,CARVALHO,"541, boulevard Matthieu Vasseur",727956,CARVALHO,,,,,,,,S,,,,,07.03.2018,lambert99,,,0001,,,,,,E,8783391878,,,,,43-1527-4205,21 1910 8839,(03296) 685161,,,,,,,,,,,,,,,,,,3000,,,02,,,,,,,,,,,,,,http://hudson-bailey.biz/,,20241011,140727,,
100,0000000032,JP,Bazin S.A.,Stiftung & Co. KGaA,strategize dot-com s,,Pacheco   ,N/A,,06437,44817,ND,BAZIN S.A.,0462 Katie Stream,656766,BAZIN S.A.,,,Frau,,,,0002,P,,,,,17.09.2017,inouemai,,,KRED,,,,,,F,8251286823,,,,,0800 718 7072,,,,,,,,,DE04786863375,,,,,,,,,,,3001,,,03,,,,,,,,,,,,,,,,20250111,153149,,
100,0000000033,NL,"Barnes, Miranda and Stephenson",S.A.,,N/A,Novais do Amparo,Shellyfurt,,326-6821,20407,CE,"BARNES, MI",342 藤井 Street,882634,"BARNES, MIRANDA AND STEPH",,,Mr.,,,,0001,B,,,,,20141018,burghard89,,,KRED,,,,,,J,,,,X,,531.219.0790,,03 73 83 02 84,,,,,,,DE51751830469,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,https://atkins.co.uk/,,20240722,165925,,
100,0000000034,BE,有限会社田中印刷,,,,Griesbach Rottal,Mühldorf am Inn,95189,97250,HD6 9JF,KS,有限会社田中印刷   ,235 小林 Street,854777,有限会社田中印刷,,,Mr.,,,,0001,T,,,,,11.02.2023,pjoubert,,,LIEF,,,,,,E,5228728080,,,X,,+49(0)3317393638,+1-900-962-3120x,,,,,,,,,,,,,,,,,,,5000,,,02,,,,,,,,,,,,,,,,20240628,163758,,
100,0000000035,IN,Société Générale,N/A,,,Berger-sur-Grenier,,,SL1 1RR,70587,SC,SOCIÉTÉ GÉ   ,76591 Jerry Ways   ,974014,SOCIÉTÉ GÉNÉRALE,,,Frau,,,,0001,H,,,,,20150628,bessonanne,,,0001,,,,,,E,9025039261,,,,,21-1823-3984,+49 (0) 9396 856,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,20260606,045551,,
100,0000000036,GB,Cook PLC,AG,implement extensible,N/A,Burglengenfeld,East Sharonmouth,N/A,568-8395,14126,MI,COOK PLC   ,604 小林 Street,839826,COOK PLC,,,Ms.,,,,0002,H,,,,,16.10.2013,heloisadias,,,KRED,,,,,,F,2444721264,,,,,50-4773-5866,,+4429 2018 0961,,,,,,,DE47154379937,,,,,,,,,,,3000,,,02,,,,,,,,,,,,,,https://www.yamashita.com/,,20241001,171618,,
100,0000000037,CH,Kramer,LLC,empower impactful re,,New Wendy,Lake Bethanyborough,37951,67243426,10559,RJ,KRAMER,"168, boulevard Jeannine Diaz",135290,KRAMER,,,Ms.,,,,0003,S,,,,,20251212,jeannette79,,,0001,,,,,,D,,,,X,,05692 459375,,,,,,,,,,,,,,,,,,,,2001,,,02,,,,,,,,,,,,,,,,20260613,232240,,
100,0000000038,IN,Döring Atzler AG,SA,,,Borna,,N/A,96203,HA5 3WU,PR,DÖRING ATZ   ,751 Williams Station Apt. 051,238282,DÖRING ATZLER AG,,,Firma,,,,0002,O,,,,,24.01.2023,yukinakagawa,,,KRED,,,,,,D,8673622660,,,,,+49(0) 888993756,,,,,,,,,,,,,,,,,,,,1000,,,02,,,,,,,,,,,,,,,,20250915,114754,,
100,0000000039,CH,Thomas,,N/A,N/A,Jayneshire   ,N/A,,88595,CM3 1GQ,NY,THOMAS,"729, rue Claire Bousquet   ",282742,THOMAS,,,Frau,,,,0001,XYZ,,,,,14.04.2020,michelle79,,,KRED,,,,,,D,N/A,,,X,,+55 11 3419-1825,+441214960790,+49(0) 714785969,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,20260520,151844,,
100,0000000040,KR,Lejeune,and Sons,N/A,N/A,Saint ThéophileVille,Lévêque,,58050,31557,AS,LEJEUNE,"Morro de Santos, 362   ",309584,LEJEUNE,,,,,,,0003,F,,,,,26.01.2020,babett07,,,LIEF,,,,,,P,8254494812,,,X,,(084) 6772-1903,,+49(0)4384279788,,,,,,,DE04223253672,,,,,,,,,,,1002,,,02,,,,,,,,,,,,,,,,20250929,054759,,
100,0000000041,GB,Couturier SA,SA,N/A,N/A,South Stephen,Lagarde,GU2M 5LD,06436,10371293,AC,COUTURIER    ,62713 Davis Valley Apt. 155   ,262218,COUTURIER SA,,,Frau,,,,0003,L,,,,,20241122,garciakriste,,,0001,,,,,,E,0927532697,,,,,0498775901   ,,(051) 5186-3637,,,,,,,DE11219656523,,,,,,,,,,,1001,,,,,,,,,,,,,,,,,https://rogge.de/,,20251008,063727,,
100,0000000042,AT,後藤銀行株式会社,Group,deploy bricks-and-cl,N/A,Teixeira,Saint JacquelineBourg,N/A,34866,B6 8SS,AP,後藤銀行株式会社   ,"Vale de Cassiano, 51",832856,後藤銀行株式会社,,,Ms.,,,,0002,J,,,,,19.01.2021,hatfieldsara,,,KRED,,,,,,J,1463031617,,,X,,(031) 3898 3640,070-4210-2027,+44161 496 0613   ,,,,,,,,,,,,,,,,,,3001,,,03,,,,,,,,,,,,,,,,20250711,030119,,
100,0000000043,JP,Weiß e.G.,Inc,incentivize revoluti,N/A,Dresden,,S3 3SP,95180,B61 4NP,OH,WEISS E.G.,rue Stéphane Thibault,937597,WEISS E.G.,,,,,,,0001,N,,,,,22.11.2024,da-conceicao,,,0001,,,,,,F,,,,X,,+49(0)0564 81491,+441632 960832,0179792524   ,,,,,,,DE60385050641,,,,,,,,,,,1002,,,01,,,,,,,,,,,,,,,,20250716,134916,,
100,0000000044,PL,日本電気株式会社,,transform B2C platfo,N/A,Hallchester,,70745,74741,21159,TO,日本電気株式会社,"Área de Cunha, 22",356804,日本電気株式会社,,,Mr.,,,,0002,J,,,,,09.04.2018,curtisbarry,,,KRED,,,,,,D,2067883171,,,,,486.857.1918,,001-890-762-3445,,,,,,,DE10032365199,,,,,,,,,,,1002,,,02,,,,,,,,,,,,,,,,20260425,172534,,
100,0000000045,NL,Orr Group,N/A,N/A,,West Leonard,,,20135,634-4026,PR,ORR GROUP   ,"20, avenue Guillaume Humbert",838065,ORR GROUP,,,Firma,,,,0003,K,,,,,20111203,wcavalcanti,,,LIEF,,,,,,F,8759856420,,,X,,+44(0)1144960510   ,(03040) 785932,,,,,,,,DE33480396522,,,,,,,,,,,1002,,,,,,,,,,,,,,,,,http://www.ramos.fr/,,20250831,155336,,
100,0000000046,JP,合同会社橋本通信   ,,,,Pastor do Campo,N/A,,52267,28953-926,SC,合同会社橋本通信,"Estação Siqueira, 7",029593,合同会社橋本通信   ,,,Mr.,,,,0001,H,,,,,20240305,koesterida,,,0001,,,,,,J,N/A,,,,,080-9378-4270   ,,5394308705,,,,,,,DE91725135521,,,,,,,,,,,5000,,,01,,,,,,,,,,,,,,http://barkholz.com/,,20251026,042913,,
100,0000000047,AU,Aubry S.A.,Inc,N/A,,Herzberg   ,,15262,81599706,96201533,RR,AUBRY S.A.,431 加藤 Street,050614,AUBRY S.A.,,,Mr.,,,,0002,C,,,,,30.03.2021,luanmachado,,,0001,,,,,,J,,,,X,,+44(0)29 2018 01,,001-300-967-6267,,,,,,,DE97310324171,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,20260118,191927,,
100,0000000048,DE,Borges,S.A.S.,incubate collaborati,,Burnsfurt,Montenegro,,922-8467,693-2415,WV,BORGES,"43, rue Briand",632945,BORGES,,,,,,,,T,,,,,20170909,sayurisato,,,LIEF,,,,,,P,1168685487,,,X,,71 6256-5270   ,001-399-386-1622,07434 902115,,,,,,,DE14856467997,,,,,,,,,,,3001,,,02,,,,,,,,,,,,,,,,20241027,142904,,
100,0000000049,NL,佐藤印刷合同会社,N/A,N/A,,Schleiz   ,N/A,37367850,810-2604,41280,BA,佐藤印刷合同会社,330 佐藤 Street   ,345786,佐藤印刷合同会社,,,,,,,0003,S,,,,,20130630,uvasconcelos,,,LIEF,,,,,,P,,,,,,0114 496 0745,+55 71 0357 9727,,,,,,,,DE85524140602,,,,,,,,,,,5000,,,03,,,,,,,,,,,,,,https://ramirez-vasquez.com/,,20260115,175210,,
100,0000000050,BR,Rocha Costela Ltda.,,monetize impactful a,N/A,New Yvonnestad,N/A,N/A,662-9728,289-4890,NJ,ROCHA COST,5444 Edward Track Apt. 096   ,520744,ROCHA COSTELA LTDA.,,,Frau,,,,0003,R,,,,,20241129,nherrmann,,,0001,,,,,,F,6609935387,,,X,,81 8007 2290,11 8428 2417,(0118) 4960944,,,,,,,DE48251353465,,,,,,,,,,,5000,,,02,,,,,,,,,,,,,,,,20241231,031155,,
100,0000000051,US,Brown-Walters   ,SA,,,Parkinsonfurt,JacobVille,N/A,70464,IG0N 0AJ,UT,BROWN-WALT   ,Eduard-Kraus-Weg 3/2,447898,BROWN-WALTERS   ,,,Mr.,,,,0003,R,,,,,20180405,melissamille,,,0001,,,,,,P,N/A,,,,,070-7381-6846,0257532603,(423)356-9725,,,,,,,DE23098215064,,,,,,,,,,,2001,,,02,,,,,,,,,,,,,,https://www.couturier.com/,,20250922,171712,,
100,0000000052,PL,Rezende S/A,,aggregate 24/365 por,,香取郡東庄町,N/A,42087,LS5H 0DE,685-8095,CO,REZENDE S/,437 渡辺 Street,204556,REZENDE S/A,,,Firma,,,,0001,S,,,,,20200929,ziegertehrha,,,KRED,,,,,,D,1100225579,,,,,001-616-876-1847,,+55 41 8499 2618,,,,,,,DE15521667467,,,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,20251011,070630,,
100,0000000053,DE,Castro S/A   ,Ltd,N/A,,Lopes,Mendes,,28900,87721753,GO,CASTRO S/A   ,663 Stephen Unions,717751,CASTRO S/A   ,,,Firma,,,,0003,T,,,,,20160311,camilamoreir,,,KRED,,,,,,D,0166088019,,,X,,05 87 29 65 90,090-8837-5503,+55 81 7716 7014,,,,,,,,,,,,,,,,,,1002,,,,,,,,,,,,,,,,,,,20250221,160558,,
100,0000000054,GB,Silva,,extend transparent p,,Erfurt,Lewisborough,N/A,16091-779,137-8172,NC,SILVA,Praça de Pacheco,829221,SILVA,,,Mr.,,,,0001,G,,,,,01.02.2017,princetravis,,,KRED,,,,,,P,9958669346,,,,,+33 (0)2 37 30 5,+49(0)7226 98485,,,,,,,,,,,,,,,,,,,5001,,,01,,,,,,,,,,,,,,,,20251214,203005,,
100,0000000055,MX,Johnson LLC,,,N/A,Burglengenfeld,N/A,N/A,888-9205,RM8P 8NB,MG,JOHNSON LL,"18, chemin Renaud",735989,JOHNSON LLC,,,Ms.,,,,,J,,,,,20150328,james80,,,KRED,,,,,,E,3472122816,,,X,,(084) 2288 5158,,04 38 60 81 06,,,,,,,DE64842294057,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,http://www.phillips.com/,,20260510,193834,,
100,0000000056,CA,Birnbaum,GmbH,N/A,N/A,Turnertown   ,,N/A,88180,39930,MG,BIRNBAUM,8408 Robertson Pass Suite 704,358112,BIRNBAUM,,,,,,,0001,Q,,,,,09.11.2012,cherylross,,,LIEF,,,,,,P,8013361386,,,,,0800-479-8515,,080-2818-2688   ,,,,,,,DE12075011024,,,,,,,,,,,3000,,,03,,,,,,,,,,,,,,,,20240814,035730,,
100,0000000057,AU,Lebreton,GmbH & Co. OHG,,N/A,Kristinport,N/A,088-4612,48504,72832684,ME,LEBRETON,"Via de Freitas, 9   ",210099,LEBRETON,,,Mr.,,,,,E,,,,,26.10.2022,hashimotokyo,,,KRED,,,,,,E,8814353682,,,X,,71 6506 1809,,,,,,,,,,,,,,,,,,,,4000,,,02,,,,,,,,,,,,,,,,20241105,095238,,
100,0000000058,JP,Farrell PLC,,,N/A,da Mota da Praia   ,Catherinemouth,45893,81291,83411,PR,FARRELL PL   ,930 井上 Street,256394,FARRELL PLC,,,Mr.,,,,,J,,,,,03.01.2014,lilijahartun,,,KRED,,,,,,F,7881658039,,,X,,001-487-581-4141,,791-735-7759x492,,,,,,,DE28272299275,,,,,,,,,,,1000,,,02,,,,,,,,,,,,,,,,20241130,210203,,
100,0000000059,SE,Heintze Berger OHG mbH,,productize intuitive,,Gardelegen,中野区,77908,DA31 3FG,PL1 6PE,RO,HEINTZE BE,"39, avenue de Simon",029922,HEINTZE BERGER OHG MBH   ,,,Ms.,,,,,D,,,,,12.01.2020,lpoulain,,,KRED,,,,,,D,8092024286,,,,,0191 498 0567,,+33 (0)1 70 51 8,,,,,,,,,,,,,,,,,,2000,,,02,,,,,,,,,,,,,,,,20260602,025445,,
