MANDT,LIFNR,EKORG,WERKS,SPERM,LOEVM,PLIFZ,MNGLG,MNGKO,MNGZE,UEBTO,UNTTO,UGBTO
100,0000000300,4000,1002,,,1,,,,12.4,9.6,
100,0000000194,4000,2001,,,17,,,,5.0,0.3,
100,0000000047,5000,1002,,,16,,,,17.4,7.9,
100,0000000930,5000,1002,,,12,,,,1.6,0.4,
100,0000000685,4000,3000,,,22,,,,1.2,2.7,
100,0000000857,4000,5001,,,24,,,,0.1,8.2,
100,0000001610,1000,1002,,,16,,,,1.3,7.0,
100,0000001083,5000,3000,,,29,,,,3.0,6.4,
100,0000001812,4000,1002,,,25,,,,5.4,3.7,
100,0000000507,1000,2000,,,11,,,,1.8,4.7,
100,0000000525,1000,1001,,,13,,,,15.8,7.2,
100,0000001170,1000,5001,,,30,,,,14.9,2.4,
100,0000000141,2000,1000,,,2,,,,13.3,0.5,
100,0000001674,4000,3001,,,9,,,,13.3,8.1,
100,0000000360,5000,4000,,,29,,,,15.1,9.6,
100,0000000620,3000,5000,,,24,,,,6.7,9.9,
100,0000000327,1000,2000,,,1,,,,10.4,6.4,
100,0000001192,1000,2001,,,18,,,,13.1,1.4,
100,0000001608,4000,5000,,,6,,,,7.6,4.2,
100,0000000357,2000,1002,,,21,,,,16.8,9.9,
100,0000000539,4000,2001,,,25,,,,9.2,5.9,
100,0000001188,3000,1000,,,12,,,,17.3,7.7,
100,0000000975,5000,1002,,,11,,,,2.5,5.9,
100,0000000149,2000,5000,,,25,,,,7.9,7.8,
100,0000000934,1000,3001,,,12,,,,16.0,7.6,
100,0000001038,3000,5001,,,2,,,,18.5,2.8,
100,0000000680,3000,4000,,,25,,,,4.3,5.8,
100,0000000157,5000,1000,,,25,,,,1.7,7.1,
100,0000000004,4000,1001,,,7,,,,13.4,3.4,
100,0000001917,2000,1000,,,10,,,,9.0,6.7,
100,0000000334,5000,4000,,,12,,,,13.8,8.2,
100,0000000809,2000,1002,,,29,,,,6.0,6.6,
100,0000000755,5000,2000,,,20,,,,17.8,5.5,
100,0000000188,5000,1001,,,7,,,,4.7,1.5,
100,0000000809,5000,3001,,,1,,,,5.3,1.3,
100,0000001267,5000,5001,,,28,,,,11.7,1.2,
100,0000000592,5000,1000,,,19,,,,18.5,2.6,
100,0000000248,3000,3001,,,11,,,,13.9,9.9,
100,0000001137,3000,1001,,,1,,,,7.2,3.1,
100,0000001127,4000,3001,,,25,,,,9.8,9.3,
100,0000000733,5000,5001,,,19,,,,0.5,9.6,
100,0000000277,3000,3000,,,13,,,,2.8,7.0,
100,0000000317,4000,2000,,,30,,,,6.0,4.9,
100,0000001421,1000,2000,,,9,,,,15.2,8.6,
100,0000001044,1000,4000,,,14,,,,1.6,4.9,
100,0000001037,1000,1000,,,1,,,,2.8,9.2,
100,0000001801,2000,3001,,,14,,,,5.2,5.9,
100,0000000849,3000,5001,,,5,,,,6.1,3.2,
100,0000000859,3000,3000,,,14,,,,15.6,0.0,
100,0000000734,5000,1001,,,12,,,,6.4,8.0,
100,0000001210,1000,3001,,,13,,,,12.5,7.1,
100,0000001226,3000,4000,,,21,,,,10.1,8.3,
100,0000000391,2000,2001,,,19,,,,18.3,0.9,
100,0000001101,3000,2000,,,18,,,,10.8,5.0,
100,0000000354,1000,2001,,,4,,,,18.0,5.2,
100,0000000744,5000,5000,,,8,,,,19.0,4.5,
100,0000000835,4000,1002,,,27,,,,13.8,8.9,
100,0000000995,2000,1001,,,24,,,,16.0,6.3,
100,0000000017,4000,4000,,,2,,,,1.6,2.4,
100,0000000140,2000,2001,,,30,,,,19.1,1.4,
100,0000001891,5000,2001,,,14,,,,15.3,1.9,
100,0000001031,2000,2001,,,11,,,,3.3,1.3,
100,0000001935,5000,3001,,,20,,,,0.2,9.6,
100,0000000112,3000,3000,,,11,,,,7.5,2.0,
100,0000001278,3000,5000,,,22,,,,12.4,4.4,
100,0000000469,1000,3000,,,26,,,,8.5,5.1,
100,0000000890,5000,1000,,,26,,,,10.7,8.8,
100,0000000769,3000,5000,,,3,,,,0.1,4.1,
100,0000001121,2000,1002,,,5,,,,15.6,4.8,
100,0000000891,4000,2001,,,27,,,,4.7,7.8,
100,0000000663,1000,1002,,,25,,,,2.6,0.4,
100,0000001457,3000,2001,,,12,,,,9.1,6.6,
100,0000001394,3000,1002,,,4,,,,17.4,7.2,
100,0000001877,4000,1000,,,4,,,,10.0,6.3,
100,0000000815,4000,3001,,,21,,,,0.8,6.8,
100,0000001815,5000,2000,,,24,,,,11.8,7.8,
100,0000001012,1000,3001,,,23,,,,10.7,2.4,
100,0000000274,1000,2000,,,29,,,,9.0,6.8,
100,0000000417,5000,2001,,,17,,,,2.8,2.5,
100,0000000821,4000,5000,,,16,,,,16.9,6.4,
100,0000001019,3000,1001,,,18,,,,4.1,3.5,
100,0000001652,3000,2000,,,26,,,,12.1,3.2,
100,0000001187,5000,5000,,,30,,,,1.9,8.9,
100,0000001944,2000,5001,,,15,,,,16.9,1.3,
100,0000001342,1000,5001,,,24,,,,5.6,3.6,
100,0000001024,2000,2000,,,12,,,,4.5,4.9,
100,0000001264,3000,2001,,,11,,,,16.4,3.5,
100,0000001450,2000,5000,,,10,,,,13.6,5.6,
100,0000001525,2000,5001,,,18,,,,13.7,8.5,
100,0000000566,2000,5000,,,29,,,,3.0,2.9,
100,0000001998,1000,4000,,,1,,,,16.1,5.9,
100,0000000362,5000,5000,,,26,,,,2.1,1.7,
100,0000000757,3000,1002,,,22,,,,9.2,2.4,
100,0000001178,3000,3001,,,20,,,,1.5,7.2,
100,0000000670,5000,1001,,,26,,,,11.0,6.7,
100,0000000719,2000,4000,,,2,,,,5.8,7.3,
100,0000000526,5000,1002,,,18,,,,8.3,2.3,
100,0000001593,3000,2000,,,2,,,,5.8,3.3,
100,0000001344,5000,5001,,,2,,,,6.0,6.4,
100,0000001484,2000,4000,,,3,,,,9.4,7.9,
100,0000001146,4000,1000,,,8,,,,10.7,4.9,
100,0000001360,3000,1002,,,8,,,,13.0,4.5,
100,0000000422,4000,3001,,,4,,,,5.1,4.3,
100,0000000314,2000,2000,,,29,,,,6.5,2.8,
100,0000001419,2000,2001,,,22,,,,10.9,2.3,
100,0000001098,1000,3000,,,20,,,,11.9,2.6,
100,0000000382,5000,2000,,,10,,,,12.0,7.7,
100,0000001041,3000,1000,,,3,,,,16.8,7.6,
100,0000000032,1000,3001,,,4,,,,11.0,1.7,
100,0000000871,3000,3001,,,18,,,,14.4,0.4,
100,0000001422,1000,1000,,,14,,,,3.4,8.3,
100,0000000589,4000,3000,,,20,,,,6.4,7.7,
100,0000000317,3000,1002,,,14,,,,1.2,1.9,
100,0000000647,2000,2000,,,28,,,,8.4,2.0,
100,0000000989,3000,2000,,,23,,,,7.2,9.7,
100,0000000357,1000,2000,,,28,,,,4.8,6.8,
100,0000000021,1000,3001,,,13,,,,8.6,7.6,
100,0000000909,4000,2001,,,19,,,,9.8,7.9,
100,0000000034,2000,3000,,,4,,,,13.3,0.0,
100,0000000273,3000,2001,,,24,,,,13.3,1.5,
100,0000000381,3000,5001,,,9,,,,7.3,3.6,
100,0000000166,1000,5000,,,10,,,,7.4,2.1,
100,0000000257,3000,1001,,,22,,,,0.8,7.9,
100,0000001307,4000,3001,,,25,,,,2.3,9.7,
100,0000001312,1000,5001,,,13,,,,9.3,8.1,
100,0000001498,1000,2001,,,24,,,,11.6,3.0,
100,0000001113,5000,4000,,,20,,,,17.8,4.9,
100,0000001405,4000,1000,,,20,,,,8.3,2.3,
100,0000000834,5000,1001,,,18,,,,13.3,1.6,
100,0000000795,5000,5001,,,12,,,,12.9,8.6,
100,0000001223,5000,4000,,,2,,,,2.7,6.8,
100,0000000883,3000,2000,,,15,,,,2.6,1.4,
100,0000001138,3000,3000,,,25,,,,16.6,3.8,
100,0000001754,3000,2001,,,29,,,,3.7,5.3,
100,0000001066,4000,3001,,,15,,,,7.6,4.5,
100,0000001163,4000,3000,,,12,,,,14.2,9.4,
100,0000000735,3000,5000,,,4,,,,6.6,8.2,
100,0000000888,1000,2000,,,6,,,,16.1,6.4,
100,0000000491,5000,3000,,,8,,,,7.1,0.4,
100,0000000586,3000,5001,,,26,,,,7.9,8.6,
100,0000000459,3000,1001,,,16,,,,5.6,9.5,
100,0000001411,4000,3001,,,23,,,,7.8,1.9,
100,0000000708,1000,2000,,,12,,,,18.2,7.5,
100,0000000851,1000,5001,,,9,,,,1.6,6.7,
100,0000000614,4000,5000,,,7,,,,3.0,1.8,
100,0000001588,5000,1001,,,4,,,,14.2,5.1,
100,0000000485,3000,2000,,,27,,,,8.7,6.2,
100,0000000665,5000,5001,,,17,,,,16.6,2.6,
100,0000000773,4000,5001,,,3,,,,10.3,7.1,
100,0000000207,1000,1000,,,4,,,,18.8,7.3,
100,0000001322,5000,2001,,,23,,,,10.3,3.0,
100,0000001627,5000,3001,,,6,,,,17.3,6.0,
100,0000000787,5000,3000,,,17,,,,9.2,5.5,
100,0000000158,5000,1001,,,30,,,,17.8,7.6,
100,0000000470,2000,5001,,,7,,,,3.4,7.6,
100,0000001668,5000,2001,,,16,,,,16.1,3.9,
100,0000001293,5000,5000,,,23,,,,15.4,6.6,
100,0000000912,3000,3000,,,19,,,,9.4,3.0,
100,0000000504,2000,3001,,,28,,,,10.8,6.7,
100,0000000019,1000,1000,,,26,,,,1.1,6.9,
100,0000000966,3000,1001,,,9,,,,2.3,5.6,
100,0000001115,2000,2000,,,18,,,,16.9,0.5,
100,0000000191,5000,2000,,,27,,,,4.4,8.8,
100,0000000250,4000,1001,,,12,,,,3.8,4.1,
100,0000001327,5000,5000,,,9,,,,11.3,3.6,
100,0000000018,3000,1000,,,15,,,,10.6,2.6,
100,0000001372,4000,4000,,,2,,,,17.4,7.0,
100,0000000038,3000,1002,,,22,,,,16.7,9.8,
100,0000001339,4000,4000,,,17,,,,15.2,5.6,
100,0000001628,2000,2000,,,9,,,,7.8,8.6,
100,0000001377,4000,1000,,,10,,,,14.4,5.6,
100,0000000015,5000,5000,,,8,,,,13.3,7.4,
100,0000001153,2000,1000,,,22,,,,13.7,9.2,
100,0000001600,4000,2000,,,1,,,,5.9,4.7,
100,0000000601,3000,5000,,,1,,,,12.8,2.0,
100,0000001469,4000,2000,,,15,,,,4.3,4.5,
100,0000001918,4000,2001,,,14,,,,16.5,1.8,
100,0000000429,2000,1000,,,20,,,,5.0,4.1,
100,0000000714,1000,1000,,,6,,,,10.6,0.4,
100,0000000524,3000,2001,,,25,,,,12.4,4.3,
100,0000001979,3000,3001,,,22,,,,9.4,1.9,
100,0000000389,3000,5000,,,27,,,,19.3,9.3,
100,0000001960,1000,3001,,,29,,,,18.0,0.2,
100,0000000111,1000,1002,,,28,,,,5.9,0.8,
100,0000000064,3000,3001,,,22,,,,12.3,0.8,
100,0000000494,4000,1000,,,17,,,,1.4,8.3,
100,0000000317,4000,1002,,,16,,,,4.4,6.8,
100,0000000846,4000,2000,,,17,,,,13.2,1.3,
100,0000001281,2000,1000,,,12,,,,7.2,1.5,
100,0000000103,3000,5000,,,10,,,,1.1,4.9,
100,0000000503,1000,4000,,,21,,,,8.7,2.5,
100,0000001734,4000,2001,,,17,,,,15.7,1.2,
100,0000000026,2000,1000,,,11,,,,10.4,1.5,
100,0000001429,2000,2000,,,12,,,,14.4,0.2,
100,0000000844,5000,1002,,,12,,,,6.7,1.2,
100,0000001115,3000,2000,,,20,,,,12.5,9.8,
100,0000000447,4000,4000,,,25,,,,18.9,8.7,
100,0000001369,4000,3000,,,3,,,,4.5,4.7,
100,0000001997,1000,1001,,,8,,,,12.4,2.5,
100,0000001386,3000,5000,,,29,,,,7.6,7.0,
100,0000001409,5000,1000,,,18,,,,5.2,6.1,
100,0000001916,2000,2001,,,22,,,,19.8,1.5,
100,0000000604,1000,3001,,,24,,,,7.2,9.5,
100,0000000513,3000,2000,,,27,,,,8.1,0.4,
100,0000001823,2000,4000,,,8,,,,3.9,9.8,
100,0000000045,1000,1002,,,25,,,,7.2,8.1,
100,0000001810,1000,4000,,,24,,,,14.5,1.5,
100,0000001929,3000,5001,,,29,,,,8.5,1.8,
100,0000000789,2000,2001,,,19,,,,6.8,1.6,
100,0000000552,5000,5001,,,8,,,,8.1,6.3,
100,0000001298,3000,5000,,,27,,,,7.6,7.2,
100,0000000961,2000,3000,,,6,,,,12.8,6.2,
100,0000000606,2000,3001,,,13,,,,12.5,2.7,
100,0000001896,2000,1001,,,3,,,,0.0,8.5,
100,0000001570,3000,5001,,,21,,,,8.8,5.1,
100,0000000083,2000,4000,,,17,,,,19.3,0.3,
100,0000001494,4000,2000,,,3,,,,2.9,5.8,
100,0000001673,5000,1002,,,17,,,,2.1,0.3,
100,0000000848,2000,3001,,,14,,,,4.7,0.1,
100,0000001480,4000,5000,,,30,,,,3.5,2.3,
100,0000000319,1000,1001,,,3,,,,3.2,0.1,
100,0000000208,3000,1000,,,15,,,,5.9,1.3,
100,0000000018,5000,5000,,,1,,,,14.2,1.8,
100,0000000527,4000,2000,,,19,,,,6.5,2.5,
100,0000000900,4000,1001,,,6,,,,15.5,9.7,
100,0000001204,1000,4000,,,22,,,,10.8,6.7,
100,0000000845,2000,2000,,,15,,,,18.4,6.4,
100,0000000278,3000,2000,,,5,,,,14.2,5.9,
100,0000000487,3000,5001,,,26,,,,9.8,5.2,
100,0000000958,5000,1000,,,29,,,,10.9,8.5,
100,0000000420,5000,4000,,,18,,,,6.3,7.7,
100,0000000098,4000,5000,,,8,,,,0.8,4.1,
100,0000000494,5000,4000,,,18,,,,6.2,4.3,
100,0000000008,5000,1000,,,30,,,,11.1,5.1,
100,0000001247,3000,1001,,,3,,,,11.8,0.9,
100,0000001454,2000,3000,,,24,,,,14.9,2.3,
100,0000001183,1000,2001,,,20,,,,15.7,0.7,
100,0000000420,4000,1000,,,9,,,,19.9,6.7,
100,0000000622,2000,3001,,,16,,,,13.8,0.4,
100,0000000117,3000,1001,,,2,,,,2.9,1.3,
100,0000001793,4000,1001,,,21,,,,12.4,2.0,
100,0000000959,2000,1001,,,23,,,,17.1,7.7,
100,0000001626,2000,3001,,,1,,,,11.8,4.0,
100,0000001101,2000,5001,,,17,,,,6.4,0.9,
100,0000001659,1000,4000,,,13,,,,13.9,3.7,
100,0000000624,3000,5000,,,3,,,,8.0,5.9,
100,0000001387,2000,1001,,,22,,,,12.6,7.2,
100,0000000209,2000,1001,,,24,,,,1.8,4.5,
100,0000001539,4000,1002,,,26,,,,12.5,1.9,
100,0000000664,3000,1002,,,28,,,,3.2,8.0,
100,0000001044,5000,5000,,,13,,,,10.4,2.1,
100,0000001105,2000,2000,,,23,,,,18.4,3.3,
100,0000001246,4000,5001,,,8,,,,4.4,7.6,
100,0000000401,4000,3001,,,19,,,,15.1,0.0,
100,0000001095,4000,3001,,,28,,,,0.8,9.5,
100,0000000567,2000,5000,,,23,,,,16.6,4.0,
100,0000001884,2000,1001,,,15,,,,10.2,6.7,
100,0000000491,5000,2001,,,18,,,,17.9,5.1,
100,0000001166,3000,3001,,,2,,,,15.8,3.5,
100,0000000447,4000,1002,,,23,,,,8.8,6.3,
100,0000001530,1000,1002,,,12,,,,5.5,6.8,
100,0000000496,1000,5000,,,30,,,,17.4,2.2,
100,0000000562,1000,5001,,,27,,,,6.2,5.0,
100,0000001397,3000,5000,,,22,,,,13.6,2.8,
100,0000001771,2000,3000,,,19,,,,4.2,9.4,
100,0000000790,3000,1001,,,21,,,,7.4,0.8,
100,0000001731,3000,2000,,,30,,,,9.6,9.5,
100,0000000731,4000,2000,,,21,,,,15.6,1.7,
100,0000001581,1000,1001,,,26,,,,4.8,1.9,
100,0000000974,1000,3001,,,12,,,,9.5,5.5,
100,0000000393,2000,3000,,,23,,,,11.6,7.8,
100,0000000870,3000,2000,,,1,,,,9.4,4.2,
100,0000000956,1000,1002,,,15,,,,4.2,9.1,
100,0000000555,4000,3000,,,15,,,,7.3,8.7,
100,0000001696,1000,5000,,,6,,,,8.7,3.6,
100,0000001786,2000,5001,,,24,,,,9.1,7.3,
100,0000001922,1000,5001,,,26,,,,13.9,0.9,
100,0000000158,4000,3000,,,7,,,,12.5,0.4,
100,0000000895,1000,1002,,,8,,,,14.0,1.1,
100,0000000655,1000,5000,,,13,,,,1.1,3.5,
100,0000001313,5000,5000,,,23,,,,7.7,7.9,
100,0000000154,2000,5000,,,25,,,,4.0,5.5,
100,0000000223,5000,3000,,,18,,,,13.9,0.8,
100,0000000480,3000,5000,,,18,,,,5.6,8.3,
100,0000000065,3000,1000,,,25,,,,15.1,7.1,
100,0000000834,3000,1000,,,21,,,,10.8,0.6,
100,0000000525,3000,5001,,,28,,,,6.5,3.6,
100,0000000819,5000,1001,,,3,,,,9.2,6.3,
100,0000000547,4000,1001,,,13,,,,5.4,7.7,
100,0000001323,4000,3001,,,23,,,,8.7,2.2,
100,0000001367,1000,1000,,,13,,,,10.4,5.6,
100,0000000323,3000,2001,,,12,,,,8.0,8.2,
100,0000001130,5000,3000,,,10,,,,6.6,4.4,
100,0000001767,1000,2001,,,27,,,,18.5,1.6,
