MANDT,KUNNR,BUKRS,AKONT,ZTERM,WAERS,ZUAWA,BEGRU,ALTKN,REPRF
100,0000000674,2000,093420,0001,USD,001,,,X
100,0000000462,3000,237466,0003,AUD,002,0003,,
100,0000000063,5000,472768,0001,BRL,003,0002,,
100,0000001979,3000,690072,0003,CHF,001,0003,,X
100,0000000917,4000,517571,NT90,AUD,002,0002,,X
100,0000001233,5000,757133,0002,GBP,002,0003,,X
100,0000000387,2000,272956,NT60,CHF,001,0002,,X
100,0000001759,4000,235567,NT30,BRL,001,,,X
100,0000001524,4000,039956,NT90,BRL,002,0002,,
100,0000000604,2000,669146,NT90,EUR,003,0003,,
100,0000000970,1000,257453,0001,EUR,003,0002,,X
100,0000000070,3000,397414,0001,EUR,003,0001,,X
100,0000000896,3000,257647,0002,AUD,003,,,
100,0000000603,3000,841328,0002,EUR,003,0001,,
100,0000000091,2000,225675,NT60,GBP,002,0003,,
100,0000000102,2000,762184,0002,GBP,002,,,X
100,0000000862,5000,716031,2/10NET30,AUD,003,0001,,
100,0000000841,5000,554352,NT60,KRW,001,,,
100,0000000038,4000,649323,NT60,GBP,001,0001,,
100,0000000974,1000,603205,0002,USD,002,0001,,
100,0000001401,4000,839767,0003,USD,003,0003,,X
100,0000000209,5000,869351,NT30,USD,002,0002,,X
100,0000000699,4000,337785,NT30,EUR,003,0002,,
100,0000001696,5000,402247,NT30,USD,003,0002,,X
100,0000000538,2000,123687,0002,GBP,002,0003,,
100,0000000084,1000,643118,NT30,USD,003,,,
100,0000001617,5000,413058,2/10NET30,JPY,002,,,
100,0000000270,2000,750612,NT30,JPY,001,0003,,
100,0000001592,2000,252774,0002,CHF,001,,,
100,0000000149,5000,679484,0001,JPY,001,0002,,X
100,0000001793,2000,944520,0003,EUR,002,0003,,
100,0000000663,4000,037759,NT30,CNY,002,,,X
100,0000000327,1000,884762,2/10NET30,JPY,002,0002,,X
100,0000001625,1000,759987,2/10NET30,KRW,001,0002,,
100,0000001614,3000,893050,2/10NET30,JPY,001,0001,,X
100,0000000575,3000,365637,NT60,EUR,001,0002,,
100,0000001848,2000,967917,NT90,CHF,001,0002,,
100,0000001453,3000,987841,2/10NET30,CHF,003,0002,,
100,0000000378,2000,616358,2/10NET30,AUD,002,0001,,X
100,0000001606,4000,642635,2/10NET30,GBP,003,0003,,X
100,0000001980,1000,939098,2/10NET30,EUR,001,0003,,
100,0000001333,5000,713050,0003,JPY,002,0001,,
100,0000000527,3000,301904,NT90,CNY,001,0001,,X
200,0000000986,5000,029425,NT90,CAD,001,0003,,
100,0000001977,4000,635165,2/10NET30,CHF,001,0001,,
100,0000000261,5000,087979,NT30,BRL,003,0003,,X
100,0000000573,1000,135402,NT90,EUR,002,0002,,
100,0000000624,2000,076576,NT90,USD,002,0003,,X
100,0000000232,3000,571558,NT30,JPY,003,0002,,X
100,0000001345,4000,209277,NT30,GBP,001,0001,,X
100,0000000925,4000,010206,0003,USD,003,0001,,
100,0000000504,4000,834801,NT60,CHF,002,0002,,
100,0000000299,1000,093492,2/10NET30,KRW,003,,,X
100,0000000271,1000,335883,0003,KRW,001,0001,,
100,0000000690,4000,963617,0002,KRW,003,,,
100,0000000322,5000,250412,NT90,CNY,003,0001,,X
100,0000000584,3000,487110,0001,GBP,001,0003,,X
100,0000000243,4000,456338,NT30,CAD,002,0002,,X
100,0000001657,4000,099715,0003,USD,001,0003,,X
100,0000001127,5000,058725,0002,GBP,001,0003,,X
100,0000001836,4000,599009,NT60,BRL,002,0002,,X
100,0000000968,3000,866245,2/10NET30,EUR,003,0003,,
100,0000001563,4000,508126,NT60,CNY,002,,,
100,0000001008,2000,533225,0001,KRW,003,0003,,
100,0000000066,2000,857633,0002,KRW,002,,,
100,0000000583,3000,504253,NT60,BRL,003,0002,,X
100,0000001742,1000,328549,0002,KRW,003,,,X
100,0000001181,3000,744547,NT60,EUR,003,0003,,X
100,0000000743,3000,559739,NT90,BRL,003,0003,,
100,0000001002,4000,128329,NT30,EUR,002,,,X
100,0000001305,3000,434062,0001,KRW,001,0003,,
100,0000000416,5000,336803,NT90,CHF,002,0003,,X
100,0000001058,2000,325579,NT90,JPY,002,,,X
100,0000000683,2000,441168,NT90,JPY,003,0001,,
100,0000001315,4000,789641,0001,KRW,003,,,
100,0000000034,3000,988800,NT90,USD,003,0002,,X
100,0000001571,1000,583973,0001,EUR,002,0001,,
100,0000001019,2000,996270,NT60,CNY,002,,,X
100,0000000834,4000,444468,0002,CNY,002,0002,,
100,0000001964,4000,044661,NT60,CNY,001,,,X
100,0000000246,4000,032188,2/10NET30,CNY,001,0002,,X
100,0000000048,5000,059214,0001,GBP,001,0001,,
100,0000001691,5000,344897,0003,CNY,001,0003,,X
100,0000000300,2000,256342,0002,EUR,003,0003,,X
100,0000001265,3000,793884,NT30,CAD,001,0003,,
100,0000001423,4000,244218,0003,BRL,001,0002,,X
100,0000001855,1000,004383,0002,CAD,002,,,X
100,0000000571,3000,013622,0002,USD,001,0002,,X
100,0000001478,1000,917261,NT30,JPY,001,,,
100,0000001620,4000,702779,0002,CHF,003,0002,,
100,0000001561,3000,855929,0003,USD,002,0002,,
100,0000000079,3000,149394,NT30,CNY,002,,,X
100,0000001378,4000,888258,NT90,AUD,001,0002,,
100,0000001262,2000,922593,NT60,JPY,002,0002,,X
100,0000001643,2000,212153,0002,EUR,003,0001,,
100,0000000053,1000,810781,NT90,CAD,002,0002,,X
100,0000001190,4000,564590,0002,GBP,001,0002,,
100,0000001438,4000,159044,0002,AUD,003,,,X
100,0000001828,2000,369334,NT60,AUD,003,0001,,
100,0000001364,1000,578830,NT90,CHF,002,0002,,X
100,0000001960,2000,829546,0003,CAD,002,0002,,X
100,0000001351,4000,540428,0002,GBP,003,0003,,X
100,0000001521,2000,381111,NT30,CAD,003,0003,,X
100,0000001474,2000,480756,0003,USD,001,0002,,
100,0000001274,2000,732441,0002,EUR,003,0003,,
100,0000001167,3000,411794,0002,USD,002,0003,,X
100,0000000709,2000,929838,NT30,CHF,002,0003,,
100,0000000902,3000,571310,NT60,EUR,003,0001,,X
100,0000001375,3000,988151,NT90,CHF,001,,,
100,0000000082,1000,185691,0001,GBP,003,0002,,
100,0000001427,1000,413943,NT90,CAD,003,0002,,
100,0000000972,1000,607936,0002,JPY,003,,,X
100,0000000598,5000,044485,2/10NET30,GBP,003,0002,,
100,0000001985,2000,898396,0001,AUD,001,0001,,
100,0000000196,3000,802374,NT90,CNY,002,0002,,
100,0000000935,4000,137149,0002,GBP,002,0003,,
100,0000000392,1000,473971,NT30,KRW,002,0001,,
100,0000000394,3000,063644,NT90,AUD,003,0003,,X
100,0000000541,4000,482336,2/10NET30,EUR,003,,,
100,0000001227,1000,855405,NT60,KRW,001,0002,,
100,0000001239,4000,375860,NT90,JPY,001,0003,,X
100,0000000364,5000,695281,NT60,USD,003,0003,,X
100,0000001906,3000,914936,NT30,CNY,001,0002,,X
100,0000000387,2000,060586,2/10NET30,CAD,001,0001,,
100,0000001600,5000,829161,NT90,BRL,001,,,X
100,0000000933,3000,932049,NT90,CHF,002,0001,,
100,0000001066,1000,515392,NT90,JPY,003,,,X
100,0000000177,2000,232729,0001,AUD,002,0001,,X
100,0000000075,4000,070057,0002,USD,003,0003,,
100,0000001645,4000,254366,0003,CNY,001,0001,,
100,0000000392,2000,674491,0002,AUD,001,0001,,X
100,0000000952,2000,698512,NT30,CAD,003,,,
100,0000000399,2000,626662,0002,EUR,003,0003,,
100,0000001128,4000,493165,NT60,CAD,001,0003,,
100,0000000504,3000,816046,0002,GBP,001,0002,,
100,0000000458,1000,341226,NT30,AUD,002,0001,,X
100,0000000124,2000,302603,NT90,KRW,002,0003,,
100,0000000026,4000,935082,NT30,JPY,003,0001,,X
100,0000001928,2000,791388,NT90,CAD,002,0001,,X
100,0000000538,1000,003428,0003,CNY,001,0003,,X
100,0000000576,2000,526485,NT90,EUR,001,0001,,
100,0000001253,2000,400101,NT30,CHF,002,,,
100,0000000011,4000,863436,NT90,USD,003,0001,,
100,0000001955,5000,357642,2/10NET30,CNY,002,0003,,
100,0000001172,4000,559200,0003,CAD,003,0003,,
100,0000001167,3000,543946,0002,GBP,001,0003,,
100,0000000883,5000,254057,NT30,CNY,001,,,X
100,0000001326,3000,845539,0003,AUD,003,0002,,
100,0000000969,5000,600895,NT60,BRL,002,,,X
100,0000001965,5000,753116,0002,GBP,002,,,X
100,0000001267,3000,827340,NT30,CHF,001,0001,,X
100,0000001842,2000,452858,NT90,USD,003,0001,,
100,0000000879,1000,532979,0003,CHF,003,0003,,
100,0000001320,2000,040930,NT90,JPY,001,0003,,
100,0000000123,3000,888457,NT90,EUR,001,0001,,
100,0000000741,4000,898712,NT30,CHF,001,0002,,
100,0000001053,1000,154864,0003,CNY,003,,,
100,0000000402,3000,146216,0002,JPY,003,0001,,X
100,0000000353,2000,965474,NT90,BRL,003,,,
100,0000001817,5000,755396,2/10NET30,CNY,001,0002,,X
100,0000001337,2000,058429,2/10NET30,AUD,001,0001,,X
100,0000001438,4000,953452,NT60,JPY,002,0002,,
100,0000001548,3000,248236,NT60,AUD,002,,,X
100,0000001252,1000,024806,NT60,JPY,003,,,X
100,0000001582,4000,551461,NT60,USD,002,0002,,
100,0000001697,1000,997465,NT90,CNY,001,,,X
100,0000001682,1000,050680,NT60,CHF,002,0001,,
100,0000001778,2000,617202,2/10NET30,JPY,001,0002,,
100,0000001890,5000,507910,NT30,GBP,003,,,
100,0000001460,1000,401030,NT60,CHF,001,0002,,
100,0000001114,2000,964527,0002,JPY,001,0003,,X
100,0000001194,2000,459125,0002,GBP,001,0002,,
100,0000000129,1000,001783,NT90,EUR,001,0001,,
100,0000000311,4000,331896,2/10NET30,BRL,003,,,
100,0000001392,3000,780464,NT60,USD,002,0003,,X
100,0000001132,4000,102266,0001,KRW,003,0003,,
100,0000000767,1000,540970,0003,USD,002,,,
100,0000001654,4000,235662,NT60,AUD,002,0001,,
100,0000001090,2000,755558,2/10NET30,CHF,002,0003,,X
100,0000000238,4000,401459,0002,BRL,002,0001,,X
100,0000000166,2000,314035,0001,CHF,001,0003,,
100,0000000526,1000,888139,NT60,GBP,003,0003,,
100,0000001256,1000,281323,2/10NET30,CHF,001,0002,,
100,0000000143,1000,313301,2/10NET30,BRL,002,0003,,
100,0000000348,3000,439163,NT30,GBP,001,0002,,X
100,0000000167,1000,550268,NT60,BRL,002,0002,,X
100,0000000804,2000,820409,2/10NET30,JPY,002,0002,,X
100,0000000249,4000,051811,0003,BRL,003,0003,,X
100,0000000516,1000,560944,0001,CHF,001,0002,,
100,0000001833,4000,544343,0001,JPY,003,0003,,X
100,0000001847,4000,075751,0003,GBP,003,0003,,X
100,0000001764,3000,678405,NT30,AUD,002,,,X
100,0000001753,1000,561118,NT30,JPY,002,,,X
100,0000001718,1000,081488,0001,KRW,002,0003,,
100,0000001706,5000,984667,0002,JPY,003,,,X
100,0000001798,5000,712866,0002,CHF,001,0003,,X
100,0000001434,5000,744526,0003,CAD,001,0002,,
100,0000001258,1000,107847,2/10NET30,BRL,001,0002,,X
100,0000000465,4000,433504,2/10NET30,GBP,001,0003,,X
100,0000001218,4000,711436,2/10NET30,GBP,003,0001,,X
100,0000001455,2000,227171,0003,CAD,001,0001,,X
100,0000000053,1000,477076,0002,JPY,003,,,X
100,0000000914,2000,337550,2/10NET30,JPY,001,0001,,X
100,0000000677,3000,839977,0002,GBP,002,0001,,X
100,0000000697,4000,119022,NT60,JPY,003,0003,,
100,0000001300,4000,997832,NT90,EUR,002,0002,,X
100,0000001544,5000,158583,NT90,CAD,001,0001,,X
100,0000000710,1000,330680,NT60,USD,002,0002,,
