MANDT,LIFNR,BUKRS,PERNR,ALTKN,BEGRU,ZUAWA,AKONT,ALTKT,ALTKN2,ZTERM,WAERS,FDGRP,REPRF,TOGRP,LNRZE,LNRZB,ZINDT,ZINRT,DATLZ,ALTKZ,MINDK,INTAD,KVERM,BUSAB,UBBZG,EXPKK,ABSBE,ZFBDT,SKFOR,SKNTO,MANDT_OVERRIDE
100,0000000025,3000,,,0002,001,763509,,,0003,GBP,,X,,,,,,,,,,,lD,,,,,,,
100,0000000269,1000,,,0001,001,510388,,,2/10NET30,BRL,,,,,,,,,,,,,YX,,,,,,,
100,0000001542,5000,,,0002,002,474659,,,0002,KRW,,,,,,,,,,,,,Rf,,,,,,,
100,0000000394,4000,,,,002,282887,,,0001,CNY,,,,,,,,,,,,,Nx,,,,,,,
100,0000000024,2000,,,0003,001,954123,,,NT90,CHF,,X,,,,,,,,,,,Ns,,,,,,,
100,0000001340,2000,,,0002,003,682604,,,0001,JPY,,,,,,,,,,,,,pP,,,,,,,
100,0000001515,3000,,,0001,001,247072,,,NT90,AUD,,,,,,,,,,,,,zA,,,,,,,
100,0000000413,3000,,,,002,041427,,,2/10NET30,CAD,,X,,,,,,,,,,,Zl,,,,,,,
100,0000001912,4000,,,,001,771139,,,0003,CNY,,X,,,,,,,,,,,GS,,,,,,,
100,0000001940,1000,,,0001,001,979787,,,NT90,CAD,,X,,,,,,,,,,,sA,,,,,,,
100,0000000071,2000,,,0003,003,126891,,,NT60,AUD,,X,,,,,,,,,,,wJ,,,,,,,
100,0000000815,3000,,,,002,833050,,,0001,CHF,,,,,,,,,,,,,cp,,,,,,,
100,0000000763,4000,,,0002,001,920589,,,NT60,CNY,,X,,,,,,,,,,,Qf,,,,,,,
100,0000001248,1000,,,0002,001,360388,,,NT90,CNY,,X,,,,,,,,,,,Uy,,,,,,,
100,0000001247,5000,,,0001,002,767942,,,0001,AUD,,X,,,,,,,,,,,dT,,,,,,,
100,0000001179,5000,,,0001,002,457404,,,0002,AUD,,,,,,,,,,,,,kd,,,,,,,
100,0000001210,4000,,,,003,460746,,,NT60,CHF,,,,,,,,,,,,,nb,,,,,,,
100,0000000895,1000,,,0003,002,752529,,,NT90,AUD,,,,,,,,,,,,,qY,,,,,,,
100,0000000637,4000,,,0002,002,443774,,,0003,AUD,,,,,,,,,,,,,eZ,,,,,,,
100,0000001828,5000,,,0001,002,947348,,,NT60,GBP,,X,,,,,,,,,,,nb,,,,,,,
100,0000000298,1000,,,0002,001,880944,,,NT60,USD,,,,,,,,,,,,,IR,,,,,,,
100,0000000721,3000,,,0003,001,410492,,,0003,AUD,,X,,,,,,,,,,,MY,,,,,,,
100,0000000800,4000,,,0001,003,268911,,,0001,BRL,,X,,,,,,,,,,,KR,,,,,,,
100,0000000221,4000,,,,001,856775,,,NT90,CHF,,,,,,,,,,,,,fT,,,,,,,
100,0000000114,3000,,,0003,002,062325,,,0003,CAD,,,,,,,,,,,,,TB,,,,,,,
100,0000001627,2000,,,0002,001,989618,,,NT60,USD,,,,,,,,,,,,,Pf,,,,,,,
100,0000000654,5000,,,0002,001,525881,,,0003,AUD,,,,,,,,,,,,,WS,,,,,,,
100,0000001579,4000,,,0003,003,272576,,,0001,USD,,X,,,,,,,,,,,Ju,,,,,,,
100,0000000143,5000,,,0002,003,976289,,,2/10NET30,EUR,,X,,,,,,,,,,,sh,,,,,,,
100,0000000320,4000,,,0003,003,359067,,,0001,CHF,,X,,,,,,,,,,,IO,,,,,,,
100,0000000711,1000,,,0003,003,563882,,,NT60,AUD,,X,,,,,,,,,,,LR,,,,,,,
100,0000000323,5000,,,0001,001,146468,,,0003,CNY,,X,,,,,,,,,,,rR,,,,,,,
100,0000000351,3000,,,0003,001,297600,,,NT30,USD,,X,,,,,,,,,,,Yu,,,,,,,
100,0000001276,1000,,,0003,001,578291,,,NT90,CNY,,,,,,,,,,,,,hW,,,,,,,
100,0000000632,4000,,,0003,003,300913,,,0002,AUD,,X,,,,,,,,,,,MS,,,,,,,
100,0000001150,1000,,,0002,002,173631,,,NT30,CNY,,,,,,,,,,,,,vt,,,,,,,
100,0000000885,5000,,,0003,003,987231,,,0003,CAD,,X,,,,,,,,,,,lo,,,,,,,
100,0000001210,1000,,,,003,715106,,,NT30,CHF,,X,,,,,,,,,,,Ct,,,,,,,
100,0000000923,3000,,,0001,001,349989,,,0002,KRW,,X,,,,,,,,,,,ou,,,,,,,
100,0000001270,4000,,,0001,001,666625,,,0001,USD,,X,,,,,,,,,,,ZZ,,,,,,,
100,0000001844,1000,,,0001,002,536786,,,NT30,USD,,,,,,,,,,,,,Fo,,,,,,,
100,0000001457,5000,,,,001,145875,,,NT90,AUD,,,,,,,,,,,,,IO,,,,,,,
100,0000001046,2000,,,0001,003,374919,,,0001,AUD,,X,,,,,,,,,,,wS,,,,,,,
100,0000000096,2000,,,0001,001,790391,,,NT60,AUD,,,,,,,,,,,,,HG,,,,,,,
100,0000001391,1000,,,0003,003,711431,,,NT30,GBP,,X,,,,,,,,,,,gn,,,,,,,
100,0000001882,4000,,,,003,014057,,,NT30,EUR,,,,,,,,,,,,,rC,,,,,,,
100,0000000890,3000,,,0001,002,292409,,,0001,CAD,,,,,,,,,,,,,Pu,,,,,,,
100,0000000546,5000,,,0003,003,910372,,,NT90,CNY,,,,,,,,,,,,,nk,,,,,,,
100,0000000545,3000,,,,002,089923,,,0003,USD,,,,,,,,,,,,,Ge,,,,,,,
100,0000001746,5000,,,0003,003,398624,,,NT30,CNY,,,,,,,,,,,,,ml,,,,,,,
100,0000000219,3000,,,,002,901988,,,0002,AUD,,,,,,,,,,,,,fk,,,,,,,
100,0000001927,1000,,,0003,001,640890,,,0003,CHF,,,,,,,,,,,,,al,,,,,,,
100,0000000189,5000,,,0001,001,482779,,,0002,GBP,,X,,,,,,,,,,,xF,,,,,,,
100,0000000778,1000,,,0003,003,963791,,,NT60,CAD,,X,,,,,,,,,,,Nw,,,,,,,
100,0000001736,2000,,,0003,003,942361,,,0003,CHF,,,,,,,,,,,,,kx,,,,,,,
100,0000001530,4000,,,0003,001,501402,,,NT30,EUR,,,,,,,,,,,,,xb,,,,,,,
100,0000001337,5000,,,,001,675774,,,2/10NET30,CNY,,X,,,,,,,,,,,bZ,,,,,,,
100,0000000620,3000,,,0002,002,981932,,,0002,JPY,,,,,,,,,,,,,yq,,,,,,,
100,0000000024,3000,,,0002,001,381376,,,0002,CHF,,,,,,,,,,,,,wq,,,,,,,
100,0000000373,2000,,,0001,002,910487,,,0003,CNY,,X,,,,,,,,,,,oZ,,,,,,,
100,0000000202,3000,,,,002,923377,,,0001,CNY,,,,,,,,,,,,,kt,,,,,,,
100,0000000318,3000,,,0001,002,194860,,,NT90,BRL,,X,,,,,,,,,,,fh,,,,,,,
100,0000000141,4000,,,,002,448789,,,0002,AUD,,X,,,,,,,,,,,Tl,,,,,,,
100,0000000494,2000,,,0001,002,017698,,,0001,USD,,X,,,,,,,,,,,aD,,,,,,,
100,0000001773,5000,,,0003,002,127041,,,2/10NET30,JPY,,X,,,,,,,,,,,mf,,,,,,,
100,0000001257,4000,,,0001,003,118981,,,2/10NET30,BRL,,X,,,,,,,,,,,go,,,,,,,
100,0000001772,2000,,,0002,001,907570,,,NT90,CHF,,,,,,,,,,,,,Lh,,,,,,,
100,0000001770,3000,,,,003,594866,,,NT90,CHF,,X,,,,,,,,,,,fR,,,,,,,
100,0000001643,5000,,,,001,973767,,,0003,CAD,,,,,,,,,,,,,dA,,,,,,,
100,0000001195,4000,,,0001,003,701408,,,NT90,KRW,,,,,,,,,,,,,TH,,,,,,,
100,0000000670,1000,,,0001,002,771285,,,0002,KRW,,,,,,,,,,,,,ef,,,,,,,
100,0000000968,1000,,,0002,002,584695,,,2/10NET30,USD,,,,,,,,,,,,,YL,,,,,,,
100,0000001623,5000,,,0002,002,994114,,,0003,CAD,,X,,,,,,,,,,,mz,,,,,,,
100,0000000501,3000,,,,002,307146,,,NT30,EUR,,,,,,,,,,,,,Hd,,,,,,,
100,0000000394,3000,,,0001,002,356454,,,NT60,KRW,,,,,,,,,,,,,kM,,,,,,,
100,0000001518,2000,,,0002,002,604429,,,NT30,KRW,,X,,,,,,,,,,,gG,,,,,,,
100,0000001272,4000,,,0001,002,991108,,,NT30,EUR,,X,,,,,,,,,,,gJ,,,,,,,
100,0000001943,3000,,,0001,002,391585,,,2/10NET30,CAD,,,,,,,,,,,,,Fn,,,,,,,
100,0000001232,4000,,,0003,001,139257,,,0002,CAD,,,,,,,,,,,,,ef,,,,,,,
100,0000001532,3000,,,,001,068147,,,0003,GBP,,,,,,,,,,,,,rX,,,,,,,
100,0000001842,1000,,,0001,001,849685,,,NT90,EUR,,X,,,,,,,,,,,mz,,,,,,,
100,0000001585,5000,,,0003,003,893252,,,0003,BRL,,X,,,,,,,,,,,hE,,,,,,,
100,0000000172,1000,,,0003,001,596936,,,NT90,GBP,,,,,,,,,,,,,ey,,,,,,,
100,0000001611,2000,,,,001,581122,,,0002,CNY,,,,,,,,,,,,,nk,,,,,,,
100,0000000303,4000,,,,001,501917,,,NT60,USD,,,,,,,,,,,,,XO,,,,,,,
100,0000000054,5000,,,0003,003,556129,,,NT90,USD,,X,,,,,,,,,,,io,,,,,,,
100,0000001860,1000,,,0002,003,026366,,,NT90,EUR,,,,,,,,,,,,,DH,,,,,,,
100,0000000466,5000,,,0003,003,535930,,,NT60,CAD,,X,,,,,,,,,,,ya,,,,,,,
100,0000001828,2000,,,0002,002,367974,,,NT30,BRL,,,,,,,,,,,,,LF,,,,,,,
100,0000001461,1000,,,0003,003,233327,,,0003,BRL,,X,,,,,,,,,,,Mt,,,,,,,
100,0000000153,5000,,,0001,002,296647,,,0002,CAD,,X,,,,,,,,,,,eL,,,,,,,
100,0000001975,3000,,,,002,582993,,,0001,BRL,,X,,,,,,,,,,,Ly,,,,,,,
100,0000001039,2000,,,0002,002,644556,,,2/10NET30,USD,,,,,,,,,,,,,st,,,,,,,
100,0000001850,1000,,,,003,734205,,,0001,AUD,,,,,,,,,,,,,BF,,,,,,,
100,0000000122,4000,,,0003,003,552810,,,2/10NET30,CAD,,,,,,,,,,,,,fU,,,,,,,
100,0000000553,5000,,,0003,002,432282,,,NT90,GBP,,X,,,,,,,,,,,qo,,,,,,,
100,0000000506,5000,,,0003,002,246498,,,NT30,KRW,,,,,,,,,,,,,tD,,,,,,,
100,0000001120,2000,,,,003,137247,,,0002,USD,,,,,,,,,,,,,jB,,,,,,,
100,0000000563,2000,,,0003,003,067994,,,0001,AUD,,,,,,,,,,,,,io,,,,,,,
100,0000001159,4000,,,0002,001,132409,,,0003,GBP,,,,,,,,,,,,,sl,,,,,,,
100,0000001929,2000,,,0002,002,150518,,,NT60,JPY,,,,,,,,,,,,,Cs,,,,,,,
100,0000000048,3000,,,,003,319166,,,0002,CAD,,,,,,,,,,,,,Yh,,,,,,,
100,0000000979,5000,,,0001,003,877689,,,0001,CAD,,X,,,,,,,,,,,gf,,,,,,,
100,0000001274,5000,,,0002,001,006670,,,2/10NET30,KRW,,X,,,,,,,,,,,GH,,,,,,,
100,0000000992,1000,,,0003,003,649309,,,NT30,JPY,,X,,,,,,,,,,,ti,,,,,,,
100,0000001612,2000,,,0001,002,893305,,,2/10NET30,GBP,,X,,,,,,,,,,,EV,,,,,,,
100,0000001640,3000,,,0002,002,638866,,,NT60,EUR,,X,,,,,,,,,,,SA,,,,,,,
100,0000000631,1000,,,0001,001,864408,,,NT90,CAD,,X,,,,,,,,,,,NN,,,,,,,
100,0000001079,3000,,,0001,002,057252,,,0002,USD,,X,,,,,,,,,,,ev,,,,,,,
100,0000001250,4000,,,,003,796534,,,0001,USD,,,,,,,,,,,,,rw,,,,,,,
100,0000001182,2000,,,0001,002,157058,,,0003,USD,,,,,,,,,,,,,bi,,,,,,,
100,0000000929,2000,,,,001,265849,,,NT60,GBP,,,,,,,,,,,,,qG,,,,,,,
100,0000000149,3000,,,,002,693170,,,NT60,CAD,,,,,,,,,,,,,LG,,,,,,,
100,0000001447,1000,,,0001,001,445323,,,0001,JPY,,X,,,,,,,,,,,GD,,,,,,,
100,0000000335,1000,,,0002,003,350466,,,NT30,JPY,,X,,,,,,,,,,,rS,,,,,,,
100,0000000654,3000,,,0001,001,489869,,,2/10NET30,BRL,,X,,,,,,,,,,,dp,,,,,,,
100,0000000533,4000,,,0001,003,526707,,,0003,USD,,,,,,,,,,,,,OK,,,,,,,
100,0000000014,2000,,,0003,001,857714,,,NT30,CNY,,X,,,,,,,,,,,VS,,,,,,,
100,0000000240,5000,,,0001,002,025418,,,NT30,JPY,,,,,,,,,,,,,nF,,,,,,,
100,0000001430,2000,,,0001,002,438697,,,0003,USD,,X,,,,,,,,,,,hI,,,,,,,
100,0000000075,4000,,,0003,003,809835,,,0002,JPY,,X,,,,,,,,,,,RV,,,,,,,
100,0000000384,5000,,,0002,001,744581,,,0001,CNY,,X,,,,,,,,,,,pw,,,,,,,
100,0000001678,4000,,,,001,985250,,,0001,CAD,,X,,,,,,,,,,,uw,,,,,,,
100,0000001350,3000,,,0003,001,734608,,,0003,CNY,,,,,,,,,,,,,hE,,,,,,,
100,0000001674,2000,,,0001,001,750546,,,0002,CHF,,,,,,,,,,,,,zG,,,,,,,
100,0000000831,2000,,,,002,030337,,,NT90,GBP,,,,,,,,,,,,,Sp,,,,,,,
100,0000001884,5000,,,,001,035663,,,NT30,KRW,,X,,,,,,,,,,,Es,,,,,,,
100,0000001129,1000,,,0002,001,023504,,,0002,AUD,,,,,,,,,,,,,to,,,,,,,
100,0000001456,5000,,,0001,002,165529,,,NT30,KRW,,,,,,,,,,,,,Wn,,,,,,,
100,0000001037,3000,,,,003,433234,,,0001,AUD,,,,,,,,,,,,,CP,,,,,,,
100,0000001265,2000,,,0002,002,655352,,,NT60,JPY,,,,,,,,,,,,,tB,,,,,,,
100,0000001512,5000,,,0002,002,530443,,,NT60,CHF,,X,,,,,,,,,,,TF,,,,,,,
100,0000000269,3000,,,0003,001,197554,,,0002,EUR,,X,,,,,,,,,,,Gi,,,,,,,
100,0000000243,3000,,,0001,003,785735,,,NT30,CNY,,X,,,,,,,,,,,lQ,,,,,,,
100,0000001810,5000,,,0001,001,904558,,,NT90,JPY,,X,,,,,,,,,,,Cj,,,,,,,
100,0000001073,3000,,,0003,001,618620,,,NT60,GBP,,X,,,,,,,,,,,bE,,,,,,,
