MANDT,EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,WAERS,WKURS,KUFIX,BEDAT,KDATB,KDATE,KDATV,ABGRU,AUTLF,WEAKT,MEMORY,KZABS,RLWRT,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,MWSKZ,IHREZ,VERKF,EXNUM,UNSEZ,INCO1,INCO2,KONNR,KTPNR,ABTYP,WGLIF,KNUMV
100,0200000017,5000,FO,0000001253,1000,945,USD,1.66096,,20150124,,20260406,,,X,X,,,,NT30,13,14,31,0.1,0.1,,,,,,CIF,,,,,,6123045980
100,0200000018,2000,UB,0000001522,1000,375,USD,1.9772,,20150124,,20231209,,,X,X,,,,0001,21,26,26,1.8,1.9,,,,,,EXW,,,,,,6179472899
100,0200000018,1000,FO,0000000576,1000,947,USD,1.84921,,20150124,,20210810,,,,,,,,NT90,11,9,33,2.5,1.0,V3,,,,,CIF,,,,,,0802583398
100,0200000019,5000,FO,0000000535,2000,760,USD,0.52713,,20150124,,20250724,,,,,,,,NT60,27,5,90,2.9,0.9,,,,,,CIP,,,,,,0714133900
100,0200000020,5000,ZB,0000000112,1000,464,USD,1.73266,,20150124,,20230619,,,X,X,,,,NT90,11,52,75,1.2,1.4,,,,,,DDP,,,,,,1175024293
100,0200000022,1000,NB,0000000466,2000,242,USD,1.92985,,20150129,,20210710,,,X,,,,,NT90,7,30,6,2.6,1.0,V3,,,,,EXW,,,,,,9526079155
100,0200000023,5000,FO,0000001154,2000,420,USD,1.15334,,20150131,,20260202,,,X,X,,,,2/10NET30,27,48,62,0.9,0.4,,,,,,EXW,,,,,,2549354484
100,0200000025,3000,ZB,0000000704,3000,384,USD,1.7417,,20150204,,20230223,,,,X,,,,2/10NET30,8,54,20,2.7,0.2,V1,,,,,CFR,,,,,,3394531810
100,0200000026,2000,NB,0000001992,2000,446,USD,1.59801,,20150204,,20220808,,,,,,,,NT30,7,57,57,2.2,1.8,V1,,,,,DAT,,,,,,3689151018
100,0200000027,3000,UB,0000000281,3000,004,USD,1.97801,,20150204,,20250504,,,X,X,,,,NT30,9,37,22,2.6,1.7,V1,,,,,EXW,,,,,,8451811605
100,0200000029,4000,ZB,0000000866,3000,944,USD,1.66572,,20150204,,20251209,,,X,X,,,,NT60,28,50,2,2.2,2.0,V1,,,,,DAP,,,,,,3353599870
100,0200000029,4000,NB,0000001172,3000,288,USD,1.99853,,20150204,,20220523,,,,X,,,,0003,4,32,39,2.2,1.7,V3,,,,,FCA,,,,,,4743139083
100,0200000030,2000,ZB,0000000608,2000,058,USD,0.55984,,20150206,,20230604,,,,,,,,0001,27,38,26,0.5,0.5,V1,,,,,CIF,,,,,,7144014078
100,0200000031,5000,FO,0000000495,3000,149,USD,1.30605,,20150209,,20240811,,,,X,,,,NT60,9,57,16,2.8,1.1,,,,,,EXW,,,,,,7041967477
100,0200000032,5000,ZB,0000001786,2000,068,USD,1.76682,,20150211,,20260617,,,X,X,,,,0001,21,46,53,1.4,0.9,V3,,,,,FCA,,,,,,5808449782
100,0200000033,5000,NB,0000001738,1000,796,USD,0.8748,,20150213,,20220708,,,X,X,,,,0003,14,9,73,2.9,1.6,V1,,,,,CPT,,,,,,2304541278
100,0200000035,1000,ZB,0000001225,2000,131,USD,1.04463,,20150215,,20211103,,,X,X,,,,NT30,23,0,0,1.6,0.4,V1,,,,,DAT,,,,,,8646591179
100,0200000036,1000,NB,0000001770,2000,478,USD,0.5382,,20150217,,20220927,,,,,,,,NT30,1,5,85,1.9,0.6,,,,,,CFR,,,,,,1667911727
100,0200000040,1000,ZB,0000001130,1000,090,USD,1.34164,,20150225,,20250206,,,X,X,,,,0003,28,46,59,0.2,0.5,V1,,,,,CFR,,,,,,5529915669
100,0200000041,2000,NB,0000000883,2000,863,USD,0.76905,,20150225,,20251108,,,,,,,,NT30,26,12,67,1.6,1.2,,,,,,DDP,,,,,,1335897341
100,0200000042,3000,NB,0000001477,1000,284,USD,1.11651,,20150225,,20240825,,,X,,,,,NT90,15,24,65,1.1,1.0,V1,,,,,CFR,,,,,,9571053663
100,0200000042,3000,NB,0000001866,1000,956,USD,1.9705,,20150225,,20250101,,,,X,,,,NT30,30,59,67,0.6,1.0,V1,,,,,CFR,,,,,,3325930896
100,0200000043,2000,UB,0000000489,2000,724,USD,1.77779,,20150227,,20260103,,,,,,,,0003,19,41,46,1.6,1.4,V3,,,,,CFR,,,,,,0727139827
100,0200000044,3000,UB,0000001586,3000,501,USD,1.41045,,20150227,,20250710,,,,,,,,NT90,17,3,5,0.6,1.9,V1,,,,,EXW,,,,,,1215859659
100,0200000044,2000,NB,0000000590,3000,285,USD,0.98614,,20150227,,20250819,,,,,,,,0002,17,16,45,1.2,0.6,,,,,,CFR,,,,,,2730731064
100,0200000048,5000,ZB,0000000668,1000,154,USD,1.93242,,20150307,,20221221,,,X,X,,,,0001,3,28,7,1.4,0.7,V2,,,,,CIP,,,,,,7485166717
100,0200000048,2000,UB,0000000349,1000,411,USD,1.03421,,20150307,,20220813,,,X,X,,,,NT30,2,19,58,2.3,0.8,V3,,,,,DDP,,,,,,7419970948
100,0200000049,5000,NB,0000001521,1000,111,USD,1.40791,,20150308,,20230529,,,,X,,,,NT30,5,8,49,0.1,1.8,V1,,,,,CPT,,,,,,5595589928
100,0200000049,1000,UB,0000000600,1000,225,USD,1.56067,,20150308,,20230917,,,,X,,,,NT90,13,45,34,1.3,1.1,V3,,,,,CPT,,,,,,9518223294
100,0200000050,5000,NB,0000000358,2000,019,USD,1.79936,,20150310,,20230307,,,,X,,,,NT30,7,28,38,0.6,1.0,,,,,,CFR,,,,,,7944869911
100,0200000052,3000,UB,0000001518,3000,821,USD,1.60634,,20150313,,20250414,,,,,,,,NT60,9,27,71,2.9,1.3,,,,,,CPT,,,,,,2034417500
100,0200000053,3000,NB,0000000942,3000,160,USD,1.44448,,20150314,,20250904,,,,,,,,2/10NET30,16,44,80,2.6,1.5,,,,,,FOB,,,,,,7370893261
100,0200000053,4000,NB,0000001520,3000,832,USD,1.26832,,20150314,,20260213,,,,X,,,,0003,6,30,52,0.5,1.7,V1,,,,,FOB,,,,,,6690534276
100,0200000054,1000,NB,0000000754,1000,333,USD,0.62767,,20150316,,20260315,,,X,,,,,0001,23,21,24,3.0,0.9,,,,,,FOB,,,,,,2115822115
100,0200000054,1000,ZB,0000000687,1000,598,USD,1.24945,,20150316,,20231225,,,X,,,,,NT90,19,53,53,0.1,0.5,V1,,,,,CFR,,,,,,9232285332
100,0200000055,3000,ZB,0000000759,2000,910,USD,1.24964,,20150317,,20241023,,,X,X,,,,NT30,20,8,42,1.8,0.8,V1,,,,,DAT,,,,,,4839320711
100,0200000056,4000,FO,0000000837,3000,879,USD,0.57265,,20150320,,20260409,,,X,X,,,,0002,7,21,60,0.4,0.1,V2,,,,,CIF,,,,,,7543352040
100,0200000057,2000,ZB,0000000825,3000,100,USD,0.99251,,20150320,,20250120,,,,X,,,,NT30,8,17,65,1.7,1.5,V3,,,,,EXW,,,,,,3960740198
100,0200000059,2000,ZB,0000000783,3000,469,USD,1.96769,,20150325,,20230419,,,X,X,,,,0003,16,58,34,2.5,0.8,V2,,,,,CIP,,,,,,0520172452
100,0200000060,1000,NB,0000001462,3000,027,USD,1.75412,,20150325,,20211124,,,,,,,,2/10NET30,29,2,41,1.3,0.0,V1,,,,,CIF,,,,,,0364590255
100,0200000060,5000,ZB,0000000529,3000,885,USD,1.96564,,20150325,,20250510,,,,,,,,0003,25,10,62,2.7,1.5,V2,,,,,FOB,,,,,,4177017604
100,0200000062,4000,FO,0000001332,2000,545,USD,1.11983,,20150328,,20240220,,,,X,,,,0002,13,19,9,1.0,1.8,,,,,,EXW,,,,,,4668656199
100,0200000062,3000,NB,0000001620,2000,016,USD,1.96264,,20150328,,20250612,,,X,X,,,,2/10NET30,11,10,14,2.8,1.7,V1,,,,,CFR,,,,,,1952509197
100,0200000064,3000,ZB,0000000274,2000,915,USD,1.80898,,20150331,,20230909,,,X,X,,,,NT30,1,44,11,0.6,0.5,V2,,,,,FCA,,,,,,7658268120
100,0200000065,5000,UB,0000001351,3000,810,USD,0.7614,,20150401,,20250327,,,,,,,,0001,25,25,41,0.4,0.8,V2,,,,,CIF,,,,,,1334190815
100,0200000066,2000,ZB,0000000385,1000,561,USD,1.4866,,20150404,,20221218,,,X,X,,,,NT30,30,51,27,2.2,2.0,V1,,,,,DDP,,,,,,6707476321
100,0200000068,3000,FO,0000000419,3000,415,USD,0.91934,,20150409,,20220810,,,,X,,,,2/10NET30,27,4,48,2.6,0.8,V3,,,,,EXW,,,,,,7826684412
100,0200000069,3000,UB,0000000399,1000,602,USD,0.6304,,20150409,,20230509,,,X,X,,,,2/10NET30,26,50,89,0.7,1.8,,,,,,FCA,,,,,,8408450638
100,0200000069,4000,ZB,0000001447,1000,059,USD,1.18701,,20150409,,20220108,,,,X,,,,NT30,16,49,70,2.8,1.5,V1,,,,,DDP,,,,,,1557859414
100,0200000070,4000,UB,0000000876,2000,226,USD,0.64518,,20150409,,20220808,,,,X,,,,0002,17,19,24,1.8,0.8,V1,,,,,EXW,,,,,,5227050914
100,0200000070,3000,ZB,0000000108,2000,275,USD,0.89483,,20150409,,20260404,,,,,,,,NT30,11,38,35,0.9,0.4,V3,,,,,CIF,,,,,,2509335530
100,0200000071,2000,NB,0000001163,3000,263,USD,1.26771,,20150412,,20240105,,,X,,,,,NT60,27,1,85,0.1,1.9,V3,,,,,EXW,,,,,,6822611677
100,0200000071,2000,NB,0000000452,3000,977,USD,1.2374,,20150412,,20240805,,,,,,,,0002,7,49,74,0.7,1.7,V2,,,,,CPT,,,,,,5955096510
100,0200000072,3000,NB,0000000171,2000,041,USD,0.52164,,20150413,,20241027,,,X,,,,,0002,0,48,60,1.8,1.7,V1,,,,,CFR,,,,,,8868545075
100,0200000072,1000,ZB,0000000419,2000,253,USD,1.27191,,20150413,,20220720,,,,,,,,NT60,12,18,83,0.2,1.6,,,,,,CIP,,,,,,0133036620
100,0200000073,5000,FO,0000000373,2000,012,USD,1.59746,,20150413,,20260419,,,X,X,,,,0001,7,23,42,0.6,0.7,,,,,,DAP,,,,,,6960326284
100,0200000074,5000,UB,0000000556,1000,048,USD,1.89766,,20150415,,20210822,,,X,X,,,,2/10NET30,23,39,37,2.0,0.5,V1,,,,,EXW,,,,,,7173929637
100,0200000075,1000,NB,0000000869,1000,558,USD,1.08256,,20150417,,20240806,,,X,X,,,,2/10NET30,4,32,47,1.2,0.9,V1,,,,,EXW,,,,,,8067749089
100,0200000075,5000,ZB,0000001552,1000,018,USD,0.54667,,20150417,,20221103,,,,X,,,,2/10NET30,6,17,76,2.4,0.1,V3,,,,,DDP,,,,,,5836531597
100,0200000075,4000,ZB,0000001061,1000,937,USD,1.71751,,20150417,,20230616,,,X,,,,,NT30,15,48,43,1.2,1.0,V3,,,,,CIP,,,,,,9271546205
100,0200000077,1000,FO,0000001707,2000,333,USD,1.38851,,20150420,,20250808,,,X,X,,,,NT30,11,9,36,0.6,1.1,V3,,,,,CPT,,,,,,4669165855
100,0200000078,2000,ZB,0000000939,2000,689,USD,0.67438,,20150423,,20250929,,,,,,,,NT90,4,23,72,1.7,0.0,V2,,,,,DAT,,,,,,5825296672
100,0200000078,1000,FO,0000000120,2000,190,USD,1.26792,,20150423,,20231125,,,X,X,,,,0001,11,5,75,2.7,1.8,V3,,,,,DAT,,,,,,3670495476
100,0200000078,4000,NB,0000000274,2000,976,USD,0.54877,,20150423,,20221231,,,X,X,,,,0001,5,14,75,0.7,0.1,V1,,,,,CIF,,,,,,9656213109
100,0200000079,3000,UB,0000001111,3000,481,USD,1.98633,,20150425,,20230802,,,X,,,,,2/10NET30,22,48,18,0.2,0.9,,,,,,DAP,,,,,,9301518758
100,0200000080,2000,FO,0000001179,1000,652,USD,1.19506,,20150428,,20220222,,,,,,,,2/10NET30,27,27,11,2.4,0.2,V1,,,,,CIF,,,,,,1453218364
100,0200000080,3000,NB,0000001464,1000,647,USD,1.96193,,20150428,,20230504,,,X,,,,,2/10NET30,24,40,78,2.6,0.4,V3,,,,,CIF,,,,,,3320970414
100,0200000080,4000,UB,0000000415,1000,765,USD,0.62649,,20150428,,20230128,,,X,,,,,NT60,15,15,67,2.7,0.2,V3,,,,,DAP,,,,,,3601141142
100,0200000083,5000,NB,0000001984,1000,104,USD,0.78738,,20150503,,20231204,,,,,,,,NT60,10,12,35,1.2,0.2,V1,,,,,FCA,,,,,,3888295001
100,0200000083,1000,NB,0000001995,1000,292,USD,0.50109,,20150503,,20240823,,,,X,,,,2/10NET30,11,5,27,1.6,2.0,V3,,,,,CPT,,,,,,1201147573
100,0200000087,4000,FO,0000001822,2000,023,USD,1.71194,,20150508,,20250102,,,,,,,,NT90,6,52,16,1.6,1.0,V1,,,,,EXW,,,,,,4588593923
100,0200000087,3000,NB,0000001469,2000,847,USD,1.15983,,20150508,,20250417,,,X,X,,,,0002,18,28,43,2.5,0.9,,,,,,EXW,,,,,,2572926824
100,0200000089,2000,NB,0000000747,1000,162,USD,1.13601,,20150510,,20250731,,,X,X,,,,NT60,29,40,20,1.5,1.2,V3,,,,,DDP,,,,,,5794668607
100,0200000089,3000,FO,0000000539,1000,643,USD,0.93449,,20150510,,20260423,,,,,,,,NT90,14,10,29,1.8,1.6,V1,,,,,CIF,,,,,,2246592175
100,0200000089,5000,NB,0000000559,1000,801,USD,1.97129,,20150510,,20250904,,,X,,,,,2/10NET30,18,1,44,2.4,0.2,,,,,,CPT,,,,,,9305651835
100,0200000090,3000,NB,0000000317,2000,688,USD,1.66096,,20150512,,20250128,,,X,X,,,,NT60,30,16,40,0.3,0.4,,,,,,DAP,,,,,,5259119386
100,0200000092,2000,UB,0000000199,1000,554,USD,0.94401,,20150518,,20251127,,,,X,,,,NT60,22,47,63,2.4,0.9,V1,,,,,CFR,,,,,,9511936564
100,0200000093,5000,UB,0000000805,3000,970,USD,0.59813,,20150520,,20250227,,,,X,,,,2/10NET30,12,52,74,1.9,1.2,V3,,,,,CFR,,,,,,2973042943
100,0200000094,5000,UB,0000001234,3000,206,USD,0.57156,,20150523,,20240922,,,,X,,,,NT90,1,3,10,2.9,1.9,V3,,,,,DAP,,,,,,1573604610
100,0200000095,1000,UB,0000001966,1000,117,USD,1.75117,,20150526,,20251123,,,X,,,,,0001,4,59,11,2.7,1.8,,,,,,FOB,,,,,,0428776225
100,0200000096,5000,ZB,0000000433,3000,939,USD,1.7554,,20150529,,20250211,,,X,X,,,,NT90,15,22,84,2.9,0.4,,,,,,DAT,,,,,,0911970902
100,0200000097,3000,FO,0000000107,2000,310,USD,1.59311,,20150531,,20260512,,,,X,,,,0002,24,40,76,3.0,0.7,,,,,,FOB,,,,,,7519675773
100,0200000098,4000,ZB,0000001074,2000,724,USD,1.19287,,20150603,,20210908,,,X,,,,,0003,5,48,46,2.9,0.9,,,,,,EXW,,,,,,2808926942
100,0200000099,5000,UB,0000000296,2000,015,USD,0.72605,,20150606,,20260125,,,X,X,,,,0002,28,53,43,0.0,0.4,V1,,,,,CFR,,,,,,9092995216
100,0200000100,3000,NB,0000001074,2000,484,USD,1.54417,,20150608,,20250724,,,,,,,,0003,25,17,25,0.4,0.2,V2,,,,,DAP,,,,,,3777835478
100,0200000101,3000,FO,0000001685,1000,799,USD,1.25588,,20150610,,20260622,,,,,,,,2/10NET30,21,2,25,0.6,0.7,V2,,,,,FOB,,,,,,1794291864
100,0200000103,3000,NB,0000000968,3000,504,USD,1.57635,,20150612,,20240401,,,X,X,,,,0001,30,43,88,1.2,1.0,V1,,,,,CFR,,,,,,6069553065
100,0200000103,4000,FO,0000000770,3000,157,USD,1.58949,,20150612,,20221206,,,X,X,,,,NT30,22,17,27,2.8,1.0,V2,,,,,EXW,,,,,,1503809767
100,0200000104,5000,ZB,0000000613,2000,596,USD,0.54762,,20150615,,20240328,,,,X,,,,NT60,1,55,71,0.0,1.5,V2,,,,,DAT,,,,,,0418240154
100,0200000104,2000,FO,0000001191,2000,915,USD,0.54825,,20150615,,20230721,,,,X,,,,0001,15,41,82,1.0,0.1,,,,,,DAP,,,,,,6900010780
100,0200000106,1000,NB,0000000129,3000,184,USD,1.43142,,20150618,,20230601,,,,,,,,NT30,30,55,45,0.8,1.7,V1,,,,,CFR,,,,,,9217482418
100,0200000107,4000,UB,0000001004,2000,722,USD,1.50725,,20150618,,20231204,,,,X,,,,2/10NET30,23,6,78,2.4,1.4,V1,,,,,DAT,,,,,,2498607715
100,0200000107,5000,UB,0000000800,2000,206,USD,0.6696,,20150618,,20211101,,,X,X,,,,0001,2,49,39,1.9,0.4,V1,,,,,EXW,,,,,,3868924724
100,0200000109,1000,UB,0000000496,1000,128,USD,1.04372,,20150621,,20230813,,,X,,,,,0001,0,12,47,2.1,1.6,V2,,,,,EXW,,,,,,0000820555
100,0200000110,4000,NB,0000000373,3000,409,USD,1.40299,,20150621,,20260126,,,,X,,,,0003,26,33,70,2.0,1.4,,,,,,CPT,,,,,,4035223942
100,0200000110,2000,ZB,0000001691,3000,376,USD,1.36978,,20150621,,20240927,,,X,,,,,NT90,24,24,5,3.0,1.0,,,,,,DDP,,,,,,4759030534
100,0200000112,2000,ZB,0000000579,2000,513,USD,1.46722,,20150624,,20231025,,,X,,,,,0003,5,38,3,0.8,1.7,,,,,,DAT,,,,,,0331042234
100,0200000112,5000,ZB,0000000948,2000,830,USD,1.82229,,20150624,,20230415,,,,,,,,NT90,15,27,36,1.2,0.5,V1,,,,,EXW,,,,,,3413221030
100,0200000113,4000,NB,0000001745,2000,031,USD,1.06265,,20150627,,20210817,,,,,,,,NT60,19,0,62,2.6,0.7,V1,,,,,DAT,,,,,,3190250809
100,0200000116,4000,ZB,0000000161,2000,094,USD,0.94156,,20150702,,20250202,,,X,,,,,0002,21,36,70,0.7,0.6,V1,,,,,DDP,,,,,,4934939816
100,0200000117,4000,FO,0000000463,2000,376,USD,1.24972,,20150703,,20250705,,,X,X,,,,NT30,16,38,45,0.8,0.0,V1,,,,,EXW,,,,,,2272136782
100,0200000118,3000,UB,0000001639,1000,592,USD,1.05743,,20150704,,20220606,,,,X,,,,0001,23,56,86,2.5,1.2,V3,,,,,CIP,,,,,,0759301057
100,0200000118,5000,NB,0000000410,1000,456,USD,1.56237,,20150704,,20220213,,,X,,,,,0003,20,0,85,0.5,0.2,V2,,,,,FOB,,,,,,4711879285
100,0200000119,5000,UB,0000000329,1000,200,USD,1.54112,,20150706,,20240511,,,X,,,,,2/10NET30,11,13,38,2.3,1.5,V3,,,,,FCA,,,,,,1576065256
100,0200000119,2000,FO,0000001101,1000,639,USD,1.62399,,20150706,,20240313,,,,,,,,NT60,15,28,42,1.0,1.3,V3,,,,,CIF,,,,,,7453905627
100,0200000119,1000,NB,0000000931,1000,490,USD,0.60966,,20150706,,20241216,,,,X,,,,NT90,23,40,1,1.2,1.4,V3,,,,,CFR,,,,,,6559491071
100,0200000119,3000,ZB,0000001023,1000,217,USD,1.76627,,20150706,,20260116,,,X,,,,,NT60,13,21,72,1.2,1.3,,,,,,EXW,,,,,,9064814737
100,0200000121,5000,FO,0000001754,2000,126,USD,1.12115,,20150710,,20230425,,,X,X,,,,0001,23,39,21,0.8,0.5,V1,,,,,DAP,,,,,,4670840418
100,0200000123,3000,UB,0000001451,1000,612,USD,0.53515,,20150715,,20250914,,,X,,,,,0002,23,32,17,0.8,0.4,V3,,,,,EXW,,,,,,7614842551
100,0200000125,5000,UB,0000000049,3000,539,USD,0.76806,,20150716,,20230816,,,X,,,,,0002,2,52,89,2.1,0.8,V3,,,,,CIP,,,,,,9176078543
100,0200000126,3000,UB,0000000327,3000,300,USD,1.21281,,20150719,,20230212,,,,,,,,NT60,2,15,14,0.8,1.4,V1,,,,,FOB,,,,,,6709552081
100,0200000126,3000,FO,0000000147,3000,421,USD,0.81098,,20150719,,20260227,,,X,X,,,,0003,5,11,9,1.2,0.4,,,,,,DDP,,,,,,5051728192
100,0200000126,3000,FO,0000000630,3000,817,USD,1.32948,,20150719,,20250118,,,,X,,,,NT30,6,16,64,1.4,0.2,V3,,,,,FCA,,,,,,9154193766
100,0200000127,3000,UB,0000000070,2000,259,USD,1.38728,,20150719,,20260309,,,,X,,,,0003,16,57,41,1.3,1.6,V2,,,,,FOB,,,,,,9658310629
100,0200000129,5000,FO,0000000633,2000,824,USD,1.81179,,20150723,,20240617,,,X,,,,,NT90,12,55,72,0.2,1.5,,,,,,CFR,,,,,,7487206952
100,0200000129,3000,NB,0000001698,2000,015,USD,1.5535,,20150723,,20250825,,,X,,,,,0001,30,7,19,1.2,1.7,V3,,,,,DAT,,,,,,9194976182
100,0200000132,2000,ZB,0000001025,1000,785,USD,1.05059,,20150728,,20221015,,,,X,,,,0001,18,6,48,0.8,1.8,,,,,,CIP,,,,,,3668371946
100,0200000133,5000,ZB,0000001290,2000,742,USD,0.89429,,20150731,,20210804,,,,X,,,,NT90,17,4,27,1.8,1.8,,,,,,DAT,,,,,,7883431238
100,0200000133,5000,UB,0000001682,2000,499,USD,1.9154,,20150731,,20231003,,,X,,,,,NT90,22,59,10,2.7,0.9,,,,,,DAT,,,,,,9761351184
100,0200000134,4000,NB,0000001881,3000,622,USD,0.69799,,20150801,,20260523,,,,,,,,0003,24,58,0,0.6,1.0,V1,,,,,CIP,,,,,,3444969963
100,0200000136,5000,FO,0000001499,2000,515,USD,1.56298,,20150806,,20251207,,,,,,,,0003,26,7,50,2.7,0.6,V3,,,,,EXW,,,,,,8686708341
100,0200000136,5000,UB,0000001835,2000,855,USD,0.72352,,20150806,,20220430,,,X,X,,,,2/10NET30,16,11,83,1.6,0.2,,,,,,FOB,,,,,,9091973997
100,0200000137,4000,NB,0000001670,2000,108,USD,1.72133,,20150808,,20230902,,,,X,,,,NT60,26,33,14,2.0,1.8,,,,,,DAP,,,,,,6759710091
100,0200000137,2000,UB,0000000627,2000,290,USD,0.51135,,20150808,,20230204,,,X,X,,,,NT60,19,33,28,3.0,1.3,,,,,,CIF,,,,,,0083612786
100,0200000138,3000,NB,0000001325,1000,042,USD,1.55464,,20150811,,20240723,,,,,,,,NT60,21,1,54,0.3,0.4,V2,,,,,CIP,,,,,,3106846947
100,0200000138,3000,FO,0000001627,1000,978,USD,1.43287,,20150811,,20210810,,,X,,,,,NT90,26,14,27,2.8,0.8,V3,,,,,DAT,,,,,,8073791801
100,0200000139,3000,ZB,0000000071,1000,819,USD,1.87163,,20150813,,20240305,,,,,,,,0002,18,23,68,1.6,1.0,V2,,,,,FCA,,,,,,2426564917
100,0200000139,2000,UB,0000001966,1000,019,USD,0.60786,,20150813,,20240407,,,,X,,,,0001,19,35,47,2.2,0.6,V2,,,,,DDP,,,,,,8599568242
100,0200000141,1000,UB,0000001080,2000,299,USD,0.55662,,20150819,,20240920,,,,X,,,,2/10NET30,1,38,24,2.9,0.6,V3,,,,,CIF,,,,,,2053962844
100,0200000141,2000,ZB,0000001078,2000,539,USD,0.71557,,20150819,,20240428,,,,,,,,0002,18,23,27,2.0,1.1,,,,,,CPT,,,,,,1676305400
100,0200000142,3000,FO,0000000399,1000,753,USD,0.95693,,20150821,,20220618,,,X,X,,,,NT30,4,17,72,1.8,0.6,V2,,,,,CPT,,,,,,0716688991
100,0200000142,3000,UB,0000000507,1000,442,USD,0.98541,,20150821,,20240916,,,,X,,,,NT30,19,57,12,0.5,1.2,V3,,,,,CFR,,,,,,7991500521
100,0200000143,4000,FO,0000001773,2000,620,USD,1.87703,,20150824,,20210627,,,,,,,,NT60,23,27,62,3.0,1.4,V3,,,,,CFR,,,,,,5949920621
100,0200000144,5000,UB,0000001832,2000,487,USD,1.99542,,20150825,,20210829,,,,X,,,,NT90,3,25,86,0.2,0.4,V3,,,,,FOB,,,,,,6814280474
100,0200000147,5000,UB,0000001802,2000,006,USD,1.1433,,20150826,,20250113,,,X,X,,,,NT30,6,19,88,2.7,0.9,V3,,,,,CIF,,,,,,4872991215
100,0200000147,5000,FO,0000001894,2000,556,USD,1.35175,,20150826,,20250902,,,,X,,,,NT60,21,60,45,3.0,0.0,,,,,,DDP,,,,,,9678542416
100,0200000149,4000,UB,0000000225,3000,351,USD,0.51724,,20150829,,20241213,,,X,X,,,,NT90,10,49,73,1.8,0.4,V3,,,,,FOB,,,,,,8609618977
100,0200000149,3000,NB,0000001600,3000,305,USD,1.77464,,20150829,,20230113,,,X,X,,,,0002,1,37,2,1.7,1.3,V2,,,,,FCA,,,,,,0055454786
100,0200000150,4000,UB,0000001576,1000,910,USD,1.47667,,20150901,,20240718,,,X,X,,,,0002,20,21,49,2.8,0.3,V2,,,,,DDP,,,,,,5579003569
100,0200000151,4000,NB,0000000549,1000,517,USD,1.54916,,20150904,,20220516,,,X,,,,,0003,17,26,66,1.8,1.9,V1,,,,,DAT,,,,,,2376217430
100,0200000151,1000,ZB,0000001589,1000,185,USD,1.49857,,20150904,,20230603,,,X,,,,,0001,10,41,42,2.6,0.9,V1,,,,,DAP,,,,,,7719248277
100,0200000153,2000,ZB,0000001114,1000,520,USD,0.63361,,20150906,,20260427,,,X,,,,,NT90,29,47,88,2.8,1.2,V3,,,,,CIP,,,,,,5120265861
100,0200000155,2000,ZB,0000001038,2000,602,USD,1.339,,20150912,,20221022,,,X,,,,,NT60,4,60,42,0.3,0.6,,,,,,CPT,,,,,,0920326617
