MANDT,MATNR,WERKS,PSTAT,LVORM,BWTTY,XCHAR,MMSTA,MMSTD,MAABC,KZKRI,EKGRP,DISMM,DISPO,DISLS,BERID,BSTMI,MINBE,EISBE,MABST,STRGR,LGPRO,LGFSB,HERKL,INSMK,SSQSS,MTVFP,KZAUS,AUSDT,NFMAT,MFLHN,KZBED,LGPBE,LGOBE,INSMK2
100,MAT0001460,4000,,,,,,,A,,625,VB,soL,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000513,4000,,,,,,,C,,853,MRP,zOm,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000983,3000,,,,,,,,,121,,Nmo,,,,,,,,,,,,,,,,,,,,,
100,MAT0001760,1002,,,,,,,A,,018,,Vbh,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000354,1002,,,,,,,C,,829,,YYj,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000208,3001,,,,,,,,,616,,Mnz,,,,,,,,,,,,,,,,,,,,,
100,MAT0001376,2000,,,,,,,B,,956,PD,Xpo,,,,,,,,,,,,,,,,,,,,,
100,MAT0000037,2001,,,,,,,C,,300,PD,UIl,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001416,5001,,,,,,,A,,166,,ywz,,,,,,,,,,,,,,,,,,,,,
100,MAT0001910,3001,,,,,,,B,,457,VB,CjM,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000261,3001,,,,,,,A,,485,PD,zQB,,,,,,,,,,,,,,,,,,,,,
100,MAT0001650,1002,,,,,,,B,,922,VB,bNL,,,,,,,,,,,,,,,,,,,,,
100,MAT0001589,1002,,,,,,,,,554,PD,Cuy,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000689,3001,,,,,,,C,,775,PD,GJe,,,,,,,,,,,,,,,,,,,,,
100,MZ-FG-C990,2001,,,,,,,B,,020,PD,ILb,,,,,,,,,,,,,,,,,,,,,
100,MAT0001026,2001,,,,,,,,,025,,Srx,,,,,,,,,,,,,,,,,,,,,
100,MAT0000651,3000,,,,,,,C,,766,,TUY,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000266,1000,,,,,,,C,,749,MRP,HYt,,,,,,,,,,,,,,,,,,,,,
100,MAT0001946,5001,,,,,,,,,259,PD,VHU,,,,,,,,,,,,,,,,,,,,,
100,MAT0000835,1002,,,,,,,A,,190,VB,MEj,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001217,1002,,,,,,,C,,829,PD,Yrz,,,,,,,,,,,,,,,,,,,,,
100,MAT0000386,1001,,,,,,,A,,978,PD,rnD,,,,,,,,,,,,,,,,,,,,,
100,MAT0001719,5000,,,,,,,A,,611,PD,GGE,,,,,,,,,,,,,,,,,,,,,
100,MAT0001895,5000,,,,,,,C,,041,VB,RmJ,,,,,,,,,,,,,,,,,,,,,
100,MAT0000738,2001,,,,,,,C,,912,,mYN,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000238,1001,,,,,,,,,663,,prk,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000007,1002,,,,,,,A,,097,,jqz,,,,,,,,,,,,,,,,,,,,,
100,MAT0000391,3000,,,,,,,B,,005,MRP,ZAg,,,,,,,,,,,,,,,,,,,,,
100,MAT0000328,1001,,,,,,,A,,949,PD,CAF,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001025,2000,,,,,,,B,,373,VB,GHa,,,,,,,,,,,,,,,,,,,,,
100,MAT0001121,5001,,,,,,,C,,147,PD,VfY,,,,,,,,,,,,,,,,,,,,,
100,MAT0001203,5000,,,,,,,B,,409,,iul,,,,,,,,,,,,,,,,,,,,,
100,MAT0001148,3001,,,,,,,,,536,MRP,uic,,,,,,,,,,,,,,,,,,,,,
100,MAT0001823,5001,,,,,,,A,,143,,NUf,,,,,,,,,,,,,,,,,,,,,
100,MAT0001912,5000,,,,,,,A,,140,PD,wYh,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001670,1002,,,,,,,,,497,,Ygd,,,,,,,,,,,,,,,,,,,,,
100,MAT0001241,3000,,,,,,,B,,877,PD,BoB,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001101,5001,,,,,,,,,547,VB,Vbf,,,,,,,,,,,X,,,,,,,,,,
100,M-01,4000,,,,,,,C,,766,,jRW,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001510,2001,,,,,,,,,261,MRP,dMB,,,,,,,,,,,,,,,,,,,,,
100,MAT0000192,2000,,,,,,,C,,100,PD,DkI,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000009,5001,,,,,,,C,,098,VB,yFZ,,,,,,,,,,,,,,,,,,,,,
100,MAT0001806,3001,,,,,,,B,,292,VB,hjp,,,,,,,,,,,,,,,,,,,,,
100,MAT0000795,5001,,,,,,,,,441,MRP,kbQ,,,,,,,,,,,,,,,,,,,,,
100,MAT0001696,1001,,,,,,,,,268,PD,nLw,,,,,,,,,,,,,,,,,,,,,
100,MAT0001808,3000,,,,,,,A,,937,VB,vci,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000809,5001,,,,,,,,,620,VB,kBw,,,,,,,,,,,,,,,,,,,,,
100,MAT0001363,2000,,,,,,,A,,146,,Hib,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001307,5001,,,,,,,B,,056,PD,FXB,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001508,4000,,,,,,,C,,239,,laC,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001653,1000,,,,,,,B,,639,PD,wgi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001358,3001,,,,,,,C,,059,MRP,rDR,,,,,,,,,,,,,,,,,,,,,
100,MAT0000351,5001,,,,,,,A,,351,VB,Uyy,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000775,4000,,,,,,,B,,802,VB,zYW,,,,,,,,,,,,,,,,,,,,,
100,MAT0000522,3000,,,,,,,A,,775,MRP,yXK,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000696,1001,,,,,,,C,,848,,KwT,,,,,,,,,,,,,,,,,,,,,
100,MAT0001891,3000,,,,,,,A,,043,VB,GmJ,,,,,,,,,,,,,,,,,,,,,
100,MAT0001478,2000,,,,,,,B,,795,VB,vEW,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000464,5000,,,,,,,,,313,VB,DUJ,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000612,5001,,,,,,,A,,315,PD,PyV,,,,,,,,,,,,,,,,,,,,,
100,MAT0000902,3000,,,,,,,A,,867,PD,UNV,,,,,,,,,,,,,,,,,,,,,
100,MAT0001560,1000,,,,,,,,,432,MRP,UWn,,,,,,,,,,,,,,,,,,,,,
100,MAT0000262,1000,,,,,,,,,155,,GKD,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001294,5001,,,,,,,,,161,PD,dio,,,,,,,,,,,,,,,,,,,,,
100,MAT0000725,5001,,,,,,,A,,592,PD,TOe,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000730,1001,,,,,,,C,,900,,OJI,,,,,,,,,,,,,,,,,,,,,
100,MAT0000168,2000,,,,,,,B,,514,MRP,Glf,,,,,,,,,,,,,,,,,,,,,
100,MAT0001209,5001,,,,,,,B,,763,VB,izq,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000886,2000,,,,,,,A,,623,MRP,ztr,,,,,,,,,,,X,,,,,,,,,,
100,MZ-TG-E202,5001,,,,,,,A,,866,,Obi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001510,3000,,,,,,,C,,395,MRP,Ctd,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000323,1002,,,,,,,B,,013,,lWT,,,,,,,,,,,,,,,,,,,,,
100,MAT0000628,5000,,,,,,,C,,129,VB,dpc,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001913,2001,,,,,,,B,,245,MRP,Apl,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000081,1002,,,,,,,,,137,,hjz,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001094,5001,,,,,,,,,884,PD,ksZ,,,,,,,,,,,,,,,,,,,,,
100,MAT0000772,5000,,,,,,,C,,967,VB,NBk,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000714,3001,,,,,,,B,,324,,Tqp,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001331,1002,,,,,,,C,,420,PD,GUK,,,,,,,,,,,,,,,,,,,,,
100,MAT0001165,1002,,,,,,,A,,136,MRP,boM,,,,,,,,,,,,,,,,,,,,,
100,MAT0000819,3001,,,,,,,B,,498,,FPC,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001670,2000,,,,,,,C,,195,MRP,ouA,,,,,,,,,,,,,,,,,,,,,
100,MAT0000564,1000,,,,,,,B,,739,MRP,azp,,,,,,,,,,,,,,,,,,,,,
100,MAT0001672,1001,,,,,,,,,289,VB,yBl,,,,,,,,,,,,,,,,,,,,,
100,MAT0001761,1001,,,,,,,A,,469,VB,JBp,,,,,,,,,,,,,,,,,,,,,
100,MAT0000281,5000,,,,,,,A,,849,VB,nEg,,,,,,,,,,,,,,,,,,,,,
100,MAT0001348,5001,,,,,,,C,,499,MRP,mPy,,,,,,,,,,,,,,,,,,,,,
100,MAT0000418,2001,,,,,,,C,,504,,Pzf,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001098,2000,,,,,,,B,,220,PD,aUU,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000643,3000,,,,,,,C,,600,MRP,vbj,,,,,,,,,,,,,,,,,,,,,
100,MAT0000915,1000,,,,,,,A,,544,MRP,Fbr,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001490,2001,,,,,,,,,252,,dSG,,,,,,,,,,,,,,,,,,,,,
100,MAT0000598,2000,,,,,,,,,012,,CYz,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001346,3000,,,,,,,A,,975,MRP,Nij,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001919,2001,,,,,,,B,,892,MRP,uhy,,,,,,,,,,,,,,,,,,,,,
100,MAT0000589,1000,,,,,,,B,,060,MRP,CJS,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001706,3000,,,,,,,C,,498,MRP,RIL,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000385,1001,,,,,,,C,,214,MRP,gSi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000673,1002,,,,,,,B,,503,MRP,eeg,,,,,,,,,,,,,,,,,,,,,
100,MAT0000519,5000,,,,,,,,,070,,CSg,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000323,3001,,,,,,,A,,650,PD,hyZ,,,,,,,,,,,,,,,,,,,,,
100,MAT0001625,2001,,,,,,,C,,522,,sZH,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000617,1000,,,,,,,C,,858,MRP,nhR,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001515,2000,,,,,,,A,,562,,mZu,,,,,,,,,,,,,,,,,,,,,
100,MAT0001339,3000,,,,,,,,,123,PD,fOk,,,,,,,,,,,,,,,,,,,,,
100,MAT0000891,4000,,,,,,,A,,017,,wbQ,,,,,,,,,,,,,,,,,,,,,
100,MAT0001714,4000,,,,,,,C,,116,VB,vmP,,,,,,,,,,,,,,,,,,,,,
100,MAT0001665,5000,,,,,,,C,,386,PD,jrR,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000683,5001,,,,,,,B,,367,MRP,Xty,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000186,1001,,,,,,,C,,306,MRP,LaZ,,,,,,,,,,,,,,,,,,,,,
100,MAT0000444,5001,,,,,,,A,,167,,efw,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000319,1002,,,,,,,,,819,MRP,mBn,,,,,,,,,,,,,,,,,,,,,
100,MAT0000354,3001,,,,,,,C,,259,,oVi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000684,3001,,,,,,,,,091,,YJC,,,,,,,,,,,,,,,,,,,,,
100,MAT0000224,3000,,,,,,,A,,340,MRP,SgM,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000292,2001,,,,,,,B,,903,VB,Ksg,,,,,,,,,,,,,,,,,,,,,
100,MAT0001422,2001,,,,,,,,,594,MRP,vLC,,,,,,,,,,,,,,,,,,,,,
100,MAT0000554,5001,,,,,,,C,,645,VB,KXb,,,,,,,,,,,,,,,,,,,,,
100,MAT0000256,4000,,,,,,,C,,188,MRP,Vng,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000004,3000,,,,,,,C,,512,PD,uce,,,,,,,,,,,,,,,,,,,,,
100,MAT0001773,2000,,,,,,,C,,207,VB,mwX,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001716,3000,,,,,,,A,,843,MRP,eTu,,,,,,,,,,,,,,,,,,,,,
100,MAT0000165,2000,,,,,,,A,,869,PD,sYL,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000220,1002,,,,,,,B,,705,MRP,VIz,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000598,1002,,,,,,,B,,952,MRP,JSa,,,,,,,,,,,,,,,,,,,,,
200,MAT0000686,5000,,,,,,,,,515,PD,nhV,,,,,,,,,,,,,,,,,,,,,
200,MAT0000282,1000,,,,,,,,,373,,hZa,,,,,,,,,,,,,,,,,,,,,
100,MAT0001914,1001,,,,,,,,,171,PD,zrM,,,,,,,,,,,,,,,,,,,,,
100,MAT0001096,2000,,,,,,,B,,657,,UBS,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000026,5001,,,,,,,,,612,,zcm,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001296,2001,,,,,,,A,,245,MRP,Acv,,,,,,,,,,,,,,,,,,,,,
100,MAT0001016,3001,,,,,,,B,,416,PD,CiZ,,,,,,,,,,,,,,,,,,,,,
100,MAT0000009,1002,,,,,,,B,,322,VB,Ron,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001115,5001,,,,,,,C,,278,PD,xfp,,,,,,,,,,,,,,,,,,,,,
100,MAT0001871,3000,,,,,,,B,,179,MRP,wUc,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000084,3001,,,,,,,C,,449,PD,FJq,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000746,1000,,,,,,,,,637,VB,Vpn,,,,,,,,,,,,,,,,,,,,,
100,MAT0000957,3001,,,,,,,A,,909,MRP,bNy,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000192,1001,,,,,,,C,,292,MRP,LZk,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001528,1001,,,,,,,B,,175,MRP,mju,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000217,1002,,,,,,,,,404,VB,oJu,,,,,,,,,,,,,,,,,,,,,
100,MAT0000922,3000,,,,,,,,,114,VB,CTs,,,,,,,,,,,,,,,,,,,,,
100,MAT0000485,3001,,,,,,,,,733,MRP,fJe,,,,,,,,,,,,,,,,,,,,,
100,MAT0000864,1001,,,,,,,C,,549,PD,zEY,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000698,1000,,,,,,,,,681,,mWD,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001953,5001,,,,,,,A,,123,,GUe,,,,,,,,,,,,,,,,,,,,,
100,MAT0001211,1000,,,,,,,A,,466,,Rai,,,,,,,,,,,,,,,,,,,,,
100,MAT0001810,3001,,,,,,,A,,175,MRP,Pdo,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000300,3001,,,,,,,A,,152,VB,Lpt,,,,,,,,,,,,,,,,,,,,,
100,MAT0000204,3001,,,,,,,B,,821,,eNs,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000878,1000,,,,,,,A,,191,,CJu,,,,,,,,,,,,,,,,,,,,,
100,MAT0001754,2000,,,,,,,C,,065,,qmT,,,,,,,,,,,,,,,,,,,,,
100,MAT0001677,3000,,,,,,,A,,822,,sWy,,,,,,,,,,,,,,,,,,,,,
100,MAT0000342,3001,,,,,,,A,,657,MRP,kIk,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001642,2001,,,,,,,C,,457,,NeF,,,,,,,,,,,,,,,,,,,,,
100,MAT0001481,1002,,,,,,,B,,801,VB,olF,,,,,,,,,,,,,,,,,,,,,
100,MAT0001003,5001,,,,,,,,,460,MRP,hNp,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000591,2001,,,,,,,A,,212,MRP,FAB,,,,,,,,,,,,,,,,,,,,,
100,MAT0001654,1000,,,,,,,,,137,PD,pWQ,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000709,3000,,,,,,,B,,061,MRP,BEi,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000570,1001,,,,,,,A,,060,MRP,CfO,,,,,,,,,,,,,,,,,,,,,
100,MAT0000535,5001,,,,,,,C,,839,VB,fBB,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000925,2001,,,,,,,A,,956,VB,ynU,,,,,,,,,,,,,,,,,,,,,
100,MAT0001285,5000,,,,,,,,,014,,clb,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001412,2001,,,,,,,,,498,VB,hPb,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000162,1000,,,,,,,A,,997,PD,wTE,,,,,,,,,,,,,,,,,,,,,
100,MAT0000589,1002,,,,,,,B,,879,VB,hyQ,,,,,,,,,,,,,,,,,,,,,
100,MAT0001466,1000,,,,,,,B,,949,VB,PhY,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000089,1000,,,,,,,C,,972,PD,ldr,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000844,4000,,,,,,,,,536,VB,sJt,,,,,,,,,,,,,,,,,,,,,
100,MAT0000064,4000,,,,,,,A,,726,PD,jBA,,,,,,,,,,,,,,,,,,,,,
100,MAT0000610,1001,,,,,,,,,276,VB,bvT,,,,,,,,,,,,,,,,,,,,,
100,MAT0000325,5000,,,,,,,,,739,VB,HQq,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001242,5000,,,,,,,,,694,VB,lNo,,,,,,,,,,,,,,,,,,,,,
100,MAT0001876,2000,,,,,,,B,,021,VB,Fcs,,,,,,,,,,,,,,,,,,,,,
100,MAT0001893,3001,,,,,,,A,,778,,VNo,,,,,,,,,,,X,,,,,,,,,,
100,MZ-FG-M500,4000,,,,,,,,,848,VB,AsP,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000322,4000,,,,,,,A,,817,,HHQ,,,,,,,,,,,,,,,,,,,,,
100,MAT0000639,2001,,,,,,,,,294,PD,Qzi,,,,,,,,,,,,,,,,,,,,,
100,MAT0001429,1002,,,,,,,A,,300,VB,SBq,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001962,1001,,,,,,,,,176,,pay,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001959,2000,,,,,,,C,,910,VB,DFS,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000278,3000,,,,,,,B,,951,PD,YAj,,,,,,,,,,,,,,,,,,,,,
100,MAT0001536,3000,,,,,,,B,,419,PD,lys,,,,,,,,,,,,,,,,,,,,,
100,MAT0001531,5001,,,,,,,A,,078,VB,tgF,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001856,3001,,,,,,,B,,722,PD,VpU,,,,,,,,,,,,,,,,,,,,,
100,MAT0001027,2000,,,,,,,A,,031,MRP,ubB,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000164,1000,,,,,,,C,,172,VB,xwr,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001213,1000,,,,,,,B,,820,MRP,MZz,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000431,3000,,,,,,,C,,098,PD,IwM,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001260,4000,,,,,,,B,,723,,bqd,,,,,,,,,,,,,,,,,,,,,
100,MAT0000718,3001,,,,,,,B,,758,PD,XsM,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000713,5001,,,,,,,B,,050,PD,JUO,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001961,2000,,,,,,,A,,888,PD,xuX,,,,,,,,,,,,,,,,,,,,,
100,MAT0001746,5001,,,,,,,C,,435,MRP,onW,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000132,1001,,,,,,,,,684,PD,MGb,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001248,5001,,,,,,,C,,545,PD,qvm,,,,,,,,,,,,,,,,,,,,,
100,MAT0000923,3001,,,,,,,B,,021,,BpD,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000290,1002,,,,,,,C,,983,VB,LgT,,,,,,,,,,,,,,,,,,,,,
100,MAT0000877,1001,,,,,,,C,,131,MRP,Yti,,,,,,,,,,,,,,,,,,,,,
100,MAT0001168,1002,,,,,,,C,,489,PD,yna,,,,,,,,,,,,,,,,,,,,,
100,MAT0001008,4000,,,,,,,,,979,VB,afo,,,,,,,,,,,,,,,,,,,,,
100,MAT0000524,5001,,,,,,,C,,813,VB,PWW,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000526,1001,,,,,,,C,,830,PD,zfk,,,,,,,,,,,,,,,,,,,,,
100,MAT0001915,5001,,,,,,,A,,668,PD,OhG,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001136,1001,,,,,,,A,,791,PD,QOp,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000229,1001,,,,,,,A,,796,MRP,tyD,,,,,,,,,,,,,,,,,,,,,
100,MAT0000058,1000,,,,,,,A,,699,MRP,rSI,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000685,1001,,,,,,,,,474,PD,vBK,,,,,,,,,,,,,,,,,,,,,
100,MAT0001626,3000,,,,,,,B,,723,MRP,oNS,,,,,,,,,,,,,,,,,,,,,
100,MAT0001790,5001,,,,,,,C,,188,MRP,Jbt,,,,,,,,,,,,,,,,,,,,,
100,MAT0000446,1001,,,,,,,B,,853,VB,haM,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001048,3000,,,,,,,C,,942,MRP,jyt,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000974,2001,,,,,,,A,,152,PD,umd,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001369,3000,,,,,,,,,518,,qgm,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001396,5001,,,,,,,A,,319,VB,gmC,,,,,,,,,,,,,,,,,,,,,
100,MAT0000780,2001,,,,,,,C,,046,,SYs,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001038,1000,,,,,,,C,,244,MRP,roG,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000032,5000,,,,,,,A,,698,VB,CwF,,,,,,,,,,,,,,,,,,,,,
100,MAT0001641,5001,,,,,,,A,,152,MRP,pmi,,,,,,,,,,,,,,,,,,,,,
100,MAT0001294,5001,,,,,,,,,250,MRP,HFP,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000899,5000,,,,,,,,,079,VB,ovy,,,,,,,,,,,,,,,,,,,,,
100,MAT0000918,3000,,,,,,,,,058,MRP,Ckn,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000550,2001,,,,,,,C,,038,PD,Abg,,,,,,,,,,,,,,,,,,,,,
100,MAT0000494,5000,,,,,,,B,,913,PD,ejk,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001704,3001,,,,,,,,,200,MRP,CyM,,,,,,,,,,,,,,,,,,,,,
100,MAT0001746,5001,,,,,,,C,,955,PD,wdm,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000221,1002,,,,,,,B,,481,VB,wtc,,,,,,,,,,,,,,,,,,,,,
100,MAT0001685,2000,,,,,,,C,,136,PD,CBz,,,,,,,,,,,,,,,,,,,,,
100,MAT0000952,1001,,,,,,,,,318,PD,KRI,,,,,,,,,,,,,,,,,,,,,
100,MAT0000465,2001,,,,,,,B,,853,,MOx,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000951,5000,,,,,,,C,,844,,ONw,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000562,2001,,,,,,,C,,287,VB,iIf,,,,,,,,,,,,,,,,,,,,,
100,MAT0000048,3001,,,,,,,A,,597,MRP,tjJ,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000307,4000,,,,,,,A,,853,VB,ARK,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000541,1002,,,,,,,A,,074,MRP,buu,,,,,,,,,,,,,,,,,,,,,
100,MAT0000288,4000,,,,,,,A,,204,MRP,xAN,,,,,,,,,,,,,,,,,,,,,
100,MAT0001733,5000,,,,,,,A,,505,VB,UoB,,,,,,,,,,,,,,,,,,,,,
100,MAT0001963,1001,,,,,,,,,693,PD,vRs,,,,,,,,,,,,,,,,,,,,,
100,MAT0001869,1001,,,,,,,A,,947,PD,PFu,,,,,,,,,,,,,,,,,,,,,
100,MAT0000328,5000,,,,,,,C,,156,,beh,,,,,,,,,,,,,,,,,,,,,
100,MAT0000722,3000,,,,,,,,,319,,Wrr,,,,,,,,,,,X,,,,,,,,,,
100,MAT0001344,4000,,,,,,,A,,311,MRP,wLe,,,,,,,,,,,X,,,,,,,,,,
100,MAT0000899,3001,,,,,,,C,,304,VB,nZU,,,,,,,,,,,X,,,,,,,,,,
