MANDT,MATNR,ERSDA,ERNAM,LAEDA,AENAM,MTART,MBRSH,MATKL,MEINS,BSTME,ZEINR,ZEIVR,ZEIFO,AESZN,BLANZ,FERTH,FORMT,NORMT,LABOR,EKWSL,BRGEW,GEWEI,NTGEW,VOLUM,VOLEH,BEHVO,RAUBE,TEMPB,DISST,TRAGR,STOFF,SPART,VHART,FUELG,IPRKZ,RDPRF,MHDRZ,MHDLP,MHDLF,BWVOR,BWSCL,SAISO,ETIAR,ETIFO,ENTAR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,PRDHA,CADKZ,ERGEW,ERVOLM,WERKS,LMEINS,BRGEW2,GEWEI2
100,MZ-TG-A27,20210603,14,20210603,14,DIEN,F,932605,EA,EA,,,,,,,,,,,7.0,KG,6.3,49.266,CM3,,,,,,,00,,,,,,,,,,,,,,2963656553703,,0.000,0.000,0.000,nan,,,,,3000,,,
100,MZ-TG-E202,20210603,1,20210603,1,FERT,M,882068,EA,EA,,,,,,,,,,,12.1,KG,10.89,71.849,M3,,,,,,,02,,,,,,,,,,,,,,7767034423177,,0.000,0.000,0.000,nan,,,,,2000,,,
100,MZ-TG-SR01,20210603,10,20210603,10,DIEN,C,971955,EA,EA,,,,,,,,,,,13.6,KG,12.24,9.411,M3,,,,,,,04,,,,,,,,,,,,,,2824929081869,,0.000,0.000,0.000,nan,,,,,4000,,,
100,MZ-TG-Y120,20210603,4,20210603,4,FERT,E,074539,EA,EA,,,,,,,,,,,20.1,KG,18.09,44.673,L,,,,,,,00,,,,,,,,,,,,,,8268380384697,,0.000,0.000,0.000,nan,,,,,1001,,,
100,MZ-TG-Y200,20210603,12,20210603,12,FERT,F,710346,EA,EA,,,,,,,,,,,19.3,KG,17.37,63.897,L,,,,,,,04,,,,,,,,,,,,,,3881320811760,,0.000,0.000,0.000,nan,,,,,5000,,,
100,MZ-TG-Y240,20210603,7,20210603,7,FERT,A,799273,EA,EA,,,,,,,,,,,20.5,KG,18.45,79.397,CM3,,,,,,,04,,,,,,,,,,,,,,0660295188519,,0.000,0.000,0.000,nan,,,,,5000,,,
100,TG11,20210603,3,20210603,3,DIEN,A,447697,EA,EA,,,,,,,,,,,11.8,KG,10.62,84.63,L,,,,,,,02,,,,,,,,,,,,,,9832174453662,,0.000,0.000,0.000,nan,,,,,3001,,,
100,MAT0000001,28.09.2017,mark49,20251121,hito,NLAG,E,351341,M3,M3,,,,,,,,,,,204.048,KG,183.643,54.489,CM3,,,,,,,04,,,,,,,,,,,,,,3327590669484,,171.6,111.8,133.6,CM,,,,,2001,,,
100,MAT0000002,20250502,aragaolorenz,20260211,matsumotosho,NLAG,A,161045,EA,EA,,,,,,,,,,,544.258,KG,489.832,87.208,L,,,,,,,04,,,,,,,,,,,,,,1397144001918,,112.1,144.1,13.0,IN,,,,,4000,,,
100,MAT0000003,20231110,cabe,20250124,wmelo,NLAG,R,445918,PC,PC,,,,,,,,,,,496.702,KG,447.032,74.788,CM3,,,,,,,01,,,,,,,,,,,,,,2268182160563,,149.3,17.5,59.1,IN,,,,,1002,,,
100,MAT0000004,20250228,xhernandez,20260401,rmurakami,DIEN,A,310731,M2,M2,,,,,,,,,,,801.076,KG,720.968,76.831,CM3,,,,,,,01,,,,,,,,,,,,,,4533156118580,,35.1,168.8,83.6,CM,,,,,2001,,,
100,MAT0000005,30.10.2021,hasanmoechli,20250124,njames,FERT,M,459195,L,L,,,,,,,,,,,92.593,KG,83.334,51.761,CM3,,,,,,,00,,,,,,,,,,,,,,7940172403625,,156.1,47.8,75.9,M,,,,,1002,,,
100,MAT0000006,20160911,elliotburges,20260501,yleao,DIEN,C,895661,M3,M3,,,,,,,,,,,904.572,KG,814.115,54.056,L,,,,,,,01,,,,,,,,,,,,,,2529894110681,,140.3,194.9,92.9,IN,,,,,5001,,,
100,MAT0000007,20230117,robertsaliso,20250908,bryan37,ROH,F,616591,L,L,,,,,,,,,,,934.381,KG,840.943,6.773,M3,,,,,,,01,,,,,,,,,,,,,,5106481751983,,84.1,198.4,27.5,CM,,,,,1000,,,
100,MAT0000008,20200928,maaya90,20240806,asukaito,HIBE,M,023380,PC,PC,,,,,,,,,,,914.733,KG,823.26,63.911,M3,,,,,,,04,,,,,,,,,,,,,,8308118436097,,152.9,28.7,150.7,M,,,,,2001,,,
100,MAT0000009,20200917,martinann,20250714,castroana-be,VERP,E,018016,L,L,,,,,,,,,,,580.338,KG,522.304,19.445,CM3,,,,,,,04,,,,,,,,,,,,,,3947754694772,,102.9,106.3,122.8,CM,,,,,3001,,,
100,MAT0000010,20.04.2021,mmurphy,20260222,frederic96,FERT,F,311092,M3,M3,,,,,,,,,,,130.082,KG,117.074,88.095,L,,,,,,,02,,,,,,,,,,,,,,0367827259050,,133.8,74.0,86.4,M,,,,,5001,,,
100,MAT0000011,18.09.2021,elliottsmith,20241102,umartins,DIEN,R,679314,M,M,,,,,,,,,,,21.818,KG,19.636,54.746,CM3,,,,,,,01,,,,,,,,,,,,,,4524590164844,,139.6,190.3,48.8,M,,,,,3001,,,
100,MAT0000012,21.06.2013,mouraantonel,20241208,edouardgarni,HIBE,E,855899,M3,M3,,,,,,,,,,,881.8,KG,793.62,98.156,CM3,,,,,,,00,,,,,,,,,,,,,,8146960956116,,131.4,7.1,151.5,M,,,,,1002,,,
100,MAT0000013,20161123,gordon06,20250822,diamond61,FERT,R,996336,M3,M3,,,,,,,,,,,193.224,KG,173.902,57.328,L,,,,,,,04,,,,,,,,,,,,,,4600181724496,,13.3,146.0,86.0,CM,,,,,5001,,,
100,MAT0000014,02.01.2023,xrust,20241115,dorothe99,DIEN,R,263931,M3,M3,,,,,,,,,,,982.869,KG,884.582,10.821,L,,,,,,,00,,,,,,,,,,,,,,3650400854429,,33.8,192.0,52.3,CM,,,,,2000,,,
100,MAT0000015,20211219,barbemathild,20240719,rafael82,FERT,A,975222,M3,M3,,,,,,,,,,,458.127,KG,412.314,22.048,L,,,,,,,01,,,,,,,,,,,,,,1995226846053,,49.3,17.1,126.7,CM,,,,,3001,,,
100,MAT0000016,20260215,uschneider,20260304,slawomirwaeh,NLAG,A,165337,EA,EA,,,,,,,,,,,901.464,KG,811.318,6.717,L,,,,,,,03,,,,,,,,,,,,,,4417592759937,,80.9,126.0,31.4,M,,,,,5000,,,
100,MAT0000017,21.10.2025,de-sousamath,20240906,daviesdale,VERP,C,546406,M2,M2,,,,,,,,,,,674.706,KG,607.235,22.684,M3,,,,,,,01,,,,,,,,,,,,,,5637957720085,,33.3,160.0,64.9,CM,,,,,3001,,,
100,MAT0000018,05.03.2023,robertmcconn,20250112,theodoros86,FERT,C,416649,PC,PC,,,,,,,,,,,19.16,KG,17.244,9.006,CM3,,,,,,,02,,,,,,,,,,,,,,4545854150793,,191.8,82.7,26.1,IN,,,,,4000,,,
100,MAT0000019,20121130,danielsmith,20250724,kazim26,DIEN,A,784425,M3,M3,,,,,,,,,,,912.384,KG,821.146,35.734,L,,,,,,,04,,,,,,,,,,,,,,5003478498060,,62.4,70.3,161.5,IN,,,,,4000,,,
100,MAT0000020,20200208,arnoldbradle,20260406,samsonbernar,NLAG,R,461630,EA,EA,,,,,,,,,,,782.596,KG,704.336,16.87,CM3,,,,,,,04,,,,,,,,,,,,,,9279759080699,,112.2,36.5,109.2,M,,,,,5001,,,
100,MAT0000021,11.04.2012,christopherj,20250602,kathleen99,ROH,E,566187,EA,EA,,,,,,,,,,,80.259,KG,72.233,70.784,M3,,,,,,,04,,,,,,,,,,,,,,4627610023470,,116.1,72.9,169.2,IN,,,,,2000,,,
100,MAT0000022,15.06.2022,ecardoso,20251017,borgesrafael,DIEN,A,077101,PC,PC,,,,,,,,,,,463.233,KG,416.91,11.318,M3,,,,,,,01,,,,,,,,,,,,,,8317164327846,,74.7,104.2,18.5,M,,,,,1000,,,
100,MAT0000023,29.06.2014,whitneyharve,20250423,zahnetta,NLAG,E,814183,M2,M2,,,,,,,,,,,206.034,KG,185.431,10.918,CM3,,,,,,,00,,,,,,,,,,,,,,0381931549623,,46.0,54.5,138.7,M,,,,,1000,,,
100,MAT0000024,05.12.2012,sboutin,20241019,qeigenwillig,HALB,M,256226,PC,PC,,,,,,,,,,,791.618,KG,712.456,54.944,M3,,,,,,,01,,,,,,,,,,,,,,5441193189168,,100.8,174.4,180.8,IN,,,,,3000,,,
100,MAT0000025,20200616,jda-mota,20241219,sharonwest,HALB,F,230255,M3,M3,,,,,,,,,,,525.405,KG,472.864,83.007,M3,,,,,,,02,,,,,,,,,,,,,,0833741700171,,57.9,18.9,63.7,M,,,,,5000,,,
100,MAT0000026,20160830,suzanneolliv,20250326,ariassara,VERP,M,565854,M3,M3,,,,,,,,,,,119.824,KG,107.842,11.277,CM3,,,,,,,01,,,,,,,,,,,,,,1422790597925,,158.6,74.3,62.6,IN,,,,,1000,,,
100,MAT0000027,18.08.2022,walentina57,20260614,machadogabri,HIBE,A,460437,M2,M2,,,,,,,,,,,738.547,KG,664.692,61.156,M3,,,,,,,04,,,,,,,,,,,,,,2052238908380,,161.3,146.7,151.8,M,,,,,1002,,,
100,MAT0000028,20181223,romeromeliss,20260622,roskothmarli,ERSA,M,204927,EA,EA,,,,,,,,,,,176.872,KG,159.185,78.42,M3,,,,,,,01,,,,,,,,,,,,,,8122564736132,,138.3,96.4,127.1,IN,,,,,4000,,,
100,MAT0000029,20.12.2019,brianjames,20250418,ptakahashi,NLAG,C,828676,M3,M3,,,,,,,,,,,746.451,KG,671.806,8.586,CM3,,,,,,,04,,,,,,,,,,,,,,1254332037343,,178.3,132.6,136.1,IN,,,,,5000,,,
100,MAT0000030,11.01.2020,smithkate,20251128,sfogaca,FERT,A,062923,ST,ST,,,,,,,,,,,372.727,KG,335.454,31.582,M3,,,,,,,00,,,,,,,,,,,,,,9242036105699,,90.9,129.8,67.9,IN,,,,,1002,,,
100,MAT0000031,22.05.2024,frederiqueri,20260103,sieringjulie,HIBE,F,530081,L,L,,,,,,,,,,,756.092,KG,680.483,14.982,L,,,,,,,02,,,,,,,,,,,,,,8565152473154,,26.8,127.5,80.6,CM,,,,,5000,,,
100,MAT0000032,10.03.2023,itoshohei,20260501,santosandre,VERP,R,645223,PC,PC,,,,,,,,,,,355.64,KG,320.076,57.98,L,,,,,,,02,,,,,,,,,,,,,,2409096961109,,11.8,92.3,6.8,M,,,,,1001,,,
100,MAT0000033,17.08.2018,maria-luizad,20260115,kobayashichi,FERT,R,316271,ST,ST,,,,,,,,,,,343.929,KG,309.536,40.022,L,,,,,,,04,,,,,,,,,,,,,,6344811398296,,123.2,75.4,177.3,M,,,,,4000,,,
100,MAT0000034,03.10.2025,qalbuquerque,20251220,joseph16,HALB,F,216929,EA,EA,,,,,,,,,,,485.949,KG,437.354,28.553,CM3,,,,,,,00,,,,,,,,,,,,,,7066081443993,,93.6,9.0,24.9,M,,,,,1002,,,
100,MAT0000035,31.05.2018,eporter,20260422,vitor-hugo97,NLAG,E,168123,KG,KG,,,,,,,,,,,127.221,KG,114.499,2.114,M3,,,,,,,00,,,,,,,,,,,,,,4532677226521,,140.0,128.8,133.4,CM,,,,,1000,,,
100,MAT0000036,20251123,iyamamoto,20251007,popebrett,ERSA,A,995130,KG,KG,,,,,,,,,,,369.71,KG,332.739,5.71,L,,,,,,,03,,,,,,,,,,,,,,1411145364213,,23.3,5.0,148.1,CM,,,,,3000,,,
100,MAT0000037,02.06.2017,anais99,20250217,ohopkins,ERSA,A,051091,EA,EA,,,,,,,,,,,347.97,KG,313.173,11.12,M3,,,,,,,04,,,,,,,,,,,,,,0564044518070,,149.9,156.0,45.6,CM,,,,,3001,,,
100,MAT0000038,16.12.2013,miketucker,20241003,benicio12,HALB,A,157046,KG,KG,,,,,,,,,,,920.582,KG,828.524,13.646,M3,,,,,,,02,,,,,,,,,,,,,,2096776819838,,17.6,60.5,180.7,IN,,,,,1002,,,
100,MAT0000039,20131031,smithgrace,20260401,yosukeyoshid,FERT,F,255847,M2,M2,,,,,,,,,,,752.696,KG,677.426,1.015,L,,,,,,,00,,,,,,,,,,,,,,4468197633313,,99.6,45.3,190.3,IN,,,,,3000,,,
100,MAT0000040,31.10.2011,lucaslaroche,20240722,abeyuki,NLAG,C,726571,M3,M3,,,,,,,,,,,540.084,KG,486.076,1.981,L,,,,,,,00,,,,,,,,,,,,,,6988400231122,,19.6,75.6,185.9,IN,,,,,4000,,,
100,MAT0000041,11.08.2016,peter73,20241127,nina08,DIEN,E,938946,M3,M3,,,,,,,,,,,157.156,KG,141.44,59.597,M3,,,,,,,04,,,,,,,,,,,,,,5608260082160,,174.6,93.2,89.5,M,,,,,5001,,,
100,MAT0000042,20160206,aimee63,20241028,nathalie67,ROH,R,715037,L,L,,,,,,,,,,,405.765,KG,365.188,89.489,M3,,,,,,,00,,,,,,,,,,,,,,6780958768644,,108.1,123.2,135.6,CM,,,,,2001,,,
100,MAT0000043,20140722,alainlemaire,20241116,suzukitaro,DIEN,R,866264,M,M,,,,,,,,,,,324.66,KG,292.194,9.947,L,,,,,,,00,,,,,,,,,,,,,,0958811950161,,108.6,22.7,136.8,M,,,,,5001,,,
100,MAT0000044,31.03.2019,lucas14,20260326,couturiergeo,HIBE,F,224190,KG,KG,,,,,,,,,,,990.783,KG,891.705,22.848,CM3,,,,,,,00,,,,,,,,,,,,,,9731199560983,,163.7,84.8,123.9,IN,,,,,4000,,,
100,MAT0000045,02.12.2011,duartebernar,20250614,waldemar93,HALB,E,360232,EA,EA,,,,,,,,,,,550.412,KG,495.371,21.597,L,,,,,,,04,,,,,,,,,,,,,,0878604780358,,52.0,110.8,106.7,CM,,,,,3000,,,
100,MAT0000046,06.02.2025,ikelly,20241225,gsparks,HIBE,E,252158,M3,M3,,,,,,,,,,,699.424,KG,629.482,8.457,M3,,,,,,,02,,,,,,,,,,,,,,5496768097386,,13.2,10.7,52.3,IN,,,,,1000,,,
100,MAT0000047,20240316,fontaineclem,20241004,gmonroe,FERT,F,088088,M,M,,,,,,,,,,,130.311,KG,117.28,46.491,CM3,,,,,,,00,,,,,,,,,,,,,,1892174423049,,17.7,43.4,14.4,M,,,,,2001,,,
100,MAT0000048,20200801,hideki54,20260426,millershanno,ROH,M,551305,KG,KG,,,,,,,,,,,190.909,KG,171.818,39.38,CM3,,,,,,,04,,,,,,,,,,,,,,7007743033879,,64.6,35.3,97.5,CM,,,,,1000,,,
100,MAT0000049,20200729,giraudveroni,20251206,katie19,ERSA,E,304024,L,L,,,,,,,,,,,122.281,KG,110.053,22.152,CM3,,,,,,,04,,,,,,,,,,,,,,5476286980674,,45.9,129.1,61.4,M,,,,,1002,,,
100,MAT0000050,10.11.2020,scassiano,20241219,jun70,NLAG,E,331130,KG,KG,,,,,,,,,,,125.739,KG,113.165,18.023,L,,,,,,,00,,,,,,,,,,,,,,8542844305351,,94.2,48.0,65.7,CM,,,,,3000,,,
100,MAT0000051,20170815,iclark,20240710,miturutakaha,HALB,M,919479,M,M,,,,,,,,,,,250.489,KG,225.44,82.514,L,,,,,,,03,,,,,,,,,,,,,,5732863308300,,71.7,94.9,61.1,M,,,,,2000,,,
100,MAT0000052,26.06.2018,knicolas,20250301,carolinacama,DIEN,A,792176,KG,KG,,,,,,,,,,,714.927,KG,643.434,37.705,L,,,,,,,00,,,,,,,,,,,,,,1729903786864,,156.8,146.5,93.9,CM,,,,,1001,,,
100,MAT0000053,20180716,hsaito,20250105,howardgreen,ROH,R,740995,M3,M3,,,,,,,,,,,484.38,KG,435.942,93.925,CM3,,,,,,,03,,,,,,,,,,,,,,7690437912415,,162.0,58.0,111.2,IN,,,,,5000,,,
100,MAT0000054,20231125,andrew74,20240707,matheusda-ro,HALB,R,467138,KG,KG,,,,,,,,,,,533.104,KG,479.794,78.074,CM3,,,,,,,03,,,,,,,,,,,,,,1840356294529,,145.0,140.2,57.5,CM,,,,,5001,,,
100,MAT0000055,20180318,diane36,20250312,mark93,FERT,M,497562,M2,M2,,,,,,,,,,,889.674,KG,800.707,69.647,M3,,,,,,,00,,,,,,,,,,,,,,0038173316048,,185.9,196.8,77.0,IN,,,,,2001,,,
100,MAT0000056,27.04.2023,sribeiro,20250319,erodrigues,ERSA,R,427248,PC,PC,,,,,,,,,,,358.901,KG,323.011,34.557,L,,,,,,,04,,,,,,,,,,,,,,6617213041429,,31.4,38.8,15.4,M,,,,,5000,,,
100,MAT0000057,19.07.2022,charlesware,20250812,pgeorges,NLAG,C,293721,EA,EA,,,,,,,,,,,166.543,KG,149.889,8.197,M3,,,,,,,00,,,,,,,,,,,,,,9887050958465,,127.2,25.2,78.3,M,,,,,1002,,,
100,MAT0000058,20180910,morrisonkerr,20250305,mbazin,HIBE,C,232314,PC,PC,,,,,,,,,,,167.578,KG,150.82,81.028,L,,,,,,,01,,,,,,,,,,,,,,1530496857165,,171.1,57.0,30.3,M,,,,,5000,,,
100,MAT0000059,06.07.2025,cassianoalex,20250430,torben56,HALB,A,406946,M2,M2,,,,,,,,,,,413.787,KG,372.408,16.659,L,,,,,,,03,,,,,,,,,,,,,,7812721813820,,135.6,53.2,52.1,M,,,,,5000,,,
100,MAT0000060,11.05.2015,tjones,20250418,ottilie87,ROH,E,956992,ST,ST,,,,,,,,,,,878.148,KG,790.333,24.538,M3,,,,,,,00,,,,,,,,,,,,,,1683185772161,,126.3,191.1,57.1,IN,,,,,5000,,,
100,MAT0000061,20130915,reyesbrittan,20240819,acirino,NLAG,C,998888,ST,ST,,,,,,,,,,,982.526,KG,884.273,74.558,M3,,,,,,,03,,,,,,,,,,,,,,3601530040558,,83.5,155.9,156.6,IN,,,,,3001,,,
100,MAT0000062,20230324,mark42,20240825,etiennebreto,ROH,E,015275,M3,M3,,,,,,,,,,,440.373,KG,396.336,76.535,L,,,,,,,03,,,,,,,,,,,,,,7772684726486,,186.0,43.1,142.1,IN,,,,,2000,,,
100,MAT0000063,20140410,akirakondo,20250116,bencarr,DIEN,F,329079,EA,EA,,,,,,,,,,,602.013,KG,541.812,67.675,CM3,,,,,,,01,,,,,,,,,,,,,,9746543937496,,65.4,51.2,73.0,CM,,,,,5000,,,
100,MAT0000064,20200727,tfoster,20260403,suzanne05,ROH,E,505149,ST,ST,,,,,,,,,,,687.071,KG,618.364,86.739,M3,,,,,,,02,,,,,,,,,,,,,,5247469681127,,84.0,19.4,41.1,IN,,,,,3001,,,
100,MAT0000065,13.07.2011,iandrade,20240910,mandyellis,DIEN,F,915807,PC,PC,,,,,,,,,,,668.558,KG,601.702,74.778,CM3,,,,,,,00,,,,,,,,,,,,,,2462465326503,,2.5,24.8,38.6,CM,,,,,4000,,,
100,MAT0000066,20140708,ksato,20260609,friederikehe,HIBE,E,677485,EA,EA,,,,,,,,,,,925.917,KG,833.325,92.088,CM3,,,,,,,00,,,,,,,,,,,,,,5755019340337,,89.7,88.4,50.8,M,,,,,5000,,,
100,MAT0000067,07.06.2025,arroyoandrew,20260105,manabuhayash,ERSA,R,641438,M2,M2,,,,,,,,,,,135.366,KG,121.829,3.962,CM3,,,,,,,02,,,,,,,,,,,,,,0529486479587,,88.6,80.6,82.5,CM,,,,,1002,,,
100,MAT0000068,09.11.2022,lucasgabriel,20260602,kbouvier,FERT,F,796488,M,M,,,,,,,,,,,578.537,KG,520.683,16.864,CM3,,,,,,,02,,,,,,,,,,,,,,1707288728488,,72.6,139.9,86.8,M,,,,,2001,,,
100,MAT0000069,26.07.2019,jamesgill,20250112,adrian60,NLAG,M,242677,ST,ST,,,,,,,,,,,711.396,KG,640.256,52.342,M3,,,,,,,00,,,,,,,,,,,,,,5427792428440,,115.4,25.0,35.3,CM,,,,,2000,,,
100,MAT0000070,20180628,uandrade,20250819,kathleenwill,FERT,A,341965,L,L,,,,,,,,,,,787.492,KG,708.743,60.019,CM3,,,,,,,02,,,,,,,,,,,,,,7499169539101,,151.1,24.7,173.5,IN,,,,,5001,,,
100,MAT0000071,20160109,matteo48,20260621,yasuhiro96,ERSA,E,647271,M,M,,,,,,,,,,,509.525,KG,458.572,51.361,L,,,,,,,04,,,,,,,,,,,,,,3009041745205,,95.1,122.7,100.6,IN,,,,,3000,,,
100,MAT0000072,01.11.2025,iyamaguchi,20250914,nakamurajun,DIEN,E,184836,L,L,,,,,,,,,,,717.977,KG,646.179,26.576,CM3,,,,,,,01,,,,,,,,,,,,,,1860810471549,,11.9,2.2,122.1,M,,,,,5001,,,
100,MAT0000073,20241011,finchkerry,20250308,lrodrigues,NLAG,R,410793,KG,KG,,,,,,,,,,,312.873,KG,281.586,77.124,M3,,,,,,,04,,,,,,,,,,,,,,2542107042494,,149.4,90.1,126.7,IN,,,,,3001,,,
