MANDT,LIFNR,EKORG,WAERS,LIEFR,MINBW,KZABS,KZAUT,KZBESN,MEPRF,INCO1,INCO2,WEBRE,KZWBK,BOAUF,BOKRE,BOSPE,BOSTA,BOSPE2,UMSAE
100,0000000327,4000,AUD,,,,,,2,CFR,,,,,,,,,
100,0000000389,3000,AUD,,,,,,,EXW,,,,,,,,,
100,0000000973,1000,CAD,,,,,,3,CIF,,,,,,,,,
100,0000001129,4000,USD,,,,,,,FCA,,,,,,,,,
100,0000000004,4000,AUD,,,,,,2,DAT,,X,,,,,,,
100,0000001683,4000,AUD,,,,,,3,CIP,,X,,,,,,,
100,0000001990,4000,USD,,,,,,2,CFR,,X,,,,,,,
100,0000000105,4000,BRL,,,,,,2,DDP,,X,,,,,,,
100,0000000019,4000,EUR,,,,,,2,DAT,,,,,,,,,
100,0000001540,3000,CAD,,,,,,3,DDP,,X,,,,,,,
100,0000001982,5000,GBP,,,,,,2,CPT,,X,,,,,,,
100,0000000729,4000,CAD,,,,,,,CIF,,X,,,,,,,
100,0000001869,5000,CHF,,,,,,2,CPT,,,,,,,,,
100,0000000952,1000,KRW,,,,,,1,DAT,,,,,,,,,
100,0000000296,2000,AUD,,,,,,2,DAP,,X,,,,,,,
100,0000000698,2000,EUR,,,,,,2,CIF,,X,,,,,,,
100,0000000860,5000,BRL,,,,,,,CPT,,,,,,,,,
100,0000001390,4000,EUR,,,,,,,CIF,,,,,,,,,
100,0000000087,3000,JPY,,,,,,3,EXW,,X,,,,,,,
100,0000000054,3000,EUR,,,,,,3,FCA,,,,,,,,,
100,0000001945,5000,USD,,,,,,3,DDP,,X,,,,,,,
100,0000000557,5000,AUD,,,,,,1,DDP,,X,,,,,,,
100,0000001688,3000,EUR,,,,,,,DDP,,,,,,,,,
100,0000000071,1000,AUD,,,,,,,EXW,,,,,,,,,
100,0000001443,1000,AUD,,,,,,3,CPT,,X,,,,,,,
100,0000000343,5000,CHF,,,,,,2,DDP,,X,,,,,,,
100,0000000475,3000,CAD,,,,,,2,CFR,,,,,,,,,
100,0000000118,1000,KRW,,,,,,1,DAT,,,,,,,,,
100,0000001366,4000,AUD,,,,,,2,FOB,,X,,,,,,,
100,0000001580,5000,JPY,,,,,,1,CFR,,X,,,,,,,
100,0000000792,1000,CHF,,,,,,1,DDP,,X,,,,,,,
100,0000000975,4000,CHF,,,,,,,DAT,,X,,,,,,,
100,0000000549,3000,CNY,,,,,,3,CIP,,,,,,,,,
100,0000000049,1000,EUR,,,,,,3,DAP,,X,,,,,,,
100,0000001093,5000,EUR,,,,,,3,DAP,,,,,,,,,
100,0000000124,2000,JPY,,,,,,2,DAT,,X,,,,,,,
100,0000001879,3000,CAD,,,,,,,DAP,,,,,,,,,
100,0000000046,5000,BRL,,,,,,3,EXW,,X,,,,,,,
100,0000001734,2000,BRL,,,,,,2,DDP,,,,,,,,,
100,0000000672,2000,CAD,,,,,,3,FOB,,X,,,,,,,
100,0000001543,3000,KRW,,,,,,,EXW,,X,,,,,,,
100,0000001663,4000,BRL,,,,,,,CPT,,X,,,,,,,
100,0000000188,5000,KRW,,,,,,,CIF,,X,,,,,,,
100,0000000904,1000,KRW,,,,,,1,DDP,,,,,,,,,
100,0000000536,2000,CAD,,,,,,3,DAT,,,,,,,,,
100,0000001456,2000,GBP,,,,,,1,CIF,,,,,,,,,
100,0000001755,1000,AUD,,,,,,1,CIP,,X,,,,,,,
100,0000000473,5000,CNY,,,,,,1,FCA,,X,,,,,,,
100,0000000128,3000,USD,,,,,,,CIF,,X,,,,,,,
100,0000000138,1000,BRL,,,,,,3,CFR,,X,,,,,,,
100,0000001585,5000,USD,,,,,,2,FCA,,X,,,,,,,
100,0000000386,2000,CHF,,,,,,3,CIP,,X,,,,,,,
100,0000001971,4000,BRL,,,,,,1,FCA,,X,,,,,,,
100,0000001604,2000,CNY,,,,,,2,DAT,,,,,,,,,
100,0000000111,1000,KRW,,,,,,2,DAP,,,,,,,,,
100,0000000277,1000,CAD,,,,,,2,CIF,,,,,,,,,
100,0000000532,5000,EUR,,,,,,3,CIP,,X,,,,,,,
100,0000001634,3000,BRL,,,,,,3,DAP,,X,,,,,,,
100,0000000759,4000,EUR,,,,,,,FOB,,X,,,,,,,
100,0000001991,3000,CAD,,,,,,1,CPT,,,,,,,,,
100,0000000769,5000,CAD,,,,,,1,CIF,,,,,,,,,
100,0000001175,1000,BRL,,,,,,3,EXW,,X,,,,,,,
100,0000001150,4000,AUD,,,,,,3,CIF,,X,,,,,,,
100,0000000332,3000,BRL,,,,,,2,DAP,,,,,,,,,
100,0000000134,2000,EUR,,,,,,2,CFR,,X,,,,,,,
100,0000001885,4000,BRL,,,,,,2,CIP,,,,,,,,,
100,0000001930,1000,GBP,,,,,,1,CFR,,,,,,,,,
100,0000001715,1000,BRL,,,,,,3,DAP,,,,,,,,,
100,0000001427,2000,USD,,,,,,1,CFR,,,,,,,,,
100,0000001352,4000,BRL,,,,,,3,DAT,,,,,,,,,
100,0000000981,4000,CNY,,,,,,1,DDP,,,,,,,,,
100,0000001677,4000,CAD,,,,,,,DDP,,X,,,,,,,
100,0000000084,4000,CAD,,,,,,3,DAP,,,,,,,,,
100,0000001903,1000,CAD,,,,,,2,DAP,,,,,,,,,
100,0000000461,5000,JPY,,,,,,2,DDP,,,,,,,,,
100,0000001264,5000,USD,,,,,,,DDP,,,,,,,,,
100,0000001230,2000,CAD,,,,,,1,FCA,,X,,,,,,,
100,0000000960,1000,GBP,,,,,,1,DAP,,,,,,,,,
100,0000001742,1000,AUD,,,,,,,CPT,,,,,,,,,
100,0000001022,3000,BRL,,,,,,2,CFR,,X,,,,,,,
100,0000001857,2000,KRW,,,,,,3,DDP,,X,,,,,,,
100,0000001961,1000,BRL,,,,,,3,CPT,,,,,,,,,
100,0000000215,5000,USD,,,,,,2,CIF,,,,,,,,,
100,0000001586,4000,EUR,,,,,,3,FOB,,,,,,,,,
100,0000001030,2000,AUD,,,,,,1,DDP,,X,,,,,,,
100,0000000930,3000,USD,,,,,,1,CIF,,X,,,,,,,
100,0000000817,1000,USD,,,,,,1,DAP,,X,,,,,,,
100,0000001425,4000,KRW,,,,,,2,DAT,,X,,,,,,,
100,0000000380,2000,CHF,,,,,,,DAP,,X,,,,,,,
100,0000000787,3000,USD,,,,,,3,CIF,,X,,,,,,,
100,0000000629,5000,KRW,,,,,,3,DAP,,,,,,,,,
100,0000001341,4000,BRL,,,,,,2,DAT,,X,,,,,,,
100,0000000455,4000,EUR,,,,,,2,CIF,,,,,,,,,
100,0000001211,1000,AUD,,,,,,,DAP,,,,,,,,,
100,0000001966,1000,CAD,,,,,,3,CPT,,X,,,,,,,
100,0000001081,2000,BRL,,,,,,1,CIP,,X,,,,,,,
100,0000001636,2000,KRW,,,,,,3,CPT,,,,,,,,,
100,0000001170,2000,JPY,,,,,,2,CIF,,,,,,,,,
100,0000001986,2000,CHF,,,,,,,CFR,,X,,,,,,,
100,0000000004,4000,JPY,,,,,,,CFR,,X,,,,,,,
100,0000001496,4000,EUR,,,,,,1,CIP,,,,,,,,,
100,0000000995,5000,EUR,,,,,,,DAT,,,,,,,,,
100,0000000973,1000,KRW,,,,,,,DAT,,X,,,,,,,
100,0000000409,2000,CAD,,,,,,,CIF,,,,,,,,,
100,0000001360,3000,KRW,,,,,,2,FCA,,,,,,,,,
100,0000001364,3000,BRL,,,,,,2,CIP,,,,,,,,,
100,0000001813,3000,BRL,,,,,,1,FOB,,X,,,,,,,
100,0000000947,3000,CNY,,,,,,1,EXW,,X,,,,,,,
100,0000001977,4000,CAD,,,,,,2,CPT,,X,,,,,,,
100,0000001183,2000,AUD,,,,,,,CIF,,,,,,,,,
100,0000001064,3000,CNY,,,,,,1,EXW,,,,,,,,,
100,0000001275,3000,BRL,,,,,,1,CIF,,X,,,,,,,
100,0000001198,4000,GBP,,,,,,3,CPT,,,,,,,,,
100,0000000966,5000,GBP,,,,,,2,DDP,,,,,,,,,
100,0000001336,3000,GBP,,,,,,2,FOB,,,,,,,,,
100,0000001837,3000,AUD,,,,,,3,CPT,,,,,,,,,
100,0000001301,1000,JPY,,,,,,2,EXW,,X,,,,,,,
100,0000000713,4000,CNY,,,,,,2,EXW,,,,,,,,,
100,0000001005,1000,AUD,,,,,,3,DAT,,,,,,,,,
100,0000000157,2000,CNY,,,,,,1,DAP,,,,,,,,,
100,0000001776,4000,EUR,,,,,,1,CFR,,,,,,,,,
100,0000000955,5000,CAD,,,,,,3,FCA,,,,,,,,,
100,0000001458,3000,BRL,,,,,,3,CPT,,,,,,,,,
100,0000001726,4000,USD,,,,,,2,DAT,,,,,,,,,
100,0000001434,2000,EUR,,,,,,1,FOB,,,,,,,,,
100,0000001877,1000,KRW,,,,,,1,CIP,,,,,,,,,
100,0000000019,4000,AUD,,,,,,2,DAP,,,,,,,,,
100,0000001794,4000,CAD,,,,,,2,FOB,,,,,,,,,
100,0000001425,1000,KRW,,,,,,1,EXW,,,,,,,,,
100,0000001014,5000,BRL,,,,,,,FCA,,,,,,,,,
100,0000001952,4000,CAD,,,,,,1,FOB,,,,,,,,,
100,0000000519,5000,KRW,,,,,,,FOB,,,,,,,,,
100,0000000970,4000,CNY,,,,,,3,FCA,,X,,,,,,,
100,0000001525,4000,JPY,,,,,,2,DDP,,X,,,,,,,
100,0000001898,3000,EUR,,,,,,2,CFR,,X,,,,,,,
100,0000000605,3000,CNY,,,,,,,CIF,,,,,,,,,
100,0000001432,4000,EUR,,,,,,3,FCA,,X,,,,,,,
200,0000000258,4000,CHF,,,,,,1,DAT,,,,,,,,,
100,0000001095,3000,CHF,,,,,,3,CFR,,,,,,,,,
100,0000001947,3000,GBP,,,,,,,CFR,,,,,,,,,
100,0000001152,3000,EUR,,,,,,3,CIF,,,,,,,,,
100,0000001827,3000,EUR,,,,,,2,FOB,,X,,,,,,,
100,0000000415,3000,JPY,,,,,,1,EXW,,,,,,,,,
100,0000000508,1000,JPY,,,,,,3,EXW,,,,,,,,,
100,0000000830,5000,CAD,,,,,,1,CPT,,X,,,,,,,
100,0000000272,1000,GBP,,,,,,2,CFR,,,,,,,,,
100,0000000695,1000,CHF,,,,,,,DAP,,,,,,,,,
100,0000001732,4000,BRL,,,,,,1,CPT,,,,,,,,,
100,0000001555,2000,CHF,,,,,,2,FCA,,,,,,,,,
100,0000000177,2000,CNY,,,,,,2,DDP,,,,,,,,,
100,0000001343,1000,BRL,,,,,,3,EXW,,,,,,,,,
100,0000000588,2000,KRW,,,,,,2,DDP,,X,,,,,,,
100,0000001797,3000,CHF,,,,,,3,DAP,,X,,,,,,,
100,0000000723,2000,KRW,,,,,,,DDP,,,,,,,,,
100,0000000511,2000,CAD,,,,,,1,DAT,,X,,,,,,,
100,0000000386,3000,AUD,,,,,,1,EXW,,X,,,,,,,
100,0000000400,5000,BRL,,,,,,3,DDP,,,,,,,,,
100,0000000101,5000,KRW,,,,,,2,DAP,,,,,,,,,
100,0000000348,2000,BRL,,,,,,3,CPT,,X,,,,,,,
100,0000001794,5000,USD,,,,,,,FCA,,,,,,,,,
100,0000000981,4000,EUR,,,,,,1,DAP,,,,,,,,,
100,0000001032,5000,AUD,,,,,,3,FOB,,X,,,,,,,
100,0000000441,5000,CAD,,,,,,3,CFR,,,,,,,,,
100,0000000187,1000,CNY,,,,,,2,FCA,,X,,,,,,,
100,0000001813,1000,CNY,,,,,,3,DAT,,X,,,,,,,
100,0000001661,2000,USD,,,,,,1,CIF,,X,,,,,,,
100,0000001086,4000,KRW,,,,,,,CPT,,,,,,,,,
100,0000001355,1000,BRL,,,,,,2,DAP,,,,,,,,,
100,0000001937,3000,CHF,,,,,,3,EXW,,X,,,,,,,
100,0000001428,4000,EUR,,,,,,2,FOB,,,,,,,,,
100,0000001252,4000,USD,,,,,,,CPT,,,,,,,,,
100,0000000874,4000,AUD,,,,,,2,CPT,,,,,,,,,
100,0000001536,5000,BRL,,,,,,2,CIP,,,,,,,,,
100,0000001022,1000,EUR,,,,,,1,DAP,,X,,,,,,,
100,0000000240,2000,CAD,,,,,,3,DAP,,X,,,,,,,
100,0000000737,5000,EUR,,,,,,,DAP,,X,,,,,,,
100,0000001198,3000,AUD,,,,,,,CFR,,X,,,,,,,
100,0000001652,3000,USD,,,,,,3,DAP,,X,,,,,,,
100,0000000066,2000,USD,,,,,,3,EXW,,,,,,,,,
100,0000001589,2000,USD,,,,,,1,CIP,,,,,,,,,
100,0000000385,2000,CAD,,,,,,3,CIP,,,,,,,,,
100,0000001962,3000,JPY,,,,,,,CIP,,,,,,,,,
100,0000001796,1000,KRW,,,,,,1,DAP,,,,,,,,,
100,0000001866,3000,CNY,,,,,,2,FCA,,,,,,,,,
100,0000001555,1000,GBP,,,,,,3,FOB,,,,,,,,,
100,0000000753,4000,AUD,,,,,,2,CIF,,,,,,,,,
100,0000001413,4000,USD,,,,,,,DDP,,,,,,,,,
100,0000001275,5000,AUD,,,,,,,CIF,,,,,,,,,
100,0000001103,3000,BRL,,,,,,3,DAP,,,,,,,,,
100,0000001221,4000,CHF,,,,,,3,FCA,,,,,,,,,
100,0000001466,4000,CNY,,,,,,1,EXW,,X,,,,,,,
100,0000001783,4000,BRL,,,,,,,DAP,,,,,,,,,
100,0000001601,1000,KRW,,,,,,2,CIP,,X,,,,,,,
100,0000001365,5000,JPY,,,,,,3,DAT,,,,,,,,,
100,0000001637,5000,CNY,,,,,,1,CFR,,,,,,,,,
200,0000000930,5000,CHF,,,,,,3,CFR,,,,,,,,,
100,0000001084,3000,CHF,,,,,,2,DAT,,X,,,,,,,
100,0000001733,4000,CAD,,,,,,2,DDP,,,,,,,,,
100,0000000302,2000,AUD,,,,,,1,DAT,,,,,,,,,
100,0000000371,1000,CNY,,,,,,2,FCA,,X,,,,,,,
100,0000001019,5000,CHF,,,,,,2,DAT,,X,,,,,,,
100,0000000588,2000,CHF,,,,,,1,EXW,,X,,,,,,,
100,0000001094,4000,CAD,,,,,,2,CIP,,X,,,,,,,
100,0000001600,3000,GBP,,,,,,3,EXW,,X,,,,,,,
100,0000001557,5000,AUD,,,,,,3,FOB,,X,,,,,,,
100,0000000018,3000,EUR,,,,,,3,EXW,,X,,,,,,,
100,0000001625,5000,AUD,,,,,,2,FOB,,,,,,,,,
100,0000000113,2000,KRW,,,,,,2,CIF,,X,,,,,,,
100,0000001980,2000,JPY,,,,,,1,CPT,,,,,,,,,
100,0000001965,3000,CHF,,,,,,1,CIF,,X,,,,,,,
100,0000000919,3000,CNY,,,,,,,CIF,,,,,,,,,
100,0000000633,2000,CAD,,,,,,,FCA,,,,,,,,,
100,0000001092,5000,USD,,,,,,,DDP,,X,,,,,,,
100,0000001838,1000,KRW,,,,,,,CIF,,,,,,,,,
100,0000001439,4000,KRW,,,,,,2,CPT,,X,,,,,,,
100,0000001820,1000,AUD,,,,,,2,CPT,,,,,,,,,
100,0000001819,5000,BRL,,,,,,3,CIP,,X,,,,,,,
100,0000000339,1000,CAD,,,,,,3,CPT,,,,,,,,,
100,0000001538,1000,EUR,,,,,,2,CFR,,X,,,,,,,
100,0000001434,1000,KRW,,,,,,3,EXW,,,,,,,,,
100,0000000581,5000,EUR,,,,,,1,DAT,,X,,,,,,,
100,0000001153,5000,JPY,,,,,,3,FOB,,X,,,,,,,
100,0000001946,1000,CHF,,,,,,2,CIP,,,,,,,,,
100,0000001931,1000,JPY,,,,,,3,CIP,,,,,,,,,
100,0000001886,1000,CNY,,,,,,3,FOB,,,,,,,,,
100,0000000367,3000,CHF,,,,,,1,DDP,,X,,,,,,,
100,0000000663,5000,JPY,,,,,,1,CIF,,,,,,,,,
100,0000001805,5000,KRW,,,,,,,CPT,,X,,,,,,,
100,0000001357,5000,JPY,,,,,,,FCA,,X,,,,,,,
100,0000001343,3000,BRL,,,,,,,CFR,,,,,,,,,
100,0000000157,1000,CAD,,,,,,,FOB,,,,,,,,,
100,0000000629,2000,GBP,,,,,,3,DDP,,,,,,,,,
100,0000001403,2000,BRL,,,,,,,DDP,,,,,,,,,
100,0000000168,2000,BRL,,,,,,,CPT,,X,,,,,,,
100,0000000366,1000,GBP,,,,,,,CPT,,X,,,,,,,
100,0000000508,5000,BRL,,,,,,,FOB,,X,,,,,,,
100,0000001367,4000,BRL,,,,,,2,FOB,,X,,,,,,,
100,0000001731,3000,GBP,,,,,,3,CIP,,,,,,,,,
100,0000001301,5000,AUD,,,,,,2,FOB,,,,,,,,,
100,0000000598,5000,GBP,,,,,,3,CFR,,X,,,,,,,
100,0000000879,1000,CAD,,,,,,2,CFR,,X,,,,,,,
100,0000000678,2000,GBP,,,,,,,CPT,,,,,,,,,
100,0000001816,4000,AUD,,,,,,1,DDP,,,,,,,,,
100,0000001163,4000,BRL,,,,,,,CFR,,X,,,,,,,
100,0000000407,3000,KRW,,,,,,1,CPT,,X,,,,,,,
100,0000001258,3000,EUR,,,,,,3,CIF,,X,,,,,,,
100,0000001016,1000,GBP,,,,,,,DDP,,,,,,,,,
100,0000000082,5000,EUR,,,,,,3,FOB,,X,,,,,,,
100,0000000778,1000,BRL,,,,,,3,EXW,,,,,,,,,
100,0000000509,5000,AUD,,,,,,3,CPT,,,,,,,,,
100,0000001082,5000,KRW,,,,,,1,CPT,,,,,,,,,
100,0000001623,2000,CHF,,,,,,2,CIP,,,,,,,,,
100,0000000639,2000,CAD,,,,,,3,FCA,,,,,,,,,
100,0000000870,3000,CAD,,,,,,,CIP,,X,,,,,,,
100,0000000301,4000,AUD,,,,,,,CFR,,X,,,,,,,
100,0000001653,4000,USD,,,,,,1,FOB,,X,,,,,,,
100,0000001261,2000,USD,,,,,,,DDP,,X,,,,,,,
100,0000000935,3000,AUD,,,,,,3,DDP,,,,,,,,,
100,0000000172,1000,USD,,,,,,1,CPT,,,,,,,,,
100,0000001646,5000,JPY,,,,,,2,CIP,,,,,,,,,
100,0000001074,2000,CHF,,,,,,2,EXW,,X,,,,,,,
100,0000001499,2000,AUD,,,,,,3,CPT,,,,,,,,,
100,0000001777,3000,USD,,,,,,1,CIF,,X,,,,,,,
100,0000000460,5000,USD,,,,,,1,EXW,,X,,,,,,,
100,0000000114,5000,USD,,,,,,1,FOB,,X,,,,,,,
100,0000001869,1000,EUR,,,,,,2,DAT,,,,,,,,,
100,0000001746,2000,EUR,,,,,,2,DDP,,,,,,,,,
100,0000001162,1000,KRW,,,,,,3,FOB,,,,,,,,,
100,0000001488,1000,CNY,,,,,,,DAP,,,,,,,,,
100,0000001757,5000,GBP,,,,,,3,FCA,,,,,,,,,
100,0000001478,5000,BRL,,,,,,2,FCA,,X,,,,,,,
100,0000000564,2000,AUD,,,,,,1,CPT,,,,,,,,,
100,0000001485,5000,EUR,,,,,,2,DAT,,X,,,,,,,
100,0000001875,1000,CAD,,,,,,,CIP,,,,,,,,,
100,0000000666,1000,CHF,,,,,,,CIP,,X,,,,,,,
100,0000000206,3000,GBP,,,,,,2,EXW,,,,,,,,,
100,0000001622,5000,EUR,,,,,,3,EXW,,,,,,,,,
100,0000001512,1000,KRW,,,,,,,DAT,,,,,,,,,
100,0000000155,5000,CNY,,,,,,3,DAT,,X,,,,,,,
100,0000001056,3000,GBP,,,,,,3,FOB,,X,,,,,,,
100,0000001231,1000,EUR,,,,,,1,FOB,,,,,,,,,
100,0000001197,2000,CNY,,,,,,,CFR,,,,,,,,,
100,0000001770,4000,CAD,,,,,,,CIP,,,,,,,,,
100,0000000424,5000,CHF,,,,,,3,CIP,,X,,,,,,,
100,0000000164,5000,AUD,,,,,,,CIP,,,,,,,,,
100,0000000673,1000,GBP,,,,,,,CIP,,X,,,,,,,
100,0000001294,5000,GBP,,,,,,,FCA,,,,,,,,,
100,0000000427,1000,BRL,,,,,,2,DAP,,X,,,,,,,
100,0000001607,1000,CHF,,,,,,1,CFR,,X,,,,,,,
100,0000001925,2000,GBP,,,,,,2,EXW,,,,,,,,,
100,0000001029,3000,GBP,,,,,,1,DDP,,X,,,,,,,
100,0000000009,1000,JPY,,,,,,3,CIP,,,,,,,,,
100,0000000123,1000,CAD,,,,,,2,DAT,,,,,,,,,
100,0000001178,2000,CAD,,,,,,3,CFR,,X,,,,,,,
100,0000000512,1000,USD,,,,,,,CFR,,X,,,,,,,
100,0000001338,2000,CNY,,,,,,,EXW,,X,,,,,,,
100,0000001936,1000,CAD,,,,,,2,CFR,,,,,,,,,
100,0000000309,5000,KRW,,,,,,1,FOB,,,,,,,,,
100,0000001563,3000,BRL,,,,,,3,DAT,,,,,,,,,
100,0000000755,4000,EUR,,,,,,1,FOB,,,,,,,,,
100,0000001705,4000,BRL,,,,,,,EXW,,X,,,,,,,
100,0000000770,4000,USD,,,,,,,EXW,,X,,,,,,,
100,0000001420,2000,CHF,,,,,,1,DDP,,X,,,,,,,
100,0000000031,5000,CAD,,,,,,,DAT,,,,,,,,,
100,0000001050,4000,BRL,,,,,,2,CPT,,,,,,,,,
100,0000001626,2000,CHF,,,,,,3,CIP,,,,,,,,,
100,0000001490,5000,AUD,,,,,,1,CFR,,X,,,,,,,
100,0000000722,1000,CNY,,,,,,,FCA,,,,,,,,,
100,0000001633,5000,CHF,,,,,,2,FCA,,X,,,,,,,
100,0000001979,3000,JPY,,,,,,3,CIF,,X,,,,,,,
100,0000001437,2000,EUR,,,,,,1,CPT,,X,,,,,,,
100,0000001108,3000,GBP,,,,,,3,DAP,,X,,,,,,,
100,0000001652,4000,USD,,,,,,,FOB,,,,,,,,,
100,0000000918,2000,JPY,,,,,,2,CPT,,,,,,,,,
100,0000000738,1000,CHF,,,,,,,FCA,,,,,,,,,
100,0000001375,2000,USD,,,,,,1,FCA,,,,,,,,,
100,0000001683,1000,GBP,,,,,,1,FCA,,,,,,,,,
100,0000001021,4000,CNY,,,,,,3,CIP,,X,,,,,,,
100,0000000672,5000,USD,,,,,,2,CIF,,X,,,,,,,
100,0000001695,3000,GBP,,,,,,1,FOB,,X,,,,,,,
100,0000001209,1000,CNY,,,,,,,CIF,,X,,,,,,,
100,0000000416,3000,CAD,,,,,,,CPT,,,,,,,,,
100,0000000513,2000,EUR,,,,,,2,DDP,,X,,,,,,,
100,0000001506,1000,BRL,,,,,,,CIP,,,,,,,,,
100,0000001313,2000,JPY,,,,,,,CFR,,X,,,,,,,
100,0000001468,1000,GBP,,,,,,2,DAT,,,,,,,,,
100,0000000844,4000,AUD,,,,,,1,CIF,,,,,,,,,
100,0000001113,1000,EUR,,,,,,1,DAP,,,,,,,,,
100,0000000379,1000,KRW,,,,,,3,FCA,,X,,,,,,,
100,0000001198,4000,CHF,,,,,,2,CPT,,,,,,,,,
100,0000000770,2000,USD,,,,,,,DAT,,,,,,,,,
100,0000000508,5000,CNY,,,,,,2,DAP,,,,,,,,,
100,0000000676,4000,CAD,,,,,,2,FCA,,X,,,,,,,
100,0000000967,5000,BRL,,,,,,2,CIP,,,,,,,,,
100,0000000436,3000,GBP,,,,,,2,CIF,,,,,,,,,
100,0000001214,2000,KRW,,,,,,,FCA,,,,,,,,,
100,0000001940,5000,KRW,,,,,,,DDP,,X,,,,,,,
100,0000001027,3000,USD,,,,,,,CPT,,X,,,,,,,
100,0000000416,4000,JPY,,,,,,2,DDP,,,,,,,,,
100,0000001468,3000,KRW,,,,,,,DAT,,,,,,,,,
100,0000000411,1000,BRL,,,,,,3,EXW,,,,,,,,,
100,0000000783,5000,BRL,,,,,,2,FCA,,X,,,,,,,
100,0000001108,3000,CAD,,,,,,1,CIP,,,,,,,,,
100,0000001294,2000,CHF,,,,,,2,EXW,,,,,,,,,
100,0000000839,3000,CNY,,,,,,1,DAP,,X,,,,,,,
100,0000000865,4000,CHF,,,,,,3,CIP,,,,,,,,,
100,0000001814,4000,GBP,,,,,,3,FCA,,,,,,,,,
100,0000001142,3000,JPY,,,,,,3,EXW,,X,,,,,,,
100,0000001028,4000,EUR,,,,,,,FCA,,X,,,,,,,
100,0000001497,2000,KRW,,,,,,1,CPT,,,,,,,,,
100,0000001427,1000,JPY,,,,,,,EXW,,,,,,,,,
100,0000000955,2000,GBP,,,,,,1,CFR,,,,,,,,,
100,0000001087,1000,AUD,,,,,,2,DAP,,X,,,,,,,
100,0000000817,2000,GBP,,,,,,1,DAP,,X,,,,,,,
100,0000000809,5000,GBP,,,,,,,FOB,,X,,,,,,,
100,0000001568,5000,CNY,,,,,,2,EXW,,,,,,,,,
100,0000001025,3000,GBP,,,,,,3,EXW,,,,,,,,,
100,0000000893,3000,AUD,,,,,,1,FOB,,,,,,,,,
100,0000001639,4000,JPY,,,,,,2,CPT,,X,,,,,,,
100,0000000097,5000,BRL,,,,,,1,DAP,,X,,,,,,,
100,0000001118,3000,CNY,,,,,,2,DAP,,,,,,,,,
100,0000001156,3000,AUD,,,,,,1,CFR,,,,,,,,,
100,0000001821,3000,KRW,,,,,,2,CIF,,,,,,,,,
100,0000001743,5000,JPY,,,,,,,FOB,,X,,,,,,,
100,0000000875,3000,USD,,,,,,,FOB,,,,,,,,,
100,0000001200,4000,GBP,,,,,,1,CIP,,X,,,,,,,
100,0000000981,1000,KRW,,,,,,3,DAT,,,,,,,,,
100,0000000733,3000,EUR,,,,,,1,DAT,,X,,,,,,,
