MANDT,KUNNR,VKORG,VTWEG,SPART,BZIRK,VKBUR,KDGRP,WAERS,ZTERM,INCO1,INCO2,KVGR1,KVGR2,KVGR3,KVGR4,KVGR5
100,0000001425,1000,10,03,,7801,VY,BRL,2/10NET30,DAT,,,,,,
100,0000000028,2000,10,04,,9864,Jc,JPY,0003,CPT,,,,,,
100,0000000464,1000,30,04,,7192,MY,CNY,NT30,EXW,,,,,,
100,0000001449,2000,10,04,,4767,fj,CNY,NT90,EXW,,,,,,
100,0000000505,3000,10,04,,0489,bM,CAD,2/10NET30,CPT,,,,,,
100,0000000452,2000,30,02,,6211,gA,BRL,0003,FCA,,,,,,
100,0000000339,2000,30,04,,9684,Os,CAD,0002,CIF,,,,,,
100,0000001417,3000,30,01,,7944,uS,CAD,0003,DAP,,,,,,
100,0000000030,3000,30,04,,5951,Er,BRL,NT60,DAT,,,,,,
100,0000000354,3000,20,01,,0224,sm,EUR,NT90,DAP,,,,,,
100,0000001347,1000,20,02,,5416,gA,BRL,NT90,CPT,,,,,,
100,0000000554,1000,20,01,,4793,SI,AUD,0002,CIP,,,,,,
100,0000000991,3000,20,01,,6032,tM,BRL,NT30,DAP,,,,,,
100,0000000301,2000,10,01,,3883,rl,JPY,NT90,CPT,,,,,,
100,0000000902,2000,20,01,,9713,tp,CNY,NT30,CPT,,,,,,
100,0000001786,3000,20,02,,3056,Ta,CAD,2/10NET30,CPT,,,,,,
100,0000000795,3000,10,02,,4993,so,KRW,0002,CIP,,,,,,
100,0000001463,1000,30,04,,7098,Be,KRW,2/10NET30,CIP,,,,,,
100,0000001980,1000,30,01,,8567,rM,CAD,0003,EXW,,,,,,
100,0000000956,1000,30,01,,0636,Im,BRL,0001,CIF,,,,,,
100,0000001145,3000,10,03,,6895,Wq,JPY,NT60,CIP,,,,,,
100,0000001342,2000,20,02,,4057,mO,BRL,NT30,CPT,,,,,,
100,0000000337,3000,20,03,,7208,EN,CNY,0002,DAP,,,,,,
100,0000000566,2000,20,03,,0067,aC,GBP,NT90,FOB,,,,,,
100,0000000290,2000,10,00,,2071,LI,CHF,0002,DAT,,,,,,
100,0000001608,3000,20,02,,0789,oP,CHF,2/10NET30,CPT,,,,,,
100,0000001105,2000,10,02,,2415,bQ,CHF,0002,DDP,,,,,,
100,0000001510,2000,20,02,,4607,gB,EUR,NT90,CPT,,,,,,
100,0000001828,2000,30,04,,3534,Ue,CHF,0002,FCA,,,,,,
100,0000000225,1000,10,03,,1927,DK,JPY,NT90,CIF,,,,,,
100,0000001873,3000,20,01,,5856,fn,EUR,0001,DDP,,,,,,
100,0000000065,1000,10,01,,2478,WN,AUD,NT30,FCA,,,,,,
100,0000001926,2000,30,04,,4403,ax,USD,0003,CPT,,,,,,
100,0000000351,3000,20,01,,0136,Ex,GBP,NT30,DAP,,,,,,
100,0000000902,1000,10,01,,3004,Ap,EUR,0003,DDP,,,,,,
100,0000001609,1000,30,04,,2210,QE,GBP,2/10NET30,FCA,,,,,,
100,0000000135,1000,10,00,,8762,iS,GBP,NT60,DAP,,,,,,
100,0000001213,3000,10,01,,0876,rJ,AUD,NT60,FOB,,,,,,
100,0000001222,2000,20,04,,9214,Bi,AUD,0002,DDP,,,,,,
100,0000001644,3000,20,03,,9444,zW,CHF,NT30,CIF,,,,,,
100,0000001307,2000,10,04,,8279,oR,AUD,0001,EXW,,,,,,
100,0000001719,1000,20,02,,4967,Yb,EUR,0002,DAT,,,,,,
100,0000000099,3000,20,00,,4108,fJ,USD,2/10NET30,CFR,,,,,,
100,0000001479,3000,10,04,,8930,Nq,CHF,0002,DAT,,,,,,
100,0000000925,2000,20,03,,0576,wn,USD,0001,EXW,,,,,,
100,0000000210,3000,30,02,,7786,YM,CNY,NT60,FCA,,,,,,
100,0000000720,2000,10,02,,4583,Hu,KRW,NT90,CPT,,,,,,
100,0000001149,2000,10,04,,7542,we,CAD,0003,CFR,,,,,,
100,0000000373,2000,30,01,,7838,sj,BRL,NT30,DAP,,,,,,
100,0000000277,3000,20,04,,3254,Rp,KRW,NT60,DDP,,,,,,
100,0000000861,2000,30,00,,6903,Dr,JPY,0001,DDP,,,,,,
100,0000001649,3000,30,04,,4716,gG,USD,NT30,CIF,,,,,,
100,0000001366,3000,30,01,,7675,od,KRW,NT60,CPT,,,,,,
100,0000001788,1000,30,02,,7029,gq,CHF,0002,FOB,,,,,,
100,0000001057,1000,20,04,,4873,NE,CNY,2/10NET30,FCA,,,,,,
100,0000001094,2000,30,00,,4015,mZ,JPY,NT30,DAP,,,,,,
100,0000001663,1000,20,04,,0643,BI,AUD,0003,EXW,,,,,,
100,0000000221,1000,20,03,,2844,KE,CNY,2/10NET30,FOB,,,,,,
100,0000000849,1000,10,01,,6649,Qs,JPY,NT90,CIF,,,,,,
100,0000001139,3000,20,01,,6889,Fr,KRW,0002,CPT,,,,,,
100,0000000573,1000,20,02,,3668,UC,GBP,NT60,FCA,,,,,,
100,0000001157,1000,20,02,,9742,zv,KRW,NT90,CIP,,,,,,
100,0000000513,3000,30,03,,9158,ja,EUR,NT90,CPT,,,,,,
100,0000000084,3000,30,03,,4877,kl,CNY,NT30,CFR,,,,,,
100,0000000289,3000,10,04,,2837,lv,AUD,0001,FOB,,,,,,
100,0000000406,3000,30,00,,9818,LA,AUD,NT60,CPT,,,,,,
100,0000000359,2000,10,00,,0746,MR,CAD,NT30,DDP,,,,,,
100,0000000383,1000,20,01,,8964,ds,JPY,2/10NET30,DDP,,,,,,
100,0000001181,1000,20,01,,1537,zm,AUD,2/10NET30,EXW,,,,,,
100,0000000276,2000,30,03,,6029,RE,KRW,0001,EXW,,,,,,
100,0000000136,3000,30,03,,0643,iz,BRL,2/10NET30,EXW,,,,,,
100,0000000920,2000,20,04,,3958,MA,CNY,0003,CFR,,,,,,
100,0000000727,3000,10,02,,8070,EU,BRL,NT60,CFR,,,,,,
100,0000000568,2000,20,02,,4816,Qa,CHF,0001,CIP,,,,,,
100,0000001896,3000,10,03,,3645,wc,CNY,NT30,DAT,,,,,,
100,0000001551,2000,30,03,,4721,NA,JPY,0001,FCA,,,,,,
100,0000001576,1000,10,01,,6181,Ha,AUD,NT60,FOB,,,,,,
100,0000001980,2000,30,04,,3050,VE,CAD,0003,CPT,,,,,,
100,0000000039,3000,30,02,,0291,Yn,JPY,NT30,FCA,,,,,,
100,0000001775,2000,30,02,,9503,bA,JPY,0003,DAP,,,,,,
100,0000000274,3000,20,04,,5362,LK,USD,2/10NET30,CFR,,,,,,
100,0000000667,2000,30,01,,5378,jw,CHF,NT60,DAP,,,,,,
100,0000000835,3000,30,02,,7075,iG,USD,NT60,CPT,,,,,,
100,0000001044,1000,10,04,,2747,vT,CNY,0002,DDP,,,,,,
100,0000000587,3000,20,00,,4657,LX,CNY,NT90,DDP,,,,,,
100,0000001107,3000,20,04,,2170,iS,KRW,NT90,DAP,,,,,,
100,0000001349,3000,10,04,,9329,OP,KRW,NT90,CIP,,,,,,
100,0000001664,3000,10,04,,9095,Jx,CNY,NT60,CFR,,,,,,
100,0000001777,2000,10,04,,0554,Ci,CAD,0001,DDP,,,,,,
100,0000001582,1000,20,03,,9727,DU,BRL,0003,FCA,,,,,,
100,0000001328,1000,20,00,,7317,Ni,CHF,NT60,DDP,,,,,,
100,0000000902,1000,20,02,,9156,At,CHF,0001,FOB,,,,,,
100,0000000996,1000,10,04,,8280,Yx,AUD,0002,CIP,,,,,,
100,0000000240,2000,10,01,,0397,wW,KRW,0003,CIF,,,,,,
100,0000001691,3000,10,02,,9489,qh,CAD,0002,CIF,,,,,,
100,0000001566,3000,30,01,,4608,vt,USD,NT60,DAT,,,,,,
100,0000001908,2000,20,03,,0248,JS,EUR,0003,FOB,,,,,,
100,0000000419,3000,20,02,,1620,Fx,KRW,2/10NET30,FOB,,,,,,
100,0000001559,2000,10,04,,7211,YD,CHF,0001,CIF,,,,,,
100,0000000647,1000,10,02,,6537,Lk,CAD,0002,FCA,,,,,,
100,0000001394,3000,10,01,,2202,DY,CHF,NT30,CIF,,,,,,
100,0000001840,1000,10,04,,5373,Qk,KRW,0003,DDP,,,,,,
100,0000000635,2000,30,01,,1968,qG,USD,2/10NET30,DAP,,,,,,
100,0000000490,3000,10,00,,1988,rU,GBP,0003,DAP,,,,,,
100,0000000514,3000,10,04,,7621,ki,BRL,2/10NET30,DAT,,,,,,
100,0000000533,2000,10,00,,4111,zM,GBP,0001,DAT,,,,,,
100,0000001452,2000,20,00,,8162,Sr,USD,2/10NET30,CPT,,,,,,
100,0000001131,2000,10,01,,8286,ya,AUD,0003,CIP,,,,,,
100,0000000607,1000,10,03,,0508,Xr,CAD,NT90,CFR,,,,,,
100,0000001038,1000,10,01,,9922,WQ,CHF,NT60,DDP,,,,,,
100,0000001721,3000,10,03,,9633,jX,KRW,0003,FCA,,,,,,
100,0000001123,1000,30,02,,8717,qh,BRL,0001,DDP,,,,,,
100,0000001785,2000,30,04,,9010,yj,GBP,0002,DDP,,,,,,
100,0000001249,2000,20,03,,8348,ck,GBP,0001,DDP,,,,,,
100,0000001249,2000,30,02,,9288,yS,USD,NT30,CFR,,,,,,
100,0000001062,2000,20,04,,5429,Xg,EUR,0001,EXW,,,,,,
100,0000000401,3000,30,00,,6855,pC,EUR,2/10NET30,FCA,,,,,,
100,0000001103,2000,30,03,,8656,JK,CHF,NT60,CIF,,,,,,
100,0000000554,2000,30,02,,1471,DU,CAD,NT60,CFR,,,,,,
100,0000001762,2000,10,01,,7888,qL,BRL,NT90,CFR,,,,,,
100,0000000252,1000,10,00,,3085,oI,CHF,NT90,FCA,,,,,,
100,0000000193,1000,10,01,,3768,Mz,EUR,NT60,FOB,,,,,,
100,0000001840,3000,10,00,,5158,CH,CAD,2/10NET30,CPT,,,,,,
100,0000001103,2000,20,03,,4202,ex,BRL,NT90,EXW,,,,,,
100,0000000066,3000,10,01,,5984,Kl,CHF,NT30,DAT,,,,,,
100,0000000927,1000,20,03,,3612,fv,KRW,NT90,FCA,,,,,,
100,0000001489,3000,20,00,,1509,cq,BRL,NT90,FCA,,,,,,
100,0000001653,2000,20,00,,7000,Jd,CHF,NT90,EXW,,,,,,
100,0000000277,3000,30,04,,9571,DU,EUR,NT30,EXW,,,,,,
100,0000000974,1000,20,04,,7188,gK,CHF,NT30,CFR,,,,,,
100,0000000833,3000,20,03,,1734,eM,EUR,0002,DDP,,,,,,
100,0000001005,1000,20,00,,4136,bI,USD,NT90,EXW,,,,,,
100,0000001064,3000,30,04,,8082,Bt,CNY,0003,DAT,,,,,,
100,0000000771,3000,30,01,,9939,TN,CHF,0001,DDP,,,,,,
100,0000001678,1000,20,02,,4554,YX,CNY,NT60,FOB,,,,,,
100,0000000537,3000,30,03,,4760,fq,AUD,0001,DAT,,,,,,
100,0000000585,3000,10,00,,9162,Vu,BRL,0001,DAT,,,,,,
100,0000000239,1000,10,00,,7613,qa,USD,NT30,DAP,,,,,,
100,0000001484,3000,30,03,,2342,aq,BRL,0003,FCA,,,,,,
100,0000000055,2000,20,04,,6289,fj,BRL,0003,DAT,,,,,,
100,0000000667,3000,20,04,,5103,cj,GBP,0001,CIF,,,,,,
100,0000001545,1000,20,01,,5012,qI,EUR,NT60,CPT,,,,,,
100,0000000662,3000,10,01,,6227,jU,JPY,0002,CIP,,,,,,
100,0000001729,2000,10,04,,6644,ri,EUR,NT30,EXW,,,,,,
100,0000001505,2000,30,02,,1796,qJ,CHF,0001,DAP,,,,,,
100,0000001399,1000,10,02,,7803,oz,USD,NT60,CFR,,,,,,
100,0000000219,2000,20,04,,0959,vZ,JPY,NT90,CIF,,,,,,
100,0000001932,3000,10,01,,6630,yJ,BRL,0003,CIF,,,,,,
100,0000001273,2000,30,01,,2916,XH,CNY,NT60,FOB,,,,,,
100,0000001680,3000,20,02,,1386,oX,CAD,NT30,CIP,,,,,,
100,0000001220,2000,20,04,,3483,wY,CNY,NT30,CIP,,,,,,
100,0000001280,1000,20,02,,7647,DU,CNY,NT90,DAT,,,,,,
100,0000000245,2000,30,04,,6925,jI,CNY,NT60,EXW,,,,,,
100,0000000339,1000,10,04,,5960,Ip,USD,NT60,EXW,,,,,,
100,0000000138,2000,10,02,,8941,fP,BRL,NT30,FOB,,,,,,
100,0000001818,1000,10,02,,4516,IV,KRW,NT90,CFR,,,,,,
100,0000001914,2000,20,00,,7423,wO,CNY,NT60,CFR,,,,,,
100,0000001769,1000,10,01,,8928,Zl,CNY,NT30,EXW,,,,,,
100,0000001974,1000,10,00,,3951,hI,AUD,0003,CIF,,,,,,
100,0000000978,1000,30,02,,8619,JS,KRW,2/10NET30,FOB,,,,,,
100,0000000894,1000,10,03,,0877,fc,KRW,0003,DAT,,,,,,
100,0000000455,2000,30,01,,7747,HI,CHF,NT30,FCA,,,,,,
100,0000000591,3000,20,04,,0572,Az,CNY,NT60,FOB,,,,,,
100,0000000214,2000,10,04,,1087,KB,CHF,NT60,CPT,,,,,,
100,0000001853,3000,30,03,,8301,Gw,BRL,0001,DDP,,,,,,
100,0000000966,2000,10,03,,6410,Vd,KRW,NT60,FOB,,,,,,
100,0000000163,2000,30,04,,6090,gK,JPY,NT90,FCA,,,,,,
200,0000000588,3000,10,01,,5649,Ie,USD,0003,FCA,,,,,,
100,0000000719,2000,20,00,,5127,hC,CHF,2/10NET30,EXW,,,,,,
100,0000000944,3000,30,00,,9583,qr,KRW,NT60,CFR,,,,,,
100,0000000490,2000,30,03,,4490,YB,EUR,NT60,EXW,,,,,,
100,0000000835,1000,10,04,,7525,Qs,EUR,0003,CIF,,,,,,
100,0000000824,1000,10,03,,4676,bs,BRL,NT30,CPT,,,,,,
100,0000000788,3000,10,01,,3555,ef,JPY,NT90,CFR,,,,,,
100,0000000866,3000,30,04,,0126,Vj,JPY,NT60,DAP,,,,,,
100,0000001149,3000,10,00,,0557,sk,JPY,0002,EXW,,,,,,
100,0000000266,2000,20,03,,0274,hS,BRL,2/10NET30,CPT,,,,,,
100,0000001938,2000,10,04,,5198,IF,CHF,0001,FCA,,,,,,
100,0000000706,3000,10,04,,9532,Ko,USD,2/10NET30,FCA,,,,,,
100,0000001793,2000,20,00,,8646,mz,JPY,NT90,CPT,,,,,,
100,0000000030,1000,20,04,,9381,Pb,KRW,NT60,FCA,,,,,,
100,0000001024,1000,10,01,,6511,zb,JPY,2/10NET30,FOB,,,,,,
100,0000000841,1000,30,03,,5660,iu,KRW,0001,DAP,,,,,,
100,0000000195,3000,20,00,,7921,hG,KRW,NT60,CIF,,,,,,
100,0000001597,1000,10,04,,5928,dB,CAD,0003,FOB,,,,,,
100,0000000207,3000,20,01,,0406,se,CAD,NT30,EXW,,,,,,
100,0000000708,3000,10,02,,8453,jI,KRW,0002,FOB,,,,,,
100,0000001355,1000,10,02,,3728,oj,GBP,NT30,DAP,,,,,,
100,0000001498,1000,20,00,,4301,cs,GBP,2/10NET30,DAP,,,,,,
100,0000000521,2000,30,02,,2308,Qj,USD,0003,CFR,,,,,,
100,0000000126,3000,10,02,,3248,FB,USD,0001,DAT,,,,,,
100,0000000532,2000,10,01,,3097,zG,AUD,NT30,FOB,,,,,,
100,0000000555,1000,10,04,,0523,RU,USD,0003,CFR,,,,,,
100,0000000083,3000,30,00,,6772,hA,CAD,NT30,CIF,,,,,,
100,0000001493,2000,20,01,,5456,ue,AUD,NT90,DDP,,,,,,
100,0000000584,2000,10,00,,4588,BU,EUR,NT60,CFR,,,,,,
100,0000000693,3000,30,04,,8210,Og,AUD,NT90,CIP,,,,,,
100,0000001527,1000,30,01,,2646,Pt,CAD,0003,EXW,,,,,,
100,0000000777,1000,30,01,,8604,lT,USD,2/10NET30,FCA,,,,,,
100,0000000358,2000,10,03,,9890,eh,BRL,0003,FCA,,,,,,
100,0000001129,2000,20,01,,5114,BA,USD,0003,DDP,,,,,,
100,0000000652,3000,10,00,,9026,Rj,CHF,2/10NET30,FCA,,,,,,
100,0000001943,3000,20,00,,8883,GS,BRL,NT30,FCA,,,,,,
100,0000001793,3000,10,04,,4315,wR,USD,NT60,EXW,,,,,,
100,0000000317,3000,10,03,,6926,By,JPY,0001,FCA,,,,,,
100,0000001003,2000,20,03,,7394,vh,KRW,2/10NET30,CIP,,,,,,
100,0000001224,2000,20,03,,1297,ZR,EUR,0002,CIF,,,,,,
100,0000000649,3000,30,01,,7353,XJ,KRW,NT30,DAP,,,,,,
100,0000000700,1000,20,03,,2429,Xn,CAD,NT30,FCA,,,,,,
100,0000000281,2000,30,01,,0945,dj,CHF,NT60,EXW,,,,,,
100,0000001340,2000,20,01,,6030,mI,JPY,NT30,EXW,,,,,,
100,0000000736,3000,20,00,,3605,hm,BRL,0001,FCA,,,,,,
100,0000001766,3000,30,02,,0416,ed,CHF,NT90,DDP,,,,,,
100,0000001443,1000,30,01,,8780,Yc,CNY,NT30,CPT,,,,,,
100,0000001277,1000,30,00,,0087,LJ,JPY,0001,EXW,,,,,,
100,0000000246,1000,30,03,,1114,OY,CAD,0001,FCA,,,,,,
100,0000001579,1000,30,04,,9280,VY,JPY,0002,DDP,,,,,,
100,0000001884,1000,30,02,,5375,NT,EUR,2/10NET30,DDP,,,,,,
100,0000000619,1000,10,04,,3652,xP,BRL,0002,DAP,,,,,,
100,0000001960,3000,30,01,,7195,of,CNY,2/10NET30,CFR,,,,,,
100,0000000054,3000,30,04,,3802,fn,CHF,NT60,FCA,,,,,,
100,0000001887,3000,20,00,,8312,vp,CNY,2/10NET30,CIF,,,,,,
100,0000001439,3000,10,01,,4596,oc,KRW,NT60,DAT,,,,,,
100,0000000135,1000,30,02,,4683,Yp,CHF,NT30,CIF,,,,,,
100,0000001039,3000,30,02,,4986,Jz,AUD,2/10NET30,CFR,,,,,,
100,0000001145,3000,10,00,,4019,ZQ,BRL,NT90,DAT,,,,,,
100,0000000407,1000,10,03,,2568,hB,EUR,2/10NET30,FCA,,,,,,
100,0000000179,2000,10,00,,4964,fz,KRW,0001,CIF,,,,,,
100,0000001019,1000,30,01,,8989,NG,JPY,0003,DAT,,,,,,
100,0000000932,1000,30,00,,6453,Eg,AUD,NT90,CIF,,,,,,
100,0000000631,1000,20,00,,7336,uD,JPY,NT60,FOB,,,,,,
100,0000001345,3000,30,01,,5318,iw,USD,NT60,DAT,,,,,,
100,0000001510,1000,20,01,,8090,ys,AUD,2/10NET30,CIF,,,,,,
100,0000000315,3000,30,04,,7591,qL,CAD,NT60,FOB,,,,,,
100,0000000990,1000,30,02,,9981,IX,USD,NT90,CIF,,,,,,
100,0000000425,3000,20,02,,8849,Pe,AUD,0001,FCA,,,,,,
100,0000000478,1000,10,04,,0780,oY,BRL,0003,CIF,,,,,,
100,0000001735,1000,30,03,,9602,zS,USD,NT60,CIF,,,,,,
100,0000001570,1000,20,00,,1649,Ga,BRL,0002,CIP,,,,,,
100,0000001152,2000,20,00,,7439,LX,EUR,2/10NET30,EXW,,,,,,
100,0000000264,3000,30,01,,3350,FG,JPY,0001,CIP,,,,,,
100,0000000018,3000,10,00,,5591,XQ,BRL,NT30,DAP,,,,,,
100,0000001608,2000,10,03,,3652,Mg,USD,NT90,CIP,,,,,,
100,0000000305,2000,10,01,,5584,ra,AUD,NT60,CFR,,,,,,
100,0000000758,1000,30,03,,5871,Nh,KRW,NT60,CIF,,,,,,
100,0000001063,3000,20,01,,0089,Ew,USD,2/10NET30,CFR,,,,,,
100,0000001945,1000,20,03,,0353,gQ,AUD,NT30,CPT,,,,,,
100,0000000304,3000,10,04,,0876,Vj,BRL,NT60,DAT,,,,,,
100,0000000885,3000,30,03,,4652,jn,BRL,0001,DAT,,,,,,
100,0000001035,3000,20,00,,3622,nD,CAD,0002,FOB,,,,,,
100,0000000153,2000,20,03,,5502,eS,GBP,NT60,DAT,,,,,,
100,0000001409,2000,20,02,,6167,TY,CHF,0001,DAT,,,,,,
100,0000001768,1000,10,04,,4463,Ap,CNY,0001,CIP,,,,,,
100,0000001676,2000,30,00,,7310,Ob,JPY,0001,CFR,,,,,,
100,0000000430,3000,20,00,,1552,Ee,CHF,NT90,DDP,,,,,,
100,0000000419,3000,10,02,,0112,Ti,BRL,NT60,CIF,,,,,,
100,0000000791,2000,10,00,,6185,eJ,CAD,2/10NET30,CIF,,,,,,
100,0000000758,3000,30,02,,5474,Bb,USD,0002,FCA,,,,,,
100,0000001118,1000,20,03,,6626,Bl,CAD,2/10NET30,DDP,,,,,,
100,0000001821,1000,30,02,,8404,TD,EUR,0003,CPT,,,,,,
100,0000001939,3000,20,04,,1993,gX,BRL,2/10NET30,DAP,,,,,,
100,0000000065,2000,30,01,,3320,hB,USD,0002,CFR,,,,,,
100,0000001530,1000,10,00,,4709,Ag,BRL,0002,FOB,,,,,,
100,0000001478,3000,30,03,,1129,bB,CNY,NT90,CFR,,,,,,
100,0000001367,2000,30,00,,4306,CR,BRL,NT90,CFR,,,,,,
100,0000001469,1000,20,00,,1457,nt,USD,NT60,DAT,,,,,,
100,0000001178,1000,20,03,,8751,wJ,GBP,NT60,CPT,,,,,,
100,0000001489,3000,30,01,,9423,LK,USD,2/10NET30,CFR,,,,,,
100,0000001885,3000,10,02,,5141,eW,CAD,0002,FCA,,,,,,
100,0000001887,3000,20,02,,7601,PM,AUD,NT60,FOB,,,,,,
100,0000000981,3000,30,01,,0262,fP,BRL,NT90,DAT,,,,,,
100,0000001351,3000,30,03,,6679,gh,JPY,0003,DDP,,,,,,
100,0000001857,2000,20,04,,6846,uP,USD,0003,CIP,,,,,,
100,0000000384,3000,20,00,,0607,eV,JPY,NT60,FOB,,,,,,
100,0000001759,3000,30,04,,9315,fK,CNY,2/10NET30,CIF,,,,,,
100,0000001522,2000,30,04,,5551,vI,AUD,NT30,FOB,,,,,,
100,0000001723,1000,10,01,,4568,wM,EUR,0002,CIF,,,,,,
100,0000001051,1000,20,04,,9884,IV,EUR,NT90,EXW,,,,,,
100,0000001562,3000,20,03,,1215,Ga,CNY,NT30,EXW,,,,,,
100,0000000449,2000,20,03,,6855,Fb,BRL,0003,DDP,,,,,,
100,0000000561,2000,20,00,,3236,Dy,CAD,0002,CPT,,,,,,
100,0000001281,2000,30,04,,0770,pO,CNY,NT60,CIP,,,,,,
100,0000000304,3000,10,00,,4808,nX,CAD,0001,DAT,,,,,,
100,0000000576,1000,20,00,,7201,xm,EUR,2/10NET30,EXW,,,,,,
100,0000001283,2000,30,02,,4573,rF,CAD,NT60,FCA,,,,,,
100,0000001816,3000,20,02,,4700,Kc,CAD,2/10NET30,CPT,,,,,,
100,0000001537,3000,20,02,,7917,xy,CHF,NT90,EXW,,,,,,
100,0000001688,3000,30,03,,1031,cg,JPY,0001,EXW,,,,,,
100,0000000916,2000,30,00,,1277,Rx,JPY,NT30,DDP,,,,,,
100,0000001388,1000,10,03,,5522,kN,CHF,2/10NET30,EXW,,,,,,
100,0000000171,2000,10,03,,0110,iy,GBP,2/10NET30,DDP,,,,,,
100,0000000376,2000,20,03,,9324,Ri,CAD,0003,DDP,,,,,,
100,0000001139,1000,20,04,,2251,Tq,CNY,NT30,DDP,,,,,,
100,0000001159,3000,30,04,,4616,Va,CHF,0001,DDP,,,,,,
100,0000001727,2000,20,03,,1626,Oa,USD,NT60,CFR,,,,,,
100,0000000155,1000,20,01,,5457,Ib,CNY,0003,FOB,,,,,,
100,0000000848,1000,10,03,,4175,ts,USD,0001,CPT,,,,,,
100,0000000985,1000,30,03,,4438,Kl,KRW,NT30,DAP,,,,,,
100,0000001585,3000,10,00,,8650,BR,CNY,0003,FCA,,,,,,
100,0000000719,2000,10,04,,9081,DA,BRL,2/10NET30,EXW,,,,,,
100,0000000634,3000,10,01,,7215,Rl,USD,0001,EXW,,,,,,
100,0000001176,3000,20,00,,4715,dt,BRL,0003,DAP,,,,,,
100,0000000939,3000,10,02,,1370,Ux,BRL,NT60,FCA,,,,,,
100,0000001093,1000,30,02,,6272,aL,KRW,NT30,CIF,,,,,,
100,0000001808,1000,20,00,,2418,xy,EUR,NT30,CIP,,,,,,
100,0000000886,1000,20,01,,9670,xG,GBP,0003,FCA,,,,,,
100,0000001976,2000,20,03,,7989,Pi,KRW,0001,CPT,,,,,,
100,0000001204,2000,10,03,,5067,Bj,CHF,0002,FOB,,,,,,
100,0000000979,1000,10,03,,4490,EZ,CAD,0003,DAT,,,,,,
100,0000001781,3000,30,00,,6958,Wz,EUR,0003,CIF,,,,,,
100,0000000824,1000,30,04,,7304,ro,EUR,NT90,DDP,,,,,,
100,0000000444,3000,20,00,,1687,kM,KRW,0002,CPT,,,,,,
100,0000000047,2000,10,04,,2002,SY,USD,0002,DDP,,,,,,
100,0000000772,1000,20,00,,2696,rv,AUD,NT30,EXW,,,,,,
100,0000001205,2000,30,02,,3262,kE,EUR,0003,FCA,,,,,,
100,0000000171,2000,30,02,,3848,TX,EUR,0001,FOB,,,,,,
100,0000000316,1000,30,00,,1077,nT,AUD,0002,CFR,,,,,,
100,0000001084,2000,30,00,,9963,Bz,CHF,NT30,CPT,,,,,,
100,0000000123,3000,20,04,,7202,KO,CAD,0003,FOB,,,,,,
100,0000000560,3000,30,03,,9553,UI,CAD,0001,EXW,,,,,,
100,0000001812,3000,10,03,,7746,XN,USD,0001,FOB,,,,,,
100,0000001739,2000,20,00,,2907,Jm,CNY,NT30,FCA,,,,,,
100,0000000325,2000,20,00,,0419,CL,JPY,NT60,DAP,,,,,,
100,0000001971,1000,30,00,,7884,Lk,EUR,NT30,CIF,,,,,,
100,0000001412,2000,30,01,,3479,UA,AUD,0001,DAT,,,,,,
100,0000000598,1000,30,00,,9959,zJ,CAD,2/10NET30,DDP,,,,,,
100,0000001671,3000,20,00,,0302,rF,JPY,NT90,CIF,,,,,,
100,0000000281,3000,20,04,,2290,jz,GBP,2/10NET30,DDP,,,,,,
100,0000001435,1000,30,02,,8949,Qf,GBP,0001,DDP,,,,,,
