PRODUCT_NUMBER,PRODUCT_TYPE,BASE_UNIT,WEIGHT,WEIGHT_UNIT,VOLUME,VOLUME_UNIT,PRODUCT_GROUP,DIVISION,ERDAT
P000000107,NLAG,KG,312.873,KG,77.124,M3,MECH,04,2024-10-11
P000000108,DIEN,PC,688.616,KG,58.155,L,MECH,04,2023-06-15
P000000109,ROH,L,792.341,KG,45.002,L,MECH,01,2019-12-16
P000000110,NLAG,EA,52.008,KG,28.236,L,MECH,03,2019-05-25
P000000111,ROH,EA,412.457,KG,46.536,M3,MECH,01,2022-06-02
P000000112,ROH,EA,587.992,KG,14.417,L,MECH,02,2015-06-29
P000000113,ROH,L,724.052,KG,93.012,CM3,MECH,01,2020-11-19
P000000114,FERT,EA,383.21,KG,0.309,M3,MECH,01,2024-02-13
P000000115,NLAG,EA,721.761,KG,0.896,CM3,MECH,01,2021-03-13
P000000116,HALB,L,984.219,KG,13.243,M3,MECH,04,2013-04-17
P000000117,HALB,EA,930.694,KG,1.661,L,MECH,01,2011-07-28
P000000118,DIEN,EA,778.488,KG,38.882,CM3,MECH,01,2022-12-03
P000000119,HALB,M2,997.264,KG,56.13,M3,MECH,04,2013-04-12
P000000120,ROH,M2,970.719,KG,3.897,M3,MECH,04,2011-11-18
P000000121,ROH,PC,565.115,KG,48.07,CM3,MECH,01,2012-02-24
P000000122,ROH,KG,123.118,KG,12.859,L,MECH,02,2016-04-08
P000000123,FERT,M3,682.558,KG,9.839,M3,MECH,01,2019-02-27
P000000124,ROH,KG,20.722,KG,65.759,M3,MECH,02,2017-11-07
P000000125,ROH,EA,159.574,KG,75.659,M3,MECH,01,2015-04-21
P000000126,ROH,KG,259.888,KG,88.659,CM3,MECH,03,2023-10-05
P000000127,ROH,EA,847.336,KG,17.777,L,MECH,02,2018-07-22
P000000128,ROH,PC,750.662,KG,81.476,CM3,MECH,02,2017-07-31
P000000129,ROH,EA,89.424,KG,12.614,M3,MECH,01,2019-03-17
P000000130,ROH,L,766.599,KG,47.459,M3,MECH,01,2019-03-03
P000000131,ROH,EA,143.611,KG,19.968,M3,MECH,01,2018-10-09
P000000132,HALB,L,811.722,KG,40.111,L,MECH,01,2015-04-03
P000000133,ROH,M,214.92,KG,54.08,M3,MECH,04,2013-08-03
P000000134,FERT,M3,419.311,KG,55.21,L,MECH,04,2019-03-25
P000000135,HALB,M,443.846,KG,2.156,CM3,MECH,04,2016-06-19
P000000136,ROH,L,79.351,KG,95.663,CM3,MECH,03,2021-12-23
P000000137,ROH,KG,738.544,KG,60.081,M3,MECH,01,2013-08-13
P000000138,DIEN,L,965.091,KG,32.854,CM3,MECH,04,2019-10-14
P000000139,NLAG,L,622.758,KG,64.285,L,MECH,02,2022-08-22
P000000140,ROH,EA,534.042,KG,23.873,CM3,MECH,01,2019-09-01
P000000141,FERT,M2,290.438,KG,20.704,M3,MECH,01,2014-05-22
P000000142,NLAG,KG,539.455,KG,84.191,M3,MECH,01,2018-09-03
P000000143,ROH,EA,639.626,KG,96.858,CM3,MECH,01,2014-04-20
P000000144,ROH,M3,786.923,KG,0.266,M3,MECH,01,2021-02-19
P000000145,HALB,L,353.228,KG,10.435,CM3,MECH,01,2012-02-12
P000000146,FERT,EA,897.859,KG,85.874,L,MECH,02,2014-12-02
P000000147,ROH,M2,453.554,KG,62.774,CM3,MECH,02,2012-10-21
P000000148,NLAG,L,327.514,KG,90.969,L,MECH,01,2022-09-10
P000000149,ROH,KG,958.47,KG,69.392,L,MECH,04,2023-04-10
P000000150,ROH,L,856.02,KG,34.044,M3,MECH,02,2020-02-03
P000000151,ROH,M3,932.713,KG,31.586,L,MECH,01,2019-02-25
P000000152,ROH,M3,939.241,KG,84.578,L,MECH,04,2012-11-16
P000000153,NLAG,M,387.56,KG,41.534,M3,MECH,03,2022-05-12
P000000154,FERT,EA,629.83,KG,20.922,M3,MECH,01,2012-07-17
P000000155,FERT,EA,633.338,KG,61.902,M3,MECH,01,2026-06-04
P000000156,ROH,M3,758.978,KG,44.538,M3,MECH,04,2016-06-13
P000000157,ROH,EA,106.39,KG,75.057,CM3,MECH,02,2016-08-22
P000000158,ROH,M2,396.28,KG,63.076,M3,MECH,01,2014-05-30
P000000159,ROH,KG,852.029,KG,18.219,L,MECH,01,2021-09-25
P000000160,ROH,KG,729.002,KG,68.024,L,MECH,01,2016-06-30
P000000161,ROH,KG,142.632,KG,53.487,CM3,MECH,01,2024-03-19
P000000162,FERT,EA,987.562,KG,75.11,L,MECH,02,2015-09-25
P000000163,ROH,M,850.801,KG,80.069,L,MECH,02,2018-04-27
P000000164,ROH,M2,125.01,KG,58.341,M3,MECH,03,2026-02-14
P000000165,HALB,M,877.348,KG,61.348,L,MECH,03,2014-04-22
P000000166,HALB,PC,512.531,KG,53.796,M3,MECH,01,2019-07-31
P000000167,DIEN,EA,867.558,KG,61.128,CM3,MECH,04,2024-02-27
P000000168,ROH,L,42.195,KG,79.852,M3,MECH,01,2024-11-07
P000000169,FERT,KG,214.508,KG,38.925,L,MECH,02,2024-02-15
P000000170,DIEN,KG,682.996,KG,99.101,CM3,MECH,04,2017-06-09
P000000171,DIEN,M2,49.266,KG,46.719,M3,MECH,02,2016-09-05
P000000172,NLAG,KG,340.637,KG,59.919,M3,MECH,02,2020-05-20
P000000173,DIEN,M,237.779,KG,68.849,M3,MECH,01,2013-09-27
P000000174,FERT,L,394.408,KG,8.117,L,MECH,01,2018-09-18
P000000175,ROH,PC,755.326,KG,66.424,L,MECH,04,2025-05-04
P000000176,DIEN,EA,154.61,KG,44.7,M3,MECH,01,2015-08-05
P000000177,ROH,PC,583.804,KG,25.658,M3,MECH,01,2017-12-20
P000000178,ROH,EA,408.73,KG,22.055,CM3,MECH,02,2018-05-29
P000000179,FERT,EA,356.941,KG,79.864,L,MECH,01,2012-11-15
P000000180,NLAG,M3,174.763,KG,62.476,CM3,MECH,02,2015-08-27
P000000181,ROH,M3,674.195,KG,25.222,L,MECH,03,2014-04-30
P000000182,ROH,M2,509.035,KG,88.105,CM3,MECH,03,2011-09-22
P000000183,ROH,L,570.899,KG,3.467,M3,MECH,01,2024-12-02
P000000184,ROH,M2,275.408,KG,18.995,M3,MECH,03,2017-06-25
P000000185,DIEN,M,694.956,KG,28.922,M3,MECH,04,2016-02-28
P000000186,HALB,EA,293.191,KG,83.561,CM3,MECH,02,2015-03-07
P000000187,DIEN,M2,928.834,KG,52.077,CM3,MECH,02,2024-05-18
P000000188,ROH,EA,617.955,KG,3.624,L,MECH,03,2016-04-10
P000000189,DIEN,M3,797.831,KG,29.97,L,MECH,01,2019-11-24
P000000190,NLAG,EA,577.603,KG,48.777,M3,MECH,01,2017-11-20
P000000191,ROH,EA,721.539,KG,8.977,CM3,MECH,01,2019-08-26
P000000192,HALB,M,289.867,KG,43.232,CM3,MECH,02,2016-11-23
P000000193,FERT,L,468.405,KG,60.309,CM3,MECH,04,2022-05-03
P000000194,ROH,PC,783.848,KG,10.685,L,MECH,01,2025-02-25
P000000195,ROH,L,424.365,KG,16.501,M3,MECH,01,2021-11-12
P000000196,ROH,PC,431.086,KG,48.968,L,MECH,01,2023-08-19
P000000197,FERT,PC,9.377,KG,17.048,M3,MECH,01,2018-10-02
P000000198,ROH,M2,650.612,KG,48.998,CM3,MECH,01,2017-07-17
P000000199,FERT,EA,708.274,KG,72.171,CM3,MECH,01,2013-09-19
P000000200,FERT,M,1.649,KG,91.993,M3,MECH,01,2022-01-24
P000000201,ROH,M2,491.79,KG,71.449,CM3,MECH,03,2014-07-13
P000000202,DIEN,KG,227.319,KG,54.018,M3,MECH,01,2019-04-07
P000000203,NLAG,L,569.905,KG,88.433,M3,MECH,04,2024-02-13
P000000204,ROH,EA,389.758,KG,20.496,M3,MECH,03,2019-11-24
P000000205,NLAG,PC,29.773,KG,10.814,L,MECH,01,2021-06-13
P000000206,ROH,M,802.362,KG,42.031,L,MECH,03,2012-04-20
P000000207,ROH,KG,580.825,KG,60.441,CM3,MECH,04,2013-08-03
P000000208,ROH,M2,723.525,KG,40.364,CM3,MECH,01,2012-07-16
P000000209,FERT,L,457.408,KG,29.551,CM3,MECH,03,2023-09-12
P000000210,ROH,M3,976.733,KG,18.191,CM3,MECH,01,2019-08-25
P000000211,ROH,EA,654.626,KG,63.475,CM3,MECH,03,2012-04-24
P000000212,NLAG,PC,538.094,KG,24.519,L,MECH,01,2020-08-21
P000000213,ROH,M,827.894,KG,7.233,CM3,MECH,01,2012-03-31
P000000214,ROH,L,558.346,KG,10.473,L,MECH,03,2014-04-29
P000000215,ROH,EA,967.157,KG,43.838,CM3,MECH,02,2022-05-04
P000000216,ROH,EA,268.858,KG,54.542,M3,MECH,01,2017-11-29
P000000217,NLAG,EA,894.142,KG,19.037,M3,MECH,01,2013-11-03
P000000218,NLAG,L,74.565,KG,51.225,CM3,MECH,04,2025-04-06
P000000219,DIEN,KG,353.429,KG,54.529,CM3,MECH,02,2016-07-03
P000000220,ROH,M3,751.073,KG,79.893,CM3,MECH,03,2014-03-05
P000000221,ROH,KG,429.498,KG,8.341,M3,MECH,01,2018-04-25
P000000222,ROH,L,855.337,KG,45.975,CM3,MECH,03,2022-08-20
P000000223,FERT,M,909.5,KG,74.536,CM3,MECH,02,2013-06-16
P000000224,ROH,EA,65.156,KG,15.899,CM3,MECH,01,2019-06-21
P000000225,HALB,EA,439.412,KG,97.842,M3,MECH,01,2020-08-14
P000000226,DIEN,EA,938.807,KG,12.233,CM3,MECH,04,2022-08-31
P000000227,ROH,PC,818.797,KG,83.346,M3,MECH,03,2019-11-09
P000000228,HALB,L,600.841,KG,73.55,M3,MECH,03,2014-06-30
P000000229,FERT,M,141.181,KG,53.772,M3,MECH,01,2016-04-02
P000000230,ROH,EA,48.151,KG,26.257,M3,MECH,04,2020-09-10
P000000231,ROH,M2,134.561,KG,13.433,CM3,MECH,01,2013-03-07
P000000232,ROH,EA,230.3,KG,7.896,L,MECH,01,2018-09-25
P000000233,NLAG,EA,895.639,KG,62.169,M3,MECH,01,2025-08-14
P000000234,NLAG,EA,377.577,KG,23.143,L,MECH,01,2020-10-21
P000000235,ROH,M,868.623,KG,99.556,CM3,MECH,04,2021-02-11
P000000236,ROH,KG,661.558,KG,23.053,M3,MECH,04,2025-12-30
P000000237,ROH,M,608.928,KG,69.142,L,MECH,01,2018-10-06
P000000238,FERT,M,44.894,KG,47.559,M3,MECH,01,2022-11-19
P000000239,HALB,EA,702.489,KG,29.059,L,MECH,01,2023-03-17
P000000240,ROH,L,944.196,KG,78.76,CM3,MECH,01,2014-05-16
P000000241,HALB,L,167.079,KG,28.167,M3,MECH,02,2011-12-27
P000000242,NLAG,PC,538.448,KG,23.578,CM3,MECH,03,2012-04-18
P000000243,ROH,EA,197.619,KG,16.456,M3,MECH,02,2020-08-29
P000000244,ROH,EA,609.53,KG,37.642,L,MECH,02,2024-04-18
P000000245,ROH,PC,191.688,KG,67.97,CM3,MECH,01,2023-01-10
P000000246,FERT,KG,673.736,KG,19.046,M3,MECH,03,2017-03-13
P000000247,HALB,EA,634.476,KG,16.281,CM3,MECH,02,2024-02-04
P000000248,NLAG,L,774.94,KG,0.904,L,MECH,01,2025-04-26
P000000249,NLAG,M3,793.307,KG,41.268,L,MECH,04,2014-03-02
P000000250,ROH,M2,446.432,KG,66.781,CM3,MECH,03,2019-01-07
P000000251,ROH,M,752.343,KG,37.142,CM3,MECH,03,2021-06-21
P000000252,FERT,EA,18.417,KG,82.049,L,MECH,03,2025-06-22
P000000253,ROH,PC,728.197,KG,73.569,CM3,MECH,04,2024-06-02
P000000254,ROH,EA,209.146,KG,41.918,L,MECH,03,2025-02-25
P000000255,NLAG,M3,970.122,KG,90.911,CM3,MECH,04,2024-06-23
P000000256,NLAG,EA,206.575,KG,88.899,CM3,MECH,01,2022-08-30
P000000257,ROH,L,861.581,KG,97.92,CM3,MECH,01,2016-08-23
P000000258,ROH,L,4.757,KG,98.047,CM3,MECH,01,2020-07-12
P000000259,NLAG,KG,45.313,KG,93.086,CM3,MECH,04,2013-09-23
P000000260,ROH,M2,352.079,KG,78.748,CM3,MECH,01,2021-07-28
P000000261,ROH,PC,588.154,KG,75.011,L,MECH,04,2022-04-01
P000000262,HALB,PC,695.177,KG,59.673,CM3,MECH,02,2016-02-19
P000000263,DIEN,M,785.847,KG,72.626,L,MECH,01,2014-03-09
P000000264,NLAG,EA,665.012,KG,17.219,L,MECH,02,2020-09-23
P000000265,ROH,EA,502.258,KG,55.593,M3,MECH,04,2024-05-22
P000000266,HALB,L,60.237,KG,49.101,M3,MECH,02,2024-01-18
P000000267,NLAG,L,946.893,KG,95.62,L,MECH,03,2014-05-10
P000000268,HALB,PC,753.706,KG,50.685,L,MECH,01,2016-07-04
P000000269,HALB,M,229.057,KG,10.649,CM3,MECH,03,2012-10-22
P000000270,ROH,EA,258.761,KG,87.736,L,MECH,01,2021-12-05
P000000271,ROH,PC,49.101,KG,52.918,CM3,MECH,01,2014-08-03
P000000272,ROH,M3,313.285,KG,19.884,L,MECH,02,2024-03-30
P000000273,FERT,M2,934.418,KG,39.51,L,MECH,03,2015-12-13
P000000274,NLAG,KG,984.584,KG,6.86,M3,MECH,01,2023-03-08
P000000275,FERT,EA,261.331,KG,18.993,CM3,MECH,04,2025-06-05
P000000276,DIEN,M2,611.334,KG,24.256,M3,MECH,01,2014-09-22
P000000277,ROH,M2,252.888,KG,24.775,L,MECH,02,2015-09-09
P000000278,NLAG,M2,219.363,KG,98.29,CM3,MECH,01,2026-01-23
P000000279,NLAG,PC,628.039,KG,67.073,CM3,MECH,01,2018-07-05
P000000280,NLAG,EA,825.054,KG,10.459,M3,MECH,04,2017-01-15
P000000281,ROH,M2,827.888,KG,80.066,L,MECH,01,2021-08-12
P000000282,HALB,KG,883.246,KG,57.269,CM3,MECH,01,2023-06-16
P000000283,NLAG,L,879.589,KG,79.483,L,MECH,03,2016-12-20
P000000284,ROH,M2,888.806,KG,76.69,M3,MECH,02,2016-07-13
P000000285,ROH,PC,59.254,KG,84.819,M3,MECH,02,2019-10-08
P000000286,ROH,PC,344.921,KG,97.008,CM3,MECH,02,2017-03-25
P000000287,FERT,M2,840.382,KG,7.238,CM3,MECH,02,2023-02-22
P000000288,FERT,KG,419.219,KG,33.777,M3,MECH,01,2013-01-14
P000000289,NLAG,PC,676.81,KG,90.492,L,MECH,02,2019-05-21
P000000290,FERT,KG,379.978,KG,99.825,L,MECH,03,2012-02-22
P000000291,HALB,PC,81.301,KG,81.709,L,MECH,03,2022-04-06
P000000292,ROH,EA,397.001,KG,22.421,M3,MECH,01,2020-09-17
P000000293,DIEN,EA,786.621,KG,23.374,L,MECH,01,2019-06-24
P000000294,ROH,M3,36.915,KG,74.551,L,MECH,03,2024-06-22
P000000295,FERT,M,93.841,KG,46.003,L,MECH,02,2026-05-03
P000000296,ROH,L,938.699,KG,22.518,L,MECH,04,2015-03-17
P000000297,HALB,EA,500.897,KG,70.285,L,MECH,01,2013-05-06
P000000298,NLAG,PC,781.885,KG,43.125,M3,MECH,03,2015-09-14
P000000299,ROH,M3,854.344,KG,19.058,M3,MECH,01,2012-09-08
P000000300,FERT,M3,774.135,KG,93.659,L,MECH,04,2015-05-07
P000000301,HALB,M,957.596,KG,37.139,CM3,MECH,01,2020-09-06
P000000302,ROH,L,293.6,KG,70.353,CM3,MECH,01,2018-08-28
P000000303,FERT,KG,206.845,KG,98.134,M3,MECH,01,2014-04-16
P000000304,DIEN,L,851.841,KG,68.148,M3,MECH,04,2013-01-19
P000000305,ROH,M3,512.978,KG,93.119,CM3,MECH,01,2023-03-07
P000000306,FERT,PC,223.308,KG,9.655,M3,MECH,01,2018-06-06
P000000307,HALB,EA,267.618,KG,85.541,L,MECH,02,2013-03-05
P000000308,NLAG,M3,140.603,KG,79.15,M3,MECH,01,2015-08-14
P000000309,HALB,M,142.81,KG,23.689,L,MECH,01,2017-08-19
P000000310,FERT,M,884.096,KG,59.771,CM3,MECH,01,2022-11-12
P000000311,ROH,PC,578.119,KG,2.628,L,MECH,01,2022-09-12
P000000312,ROH,L,430.392,KG,54.884,CM3,MECH,01,2014-08-16
P000000313,NLAG,L,238.082,KG,19.893,CM3,MECH,01,2012-01-12
P000000314,HALB,M3,974.901,KG,78.225,M3,MECH,03,2014-07-02
P000000315,ROH,EA,562.003,KG,7.437,L,MECH,01,2013-03-06
P000000316,ROH,L,66.119,KG,2.769,L,MECH,04,2025-10-03
P000000317,DIEN,M2,824.391,KG,4.661,L,MECH,01,2019-09-24
P000000318,DIEN,EA,700.438,KG,82.591,M3,MECH,03,2021-03-28
P000000319,NLAG,EA,409.296,KG,50.957,CM3,MECH,01,2023-12-29
P000000320,ROH,KG,234.057,KG,43.213,CM3,MECH,01,2014-05-28
P000000321,ROH,M3,274.199,KG,45.735,M3,MECH,03,2023-06-24
P000000322,NLAG,M2,325.106,KG,28.915,L,MECH,02,2011-11-29
P000000323,ROH,M2,668.646,KG,80.074,M3,MECH,01,2021-02-26
P000000324,FERT,KG,589.536,KG,19.642,L,MECH,01,2016-04-14
P000000325,NLAG,M2,734.688,KG,47.343,M3,MECH,01,2016-07-21
P000000326,ROH,L,720.109,KG,91.612,M3,MECH,01,2024-05-17
P000000327,FERT,L,536.193,KG,55.716,L,MECH,04,2024-05-13
P000000328,HALB,KG,579.932,KG,36.146,M3,MECH,01,2024-04-26
P000000329,ROH,M2,30.648,KG,75.819,CM3,MECH,03,2025-03-29
P000000330,ROH,EA,697.014,KG,42.835,M3,MECH,01,2013-03-10
P000000331,ROH,M2,639.621,KG,73.355,CM3,MECH,02,2013-12-29
P000000332,DIEN,PC,124.036,KG,61.667,M3,MECH,01,2011-07-21
P000000333,ROH,EA,98.126,KG,93.752,L,MECH,04,2018-10-05
P000000334,DIEN,KG,205.626,KG,29.332,M3,MECH,02,2012-01-08
P000000335,ROH,L,320.505,KG,20.7,L,MECH,04,2014-03-30
P000000336,NLAG,PC,910.193,KG,70.849,CM3,MECH,02,2020-05-26
P000000337,NLAG,M,179.058,KG,59.072,CM3,MECH,04,2022-10-20
P000000338,DIEN,M3,633.338,KG,76.939,M3,MECH,02,2018-03-14
P000000339,ROH,EA,159.291,KG,18.02,CM3,MECH,01,2018-02-14
P000000340,ROH,KG,320.094,KG,8.574,CM3,MECH,01,2012-08-28
P000000341,NLAG,PC,247.973,KG,18.302,CM3,MECH,01,2016-05-20
P000000342,ROH,KG,708.222,KG,19.71,M3,MECH,04,2018-10-09
P000000343,ROH,PC,337.266,KG,98.27,CM3,MECH,01,2022-07-06
P000000344,NLAG,M2,648.072,KG,4.948,CM3,MECH,04,2024-02-21
P000000345,HALB,L,939.5,KG,53.67,L,MECH,02,2012-06-13
P000000346,ROH,M,946.571,KG,22.081,M3,MECH,04,2019-06-01
P000000347,ROH,PC,52.74,KG,60.719,CM3,MECH,02,2017-11-27
P000000348,ROH,EA,278.208,KG,95.032,L,MECH,03,2017-03-04
P000000349,ROH,KG,29.824,KG,97.487,CM3,MECH,03,2020-02-03
P000000350,FERT,KG,172.569,KG,86.179,M3,MECH,02,2025-09-04
P000000351,ROH,EA,63.491,KG,92.376,M3,MECH,01,2015-03-05
P000000352,DIEN,EA,51.455,KG,9.397,CM3,MECH,03,2020-11-10
P000000353,ROH,M,385.384,KG,42.293,CM3,MECH,04,2017-04-29
