BP_NUMBER,bp_type,NAME1,NAME2,COUNTRY,CURRENCY,TAX_NUMBER,LANGUAGE,created_at
0000000057,VEND,Lebreton,GmbH & Co. OHG,AU,EUR,8814353682,E,2022-10-26
0000000058,VEND,Farrell PLC,,JP,BRL,7881658039,F,2014-01-03
0000000059,VEND,Heintze Berger OHG mbH,,SE,EUR,8092024286,D,2020-01-12
0000000060,VEND,Barros,,ES,BRL,5991624731,F,2014-10-08
0000000061,VEND,Klotz Döring AG & Co. KG,S/A,BE,EUR,8490277038,D,2018-09-26
0000000062,VEND,Kitzmann Staude GmbH,Group,US,USD,6518275539,J,2025-10-30
0000000063,VEND,"Sosa, Vasquez and Smith",et Fils,DE,EUR,3143866322,E,2023-06-21
0000000064,VEND,"Lewis, Atkinson and Thornton",OHG mbH,ES,USD,2023413261,F,2019-11-20
0000000065,VEND,"Abbott, Johnson and Clarke",,DE,EUR,1638944846,E,2020-06-11
0000000066,VEND,株式会社松田食品,and Sons,ES,KRW,6502491630,P,2023-04-07
0000000067,VEND,Fliegner,,BE,EUR,3878294565,D,2014-05-17
0000000069,VEND,Kelly-Taylor,GmbH,FR,BRL,6227837693,P,2023-08-09
0000000070,VEND,Scheibe Sölzer AG,GmbH & Co. KG,IN,BRL,6815798123,D,2025-09-18
0000000071,VEND,Otto GbR,- EI,CH,AUD,,D,2013-07-23
0000000072,VEND,Bernier Leconte S.A.,S/A,IN,EUR,,F,2023-11-20
0000000073,VEND,Hilton Inc,S.A.S.,CH,AUD,,F,2020-10-26
0000000074,VEND,Kramer Börner e.G.,,KR,JPY,2785760849,J,2020-09-10
0000000075,VEND,Beckmann,Group,ES,JPY,3344857142,E,2013-02-28
0000000076,VEND,Martin,,IT,USD,7696393827,E,2022-03-04
0000000077,VEND,鈴木通信有限会社,S.A.,BR,GBP,5666683272,D,2013-09-19
0000000078,VEND,Khan Group,,IN,BRL,5654420949,D,2025-05-18
0000000079,VEND,Ribeiro Machado Ltda.,S.A.,GB,CHF,5694544149,F,2025-06-28
0000000081,VEND,後藤水産有限会社,,GB,KRW,7320309376,J,2013-10-02
0000000082,VEND,藤原水産株式会社,,GB,GBP,2625827390,E,2015-02-13
0000000083,VEND,Société Générale,S.A.,DE,JPY,3179706239,E,2016-11-27
0000000084,VEND,Taylor-York,SARL,BR,CHF,7016580464,E,2024-05-02
0000000085,VEND,日本電気株式会社,GmbH & Co. KG,CA,EUR,,J,2021-09-06
0000000086,VEND,Nette GmbH,AG & Co. KGaA,NL,EUR,5093983430,J,2012-02-05
0000000087,VEND,"Foster, Henry and Morrison",Ltd,FR,JPY,8730024471,J,2024-10-18
0000000088,VEND,日本電気株式会社,,IN,KRW,5279852401,E,2020-06-17
0000000089,VEND,Harvey-Clarke,Ltd,AT,EUR,5663836151,D,2012-11-03
0000000090,VEND,Crosby-Richardson,,SE,JPY,9118773477,D,2016-07-23
0000000092,VEND,Nascimento S.A.,,MX,EUR,4424936312,D,2016-07-13
0000000094,VEND,Fisher-Daniel,PLC,CH,EUR,2152910867,D,2020-11-26
0000000095,VEND,Gardner-James,,NL,AUD,8562572870,D,2012-07-29
0000000096,VEND,Costa SA,PLC,CN,AUD,2147649251,P,2019-02-10
0000000097,VEND,Borges,,NL,EUR,3103037236,F,2013-02-03
0000000098,VEND,Lebreton S.A.S.,,CN,KRW,5729341722,J,2012-05-22
0000000099,VEND,Finch PLC,Inc,GB,JPY,2081155626,F,2026-02-06
0000000100,VEND,Schmidt,e Filhos,NL,EUR,8935449268,E,2024-09-10
0000000101,VEND,Stevens-Ferguson,S.A.R.L.,BE,GBP,8510679497,F,2018-05-06
0000000102,VEND,Delaunay Maillot S.A.S.,LLC,PL,USD,7063048913,D,2018-11-07
0000000103,VEND,Joseph,,NL,CNY,,D,2020-08-20
0000000104,VEND,Wood-Lee,e Filhos,AU,JPY,3046875063,E,2018-11-21
0000000105,VEND,株式会社藤田通信,,CN,CNY,2320024968,F,2021-08-23
0000000106,VEND,Araújo da Costa - EI,Group,IN,EUR,,J,2020-09-20
0000000107,VEND,Moore and Sons,,AU,EUR,9567766575,J,2023-06-01
0000000108,VEND,Bruder,,GB,USD,2924075536,D,2012-01-20
0000000109,VEND,Morin,GmbH & Co. OHG,IT,JPY,7901475469,P,2014-12-22
0000000110,VEND,Young-Powell,AG & Co. OHG,BR,EUR,0912418621,P,2022-12-23
0000000111,VEND,Green Group,S.A.R.L.,NL,JPY,7150997683,F,2016-04-26
0000000112,VEND,Patel Ltd,Inc,IT,KRW,,P,2014-11-30
0000000113,VEND,Larson-Hernandez,,AU,GBP,2497243992,J,2013-10-19
0000000115,VEND,Stoll Karz GmbH,Stiftung & Co. KG,CH,AUD,4872717833,J,2024-01-05
0000000116,VEND,Holder-Johnson,e Filhos,PL,CNY,,P,2016-06-21
0000000117,VEND,Araújo,,CA,JPY,2630136749,D,2015-09-22
0000000118,VEND,Dussen van AG,Inc,CA,EUR,2184011845,E,2014-03-13
0000000119,VEND,Pohl e.V.,and Sons,KR,CHF,4181861515,E,2012-01-12
0000000120,VEND,Potts-Patel,LLC,ES,EUR,1113129014,P,2020-08-04
0000000121,VEND,Voisin Mahe S.A.S.,Group,ES,CHF,1052650167,D,2014-02-06
0000000122,VEND,"Barker, Griffiths and Williams",and Sons,AT,CAD,2823414363,J,2015-10-02
0000000123,VEND,Holt Group,,KR,EUR,4855716176,F,2021-07-07
0000000124,VEND,Armstrong PLC,AG,BE,EUR,7354396273,D,2015-07-05
0000000125,VEND,Jessel AG & Co. KGaA,SA,IT,USD,2797245723,F,2013-08-19
0000000126,VEND,Caron,PLC,NL,CHF,5236687887,J,2016-11-02
0000000127,VEND,Masson Lopez SARL,,CA,BRL,8917756620,D,2013-09-22
0000000128,VEND,"Cunningham, Elliott and Tyler",PLC,MX,CAD,3991297102,D,2022-05-14
0000000129,VEND,da Luz,Inc,BR,JPY,,E,2026-02-21
0000000130,VEND,Vincent Lecomte SA,,FR,CNY,8296353390,J,2023-12-09
0000000131,VEND,Ebert,PLC,BR,BRL,3844446306,D,2013-03-07
0000000132,VEND,Montenegro Campos e Filhos,PLC,GB,EUR,1366572240,P,2023-01-12
0000000133,VEND,Daugherty LLC,LLC,DE,CNY,8496498560,E,2013-07-23
0000000134,VEND,Moore Ltd,S.A.,GB,CHF,5561857906,F,2018-12-17
0000000135,VEND,Schmidtke,e.G.,AU,AUD,2491271130,P,2026-02-15
0000000136,VEND,Vincent,PLC,DE,EUR,7100943882,P,2012-03-24
0000000137,VEND,Wohlgemut,,AU,BRL,2474140703,F,2014-07-29
0000000138,VEND,株式会社山下鉱業,LLC,ES,JPY,6670806129,J,2023-08-28
0000000139,VEND,Araújo,,GB,CAD,7402588358,P,2012-12-06
0000000140,VEND,Bruneau Neveu S.A.S.,et Fils,CH,EUR,3477433268,F,2012-06-29
0000000141,VEND,Costela S/A,,KR,AUD,8469081974,P,2023-12-19
0000000142,VEND,Snyder PLC,Inc,SE,EUR,,D,2019-02-04
0000000143,VEND,Sölzer,,BR,EUR,2680408509,J,2019-05-20
0000000145,VEND,Watson LLC,- ME,IT,CNY,,D,2019-02-22
0000000146,VEND,Drub,and Sons,CN,CHF,5767647229,F,2017-10-17
0000000147,VEND,Seip,PLC,US,EUR,4491342138,J,2015-12-10
0000000148,VEND,De Sousa Collet SA,Ltd,MX,JPY,9357824347,P,2019-02-01
0000000149,VEND,Camargo,,SE,CAD,1558108358,D,2019-02-03
0000000150,VEND,Seip,e Filhos,JP,EUR,,F,2023-05-08
0000000151,VEND,Rasmussen PLC,,MX,BRL,5205996043,F,2013-02-07
0000000152,VEND,Meyer Inc,Group,IN,GBP,3318751097,F,2018-11-28
0000000153,VEND,Guilbert,and Sons,BE,CAD,4186520575,E,2020-02-12
0000000155,VEND,Müller GmbH,,FR,CNY,6496902824,E,2025-04-23
0000000156,VEND,株式会社阿部保険,AG,DE,CAD,3273034615,J,2024-03-01
0000000157,VEND,Dubois,,ES,EUR,0754091508,J,2024-07-14
0000000158,VEND,Garcia - EI,SARL,KR,AUD,9695867805,P,2023-06-19
0000000159,VEND,Weber and Sons,,GB,GBP,9666309329,D,2025-04-19
0000000160,VEND,شركة أرامكو السعودية,SARL,DE,USD,7345475749,E,2021-08-19
0000000161,VEND,Melo,GmbH,GB,EUR,0833506158,P,2014-11-24
0000000162,VEND,井上農林合同会社,S.A.R.L.,AU,CHF,8444835488,J,2012-05-23
0000000163,VEND,鈴木食品合同会社,GmbH,JP,AUD,,F,2020-05-29
0000000164,VEND,Koch II,PLC,IN,AUD,8587495119,E,2012-10-19
0000000165,VEND,Rezende Farias S/A,KG,IN,EUR,6073607763,D,2017-11-20
0000000166,VEND,Hunter PLC,,BR,CHF,0734654950,P,2025-08-27
0000000167,VEND,Burton Inc,Inc,KR,CNY,8715841560,F,2014-11-11
0000000168,VEND,有限会社長谷川情報,PLC,MX,EUR,1973741897,E,2020-12-29
0000000169,VEND,Stadelmann GmbH & Co. KGaA,SA,FR,BRL,,J,2020-07-30
0000000170,VEND,Bell-Medina,SARL,DE,EUR,,D,2014-07-06
0000000171,VEND,有限会社田中情報,Ltda.,FR,JPY,,E,2022-02-08
0000000172,VEND,"Brown, Gutierrez and Martin",,CN,GBP,1239728351,F,2025-09-18
0000000173,VEND,Cole-Shaw,Group,US,JPY,5899886834,P,2013-02-04
0000000174,VEND,شركة أرامكو السعودية,et Fils,KR,KRW,4694346066,F,2014-04-21
0000000175,VEND,Todd Inc,Inc,GB,EUR,1168809255,F,2013-05-21
0000000176,VEND,Banks Group,and Sons,GB,CNY,,D,2025-04-09
0000000177,VEND,Kreusel AG & Co. KG,,PL,CNY,1553234159,F,2019-10-03
0000000178,VEND,Guilbert Courtois et Fils,Group,MX,JPY,4384807520,J,2021-10-20
0000000179,VEND,Fournier,Inc,KR,CNY,3301658373,J,2012-10-01
0000000180,VEND,合同会社高橋保険,e Filhos,CH,EUR,5677567772,P,2017-11-16
0000000181,VEND,Green Group,SA,BE,EUR,,E,2015-10-27
0000000182,VEND,山田銀行有限会社,PLC,BR,CNY,,D,2020-07-22
0000000183,VEND,Wernecke,Group,US,EUR,0519582632,E,2023-04-29
0000000184,VEND,Gilles SARL,AG,FR,JPY,6921053365,D,2024-10-31
0000000185,VEND,Thompson-Rodriguez,Inc,NL,EUR,,J,2018-12-10
0000000186,VEND,Blin Maréchal SARL,,SE,CNY,6094565346,J,2020-12-20
0000000187,VEND,Barker-Oliver,,BR,BRL,5973711222,J,2021-09-26
0000000188,VEND,鈴木農林有限会社,Inc,FR,CHF,4606056035,F,2013-09-09
0000000189,VEND,Jones-Miller,GmbH,IT,GBP,8853798214,P,2015-09-10
0000000190,VEND,Murray-Murphy,,CA,CAD,3792234103,E,2023-03-28
0000000191,VEND,Simon,,CH,EUR,2398983065,J,2020-09-18
0000000192,VEND,Hein GmbH & Co. KG,PLC,BR,CNY,2239594737,E,2025-08-11
0000000193,VEND,Seguin,S.A.,ES,CNY,5348201284,J,2022-09-26
0000000194,VEND,株式会社福田電気,Inc,FR,GBP,7609441283,J,2019-09-08
0000000195,VEND,Mälzer GmbH,AG & Co. KGaA,AT,CNY,4510910903,D,2017-07-23
0000000196,VEND,清水情報株式会社,Group,CA,GBP,3705263510,J,2023-08-02
0000000197,VEND,Berger AG & Co. KG,,CA,EUR,0394640830,J,2020-12-14
0000000198,VEND,Williams-Jones,,GB,KRW,8179415152,P,2025-05-13
0000000199,VEND,Pinto S/A,S.A.,DE,CNY,9277885190,J,2023-05-16
0000000200,VEND,Murphy-Joseph,and Sons,GB,EUR,9017075681,E,2013-03-07
0000000201,VEND,Shepherd and Sons,GmbH,JP,GBP,,J,2014-08-24
0000000202,VEND,Mendonça Mendonça Ltda.,PLC,JP,CNY,,J,2014-02-19
0000000203,VEND,Martin,GmbH & Co. KGaA,BR,EUR,,E,2016-05-08
0000000204,VEND,株式会社佐々木食品,,MX,EUR,8889957298,J,2015-08-11
0000000205,VEND,Wirth Reising GmbH & Co. KG,PLC,GB,KRW,0001529113,J,2019-04-01
0000000206,VEND,Fernandes S.A.,,CN,EUR,4287738363,E,2019-03-21
0000000207,VEND,田中食品有限会社,S.A.R.L.,FR,CHF,9516321119,D,2019-08-19
0000000208,VEND,Young Inc,,CH,BRL,3745561140,E,2021-10-21
0000000209,VEND,Sölzer,S.A.S.,ES,KRW,1570908599,D,2025-10-09
0000000210,VEND,Valette,and Sons,IT,EUR,5953828040,P,2011-10-19
0000000211,VEND,Morin,Inc,DE,EUR,5344077794,D,2015-07-23
0000000212,VEND,Silveira,,FR,KRW,4490295026,E,2025-10-17
0000000213,VEND,Henry Techer S.A.,PLC,AT,EUR,,P,2024-06-24
0000000214,VEND,"Garza, Barton and Adams",GmbH,DE,EUR,,E,2016-07-18
0000000215,VEND,Sá,LLC,FR,EUR,8655078468,D,2021-01-20
0000000216,VEND,شركة أرامكو السعودية,,MX,CHF,2275854859,E,2022-05-25
0000000217,VEND,Williams LLC,Ltd,ES,JPY,2392049106,E,2014-08-09
0000000218,VEND,Camus,S.A.,US,CNY,9993621659,P,2016-04-16
0000000219,VEND,Eberhardt Niemeier Stiftung & Co. KGaA,Group,PL,AUD,0030443619,J,2022-03-19
0000000220,VEND,Carr PLC,,US,KRW,1242114086,E,2012-03-16
0000000221,VEND,合同会社近藤印刷,e.G.,DE,CHF,2034030109,P,2025-07-04
0000000223,VEND,"Ahmed, West and Bell",,ES,CNY,,F,2012-03-28
0000000224,VEND,"Holmes, Lewis and Wright",e Filhos,AU,CHF,,E,2012-10-24
0000000225,VEND,"Thompson, Cain and Green",PLC,IN,EUR,4096496683,F,2024-11-04
0000000226,VEND,Pergande Jockel AG & Co. KG,GmbH,CN,EUR,2304588165,J,2019-01-03
0000000227,VEND,da Mota,LLC,CN,EUR,9292075360,J,2015-07-21
0000000228,VEND,Brito Moraes - EI,,CH,EUR,6599530062,D,2023-04-26
0000000229,VEND,Watson PLC,S/A,FR,EUR,2311232748,D,2024-04-09
0000000230,VEND,Barbosa Melo Ltda.,,BR,KRW,9937810539,P,2019-08-29
0000000231,VEND,"Anderson, Rogers and Robinson",PLC,DE,JPY,0384531980,D,2025-12-07
0000000232,VEND,Rémy SA,,JP,EUR,7083868889,D,2022-01-15
0000000233,VEND,Jacquot S.A.S.,S.A.R.L.,DE,JPY,2092257090,D,2023-03-29
0000000234,VEND,合同会社斎藤銀行,AG & Co. KGaA,GB,EUR,6198273481,D,2020-08-20
0000000235,VEND,Câmara,S.A.R.L.,US,CNY,0740913111,J,2017-07-25
0000000236,VEND,Rey,S/A,CA,USD,,J,2024-07-23
0000000237,VEND,Patterson PLC,,CH,CAD,,J,2021-10-08
0000000238,VEND,Snyder Group,,BE,BRL,9887592129,E,2012-05-25
0000000240,VEND,"Walker, Jones and Thompson",S.A.,CH,JPY,,D,2015-04-05
0000000243,VEND,Cohen,Group,MX,CNY,3542687447,D,2025-10-14
0000000244,VEND,"Graves, Ochoa and Cervantes",,SE,CHF,2739389920,F,2021-06-02
0000000245,VEND,"Cherry, Williams and Lopez",- EI,CA,BRL,6295350637,D,2017-06-05
0000000246,VEND,Söding KG,e Filhos,BR,CAD,2124139369,D,2016-11-25
0000000247,VEND,Moreno S.A.S.,S.A.,JP,KRW,6764979741,E,2020-10-20
0000000248,VEND,Ryan-Fox,GmbH,DE,EUR,,J,2021-11-25
0000000249,VEND,合同会社太田食品,Ltd,KR,EUR,0251213756,F,2018-12-27
0000000250,VEND,Mccarthy-Tran,,JP,GBP,2289466527,P,2014-05-03
0000000251,VEND,Shaw and Sons,Inc,GB,CHF,5909566844,P,2014-01-14
0000000252,VEND,Marques S/A,and Sons,IN,EUR,2663295634,P,2013-08-11
0000000253,VEND,Miller-Ross,Ltda.,CA,EUR,0191854880,E,2022-04-13
0000000254,VEND,Carpentier Collet et Fils,,PL,EUR,2000532853,P,2014-03-01
0000000255,VEND,Davey-McDonald,,NL,AUD,,J,2017-06-11
0000000256,VEND,Lindner,OHG mbH,AU,JPY,9946418398,P,2024-11-05
0000000257,VEND,Reinhardt,LLC,AU,EUR,7846790870,E,2020-07-04
0000000258,VEND,Herrmann Eigenwillig KG,GmbH & Co. KG,IT,KRW,5593965213,F,2013-03-26
0000000259,VEND,Roberts Ltd,KG,IN,CNY,8417159497,F,2026-01-11
0000000261,VEND,Campbell PLC,,BR,CAD,5681193978,F,2013-08-19
0000000262,VEND,Mary,and Sons,KR,KRW,,J,2024-04-09
0000000263,VEND,"Cook, Cruz and Bennett",SARL,GB,USD,8144471893,E,2011-07-20
0000000264,VEND,Nunes S.A.,S.A.,BE,JPY,4130909153,D,2018-04-18
0000000265,VEND,Sales,- EI,IN,CAD,2020095366,J,2019-08-22
0000000266,VEND,Davis and Sons,Ltd,CH,EUR,3941209447,E,2013-11-18
0000000267,VEND,"Owens, Cardenas and Cortez",,JP,BRL,,D,2020-03-14
0000000268,VEND,有限会社斎藤銀行,and Sons,US,EUR,7906085481,D,2014-04-17
0000000269,VEND,"Conley, Benton and Miller",,SE,BRL,6208581745,E,2015-05-18
0000000270,VEND,合同会社橋本農林,S.A.S.,SE,EUR,2276346019,D,2024-06-22
0000000271,VEND,شركة أرامكو السعودية,Inc,CH,CHF,2730634359,F,2021-06-01
0000000272,VEND,"Lopez, Roy and Wilson",PLC,DE,JPY,1072887807,D,2026-06-22
0000000273,VEND,Lawrence Ltd,LLC,MX,EUR,,P,2024-08-27
0000000274,VEND,合同会社高橋情報,Inc,AU,AUD,5978155426,J,2024-06-30
0000000275,VEND,شركة أرامكو السعودية,Group,ES,EUR,8840766420,P,2023-07-25
0000000276,VEND,"Williams, Pollard and Jones",- ME,BE,EUR,6204298514,E,2021-09-15
0000000277,VEND,Costa,and Sons,MX,EUR,,E,2018-03-01
0000000278,VEND,Rivas Ltd,- ME,KR,CHF,5501935450,E,2024-05-14
0000000279,VEND,"O'Connor, Russell and O'Connor",e.G.,NL,USD,,E,2019-12-11
0000000280,VEND,Williams-Campbell,and Sons,ES,KRW,2048770676,E,2020-01-17
0000000281,VEND,Lopes,PLC,AU,EUR,7400391019,J,2024-08-08
0000000282,VEND,Jones-Thomas,et Fils,GB,AUD,4617551887,E,2018-06-04
0000000283,VEND,Wilmsen GmbH & Co. KGaA,Group,AU,EUR,0093781460,E,2023-01-26
0000000284,VEND,近藤印刷有限会社,LLC,CH,JPY,0878865385,E,2012-02-04
0000000285,VEND,日本電気株式会社,,FR,EUR,0864942694,F,2021-03-13
0000000286,VEND,株式会社森建設,Group,CN,AUD,2815037017,J,2026-05-22
0000000287,VEND,Matthäi AG,and Sons,FR,AUD,,F,2021-02-01
0000000288,VEND,Maillet Aubry SARL,PLC,AU,AUD,0364882159,F,2013-11-30
0000000289,VEND,Barthelemy,S.A.S.,BR,JPY,0001440762,J,2020-10-11
0000000290,VEND,"Watts, Jones and Rhodes",S.A.R.L.,IN,USD,,P,2019-04-05
0000000291,VEND,Mendes Ribeiro - EI,S.A.,FR,CHF,,E,2021-11-26
0000000292,VEND,Duarte - ME,Ltd,CH,CHF,4078802652,D,2011-07-09
0000000293,VEND,中川水産合同会社,Ltd,ES,CHF,5394676626,J,2019-08-05
0000000294,VEND,Rousseau,Inc,FR,CNY,5449205489,P,2024-01-16
0000000295,VEND,Shah-Brady,,FR,AUD,5879052244,F,2015-12-04
0000000296,VEND,Mosemann,Ltd,IN,AUD,3923852023,F,2017-06-02
0000000298,VEND,Adler,,MX,USD,2128981159,D,2018-10-07
0000000299,VEND,Monteiro,,PL,EUR,1655578645,E,2012-06-28
0000000300,VEND,Weitzel Werner GmbH,and Sons,DE,AUD,4909619797,J,2012-07-19
0000000301,VEND,Harris-Molina,Ltd,SE,CHF,2308829586,D,2015-04-01
0000000302,VEND,Moulin Jourdan S.A.,SARL,SE,CHF,,E,2022-03-24
0000000303,VEND,Société Générale,S.A.S.,JP,USD,1239612190,P,2020-05-18
0000000304,VEND,Pruvost Berthelot S.A.,- ME,CH,CNY,,F,2020-09-10
0000000305,VEND,Dawson LLC,,FR,CNY,5423324165,D,2011-11-07
0000000306,VEND,Gomes,Stiftung & Co. KGaA,CA,KRW,2864330265,E,2019-08-26
0000000307,VEND,Société Générale,Ltd,KR,CAD,7263199569,E,2026-01-22
0000000308,VEND,佐藤鉱業合同会社,KG,FR,BRL,,F,2015-08-15
0000000310,VEND,Stiebitz Hölzenbecher GmbH,and Sons,JP,CNY,4147533695,E,2015-12-15
0000000311,VEND,Souza,Inc,CA,JPY,1489678082,D,2017-08-22
0000000312,VEND,Robinson Group,PLC,AU,JPY,1639949013,E,2013-12-12
0000000313,VEND,Mendes,,JP,KRW,1607917913,J,2020-02-26
0000000314,VEND,Turner Group,LLC,AT,EUR,4102547179,J,2012-08-09
0000000315,VEND,Wood PLC,,BR,EUR,1152232822,D,2017-04-29
0000000316,VEND,Junken Förster GmbH & Co. OHG,- EI,SE,EUR,6742802188,P,2014-05-24
0000000317,VEND,三浦ガス有限会社,S.A.R.L.,FR,EUR,7725084232,F,2017-02-20
0000000318,VEND,Millet S.A.S.,OHG mbH,SE,BRL,8215392669,J,2015-01-25
0000000319,VEND,شركة أرامكو السعودية,Inc,FR,EUR,8145647437,P,2017-01-31
0000000321,VEND,Garcia,S.A.R.L.,SE,KRW,2965685120,P,2013-12-07
0000000322,VEND,Cavalcanti,et Fils,PL,CHF,0084842648,P,2024-11-15
0000000324,VEND,株式会社西村情報,,ES,CNY,,F,2024-12-10
0000000325,VEND,Farias,,GB,JPY,,F,2016-03-24
0000000326,VEND,Boulay S.A.S.,LLC,NL,CAD,5010162600,D,2015-12-02
0000000327,VEND,Otto,PLC,DE,JPY,0335636930,F,2013-07-23
0000000328,VEND,Beyer,and Sons,US,EUR,4269376501,D,2017-05-22
0000000329,VEND,Allain Leroux S.A.,Group,SE,CAD,5188711486,D,2023-08-10
0000000330,VEND,Toussaint S.A.,SARL,CN,JPY,,F,2011-09-05
0000000331,VEND,Köhler Hartmann GbR,,AT,EUR,6720073429,E,2013-10-17
0000000333,VEND,Wende Stolze GbR,and Sons,GB,KRW,2673123438,J,2022-12-01
0000000334,VEND,"Thomas, Thompson and Bowen",- EI,CA,CAD,5737671052,J,2017-01-24
0000000335,VEND,Smith Ltd,PLC,ES,JPY,0138825320,P,2022-11-24
0000000336,VEND,Thomas LLC,SA,FR,EUR,6395612667,P,2023-05-25
0000000337,VEND,Gehringer Stiftung & Co. KGaA,S.A.,CA,CHF,8830048379,D,2015-12-08
0000000338,VEND,Daniels and Sons,Ltd,BR,CAD,4963788119,J,2021-04-05
0000000339,VEND,Walker-Terrell,Stiftung & Co. KGaA,KR,BRL,,D,2020-07-05
0000000340,VEND,"Allen, Jacobson and Owen",Group,JP,KRW,9476511861,F,2013-02-03
0000000341,VEND,鈴木ガス有限会社,,ES,CNY,4242406628,E,2013-06-29
0000000342,VEND,Plath,e.V.,AT,GBP,,J,2025-01-06
0000000343,VEND,Gill PLC,PLC,CN,EUR,8601674492,E,2017-02-20
0000000344,VEND,Mendonça Fernandes Ltda.,S.A.,BR,AUD,7758670365,P,2013-05-06
0000000345,VEND,da Conceição Caldeira - EI,,AT,CNY,3099000940,D,2015-07-27
