PO_NUMBER,VENDOR,COMPANY_CODE,PURCH_ORG,CURRENCY,DOCUMENT_DATE,STATUS
0200000089,0000000747,2000,PO01,USD,2015-05-10,OPEN
0200000090,0000000317,3000,PO02,USD,2015-05-12,OPEN
0200000092,0000000199,2000,PO01,USD,2015-05-18,OPEN
0200000093,0000000805,5000,PO03,USD,2015-05-20,OPEN
0200000094,0000001234,5000,PO03,USD,2015-05-23,OPEN
0200000095,0000001966,1000,PO01,USD,2015-05-26,OPEN
0200000096,0000000433,5000,PO03,USD,2015-05-29,OPEN
0200000097,0000000107,3000,PO02,USD,2015-05-31,OPEN
0200000098,0000001074,4000,PO02,USD,2015-06-03,OPEN
0200000099,0000000296,5000,PO02,USD,2015-06-06,OPEN
0200000100,0000001074,3000,PO02,USD,2015-06-08,OPEN
0200000101,0000001685,3000,PO01,USD,2015-06-10,OPEN
0200000103,0000000968,3000,PO03,USD,2015-06-12,OPEN
0200000104,0000001191,2000,PO02,USD,2015-06-15,OPEN
0200000106,0000000129,1000,PO03,USD,2015-06-18,OPEN
0200000107,0000001004,4000,PO02,USD,2015-06-18,OPEN
0200000109,0000000496,1000,PO01,USD,2015-06-21,OPEN
0200000110,0000000373,4000,PO03,USD,2015-06-21,OPEN
0200000112,0000000579,2000,PO02,USD,2015-06-24,OPEN
0200000113,0000001745,4000,PO02,USD,2015-06-27,OPEN
0200000116,0000000161,4000,PO02,USD,2015-07-02,OPEN
0200000117,0000000463,4000,PO02,USD,2015-07-03,OPEN
0200000118,0000001639,3000,PO01,USD,2015-07-04,OPEN
0200000119,0000000329,5000,PO01,USD,2015-07-06,OPEN
0200000121,0000001754,5000,PO02,USD,2015-07-10,OPEN
0200000123,0000001451,3000,PO01,USD,2015-07-15,OPEN
0200000125,0000000049,5000,PO03,USD,2015-07-16,OPEN
0200000126,0000000327,3000,PO03,USD,2015-07-19,OPEN
0200000127,0000000070,3000,PO02,USD,2015-07-19,OPEN
0200000129,0000000633,5000,PO02,USD,2015-07-23,OPEN
0200000132,0000001025,2000,PO01,USD,2015-07-28,OPEN
0200000133,0000001290,5000,PO02,USD,2015-07-31,OPEN
0200000134,0000001881,4000,PO03,USD,2015-08-01,OPEN
0200000136,0000001499,5000,PO02,USD,2015-08-06,OPEN
0200000137,0000001670,4000,PO02,USD,2015-08-08,OPEN
0200000138,0000001325,3000,PO01,USD,2015-08-11,OPEN
0200000139,0000000071,3000,PO01,USD,2015-08-13,OPEN
0200000141,0000001080,1000,PO02,USD,2015-08-19,OPEN
0200000142,0000000399,3000,PO01,USD,2015-08-21,OPEN
0200000144,0000001832,5000,PO02,USD,2015-08-25,OPEN
0200000147,0000001802,5000,PO02,USD,2015-08-26,OPEN
0200000149,0000000225,4000,PO03,USD,2015-08-29,OPEN
0200000150,0000001576,4000,PO01,USD,2015-09-01,OPEN
0200000151,0000000549,4000,PO01,USD,2015-09-04,OPEN
0200000153,0000001114,2000,PO01,USD,2015-09-06,OPEN
0200000155,0000001038,2000,PO02,USD,2015-09-12,OPEN
0200000156,0000001183,5000,PO02,USD,2015-09-13,OPEN
0200000159,0000001140,4000,PO02,USD,2015-09-19,OPEN
0200000161,0000001666,2000,PO02,USD,2015-09-24,OPEN
0200000162,0000001300,5000,PO03,USD,2015-09-24,OPEN
0200000163,0000000996,4000,PO03,USD,2015-09-26,OPEN
0200000164,0000001837,2000,PO02,USD,2015-09-26,OPEN
0200000165,0000000216,1000,PO01,USD,2015-09-29,OPEN
0200000166,0000001602,2000,PO01,USD,2015-10-01,OPEN
0200000167,0000001172,1000,PO03,USD,2015-10-04,OPEN
0200000168,0000001819,3000,PO02,USD,2015-10-07,OPEN
0200000169,0000001995,2000,PO01,USD,2015-10-09,OPEN
0200000170,0000001851,1000,PO02,USD,2015-10-09,OPEN
0200000171,0000000014,4000,PO01,USD,2015-10-12,OPEN
0200000172,0000001910,5000,PO01,USD,2015-10-15,OPEN
0200000173,0000000151,1000,PO02,USD,2015-10-17,OPEN
0200000174,0000001270,4000,PO02,USD,2015-10-18,OPEN
0200000175,0000000533,4000,PO01,USD,2015-10-21,OPEN
0200000176,0000001692,5000,PO02,USD,2015-10-24,OPEN
0200000178,0000001399,4000,PO01,USD,2015-10-24,OPEN
0200000179,0000001444,5000,PO02,USD,2015-10-25,OPEN
0200000180,0000001308,2000,PO02,USD,2015-10-25,OPEN
0200000181,0000000741,3000,PO03,USD,2015-10-28,OPEN
0200000182,0000001310,2000,PO02,USD,2015-10-31,OPEN
0200000183,0000001262,4000,PO01,USD,2015-11-02,OPEN
0200000185,0000000773,3000,PO02,USD,2015-11-06,OPEN
0200000186,0000001234,5000,PO01,USD,2015-11-06,OPEN
0200000187,0000001698,3000,PO03,USD,2015-11-08,OPEN
0200000189,0000001832,4000,PO02,USD,2015-11-12,OPEN
0200000190,0000000843,5000,PO02,USD,2015-11-13,OPEN
0200000192,0000000310,1000,PO02,USD,2015-11-16,OPEN
0200000193,0000000203,1000,PO01,USD,2015-11-16,OPEN
0200000194,0000001527,1000,PO01,USD,2015-11-19,OPEN
0200000197,0000000712,2000,PO02,USD,2015-11-22,OPEN
0200000198,0000000603,1000,PO03,USD,2015-11-24,OPEN
0200000200,0000001493,3000,PO03,USD,2015-11-27,OPEN
0200000201,0000001416,2000,PO02,USD,2015-11-29,OPEN
0200000202,0000001560,2000,PO02,USD,2015-12-02,OPEN
0200000206,0000001790,2000,PO02,USD,2015-12-12,OPEN
0200000207,0000000399,3000,PO01,USD,2015-12-12,OPEN
0200000209,0000001831,5000,PO01,USD,2015-12-16,OPEN
0200000210,0000000117,4000,PO01,USD,2015-12-18,OPEN
0200000212,0000000155,4000,PO01,USD,2015-12-20,OPEN
0200000213,0000000854,1000,PO02,USD,2015-12-23,OPEN
0200000215,0000001053,3000,PO03,USD,2015-12-26,OPEN
0200000216,0000001834,4000,PO03,USD,2015-12-29,OPEN
0200000218,0000000101,4000,PO02,USD,2015-12-29,OPEN
0200000219,0000001318,4000,PO02,USD,2015-12-30,OPEN
0200000220,0000001232,2000,PO02,USD,2015-12-30,OPEN
0200000221,0000001219,3000,PO02,USD,2015-12-31,OPEN
0200000222,0000000965,1000,PO01,USD,2016-01-01,OPEN
0200000223,0000000871,3000,PO03,USD,2016-01-04,OPEN
0200000224,0000001053,2000,PO02,USD,2016-01-04,OPEN
0200000227,0000000460,5000,PO02,USD,2016-01-11,OPEN
0200000228,0000001698,5000,PO01,USD,2016-01-11,OPEN
0200000229,0000001642,2000,PO02,USD,2016-01-12,OPEN
0200000230,0000000072,4000,PO03,USD,2016-01-13,OPEN
0200000233,0000000837,2000,PO02,USD,2016-01-19,OPEN
0200000234,0000001084,1000,PO01,USD,2016-01-22,OPEN
0200000235,0000001618,5000,PO03,USD,2016-01-22,OPEN
0200000236,0000001890,1000,PO02,USD,2016-01-23,OPEN
0200000237,0000001059,5000,PO02,USD,2016-01-23,OPEN
0200000238,0000000872,1000,PO02,USD,2016-01-23,OPEN
0200000240,0000001695,5000,PO02,USD,2016-01-26,OPEN
0200000242,0000001796,5000,PO02,USD,2016-01-28,OPEN
0200000245,0000000907,1000,PO03,USD,2016-02-04,OPEN
0200000246,0000001933,1000,PO02,USD,2016-02-05,OPEN
0200000248,0000000425,5000,PO03,USD,2016-02-09,OPEN
0200000249,0000001337,1000,PO01,USD,2016-02-11,OPEN
0200000251,0000001631,3000,PO02,USD,2016-02-16,OPEN
0200000252,0000001449,1000,PO02,USD,2016-02-18,OPEN
0200000254,0000001373,4000,PO02,USD,2016-02-22,OPEN
0200000256,0000001480,5000,PO02,USD,2016-02-27,OPEN
0200000257,0000000432,2000,PO02,USD,2016-03-01,OPEN
0200000258,0000000491,3000,PO03,USD,2016-03-03,OPEN
0200000259,0000001036,1000,PO02,USD,2016-03-06,OPEN
0200000260,0000001009,2000,PO02,USD,2016-03-09,OPEN
0200000261,0000000922,4000,PO01,USD,2016-03-11,OPEN
0200000263,0000001994,3000,PO02,USD,2016-03-14,OPEN
0200000264,0000001563,5000,PO03,USD,2016-03-17,OPEN
0200000265,0000001304,2000,PO03,USD,2016-03-18,OPEN
0200000267,0000001753,4000,PO01,USD,2016-03-18,OPEN
0200000270,0000000968,5000,PO03,USD,2016-03-26,OPEN
0200000271,0000001731,2000,PO03,USD,2016-03-28,OPEN
0200000272,0000000510,5000,PO02,USD,2016-03-29,OPEN
0200000274,0000001361,1000,PO02,USD,2016-03-31,OPEN
0200000277,0000000769,4000,PO01,USD,2016-03-31,OPEN
0200000280,0000001898,2000,PO02,USD,2016-04-06,OPEN
0200000281,0000000634,1000,PO03,USD,2016-04-08,OPEN
0200000282,0000000694,4000,PO01,USD,2016-04-09,OPEN
0200000283,0000000619,3000,PO02,USD,2016-04-11,OPEN
0200000285,0000001370,2000,PO01,USD,2016-04-15,OPEN
0200000286,0000000196,3000,PO02,USD,2016-04-16,OPEN
0200000287,0000001403,3000,PO02,USD,2016-04-19,OPEN
0200000288,0000000082,2000,PO03,USD,2016-04-22,OPEN
0200000289,0000001667,3000,PO02,USD,2016-04-22,OPEN
0200000291,0000000103,1000,PO02,USD,2016-04-28,OPEN
0200000292,0000000673,3000,PO01,USD,2016-04-30,OPEN
0200000293,0000000064,1000,PO02,USD,2016-05-03,OPEN
0200000294,0000001450,1000,PO02,USD,2016-05-06,OPEN
0200000295,0000001892,3000,PO03,USD,2016-05-06,OPEN
0200000296,0000000034,4000,PO03,USD,2016-05-08,OPEN
0200000297,0000001198,3000,PO01,USD,2016-05-09,OPEN
0200000298,0000001229,2000,PO03,USD,2016-05-10,OPEN
0200000299,0000001026,4000,PO03,USD,2016-05-11,OPEN
0200000300,0000001273,5000,PO02,USD,2016-05-11,OPEN
0200000301,0000000430,5000,PO01,USD,2016-05-12,OPEN
0200000303,0000001095,1000,PO02,USD,2016-05-17,OPEN
0200000304,0000000776,5000,PO03,USD,2016-05-17,OPEN
0200000306,0000001024,3000,PO03,USD,2016-05-19,OPEN
0200000307,0000000574,1000,PO01,USD,2016-05-20,OPEN
0200000308,0000000719,1000,PO03,USD,2016-05-22,OPEN
0200000310,0000001378,2000,PO02,USD,2016-05-25,OPEN
0200000311,0000000666,3000,PO01,USD,2016-05-27,OPEN
0200000312,0000000481,5000,PO01,USD,2016-05-28,OPEN
0200000313,0000001155,4000,PO03,USD,2016-05-28,OPEN
0200000314,0000001594,5000,PO03,USD,2016-05-29,OPEN
0200000316,0000000782,3000,PO01,USD,2016-06-01,OPEN
0200000318,0000001818,5000,PO02,USD,2016-06-05,OPEN
0200000320,0000001558,2000,PO02,USD,2016-06-07,OPEN
0200000321,0000001835,1000,PO03,USD,2016-06-09,OPEN
0200000323,0000001250,2000,PO02,USD,2016-06-12,OPEN
0200000326,0000001036,2000,PO01,USD,2016-06-17,OPEN
0200000327,0000000092,2000,PO03,USD,2016-06-20,OPEN
0200000328,0000000238,2000,PO02,USD,2016-06-20,OPEN
0200000329,0000001205,1000,PO03,USD,2016-06-23,OPEN
0200000331,0000001341,1000,PO01,USD,2016-06-25,OPEN
0200000335,0000001164,2000,PO01,USD,2016-07-03,OPEN
0200000336,0000000147,1000,PO02,USD,2016-07-06,OPEN
0200000338,0000000913,5000,PO01,USD,2016-07-09,OPEN
0200000339,0000001207,4000,PO02,USD,2016-07-11,OPEN
0200000340,0000000945,2000,PO02,USD,2016-07-13,OPEN
0200000341,0000001164,1000,PO03,USD,2016-07-14,OPEN
0200000344,0000000608,4000,PO03,USD,2016-07-14,OPEN
0200000345,0000001631,3000,PO01,USD,2016-07-16,OPEN
0200000348,0000000805,5000,PO01,USD,2016-07-20,OPEN
0200000350,0000000065,4000,PO02,USD,2016-07-21,OPEN
0200000351,0000001133,5000,PO02,USD,2016-07-22,OPEN
0200000354,0000000228,3000,PO02,USD,2016-07-28,OPEN
0200000355,0000000141,2000,PO03,USD,2016-07-29,OPEN
0200000356,0000000828,3000,PO03,USD,2016-07-31,OPEN
0200000358,0000000149,4000,PO02,USD,2016-08-03,OPEN
0200000359,0000000671,1000,PO01,USD,2016-08-05,OPEN
0200000360,0000000088,1000,PO02,USD,2016-08-06,OPEN
0200000361,0000000349,3000,PO02,USD,2016-08-08,OPEN
0200000362,0000001501,5000,PO01,USD,2016-08-09,OPEN
0200000363,0000000057,3000,PO02,USD,2016-08-12,OPEN
0200000365,0000000065,1000,PO03,USD,2016-08-13,OPEN
0200000366,0000001548,2000,PO02,USD,2016-08-13,OPEN
0200000368,0000000034,3000,PO02,USD,2016-08-16,OPEN
0200000370,0000001432,5000,PO01,USD,2016-08-20,OPEN
0200000373,0000001377,4000,PO01,USD,2016-08-23,OPEN
0200000374,0000001234,4000,PO01,USD,2016-08-24,OPEN
0200000376,0000001250,3000,PO01,USD,2016-08-27,OPEN
0200000378,0000000807,3000,PO03,USD,2016-08-31,OPEN
0200000379,0000001166,4000,PO02,USD,2016-08-31,OPEN
0200000380,0000001482,5000,PO02,USD,2016-09-01,OPEN
0200000381,0000001807,4000,PO02,USD,2016-09-01,OPEN
0200000383,0000001302,5000,PO02,USD,2016-09-06,OPEN
0200000387,0000001669,5000,PO03,USD,2016-09-12,OPEN
0200000388,0000001623,3000,PO02,USD,2016-09-13,OPEN
0200000389,0000001146,2000,PO02,USD,2016-09-16,OPEN
0200000390,0000001024,2000,PO02,USD,2016-09-17,OPEN
0200000391,0000000972,2000,PO01,USD,2016-09-19,OPEN
0200000393,0000000363,5000,PO02,USD,2016-09-22,OPEN
0200000394,0000001743,3000,PO03,USD,2016-09-25,OPEN
0200000395,0000000726,3000,PO03,USD,2016-09-26,OPEN
0200000396,0000000766,3000,PO02,USD,2016-09-29,OPEN
0200000398,0000001724,1000,PO02,USD,2016-09-30,OPEN
0200000400,0000001012,4000,PO02,USD,2016-10-05,OPEN
0200000401,0000001542,1000,PO01,USD,2016-10-07,OPEN
0200000402,0000000840,5000,PO01,USD,2016-10-08,OPEN
0200000403,0000001982,2000,PO01,USD,2016-10-09,OPEN
0200000404,0000000286,5000,PO01,USD,2016-10-10,OPEN
0200000405,0000001555,2000,PO02,USD,2016-10-10,OPEN
0200000406,0000001190,5000,PO02,USD,2016-10-11,OPEN
0200000407,0000001847,4000,PO02,USD,2016-10-13,OPEN
0200000408,0000001489,3000,PO02,USD,2016-10-15,OPEN
0200000412,0000001588,1000,PO01,USD,2016-10-17,OPEN
0200000413,0000001579,2000,PO02,USD,2016-10-20,OPEN
0200000414,0000001877,3000,PO03,USD,2016-10-23,OPEN
0200000415,0000001844,5000,PO02,USD,2016-10-24,OPEN
0200000416,0000001949,1000,PO02,USD,2016-10-24,OPEN
0200000417,0000000203,1000,PO01,USD,2016-10-25,OPEN
0200000419,0000000884,5000,PO02,USD,2016-10-25,OPEN
0200000421,0000001121,1000,PO02,USD,2016-10-28,OPEN
0200000422,0000001982,2000,PO02,USD,2016-10-29,OPEN
0200000423,0000000038,2000,PO01,USD,2016-10-29,OPEN
0200000424,0000000876,4000,PO02,USD,2016-11-01,OPEN
0200000425,0000001883,3000,PO03,USD,2016-11-04,OPEN
0200000426,0000000733,2000,PO01,USD,2016-11-07,OPEN
0200000427,0000000874,2000,PO02,USD,2016-11-09,OPEN
0200000428,0000001959,5000,PO01,USD,2016-11-12,OPEN
0200000429,0000000861,3000,PO02,USD,2016-11-14,OPEN
0200000430,0000000151,2000,PO02,USD,2016-11-16,OPEN
0200000431,0000001367,1000,PO03,USD,2016-11-18,OPEN
0200000435,0000000283,4000,PO02,USD,2016-11-23,OPEN
0200000436,0000001880,3000,PO02,USD,2016-11-25,OPEN
0200000438,0000001323,2000,PO03,USD,2016-11-28,OPEN
0200000440,0000001497,3000,PO02,USD,2016-12-03,OPEN
0200000441,0000001878,2000,PO03,USD,2016-12-06,OPEN
0200000443,0000000683,2000,PO02,USD,2016-12-12,OPEN
0200000444,0000001672,5000,PO01,USD,2016-12-12,OPEN
0200000445,0000000847,5000,PO03,USD,2016-12-13,OPEN
0200000447,0000001970,3000,PO03,USD,2016-12-18,OPEN
0200000449,0000000707,2000,PO03,USD,2016-12-21,OPEN
0200000450,0000000827,1000,PO03,USD,2016-12-24,OPEN
0200000451,0000001569,5000,PO02,USD,2016-12-24,OPEN
0200000453,0000000770,3000,PO03,USD,2016-12-28,OPEN
0200000456,0000001935,3000,PO02,USD,2016-12-30,OPEN
0200000457,0000001332,5000,PO03,USD,2016-12-31,OPEN
0200000459,0000001437,2000,PO02,USD,2017-01-05,OPEN
0200000461,0000000984,2000,PO02,USD,2017-01-09,OPEN
0200000462,0000001487,2000,PO01,USD,2017-01-11,OPEN
0200000464,0000000864,5000,PO03,USD,2017-01-11,OPEN
0200000465,0000000630,1000,PO02,USD,2017-01-11,OPEN
0200000466,0000001243,5000,PO02,USD,2017-01-14,OPEN
0200000467,0000000535,5000,PO01,USD,2017-01-15,OPEN
0200000468,0000001290,1000,PO03,USD,2017-01-16,OPEN
0200000469,0000001318,3000,PO03,USD,2017-01-17,OPEN
0200000470,0000000109,2000,PO02,USD,2017-01-18,OPEN
0200000471,0000000136,1000,PO01,USD,2017-01-21,OPEN
0200000472,0000000894,2000,PO01,USD,2017-01-24,OPEN
0200000473,0000001319,4000,PO02,USD,2017-01-25,OPEN
0200000474,0000001472,3000,PO02,USD,2017-01-28,OPEN
0200000475,0000000712,4000,PO01,USD,2017-01-30,OPEN
0200000476,0000001668,5000,PO02,USD,2017-02-01,OPEN
0200000478,0000000521,4000,PO02,USD,2017-02-02,OPEN
0200000479,0000001776,2000,PO02,USD,2017-02-05,OPEN
0200000480,0000001793,1000,PO03,USD,2017-02-05,OPEN
0200000482,0000000672,4000,PO03,USD,2017-02-11,OPEN
0200000484,0000001674,3000,PO02,USD,2017-02-13,OPEN
0200000485,0000000900,4000,PO01,USD,2017-02-14,OPEN
0200000486,0000000503,2000,PO02,USD,2017-02-15,OPEN
0200000487,0000001279,4000,PO02,USD,2017-02-18,OPEN
0200000488,0000000304,1000,PO02,USD,2017-02-21,OPEN
0200000490,0000001629,4000,PO01,USD,2017-02-23,OPEN
0200000491,0000001372,5000,PO03,USD,2017-02-26,OPEN
0200000492,0000000873,1000,PO01,USD,2017-02-26,OPEN
0200000494,0000001614,2000,PO02,USD,2017-03-01,OPEN
0200000496,0000001683,3000,PO03,USD,2017-03-03,OPEN
0200000498,0000000096,1000,PO02,USD,2017-03-05,OPEN
0200000499,0000001927,2000,PO01,USD,2017-03-05,OPEN
0200000500,0000000521,4000,PO03,USD,2017-03-08,OPEN
0200000501,0000001323,3000,PO02,USD,2017-03-08,OPEN
0200000503,0000000911,3000,PO01,USD,2017-03-11,OPEN
0200000505,0000001651,1000,PO03,USD,2017-03-14,OPEN
0200000506,0000001493,3000,PO03,USD,2017-03-17,OPEN
0200000507,0000001807,2000,PO03,USD,2017-03-20,OPEN
0200000508,0000000758,1000,PO03,USD,2017-03-22,OPEN
0200000510,0000001688,4000,PO02,USD,2017-03-28,OPEN
0200000511,0000000173,2000,PO02,USD,2017-03-30,OPEN
0200000512,0000001247,1000,PO03,USD,2017-04-02,OPEN
0200000513,0000000221,4000,PO03,USD,2017-04-04,OPEN
0200000514,0000000901,2000,PO02,USD,2017-04-05,OPEN
0200000515,0000000460,3000,PO01,USD,2017-04-08,OPEN
0200000516,0000000881,2000,PO02,USD,2017-04-11,OPEN
0200000517,0000000451,5000,PO03,USD,2017-04-14,OPEN
0200000519,0000001242,4000,PO02,USD,2017-04-19,OPEN
0200000520,0000000568,2000,PO03,USD,2017-04-21,OPEN
0200000521,0000001949,4000,PO02,USD,2017-04-24,OPEN
0200000522,0000000694,3000,PO02,USD,2017-04-24,OPEN
0200000523,0000000480,1000,PO03,USD,2017-04-25,OPEN
0200000525,0000001957,5000,PO02,USD,2017-04-26,OPEN
0200000527,0000001543,2000,PO02,USD,2017-04-30,OPEN
0200000528,0000000230,3000,PO03,USD,2017-05-02,OPEN
0200000529,0000000855,3000,PO02,USD,2017-05-03,OPEN
0200000530,0000001542,4000,PO01,USD,2017-05-05,OPEN
0200000531,0000001827,4000,PO02,USD,2017-05-07,OPEN
0200000532,0000000801,5000,PO03,USD,2017-05-09,OPEN
0200000533,0000001643,1000,PO03,USD,2017-05-09,OPEN
0200000536,0000001007,2000,PO03,USD,2017-05-12,OPEN
0200000538,0000000643,2000,PO02,USD,2017-05-13,OPEN
0200000539,0000001258,3000,PO02,USD,2017-05-13,OPEN
0200000541,0000001663,1000,PO02,USD,2017-05-18,OPEN
0200000543,0000000303,4000,PO02,USD,2017-05-20,OPEN
0200000545,0000001575,3000,PO01,USD,2017-05-26,OPEN
0200000546,0000001998,5000,PO02,USD,2017-05-28,OPEN
0200000547,0000000360,4000,PO02,USD,2017-05-31,OPEN
0200000548,0000000945,5000,PO03,USD,2017-06-01,OPEN
0200000550,0000000067,3000,PO02,USD,2017-06-02,OPEN
0200000551,0000001088,1000,PO03,USD,2017-06-04,OPEN
0200000553,0000001362,3000,PO03,USD,2017-06-07,OPEN
0200000554,0000000032,2000,PO02,USD,2017-06-09,OPEN
0200000555,0000000863,5000,PO03,USD,2017-06-09,OPEN
0200000556,0000000653,3000,PO01,USD,2017-06-09,OPEN
0200000561,0000000563,1000,PO02,USD,2017-06-14,OPEN
0200000563,0000000757,5000,PO01,USD,2017-06-15,OPEN
0200000565,0000001136,3000,PO03,USD,2017-06-17,OPEN
0200000566,0000001788,3000,PO02,USD,2017-06-17,OPEN
0200000569,0000000502,2000,PO01,USD,2017-06-22,OPEN
0200000570,0000000223,1000,PO03,USD,2017-06-25,OPEN
0200000572,0000000215,5000,PO02,USD,2017-07-01,OPEN
0200000573,0000001116,5000,PO02,USD,2017-07-02,OPEN
0200000575,0000001028,1000,PO01,USD,2017-07-07,OPEN
0200000578,0000000839,5000,PO02,USD,2017-07-14,OPEN
0200000579,0000001140,4000,PO02,USD,2017-07-17,OPEN
0200000580,0000001843,2000,PO03,USD,2017-07-18,OPEN
0200000582,0000001030,5000,PO02,USD,2017-07-20,OPEN
0200000583,0000001304,1000,PO02,USD,2017-07-23,OPEN
0200000584,0000000543,4000,PO02,USD,2017-07-24,OPEN
0200000585,0000001681,3000,PO02,USD,2017-07-27,OPEN
0200000588,0000000869,2000,PO02,USD,2017-07-29,OPEN
0200000589,0000001511,5000,PO01,USD,2017-07-29,OPEN
0200000590,0000000652,4000,PO02,USD,2017-07-31,OPEN
0200000591,0000000210,1000,PO02,USD,2017-08-02,OPEN
0200000594,0000000491,4000,PO02,USD,2017-08-06,OPEN
0200000595,0000000237,4000,PO02,USD,2017-08-08,OPEN
0200000596,0000000373,2000,PO03,USD,2017-08-10,OPEN
0200000599,0000000998,3000,PO03,USD,2017-08-16,OPEN
0200000600,0000000002,3000,PO02,USD,2017-08-17,OPEN
0200000601,0000001816,5000,PO01,USD,2017-08-20,OPEN
0200000602,0000001281,2000,PO02,USD,2017-08-20,OPEN
0200000604,0000000728,1000,PO02,USD,2017-08-24,OPEN
0200000605,0000000253,5000,PO01,USD,2017-08-26,OPEN
0200000606,0000000187,5000,PO03,USD,2017-08-28,OPEN
0200000607,0000001501,3000,PO03,USD,2017-08-29,OPEN
0200000609,0000001967,4000,PO02,USD,2017-08-31,OPEN
0200000610,0000001167,2000,PO02,USD,2017-09-01,OPEN
0200000611,0000000769,2000,PO03,USD,2017-09-02,OPEN
0200000612,0000001530,1000,PO02,USD,2017-09-04,OPEN
0200000613,0000001351,2000,PO02,USD,2017-09-07,OPEN
0200000614,0000001327,1000,PO01,USD,2017-09-08,OPEN
0200000616,0000001184,3000,PO02,USD,2017-09-14,OPEN
0200000618,0000001777,2000,PO03,USD,2017-09-20,OPEN
0200000619,0000000251,5000,PO02,USD,2017-09-23,OPEN
0200000621,0000000606,3000,PO02,USD,2017-09-26,OPEN
0200000624,0000000958,3000,PO02,USD,2017-09-30,OPEN
0200000625,0000000803,3000,PO02,USD,2017-10-03,OPEN
