PRODUCT_NUMBER,PLANT,MRP_TYPE,SAFETY_STOCK,REORDER_POINT,LOT_SIZE
P000001322,P010,PD,0,0,EX
P000000755,P010,PD,0,0,EX
P000000760,P002,PD,0,0,EX
P000000201,P004,PD,0,0,EX
P000001237,P010,VB,0,0,EX
P000000916,P004,PD,0,0,EX
P000000029,P010,PD,0,0,EX
P000001537,P006,PD,0,0,EX
P000000355,P003,PD,0,0,EX
P000000658,P009,VB,0,0,EX
P000001938,P005,PD,0,0,EX
P000000115,P003,PD,0,0,EX
P000001122,P010,PD,0,0,EX
P000000802,P009,VB,0,0,EX
P000000744,P007,PD,0,0,EX
P000001359,P003,PD,0,0,EX
P000001193,P003,PD,0,0,EX
P000000849,P007,PD,0,0,EX
P000001697,P004,PD,0,0,EX
P000000594,P001,PD,0,0,EX
P000001699,P002,VB,0,0,EX
P000001787,P002,VB,0,0,EX
P000000313,P009,VB,0,0,EX
P000001376,P010,PD,0,0,EX
P000000450,P005,PD,0,0,EX
P000001126,P004,PD,0,0,EX
P000000673,P006,PD,0,0,EX
P000000945,P001,PD,0,0,EX
P000001517,P005,PD,0,0,EX
P000000628,P004,PD,0,0,EX
P000001374,P006,PD,0,0,EX
P000001944,P005,PD,0,0,EX
P000000619,P001,PD,0,0,EX
P000001733,P006,PD,0,0,EX
P000000417,P002,PD,0,0,EX
P000000703,P003,PD,0,0,EX
P000000549,P009,PD,0,0,EX
P000000355,P007,PD,0,0,EX
P000001652,P005,PD,0,0,EX
P000000647,P001,PD,0,0,EX
P000001542,P004,PD,0,0,EX
P000001367,P006,PD,0,0,EX
P000000921,P008,PD,0,0,EX
P000001741,P008,VB,0,0,EX
P000001692,P009,PD,0,0,EX
P000000713,P010,PD,0,0,EX
P000000219,P002,PD,0,0,EX
P000000476,P010,PD,0,0,EX
P000000351,P003,PD,0,0,EX
P000000386,P007,PD,0,0,EX
P000000714,P007,PD,0,0,EX
P000000257,P006,PD,0,0,EX
P000000324,P005,VB,0,0,EX
P000001450,P005,PD,0,0,EX
P000000584,P010,VB,0,0,EX
P000000289,P008,PD,0,0,EX
P000000038,P006,PD,0,0,EX
P000001743,P006,PD,0,0,EX
P000000198,P004,PD,0,0,EX
P000000253,P003,PD,0,0,EX
P000000628,P003,PD,0,0,EX
P000001939,P002,PD,0,0,EX
P000001124,P004,PD,0,0,EX
P000000060,P010,PD,0,0,EX
P000001324,P005,PD,0,0,EX
P000001045,P007,PD,0,0,EX
P000000043,P003,VB,0,0,EX
P000001143,P010,PD,0,0,EX
P000001896,P006,PD,0,0,EX
P000000118,P007,PD,0,0,EX
P000000776,P001,VB,0,0,EX
P000000987,P007,PD,0,0,EX
P000001555,P002,PD,0,0,EX
P000000250,P003,VB,0,0,EX
P000000952,P006,VB,0,0,EX
P000000516,P007,PD,0,0,EX
P000000894,P002,PD,0,0,EX
P000000728,P001,PD,0,0,EX
P000001978,P010,PD,0,0,EX
P000001239,P001,PD,0,0,EX
P000001835,P007,PD,0,0,EX
P000000332,P007,VB,0,0,EX
P000000237,P007,PD,0,0,EX
P000000908,P001,PD,0,0,EX
P000001780,P004,PD,0,0,EX
P000001704,P006,PD,0,0,EX
P000000374,P007,PD,0,0,EX
P000001669,P005,PD,0,0,EX
P000001508,P003,VB,0,0,EX
P000001032,P010,PD,0,0,EX
P000000621,P005,PD,0,0,EX
P000001681,P001,PD,0,0,EX
P000000739,P006,PD,0,0,EX
P000000600,P002,PD,0,0,EX
P000000565,P010,VB,0,0,EX
P000000955,P005,VB,0,0,EX
P000001313,P009,PD,0,0,EX
P000001440,P005,VB,0,0,EX
P000000195,P001,PD,0,0,EX
P000000619,P003,VB,0,0,EX
P000001493,P001,VB,0,0,EX
P000000123,P001,PD,0,0,EX
P000000874,P008,VB,0,0,EX
P000000098,P008,PD,0,0,EX
P000000640,P002,VB,0,0,EX
P000000357,P009,VB,0,0,EX
P000001270,P009,VB,0,0,EX
P000001901,P004,VB,0,0,EX
P000001918,P007,PD,0,0,EX
P000000018,P008,VB,0,0,EX
P000000354,P008,PD,0,0,EX
P000000669,P005,PD,0,0,EX
P000001457,P003,VB,0,0,EX
P000001987,P002,PD,0,0,EX
P000001984,P004,VB,0,0,EX
P000000310,P006,PD,0,0,EX
P000001563,P006,PD,0,0,EX
P000001558,P010,VB,0,0,EX
P000001881,P007,PD,0,0,EX
P000001056,P004,PD,0,0,EX
P000000197,P001,VB,0,0,EX
P000001241,P001,PD,0,0,EX
P000000463,P006,PD,0,0,EX
P000001288,P008,PD,0,0,EX
P000000748,P007,PD,0,0,EX
P000000743,P010,PD,0,0,EX
P000001986,P004,PD,0,0,EX
P000001772,P010,PD,0,0,EX
P000000165,P002,PD,0,0,EX
P000001276,P010,PD,0,0,EX
P000000953,P007,PD,0,0,EX
P000000322,P003,VB,0,0,EX
P000000907,P002,PD,0,0,EX
P000001196,P003,PD,0,0,EX
P000001037,P008,VB,0,0,EX
P000000554,P010,VB,0,0,EX
P000000556,P002,PD,0,0,EX
P000001940,P010,PD,0,0,EX
P000001164,P002,PD,0,0,EX
P000000262,P002,PD,0,0,EX
P000000092,P001,PD,0,0,EX
P000000715,P002,PD,0,0,EX
P000001653,P006,PD,0,0,EX
P000001815,P010,PD,0,0,EX
P000000478,P002,VB,0,0,EX
P000001077,P006,PD,0,0,EX
P000001004,P005,PD,0,0,EX
P000001397,P006,PD,0,0,EX
P000001424,P010,VB,0,0,EX
P000000810,P005,PD,0,0,EX
P000001067,P001,PD,0,0,EX
P000000066,P009,VB,0,0,EX
P000001668,P010,PD,0,0,EX
P000000929,P009,VB,0,0,EX
P000000948,P006,PD,0,0,EX
P000000580,P005,PD,0,0,EX
P000000524,P009,PD,0,0,EX
P000001731,P007,PD,0,0,EX
P000000254,P003,VB,0,0,EX
P000001712,P004,PD,0,0,EX
P000000982,P002,PD,0,0,EX
P000000496,P005,PD,0,0,EX
P000000981,P009,PD,0,0,EX
P000000592,P005,VB,0,0,EX
P000000082,P007,PD,0,0,EX
P000000339,P008,VB,0,0,EX
P000000571,P003,PD,0,0,EX
P000000320,P008,PD,0,0,EX
P000001760,P009,VB,0,0,EX
P000001988,P002,PD,0,0,EX
P000001894,P002,PD,0,0,EX
P000000360,P009,PD,0,0,EX
P000000752,P006,PD,0,0,EX
P000001372,P008,PD,0,0,EX
P000000929,P007,VB,0,0,EX
P000000967,P002,PD,0,0,EX
P000000578,P005,PD,0,0,EX
P000000726,P008,PD,0,0,EX
P000000298,P002,VB,0,0,EX
P000000414,P009,PD,0,0,EX
P000000813,P004,PD,0,0,EX
P000000135,P001,VB,0,0,EX
P000001427,P005,PD,0,0,EX
P000001944,P003,VB,0,0,EX
P000001731,P006,VB,0,0,EX
P000001588,P001,PD,0,0,EX
P000001459,P004,VB,0,0,EX
P000001669,P009,VB,0,0,EX
P000001717,P001,PD,0,0,EX
P000000153,P009,PD,0,0,EX
P000001645,P008,PD,0,0,EX
P000000191,P005,VB,0,0,EX
P000000666,P002,PD,0,0,EX
P000000472,P001,PD,0,0,EX
P000001836,P006,PD,0,0,EX
P000000886,P010,VB,0,0,EX
P000001603,P005,VB,0,0,EX
P000001338,P002,VB,0,0,EX
P000000316,P009,PD,0,0,EX
P000001337,P007,VB,0,0,EX
P000000947,P003,PD,0,0,EX
P000001959,P006,VB,0,0,EX
P000000768,P004,VB,0,0,EX
P000000240,P004,VB,0,0,EX
P000000478,P003,PD,0,0,EX
P000001068,P005,PD,0,0,EX
P000000938,P008,VB,0,0,EX
P000001054,P007,PD,0,0,EX
P000000804,P007,VB,0,0,EX
P000000780,P009,PD,0,0,EX
P000001433,P009,PD,0,0,EX
P000000096,P003,PD,0,0,EX
P000001071,P010,PD,0,0,EX
P000001558,P006,PD,0,0,EX
P000001649,P005,PD,0,0,EX
P000000678,P008,VB,0,0,EX
P000000277,P007,PD,0,0,EX
P000001006,P009,VB,0,0,EX
P000001416,P008,PD,0,0,EX
P000001797,P006,PD,0,0,EX
P000000208,P008,PD,0,0,EX
P000001865,P002,PD,0,0,EX
P000000967,P006,PD,0,0,EX
P000000731,P008,VB,0,0,EX
P000001530,P010,PD,0,0,EX
P000000654,P004,PD,0,0,EX
P000000660,P005,VB,0,0,EX
P000000286,P009,PD,0,0,EX
P000001255,P005,VB,0,0,EX
P000000385,P001,VB,0,0,EX
P000001421,P009,PD,0,0,EX
P000001439,P008,PD,0,0,EX
P000000764,P003,VB,0,0,EX
P000000227,P010,PD,0,0,EX
P000000130,P006,PD,0,0,EX
P000000604,P004,PD,0,0,EX
P000001951,P007,PD,0,0,EX
P000001460,P007,PD,0,0,EX
P000000331,P003,PD,0,0,EX
P000001141,P003,PD,0,0,EX
P000000220,P008,PD,0,0,EX
P000001289,P004,PD,0,0,EX
P000001388,P010,PD,0,0,EX
P000000299,P006,PD,0,0,EX
P000000282,P008,PD,0,0,EX
P000001850,P008,VB,0,0,EX
P000001083,P005,VB,0,0,EX
P000001493,P009,PD,0,0,EX
P000000881,P003,PD,0,0,EX
P000000260,P007,PD,0,0,EX
P000001884,P002,PD,0,0,EX
P000000906,P004,PD,0,0,EX
P000000372,P004,PD,0,0,EX
P000001813,P003,VB,0,0,EX
P000001589,P001,VB,0,0,EX
P000000342,P008,PD,0,0,EX
P000001232,P007,PD,0,0,EX
P000001857,P007,PD,0,0,EX
P000001262,P007,PD,0,0,EX
P000001588,P005,PD,0,0,EX
P000001844,P007,PD,0,0,EX
P000001230,P008,PD,0,0,EX
P000001009,P008,PD,0,0,EX
P000000286,P006,VB,0,0,EX
P000001315,P008,PD,0,0,EX
P000001723,P004,PD,0,0,EX
P000000301,P006,VB,0,0,EX
P000000891,P005,PD,0,0,EX
P000000217,P007,PD,0,0,EX
P000001617,P003,PD,0,0,EX
P000000216,P003,PD,0,0,EX
P000001688,P009,PD,0,0,EX
P000001486,P008,PD,0,0,EX
P000001732,P010,PD,0,0,EX
P000001766,P009,PD,0,0,EX
P000000603,P010,PD,0,0,EX
P000000754,P010,VB,0,0,EX
P000001662,P010,PD,0,0,EX
P000000002,P001,PD,0,0,EX
P000000227,P002,PD,0,0,EX
P000001864,P006,PD,0,0,EX
P000001051,P004,PD,0,0,EX
P000000621,P002,PD,0,0,EX
P000001004,P010,PD,0,0,EX
P000001008,P008,PD,0,0,EX
P000001361,P006,PD,0,0,EX
P000001203,P006,VB,0,0,EX
P000000081,P004,PD,0,0,EX
P000001057,P005,PD,0,0,EX
P000001357,P001,PD,0,0,EX
P000001686,P005,VB,0,0,EX
P000001021,P009,PD,0,0,EX
P000000401,P003,VB,0,0,EX
P000000332,P002,PD,0,0,EX
P000001454,P005,VB,0,0,EX
P000001794,P002,PD,0,0,EX
P000000825,P002,PD,0,0,EX
P000000448,P005,PD,0,0,EX
P000001310,P008,PD,0,0,EX
P000000474,P006,VB,0,0,EX
P000001600,P008,PD,0,0,EX
P000001018,P002,PD,0,0,EX
P000001529,P005,PD,0,0,EX
P000001957,P005,PD,0,0,EX
P000000275,P004,PD,0,0,EX
P000000181,P007,PD,0,0,EX
P000000645,P009,VB,0,0,EX
P000001108,P006,PD,0,0,EX
P000001090,P006,PD,0,0,EX
P000000531,P002,VB,0,0,EX
P000001162,P003,PD,0,0,EX
P000000413,P003,PD,0,0,EX
P000001161,P006,PD,0,0,EX
P000000421,P010,VB,0,0,EX
P000000295,P003,PD,0,0,EX
P000000384,P003,PD,0,0,EX
P000001314,P002,VB,0,0,EX
P000000880,P004,PD,0,0,EX
P000001303,P003,PD,0,0,EX
P000001658,P007,PD,0,0,EX
P000001397,P003,PD,0,0,EX
P000001554,P004,PD,0,0,EX
P000001800,P005,PD,0,0,EX
P000000210,P010,PD,0,0,EX
P000001797,P003,PD,0,0,EX
P000001019,P005,PD,0,0,EX
P000001410,P001,PD,0,0,EX
P000000708,P010,PD,0,0,EX
P000001684,P001,PD,0,0,EX
P000000529,P006,PD,0,0,EX
P000001517,P006,PD,0,0,EX
P000000640,P004,PD,0,0,EX
P000000624,P003,PD,0,0,EX
P000001152,P008,PD,0,0,EX
P000001576,P008,PD,0,0,EX
P000000766,P007,PD,0,0,EX
P000000863,P002,VB,0,0,EX
P000001480,P007,PD,0,0,EX
P000000863,P008,PD,0,0,EX
P000000094,P001,PD,0,0,EX
P000000339,P001,PD,0,0,EX
P000000978,P008,PD,0,0,EX
P000000252,P007,PD,0,0,EX
P000000925,P010,PD,0,0,EX
P000001569,P007,PD,0,0,EX
P000001572,P010,PD,0,0,EX
P000000926,P008,PD,0,0,EX
P000001737,P007,PD,0,0,EX
P000001621,P006,PD,0,0,EX
P000000023,P004,PD,0,0,EX
P000001082,P007,PD,0,0,EX
P000001675,P004,PD,0,0,EX
P000001063,P004,PD,0,0,EX
P000000209,P006,PD,0,0,EX
P000000477,P003,PD,0,0,EX
P000000595,P008,PD,0,0,EX
P000000094,P003,PD,0,0,EX
P000000272,P005,PD,0,0,EX
P000000940,P006,PD,0,0,EX
P000000940,P010,PD,0,0,EX
P000001140,P009,PD,0,0,EX
P000001689,P001,PD,0,0,EX
P000001962,P006,PD,0,0,EX
P000001549,P003,PD,0,0,EX
P000001605,P010,PD,0,0,EX
P000001830,P007,PD,0,0,EX
P000000392,P005,VB,0,0,EX
P000000072,P002,PD,0,0,EX
P000000768,P006,PD,0,0,EX
P000000575,P001,PD,0,0,EX
P000000525,P003,VB,0,0,EX
P000000058,P005,VB,0,0,EX
P000000017,P006,PD,0,0,EX
P000001866,P010,PD,0,0,EX
P000000233,P003,VB,0,0,EX
P000001976,P004,VB,0,0,EX
P000000187,P004,PD,0,0,EX
P000000412,P008,VB,0,0,EX
P000000394,P005,PD,0,0,EX
P000000581,P001,PD,0,0,EX
P000001622,P006,PD,0,0,EX
P000000968,P007,PD,0,0,EX
P000001424,P008,VB,0,0,EX
P000000840,P003,PD,0,0,EX
P000000651,P008,PD,0,0,EX
P000000359,P009,PD,0,0,EX
P000000612,P006,PD,0,0,EX
P000000378,P005,PD,0,0,EX
P000001005,P004,PD,0,0,EX
P000000247,P006,PD,0,0,EX
P000000428,P009,PD,0,0,EX
P000001560,P005,PD,0,0,EX
P000001478,P009,PD,0,0,EX
P000001893,P002,PD,0,0,EX
P000000939,P006,PD,0,0,EX
P000001926,P008,PD,0,0,EX
P000000690,P001,VB,0,0,EX
P000000933,P002,PD,0,0,EX
P000001394,P002,PD,0,0,EX
P000000888,P001,PD,0,0,EX
P000001253,P010,PD,0,0,EX
P000001822,P001,PD,0,0,EX
P000000960,P010,PD,0,0,EX
P000001667,P008,PD,0,0,EX
P000000680,P004,VB,0,0,EX
P000001155,P003,VB,0,0,EX
P000001153,P008,VB,0,0,EX
P000001890,P004,PD,0,0,EX
P000000015,P010,VB,0,0,EX
P000001423,P005,PD,0,0,EX
P000000357,P007,PD,0,0,EX
P000000166,P010,PD,0,0,EX
P000000628,P010,PD,0,0,EX
P000001939,P005,PD,0,0,EX
P000001963,P010,PD,0,0,EX
P000000832,P005,PD,0,0,EX
P000000813,P002,PD,0,0,EX
P000001264,P004,PD,0,0,EX
P000000901,P006,PD,0,0,EX
P000000556,P007,VB,0,0,EX
P000000552,P007,PD,0,0,EX
P000001095,P003,PD,0,0,EX
P000001927,P008,PD,0,0,EX
P000000693,P004,PD,0,0,EX
P000001774,P002,VB,0,0,EX
P000000811,P010,PD,0,0,EX
P000001280,P003,VB,0,0,EX
P000001256,P002,VB,0,0,EX
P000001639,P005,PD,0,0,EX
P000001713,P006,PD,0,0,EX
P000001292,P005,PD,0,0,EX
P000001688,P010,PD,0,0,EX
P000000484,P003,PD,0,0,EX
P000001971,P008,PD,0,0,EX
P000000985,P009,PD,0,0,EX
P000001541,P005,PD,0,0,EX
P000000249,P001,PD,0,0,EX
P000001865,P001,PD,0,0,EX
P000001767,P003,PD,0,0,EX
P000000475,P004,PD,0,0,EX
P000000450,P006,VB,0,0,EX
P000000632,P005,VB,0,0,EX
P000000968,P005,PD,0,0,EX
P000001199,P002,PD,0,0,EX
P000001526,P009,PD,0,0,EX
P000001733,P007,PD,0,0,EX
P000001677,P007,VB,0,0,EX
P000000979,P004,PD,0,0,EX
P000000001,P002,VB,0,0,EX
P000001418,P005,PD,0,0,EX
P000000262,P009,PD,0,0,EX
P000001523,P007,PD,0,0,EX
P000001948,P008,VB,0,0,EX
P000000159,P007,PD,0,0,EX
P000001581,P006,PD,0,0,EX
P000001802,P006,VB,0,0,EX
P000000832,P010,VB,0,0,EX
P000000074,P009,PD,0,0,EX
P000000213,P001,PD,0,0,EX
P000000623,P002,PD,0,0,EX
P000000002,P010,VB,0,0,EX
P000001458,P001,VB,0,0,EX
P000001987,P006,PD,0,0,EX
P000000713,P004,PD,0,0,EX
P000000883,P001,VB,0,0,EX
P000000179,P008,VB,0,0,EX
P000001533,P002,PD,0,0,EX
P000001548,P007,PD,0,0,EX
P000000441,P005,VB,0,0,EX
P000001861,P005,VB,0,0,EX
P000000369,P004,PD,0,0,EX
P000001382,P008,VB,0,0,EX
P000000797,P010,PD,0,0,EX
P000000560,P008,PD,0,0,EX
P000000639,P007,PD,0,0,EX
P000000315,P001,PD,0,0,EX
P000000001,P006,PD,0,0,EX
P000000930,P004,PD,0,0,EX
P000001015,P010,PD,0,0,EX
P000001722,P008,VB,0,0,EX
P000001221,P008,PD,0,0,EX
P000000876,P010,PD,0,0,EX
P000000445,P005,VB,0,0,EX
P000000946,P004,PD,0,0,EX
P000000220,P009,VB,0,0,EX
P000000286,P010,PD,0,0,EX
P000000286,P002,PD,0,0,EX
P000000845,P004,VB,0,0,EX
P000001782,P003,PD,0,0,EX
P000000001,P005,PD,0,0,EX
P000000083,P005,PD,0,0,EX
P000001260,P008,PD,0,0,EX
P000000961,P002,PD,0,0,EX
P000001536,P010,VB,0,0,EX
P000000420,P003,PD,0,0,EX
P000001152,P009,VB,0,0,EX
P000001081,P003,PD,0,0,EX
P000001703,P004,PD,0,0,EX
P000000349,P007,VB,0,0,EX
P000000278,P002,PD,0,0,EX
P000000310,P003,PD,0,0,EX
P000000933,P008,PD,0,0,EX
P000001461,P001,PD,0,0,EX
P000000665,P007,PD,0,0,EX
P000000302,P006,PD,0,0,EX
P000000412,P002,PD,0,0,EX
P000001851,P005,PD,0,0,EX
P000001212,P010,PD,0,0,EX
P000000717,P004,PD,0,0,EX
P000000788,P010,PD,0,0,EX
P000000676,P002,PD,0,0,EX
P000001331,P007,PD,0,0,EX
P000001144,P006,PD,0,0,EX
P000001749,P010,PD,0,0,EX
P000000515,P005,VB,0,0,EX
P000001475,P007,VB,0,0,EX
P000001325,P008,VB,0,0,EX
P000001038,P002,PD,0,0,EX
P000001889,P009,PD,0,0,EX
P000001126,P001,PD,0,0,EX
P000001129,P002,PD,0,0,EX
P000000624,P007,PD,0,0,EX
P000000212,P009,PD,0,0,EX
P000000885,P004,VB,0,0,EX
P000000004,P002,VB,0,0,EX
P000001414,P005,PD,0,0,EX
P000001362,P009,PD,0,0,EX
P000001872,P008,PD,0,0,EX
P000000281,P009,PD,0,0,EX
P000001036,P001,PD,0,0,EX
P000001896,P010,VB,0,0,EX
P000001776,P008,PD,0,0,EX
P000001464,P009,PD,0,0,EX
P000000225,P005,PD,0,0,EX
P000000493,P005,PD,0,0,EX
P000000521,P008,PD,0,0,EX
P000001568,P009,PD,0,0,EX
P000001483,P009,VB,0,0,EX
P000000480,P005,VB,0,0,EX
P000001834,P006,PD,0,0,EX
P000001242,P009,PD,0,0,EX
P000000945,P009,PD,0,0,EX
P000000249,P002,PD,0,0,EX
P000000582,P007,VB,0,0,EX
P000001050,P007,PD,0,0,EX
P000001140,P003,PD,0,0,EX
P000000753,P010,PD,0,0,EX
P000000237,P002,PD,0,0,EX
P000000680,P003,PD,0,0,EX
P000001944,P007,VB,0,0,EX
P000001363,P002,PD,0,0,EX
P000001046,P008,VB,0,0,EX
P000001338,P010,PD,0,0,EX
P000001885,P002,PD,0,0,EX
P000000233,P001,VB,0,0,EX
P000000875,P005,VB,0,0,EX
P000001391,P002,VB,0,0,EX
P000001988,P005,PD,0,0,EX
P000001343,P010,PD,0,0,EX
P000000111,P002,PD,0,0,EX
P000001017,P006,VB,0,0,EX
P000000224,P002,PD,0,0,EX
P000001566,P008,PD,0,0,EX
P000001916,P005,PD,0,0,EX
P000001484,P010,PD,0,0,EX
P000000080,P006,PD,0,0,EX
P000000183,P003,PD,0,0,EX
P000000147,P001,VB,0,0,EX
P000000298,P007,VB,0,0,EX
P000001910,P006,PD,0,0,EX
P000001945,P008,VB,0,0,EX
P000000089,P005,VB,0,0,EX
P000001589,P002,PD,0,0,EX
P000001277,P005,PD,0,0,EX
P000001017,P008,VB,0,0,EX
P000000632,P003,PD,0,0,EX
P000000723,P002,PD,0,0,EX
P000000103,P004,VB,0,0,EX
P000000748,P004,PD,0,0,EX
P000000624,P008,VB,0,0,EX
P000000936,P002,PD,0,0,EX
P000000080,P010,VB,0,0,EX
P000001084,P006,PD,0,0,EX
P000000961,P007,PD,0,0,EX
P000001182,P010,PD,0,0,EX
P000001742,P005,PD,0,0,EX
P000000292,P003,PD,0,0,EX
P000001106,P009,VB,0,0,EX
P000000564,P003,PD,0,0,EX
P000001757,P005,PD,0,0,EX
P000001585,P008,PD,0,0,EX
P000001686,P007,PD,0,0,EX
P000001252,P002,PD,0,0,EX
P000001118,P004,PD,0,0,EX
P000001859,P006,PD,0,0,EX
P000001095,P001,PD,0,0,EX
P000001570,P003,PD,0,0,EX
P000000767,P001,PD,0,0,EX
P000000263,P004,PD,0,0,EX
P000001535,P003,VB,0,0,EX
P000000019,P008,PD,0,0,EX
P000001932,P010,PD,0,0,EX
P000001636,P001,PD,0,0,EX
P000000253,P010,VB,0,0,EX
P000001880,P008,PD,0,0,EX
P000000279,P003,PD,0,0,EX
P000001101,P009,VB,0,0,EX
P000000293,P002,PD,0,0,EX
P000000066,P004,PD,0,0,EX
P000000093,P004,PD,0,0,EX
P000001170,P007,PD,0,0,EX
P000000926,P002,PD,0,0,EX
P000001390,P001,PD,0,0,EX
P000001602,P003,PD,0,0,EX
P000001555,P010,PD,0,0,EX
P000001458,P002,VB,0,0,EX
P000000603,P006,PD,0,0,EX
P000001518,P005,PD,0,0,EX
P000001914,P005,VB,0,0,EX
P000000973,P007,PD,0,0,EX
P000000027,P008,PD,0,0,EX
P000001760,P005,PD,0,0,EX
P000001150,P004,PD,0,0,EX
P000001873,P009,PD,0,0,EX
P000000444,P007,PD,0,0,EX
P000001889,P004,PD,0,0,EX
P000000876,P001,PD,0,0,EX
P000001191,P007,PD,0,0,EX
P000001588,P007,VB,0,0,EX
P000000222,P009,PD,0,0,EX
P000001120,P008,PD,0,0,EX
P000000129,P006,PD,0,0,EX
P000000959,P002,VB,0,0,EX
P000000126,P001,PD,0,0,EX
P000001960,P006,PD,0,0,EX
P000001096,P005,PD,0,0,EX
P000001721,P004,PD,0,0,EX
P000000774,P007,PD,0,0,EX
P000001180,P008,VB,0,0,EX
P000001441,P001,VB,0,0,EX
P000000260,P004,VB,0,0,EX
P000000875,P009,PD,0,0,EX
P000000954,P004,PD,0,0,EX
P000001726,P010,PD,0,0,EX
P000001356,P009,PD,0,0,EX
P000000144,P009,PD,0,0,EX
P000000014,P001,VB,0,0,EX
P000000351,P010,PD,0,0,EX
P000000496,P006,PD,0,0,EX
P000000855,P004,PD,0,0,EX
P000000755,P001,PD,0,0,EX
P000000620,P010,PD,0,0,EX
P000001808,P010,VB,0,0,EX
P000000032,P008,PD,0,0,EX
P000000321,P004,PD,0,0,EX
P000001617,P009,PD,0,0,EX
P000000353,P003,PD,0,0,EX
P000001550,P010,PD,0,0,EX
P000000785,P010,PD,0,0,EX
P000000257,P001,PD,0,0,EX
P000001707,P008,PD,0,0,EX
P000000740,P009,PD,0,0,EX
P000001757,P009,PD,0,0,EX
P000000120,P010,PD,0,0,EX
P000000762,P002,VB,0,0,EX
P000000474,P005,PD,0,0,EX
P000001203,P005,PD,0,0,EX
P000000515,P006,PD,0,0,EX
P000001140,P007,PD,0,0,EX
P000000937,P006,PD,0,0,EX
P000000396,P008,PD,0,0,EX
P000001663,P005,PD,0,0,EX
P000000592,P008,PD,0,0,EX
P000001245,P001,PD,0,0,EX
P000001102,P003,PD,0,0,EX
P000001034,P007,PD,0,0,EX
P000000077,P003,PD,0,0,EX
P000000603,P001,PD,0,0,EX
P000000620,P001,PD,0,0,EX
P000001881,P004,PD,0,0,EX
P000001726,P006,PD,0,0,EX
P000000172,P006,PD,0,0,EX
P000000592,P010,PD,0,0,EX
P000001766,P001,VB,0,0,EX
P000001805,P009,PD,0,0,EX
P000001396,P003,VB,0,0,EX
P000000907,P004,VB,0,0,EX
