BP_NUMBER,COMPANY_CODE,RECONCILIATION_ACCOUNT,PAYMENT_TERMS,CURRENCY
0000000143,5000,976289,2/10,EUR
0000000711,1000,563882,NT60,AUD
0000000351,3000,297600,NT30,USD
0000001276,1000,578291,NT90,CNY
0000000632,4000,300913,0002,AUD
0000001150,1000,173631,NT30,CNY
0000000885,5000,987231,0003,CAD
0000000923,3000,349989,0002,KRW
0000001270,4000,666625,0001,USD
0000001844,1000,536786,NT30,USD
0000001457,5000,145875,NT90,AUD
0000001046,2000,374919,0001,AUD
0000000096,2000,790391,NT60,AUD
0000001391,1000,711431,NT30,GBP
0000001882,4000,014057,NT30,EUR
0000000890,3000,292409,0001,CAD
0000000546,5000,910372,NT90,CNY
0000000545,3000,089923,0003,USD
0000001746,5000,398624,NT30,CNY
0000000219,3000,901988,0002,AUD
0000001927,1000,640890,0003,CHF
0000000189,5000,482779,0002,GBP
0000000778,1000,963791,NT60,CAD
0000001736,2000,942361,0003,CHF
0000001530,4000,501402,NT30,EUR
0000001337,5000,675774,2/10,CNY
0000000620,3000,981932,0002,JPY
0000000024,3000,381376,0002,CHF
0000000373,2000,910487,0003,CNY
0000000202,3000,923377,0001,CNY
0000000318,3000,194860,NT90,BRL
0000000141,4000,448789,0002,AUD
0000000494,2000,017698,0001,USD
0000001257,4000,118981,2/10,BRL
0000001770,3000,594866,NT90,CHF
0000001643,5000,973767,0003,CAD
0000001195,4000,701408,NT90,KRW
0000000670,1000,771285,0002,KRW
0000000968,1000,584695,2/10,USD
0000001623,5000,994114,0003,CAD
0000000501,3000,307146,NT30,EUR
0000000394,3000,356454,NT60,KRW
0000001518,2000,604429,NT30,KRW
0000001272,4000,991108,NT30,EUR
0000001232,4000,139257,0002,CAD
0000001532,3000,068147,0003,GBP
0000001585,5000,893252,0003,BRL
0000000172,1000,596936,NT90,GBP
0000001611,2000,581122,0002,CNY
0000000303,4000,501917,NT60,USD
0000000054,5000,556129,NT90,USD
0000001860,1000,026366,NT90,EUR
0000000466,5000,535930,NT60,CAD
0000001828,2000,367974,NT30,BRL
0000001461,1000,233327,0003,BRL
0000000153,5000,296647,0002,CAD
0000001975,3000,582993,0001,BRL
0000001039,2000,644556,2/10,USD
0000001850,1000,734205,0001,AUD
0000000122,4000,552810,2/10,CAD
0000000506,5000,246498,NT30,KRW
0000001120,2000,137247,0002,USD
0000000563,2000,067994,0001,AUD
0000001159,4000,132409,0003,GBP
0000001929,2000,150518,NT60,JPY
0000000048,3000,319166,0002,CAD
0000000979,5000,877689,0001,CAD
0000001274,5000,006670,2/10,KRW
0000000992,1000,649309,NT30,JPY
0000001612,2000,893305,2/10,GBP
0000001640,3000,638866,NT60,EUR
0000001079,3000,057252,0002,USD
0000001250,4000,796534,0001,USD
0000001182,2000,157058,0003,USD
0000000149,3000,693170,NT60,CAD
0000001447,1000,445323,0001,JPY
0000000335,1000,350466,NT30,JPY
0000000654,3000,489869,2/10,BRL
0000000533,4000,526707,0003,USD
0000000014,2000,857714,NT30,CNY
0000000240,5000,025418,NT30,JPY
0000001430,2000,438697,0003,USD
0000000075,4000,809835,0002,JPY
0000000384,5000,744581,0001,CNY
0000001678,4000,985250,0001,CAD
0000001350,3000,734608,0003,CNY
0000001674,2000,750546,0002,CHF
0000000831,2000,030337,NT90,GBP
0000001884,5000,035663,NT30,KRW
0000001129,1000,023504,0002,AUD
0000001456,5000,165529,NT30,KRW
0000001037,3000,433234,0001,AUD
0000001265,2000,655352,NT60,JPY
0000001512,5000,530443,NT60,CHF
0000000269,3000,197554,0002,EUR
0000000243,3000,785735,NT30,CNY
0000001810,5000,904558,NT90,JPY
0000001073,3000,618620,NT60,GBP
0000001525,2000,947232,NT30,EUR
0000000952,5000,252907,0003,EUR
0000001920,1000,265682,NT30,BRL
0000000467,4000,111753,2/10,CAD
0000001082,1000,020706,NT30,KRW
0000001726,5000,455627,0001,EUR
0000001247,1000,977384,0002,USD
0000001909,5000,901851,0003,USD
0000001499,1000,523991,0003,USD
0000001520,3000,972346,NT30,CNY
0000000518,3000,403022,0002,GBP
0000000426,5000,434061,2/10,CAD
0000001692,4000,652674,0002,BRL
0000001171,3000,590161,0002,AUD
0000000012,2000,685694,NT90,BRL
0000000588,1000,061763,0001,GBP
0000000019,3000,883304,2/10,CAD
0000000750,4000,504708,0002,AUD
0000001548,5000,801298,0001,GBP
0000001507,3000,341005,0003,EUR
0000000064,3000,827247,NT60,USD
0000001944,1000,245983,NT60,GBP
0000000638,3000,844826,0001,CHF
0000001358,2000,404878,0001,USD
0000001184,2000,625271,NT60,BRL
0000001547,1000,951988,NT30,BRL
0000001786,2000,407818,NT90,AUD
0000000062,1000,120839,0001,USD
0000000971,2000,285256,NT90,CAD
0000000618,2000,313164,2/10,EUR
0000001424,5000,083958,NT30,KRW
0000001025,3000,503604,NT60,CAD
0000000257,2000,047417,NT90,EUR
0000000069,4000,540082,NT60,BRL
0000000937,1000,545776,0001,USD
0000000632,1000,742055,0002,BRL
0000000977,5000,822018,0003,CNY
0000001941,5000,932840,2/10,CAD
0000001079,2000,394091,2/10,GBP
0000001363,1000,524516,2/10,CHF
0000000470,2000,969330,0002,JPY
0000001811,4000,125393,0003,BRL
0000000343,5000,452536,NT60,EUR
0000000427,2000,805035,NT90,KRW
0000000162,3000,056353,2/10,CHF
0000000898,4000,041066,0002,USD
0000001142,4000,084910,0001,BRL
0000000422,1000,651806,NT60,GBP
0000000082,2000,954029,2/10,GBP
0000001864,2000,534702,0001,CAD
0000001635,3000,974954,0001,CNY
0000001779,4000,658053,2/10,CHF
0000000292,4000,557438,0003,CHF
0000001178,3000,734424,0001,AUD
0000000182,5000,987198,0001,CNY
0000001292,1000,980741,0002,GBP
0000000661,5000,266267,NT90,CHF
0000000023,3000,349933,2/10,CAD
0000001452,3000,208546,2/10,GBP
0000001737,4000,513853,2/10,JPY
0000001644,1000,604900,0001,CAD
0000001523,2000,767343,NT90,USD
0000000433,2000,981458,0002,CHF
0000000408,3000,690163,0003,JPY
0000000078,4000,493745,NT30,BRL
0000001738,5000,742554,0002,BRL
0000000344,2000,558582,NT60,AUD
0000000447,1000,101756,NT60,KRW
0000001193,1000,925250,0001,CHF
0000001519,1000,051507,NT60,EUR
0000001416,5000,007450,NT90,CNY
0000001318,2000,542594,0001,KRW
0000000487,3000,986638,NT90,KRW
0000000654,2000,140127,NT90,CNY
0000000539,4000,282676,0001,CHF
0000001854,2000,229040,0003,CAD
0000001240,5000,195866,NT60,CAD
0000000212,4000,543886,NT30,KRW
0000000070,4000,507836,NT30,BRL
0000000629,5000,072587,0002,CNY
0000000691,2000,309742,NT30,CAD
0000001328,4000,003425,0002,KRW
0000000490,1000,877512,NT60,CAD
0000000265,2000,033924,0001,CAD
0000001458,1000,845385,0003,USD
0000001841,4000,269285,NT30,USD
0000000411,4000,512140,NT30,KRW
0000000046,1000,730651,0003,GBP
0000001477,5000,761908,NT30,JPY
0000000029,1000,775868,2/10,GBP
0000001324,3000,854277,2/10,USD
0000000134,2000,971642,NT90,CHF
0000001767,1000,698324,NT90,CNY
0000000604,5000,810634,0002,BRL
0000001803,2000,121125,0003,GBP
0000000279,4000,934926,2/10,USD
0000001153,4000,815481,2/10,CHF
0000000529,5000,772519,0003,CHF
0000001042,1000,172027,NT60,AUD
0000001922,3000,787916,0001,AUD
0000001122,3000,743958,NT60,JPY
0000000492,5000,179287,NT90,BRL
0000001875,2000,634797,2/10,JPY
0000000404,3000,856078,2/10,USD
0000000499,5000,573622,NT60,USD
0000001022,2000,348451,NT30,CNY
0000000515,5000,698712,0003,CAD
0000000816,5000,703615,0003,CHF
0000001571,1000,826800,0001,CNY
0000000115,2000,006651,2/10,AUD
0000000361,5000,003253,NT30,EUR
0000001245,2000,902299,NT90,CNY
0000001582,3000,953348,NT90,USD
0000001375,1000,511954,0003,USD
0000001502,5000,478727,0001,CAD
0000001329,1000,356622,0001,CAD
0000000731,4000,288738,2/10,GBP
0000001012,2000,105033,NT90,CHF
0000001207,2000,186012,0001,CHF
0000000786,2000,986081,NT30,CNY
0000000939,4000,787809,NT90,EUR
0000000272,4000,135676,NT30,JPY
0000000712,4000,735685,NT60,BRL
0000001393,2000,302353,2/10,CAD
0000000188,3000,320059,0002,CHF
0000001306,4000,791306,0003,KRW
0000001768,1000,568956,0002,CNY
0000001365,5000,038912,0003,BRL
0000001199,3000,759378,0002,KRW
0000000212,2000,673616,NT30,BRL
0000000101,4000,684035,NT30,GBP
0000001958,3000,397031,NT30,BRL
0000001451,4000,213039,0003,USD
0000000662,1000,012168,0003,AUD
0000000741,5000,800855,0003,CAD
0000000712,5000,255446,2/10,KRW
0000000582,4000,342240,NT90,AUD
0000001078,3000,753424,NT90,BRL
0000001413,3000,932808,2/10,EUR
0000000036,3000,525323,0003,JPY
0000001475,1000,200607,0001,USD
0000001619,4000,309788,NT90,CAD
0000001554,2000,184331,0001,USD
0000000576,2000,383107,NT30,BRL
0000000290,2000,542955,0002,USD
0000001618,1000,399214,0001,CNY
0000001579,3000,079528,0001,GBP
0000000051,4000,415264,NT90,AUD
0000000151,5000,051144,NT90,BRL
0000001719,5000,025934,0002,CHF
0000000479,3000,504813,0001,CHF
0000000937,5000,642514,0001,BRL
0000001408,1000,751325,2/10,EUR
0000000137,2000,073171,0003,BRL
0000001098,5000,090461,2/10,CHF
0000001914,4000,187001,0001,GBP
0000001629,3000,652661,0002,GBP
0000000985,2000,667155,0003,CHF
0000001134,5000,645742,0003,USD
0000001253,1000,726134,0001,GBP
0000000027,1000,461390,NT60,KRW
0000001163,5000,433071,2/10,CNY
0000001766,1000,567235,NT30,USD
0000001853,4000,925129,0002,KRW
0000000533,3000,067217,NT60,CNY
0000000352,4000,373176,NT90,KRW
0000000595,3000,520883,NT30,AUD
0000000634,2000,616458,0001,BRL
0000001902,2000,992653,0002,EUR
0000001729,5000,623219,2/10,CAD
0000000814,2000,044914,0002,CHF
0000001224,2000,406402,NT30,EUR
0000000795,4000,566030,NT60,CNY
0000000695,2000,880043,0001,CNY
0000001790,4000,687069,NT60,USD
0000000803,3000,181121,NT30,EUR
0000001759,4000,125346,0001,USD
0000000752,4000,807136,0003,USD
0000000758,3000,868728,2/10,EUR
0000000630,1000,223125,0002,AUD
0000001826,5000,568953,NT90,AUD
0000001252,5000,417220,2/10,USD
0000001823,3000,442497,NT60,KRW
0000001988,2000,500889,0003,AUD
0000000839,1000,506315,NT90,CAD
0000000137,1000,308733,0003,USD
0000001811,5000,081469,0001,AUD
0000001950,3000,081466,0001,AUD
0000000474,4000,170131,0001,USD
0000000279,3000,765671,0001,AUD
0000000344,5000,139345,2/10,KRW
0000001524,5000,479398,0002,USD
0000000990,1000,643489,NT30,EUR
0000000413,1000,038597,NT90,EUR
0000000787,2000,624285,NT30,KRW
0000000155,1000,866184,NT60,CNY
0000001233,1000,493895,0002,KRW
0000000119,2000,524783,0003,CHF
0000001301,2000,881392,0002,EUR
0000000174,4000,197074,2/10,KRW
0000001708,5000,687973,NT90,KRW
0000001243,5000,825119,0001,CAD
0000000535,4000,763048,2/10,GBP
0000000446,3000,068456,NT90,CNY
0000001104,2000,305785,0003,GBP
0000000195,2000,550727,NT60,CNY
0000000532,4000,484376,0001,CHF
0000000364,3000,037242,NT60,CHF
0000000289,3000,155936,0003,JPY
0000000123,5000,441876,NT90,EUR
0000001718,5000,702829,NT90,KRW
0000001525,1000,852910,NT30,AUD
0000000824,3000,959782,0001,USD
0000000129,2000,199242,0003,JPY
0000001821,3000,355632,0001,CHF
0000000858,3000,035163,0003,CHF
0000001138,1000,048913,NT60,AUD
0000000465,1000,244288,0001,CAD
0000001213,1000,750409,0002,KRW
0000001644,2000,945318,2/10,CAD
0000000900,4000,625392,NT30,BRL
0000001087,3000,298803,0001,AUD
0000000944,2000,861825,0002,USD
0000001295,1000,493900,0002,JPY
0000001613,1000,669030,NT90,GBP
0000000218,3000,187446,NT90,CNY
0000001774,1000,889991,2/10,CHF
0000001130,1000,469645,NT90,KRW
0000000795,3000,628111,NT60,JPY
0000001456,1000,474630,0001,CNY
0000001384,5000,585565,NT30,USD
0000000991,3000,448335,NT30,USD
0000000355,5000,386384,NT60,BRL
0000001824,1000,922946,NT30,USD
0000001165,4000,108520,0003,CNY
0000000714,5000,329539,0003,USD
0000000609,4000,829136,NT30,CNY
0000000054,3000,098794,NT30,AUD
0000001966,3000,175504,0001,EUR
0000001870,3000,425280,NT30,CAD
0000000300,1000,985928,NT60,AUD
0000000808,5000,095510,0002,CHF
0000000454,1000,261052,0001,GBP
0000001466,2000,252138,NT60,KRW
0000000682,1000,184012,0001,JPY
0000000936,5000,611676,0002,CHF
0000000378,4000,891266,0003,GBP
0000000600,4000,581495,0001,GBP
0000000973,1000,533389,0001,CAD
0000000305,2000,654602,0002,CNY
0000001546,4000,424957,0003,CNY
0000000338,2000,952035,NT60,CAD
0000000302,1000,209383,NT30,CHF
0000001573,5000,360023,2/10,CAD
0000001679,1000,026298,2/10,KRW
0000000539,5000,073214,NT30,CNY
0000001648,4000,047652,NT30,GBP
0000001847,3000,394892,0001,CHF
0000000894,5000,667496,NT30,AUD
0000001869,5000,600137,NT60,JPY
0000000117,5000,016383,0003,JPY
0000000217,3000,922556,NT90,JPY
0000001569,3000,467593,NT60,JPY
0000001023,1000,559815,NT30,BRL
0000001052,4000,089063,NT60,AUD
0000000775,4000,934081,0001,AUD
0000000615,1000,075639,NT60,AUD
0000000533,5000,414900,0003,USD
0000001768,3000,619652,NT90,USD
0000000397,4000,911027,2/10,KRW
0000001549,3000,579873,NT60,CAD
0000000656,4000,608085,NT60,JPY
0000001135,2000,343767,NT60,BRL
0000000034,4000,671794,0001,JPY
0000001568,3000,151404,0001,EUR
0000001294,1000,976438,2/10,CAD
0000000971,4000,736762,0003,CAD
0000001799,3000,684401,0002,USD
0000001092,1000,824896,0001,EUR
0000001621,5000,786555,NT60,AUD
0000001633,2000,665100,0002,CAD
0000001442,4000,608066,0003,CHF
0000000258,1000,876736,0002,KRW
0000000054,4000,587694,0003,JPY
0000000749,1000,081035,NT90,CNY
0000000255,4000,773392,2/10,AUD
0000001309,4000,044033,0002,EUR
0000001392,3000,468238,NT30,EUR
0000001974,4000,340473,NT90,CHF
0000001096,1000,754095,2/10,BRL
0000000673,1000,661792,NT90,BRL
0000000025,1000,760906,2/10,EUR
0000000938,1000,028835,0001,GBP
0000000469,5000,226007,NT60,JPY
0000000917,4000,667959,0001,EUR
0000001685,2000,025491,0003,JPY
0000000486,5000,360995,0003,GBP
0000001278,5000,501293,0003,BRL
0000001498,3000,042634,NT60,KRW
0000001321,3000,374274,2/10,KRW
0000000024,5000,476683,NT90,AUD
0000000233,5000,531424,0002,JPY
0000000619,1000,983127,0001,GBP
0000000590,3000,384584,0003,BRL
0000000917,3000,818544,0003,CHF
0000000494,3000,404683,0001,KRW
0000001587,5000,876355,0003,AUD
0000000877,2000,841577,NT60,GBP
0000000771,1000,232378,NT30,KRW
0000001716,2000,644008,0001,BRL
0000000417,5000,827270,NT30,JPY
0000000348,2000,398091,NT90,CAD
0000001832,5000,944119,NT60,EUR
0000000998,4000,560241,0002,CNY
0000000100,3000,155649,0003,EUR
0000001339,2000,201258,0001,USD
0000001757,3000,830785,0001,AUD
0000000455,5000,056550,0003,CNY
0000001871,1000,551803,NT90,USD
0000001322,5000,316519,0002,CNY
0000001289,2000,659203,2/10,AUD
0000000430,4000,497864,2/10,GBP
0000001404,4000,567844,0001,CAD
0000001739,5000,257733,2/10,BRL
0000001249,4000,183192,0002,JPY
0000000836,3000,833567,NT90,CNY
0000001794,2000,702901,0003,CNY
0000001169,2000,308395,NT60,AUD
0000001827,3000,052708,0002,USD
0000000587,5000,016347,2/10,USD
0000001456,3000,053155,0003,USD
0000000764,2000,529643,NT90,CAD
0000001429,2000,355676,NT30,EUR
0000000751,1000,192620,NT60,CNY
0000001911,4000,517264,0001,USD
0000000880,1000,625771,0002,KRW
0000000318,5000,595096,NT90,CNY
0000001987,3000,333553,0003,EUR
0000000862,1000,719534,2/10,AUD
0000000016,4000,631841,0003,BRL
0000001870,4000,871335,NT30,EUR
0000001475,2000,731300,0001,GBP
0000000182,4000,397340,NT90,USD
0000000409,1000,459374,NT90,GBP
0000001594,5000,707852,NT60,BRL
0000000626,3000,234285,0003,USD
0000001346,3000,053086,0002,BRL
0000001027,3000,047689,NT90,USD
0000000163,5000,974882,0003,AUD
0000001407,3000,460880,0002,BRL
0000001446,1000,393394,0002,KRW
0000001668,5000,042040,NT30,CNY
0000001554,1000,607127,0001,CNY
0000001771,1000,137036,NT90,KRW
0000000747,5000,560653,0001,CNY
0000001268,4000,319131,0002,EUR
0000001303,3000,205814,0003,EUR
0000000060,5000,456156,0002,BRL
0000000484,5000,745078,0001,BRL
0000000354,2000,701155,2/10,AUD
0000000935,2000,970600,2/10,KRW
0000001804,1000,267818,0001,BRL
0000001194,3000,997801,NT60,BRL
0000001260,1000,472676,0003,CHF
0000000934,1000,995477,0003,JPY
0000001439,5000,865979,NT60,AUD
0000000905,1000,015766,NT30,CAD
0000001654,2000,610932,0003,KRW
0000000737,5000,547304,2/10,AUD
0000001014,5000,673857,0003,CAD
0000001743,3000,431112,0001,EUR
0000000722,4000,864643,NT30,EUR
0000000287,2000,238202,0002,AUD
0000001849,4000,080477,NT30,CNY
0000000654,1000,056144,NT30,BRL
0000000690,5000,889721,0002,KRW
0000001227,4000,629122,NT30,CHF
0000000618,1000,830116,2/10,JPY
0000000306,5000,055457,NT90,KRW
0000000657,5000,086412,0002,AUD
0000000048,4000,524374,NT60,KRW
0000000546,3000,094409,0001,BRL
0000000794,4000,101688,0001,CNY
0000000259,5000,858589,0002,CNY
0000000064,2000,159462,NT30,JPY
0000001144,2000,043726,2/10,CHF
0000001461,4000,524426,0002,EUR
0000001003,1000,952811,2/10,CHF
0000001482,4000,308061,0003,JPY
0000001104,5000,856596,0001,JPY
0000000492,4000,501450,NT60,GBP
0000000844,5000,232169,0003,AUD
0000000022,2000,367686,0001,CHF
0000000167,5000,250864,NT30,CNY
0000001068,5000,852643,NT30,CHF
0000001547,5000,017962,2/10,JPY
0000001857,3000,767545,NT90,AUD
0000001095,4000,687289,0001,CAD
0000001031,3000,864300,NT30,JPY
0000000196,2000,521241,NT30,GBP
0000001611,1000,202653,0003,CNY
0000000340,4000,703793,NT30,KRW
0000000284,4000,712800,NT90,JPY
0000000788,1000,792535,NT60,EUR
0000000138,5000,910368,2/10,JPY
0000000707,4000,259516,NT30,JPY
0000000267,1000,300400,2/10,BRL
0000000195,3000,062372,NT60,USD
0000000570,5000,890766,0002,JPY
0000001453,3000,224258,NT90,GBP
0000000102,3000,927857,NT60,USD
0000000739,1000,097184,NT30,BRL
0000000261,4000,994123,NT60,CAD
0000000563,5000,554832,NT60,BRL
0000000510,5000,297474,2/10,GBP
0000001740,1000,475682,0001,CAD
0000001817,1000,805161,NT30,BRL
0000000898,3000,631805,NT90,CAD
0000000493,3000,471857,NT30,CNY
0000000657,4000,040109,2/10,CAD
0000001246,2000,497887,2/10,KRW
0000001817,2000,814045,NT60,KRW
0000001417,4000,726935,0002,BRL
0000000143,4000,955305,0002,USD
0000001913,4000,459943,NT90,USD
0000001782,1000,694816,NT90,EUR
0000000843,5000,590839,NT60,JPY
0000000676,3000,911196,NT30,AUD
0000000263,3000,304303,0002,USD
0000000366,1000,572157,2/10,AUD
0000001529,3000,557820,2/10,JPY
0000001728,4000,055943,0003,KRW
0000000122,3000,955079,0001,CNY
0000000597,1000,288580,0001,GBP
0000000459,1000,670706,NT30,USD
0000001883,5000,724261,0002,AUD
0000001908,2000,728117,0002,KRW
0000001847,2000,078879,2/10,JPY
0000000246,1000,824641,0001,CAD
0000000193,3000,513217,NT90,CNY
0000000822,5000,207854,NT90,CNY
0000000950,5000,629969,NT60,USD
0000001378,2000,078058,0001,GBP
0000001129,5000,889041,NT30,GBP
0000001182,4000,253501,0003,CHF
0000000108,2000,803490,NT30,CNY
0000000853,2000,177052,NT90,USD
0000001247,3000,285250,2/10,BRL
0000000540,3000,424985,0003,EUR
0000000893,1000,134188,NT30,GBP
0000000066,5000,718942,0001,KRW
0000001403,3000,752647,NT60,BRL
0000000516,2000,777906,0003,GBP
0000000341,4000,311013,0002,CNY
0000001573,1000,310824,0002,EUR
0000000468,5000,290738,0003,BRL
0000001663,2000,103201,2/10,GBP
0000001577,5000,904450,2/10,CAD
0000000322,1000,273175,2/10,CHF
0000000112,1000,392223,0002,KRW
0000000126,1000,179764,NT60,GBP
0000001583,1000,610346,0002,CNY
0000000685,3000,613580,0001,AUD
0000000752,1000,753391,2/10,EUR
0000000102,5000,647157,0001,CHF
0000001452,4000,292311,0001,CHF
0000000640,5000,654790,NT30,JPY
0000000597,4000,767823,NT30,USD
0000001227,3000,041233,0002,GBP
0000000219,2000,823226,2/10,EUR
0000001313,4000,897658,NT90,USD
0000001330,2000,963046,0001,GBP
0000001896,5000,684132,NT90,USD
0000000420,3000,526611,NT30,BRL
0000001961,1000,855306,2/10,JPY
0000000742,3000,258666,NT30,JPY
0000000458,5000,630355,NT60,EUR
0000001688,5000,689916,NT90,AUD
0000001069,4000,925305,0002,CNY
0000001656,4000,109019,0002,BRL
0000001179,2000,869549,NT90,KRW
0000001596,2000,510490,NT90,GBP
0000000043,4000,385349,2/10,GBP
0000001719,3000,492436,0003,AUD
0000001986,5000,823716,2/10,KRW
0000001067,3000,741365,0002,JPY
0000000656,5000,952894,NT60,USD
0000000730,3000,804706,NT60,USD
0000000453,3000,348754,2/10,JPY
0000000435,2000,085070,0001,BRL
0000000694,3000,809078,0002,EUR
0000000264,5000,042271,NT30,JPY
0000000926,3000,516005,0003,GBP
0000000007,5000,296668,NT90,BRL
0000000086,3000,118341,0003,EUR
0000000192,3000,097133,NT30,CNY
0000001284,2000,430796,2/10,EUR
0000001861,4000,810243,0001,USD
0000001269,1000,565298,2/10,CHF
0000000878,1000,417780,NT30,KRW
0000001331,5000,252358,NT60,EUR
0000000370,3000,240888,NT90,USD
0000000572,1000,380755,NT30,GBP
0000001719,1000,992539,0003,CHF
0000000137,5000,322298,NT30,JPY
0000001282,5000,835847,NT60,BRL
0000000403,1000,726314,2/10,JPY
0000001278,3000,493897,0003,GBP
0000001039,5000,468272,NT90,CNY
0000000236,5000,421692,NT30,USD
0000001382,2000,819291,NT90,JPY
0000001812,5000,162795,0002,BRL
0000001174,5000,897573,0001,JPY
