BP_NUMBER,ROLE_CODE,VALID_FROM,VALID_TO
0000000193,FLVN01,2000-01-01,9999-12-31
0000000194,FLVN01,2000-01-01,9999-12-31
0000000195,FLVN01,2000-01-01,9999-12-31
0000000196,FLVN01,2000-01-01,9999-12-31
0000000197,FLVN01,2000-01-01,9999-12-31
0000000198,FLVN01,2000-01-01,9999-12-31
0000000199,FLVN01,2000-01-01,9999-12-31
0000000200,FLVN01,2000-01-01,9999-12-31
0000000201,FLVN01,2000-01-01,9999-12-31
0000000202,FLVN01,2000-01-01,9999-12-31
0000000203,FLVN01,2000-01-01,9999-12-31
0000000204,FLVN01,2000-01-01,9999-12-31
0000000205,FLVN01,2000-01-01,9999-12-31
0000000206,FLVN01,2000-01-01,9999-12-31
0000000207,FLVN01,2000-01-01,9999-12-31
0000000208,FLVN01,2000-01-01,9999-12-31
0000000209,FLVN01,2000-01-01,9999-12-31
0000000210,FLVN01,2000-01-01,9999-12-31
0000000211,FLVN01,2000-01-01,9999-12-31
0000000212,FLVN01,2000-01-01,9999-12-31
0000000213,FLVN01,2000-01-01,9999-12-31
0000000214,FLVN01,2000-01-01,9999-12-31
0000000215,FLVN01,2000-01-01,9999-12-31
0000000216,FLVN01,2000-01-01,9999-12-31
0000000217,FLVN01,2000-01-01,9999-12-31
0000000218,FLVN01,2000-01-01,9999-12-31
0000000219,FLVN01,2000-01-01,9999-12-31
0000000220,FLVN01,2000-01-01,9999-12-31
0000000221,FLVN01,2000-01-01,9999-12-31
0000000223,FLVN01,2000-01-01,9999-12-31
0000000224,FLVN01,2000-01-01,9999-12-31
0000000225,FLVN01,2000-01-01,9999-12-31
0000000226,FLVN01,2000-01-01,9999-12-31
0000000227,FLVN01,2000-01-01,9999-12-31
0000000228,FLVN01,2000-01-01,9999-12-31
0000000229,FLVN01,2000-01-01,9999-12-31
0000000230,FLVN01,2000-01-01,9999-12-31
0000000231,FLVN01,2000-01-01,9999-12-31
0000000232,FLVN01,2000-01-01,9999-12-31
0000000233,FLVN01,2000-01-01,9999-12-31
0000000234,FLVN01,2000-01-01,9999-12-31
0000000235,FLVN01,2000-01-01,9999-12-31
0000000236,FLVN01,2000-01-01,9999-12-31
0000000237,FLVN01,2000-01-01,9999-12-31
0000000238,FLVN01,2000-01-01,9999-12-31
0000000240,FLVN01,2000-01-01,9999-12-31
0000000243,FLVN01,2000-01-01,9999-12-31
0000000244,FLVN01,2000-01-01,9999-12-31
0000000245,FLVN01,2000-01-01,9999-12-31
0000000246,FLVN01,2000-01-01,9999-12-31
0000000247,FLVN01,2000-01-01,9999-12-31
0000000248,FLVN01,2000-01-01,9999-12-31
0000000249,FLVN01,2000-01-01,9999-12-31
0000000250,FLVN01,2000-01-01,9999-12-31
0000000251,FLVN01,2000-01-01,9999-12-31
0000000252,FLVN01,2000-01-01,9999-12-31
0000000253,FLVN01,2000-01-01,9999-12-31
0000000254,FLVN01,2000-01-01,9999-12-31
0000000255,FLVN01,2000-01-01,9999-12-31
0000000256,FLVN01,2000-01-01,9999-12-31
0000000257,FLVN01,2000-01-01,9999-12-31
0000000258,FLVN01,2000-01-01,9999-12-31
0000000259,FLVN01,2000-01-01,9999-12-31
0000000261,FLVN01,2000-01-01,9999-12-31
0000000262,FLVN01,2000-01-01,9999-12-31
0000000263,FLVN01,2000-01-01,9999-12-31
0000000264,FLVN01,2000-01-01,9999-12-31
0000000265,FLVN01,2000-01-01,9999-12-31
0000000266,FLVN01,2000-01-01,9999-12-31
0000000267,FLVN01,2000-01-01,9999-12-31
0000000268,FLVN01,2000-01-01,9999-12-31
0000000269,FLVN01,2000-01-01,9999-12-31
0000000270,FLVN01,2000-01-01,9999-12-31
0000000271,FLVN01,2000-01-01,9999-12-31
0000000272,FLVN01,2000-01-01,9999-12-31
0000000273,FLVN01,2000-01-01,9999-12-31
0000000274,FLVN01,2000-01-01,9999-12-31
0000000275,FLVN01,2000-01-01,9999-12-31
0000000276,FLVN01,2000-01-01,9999-12-31
0000000277,FLVN01,2000-01-01,9999-12-31
0000000278,FLVN01,2000-01-01,9999-12-31
0000000279,FLVN01,2000-01-01,9999-12-31
0000000280,FLVN01,2000-01-01,9999-12-31
0000000281,FLVN01,2000-01-01,9999-12-31
0000000282,FLVN01,2000-01-01,9999-12-31
0000000283,FLVN01,2000-01-01,9999-12-31
0000000284,FLVN01,2000-01-01,9999-12-31
0000000285,FLVN01,2000-01-01,9999-12-31
0000000286,FLVN01,2000-01-01,9999-12-31
0000000287,FLVN01,2000-01-01,9999-12-31
0000000288,FLVN01,2000-01-01,9999-12-31
0000000289,FLVN01,2000-01-01,9999-12-31
0000000290,FLVN01,2000-01-01,9999-12-31
0000000291,FLVN01,2000-01-01,9999-12-31
0000000292,FLVN01,2000-01-01,9999-12-31
0000000293,FLVN01,2000-01-01,9999-12-31
0000000294,FLVN01,2000-01-01,9999-12-31
0000000295,FLVN01,2000-01-01,9999-12-31
0000000296,FLVN01,2000-01-01,9999-12-31
0000000298,FLVN01,2000-01-01,9999-12-31
0000000299,FLVN01,2000-01-01,9999-12-31
0000000300,FLVN01,2000-01-01,9999-12-31
0000000301,FLVN01,2000-01-01,9999-12-31
0000000302,FLVN01,2000-01-01,9999-12-31
0000000303,FLVN01,2000-01-01,9999-12-31
0000000304,FLVN01,2000-01-01,9999-12-31
0000000305,FLVN01,2000-01-01,9999-12-31
0000000306,FLVN01,2000-01-01,9999-12-31
0000000307,FLVN01,2000-01-01,9999-12-31
0000000308,FLVN01,2000-01-01,9999-12-31
0000000310,FLVN01,2000-01-01,9999-12-31
0000000311,FLVN01,2000-01-01,9999-12-31
0000000312,FLVN01,2000-01-01,9999-12-31
0000000313,FLVN01,2000-01-01,9999-12-31
0000000314,FLVN01,2000-01-01,9999-12-31
0000000315,FLVN01,2000-01-01,9999-12-31
0000000316,FLVN01,2000-01-01,9999-12-31
0000000317,FLVN01,2000-01-01,9999-12-31
0000000318,FLVN01,2000-01-01,9999-12-31
0000000319,FLVN01,2000-01-01,9999-12-31
0000000321,FLVN01,2000-01-01,9999-12-31
0000000322,FLVN01,2000-01-01,9999-12-31
0000000324,FLVN01,2000-01-01,9999-12-31
0000000325,FLVN01,2000-01-01,9999-12-31
0000000326,FLVN01,2000-01-01,9999-12-31
0000000327,FLVN01,2000-01-01,9999-12-31
0000000328,FLVN01,2000-01-01,9999-12-31
0000000329,FLVN01,2000-01-01,9999-12-31
0000000330,FLVN01,2000-01-01,9999-12-31
0000000331,FLVN01,2000-01-01,9999-12-31
0000000333,FLVN01,2000-01-01,9999-12-31
0000000334,FLVN01,2000-01-01,9999-12-31
0000000335,FLVN01,2000-01-01,9999-12-31
0000000336,FLVN01,2000-01-01,9999-12-31
0000000337,FLVN01,2000-01-01,9999-12-31
0000000338,FLVN01,2000-01-01,9999-12-31
0000000339,FLVN01,2000-01-01,9999-12-31
0000000340,FLVN01,2000-01-01,9999-12-31
0000000341,FLVN01,2000-01-01,9999-12-31
0000000342,FLVN01,2000-01-01,9999-12-31
0000000343,FLVN01,2000-01-01,9999-12-31
0000000344,FLVN01,2000-01-01,9999-12-31
0000000345,FLVN01,2000-01-01,9999-12-31
0000000346,FLVN01,2000-01-01,9999-12-31
0000000347,FLVN01,2000-01-01,9999-12-31
0000000348,FLVN01,2000-01-01,9999-12-31
0000000349,FLVN01,2000-01-01,9999-12-31
0000000350,FLVN01,2000-01-01,9999-12-31
0000000351,FLVN01,2000-01-01,9999-12-31
0000000352,FLVN01,2000-01-01,9999-12-31
0000000353,FLVN01,2000-01-01,9999-12-31
0000000354,FLVN01,2000-01-01,9999-12-31
0000000355,FLVN01,2000-01-01,9999-12-31
0000000356,FLVN01,2000-01-01,9999-12-31
0000000357,FLVN01,2000-01-01,9999-12-31
0000000358,FLVN01,2000-01-01,9999-12-31
0000000359,FLVN01,2000-01-01,9999-12-31
0000000360,FLVN01,2000-01-01,9999-12-31
0000000361,FLVN01,2000-01-01,9999-12-31
0000000362,FLVN01,2000-01-01,9999-12-31
0000000363,FLVN01,2000-01-01,9999-12-31
0000000364,FLVN01,2000-01-01,9999-12-31
0000000365,FLVN01,2000-01-01,9999-12-31
0000000366,FLVN01,2000-01-01,9999-12-31
0000000367,FLVN01,2000-01-01,9999-12-31
0000000368,FLVN01,2000-01-01,9999-12-31
0000000369,FLVN01,2000-01-01,9999-12-31
0000000370,FLVN01,2000-01-01,9999-12-31
0000000371,FLVN01,2000-01-01,9999-12-31
0000000372,FLVN01,2000-01-01,9999-12-31
0000000373,FLVN01,2000-01-01,9999-12-31
0000000374,FLVN01,2000-01-01,9999-12-31
0000000375,FLVN01,2000-01-01,9999-12-31
0000000376,FLVN01,2000-01-01,9999-12-31
0000000377,FLVN01,2000-01-01,9999-12-31
0000000378,FLVN01,2000-01-01,9999-12-31
0000000379,FLVN01,2000-01-01,9999-12-31
0000000380,FLVN01,2000-01-01,9999-12-31
0000000382,FLVN01,2000-01-01,9999-12-31
0000000383,FLVN01,2000-01-01,9999-12-31
0000000384,FLVN01,2000-01-01,9999-12-31
0000000385,FLVN01,2000-01-01,9999-12-31
0000000386,FLVN01,2000-01-01,9999-12-31
0000000387,FLVN01,2000-01-01,9999-12-31
0000000390,FLVN01,2000-01-01,9999-12-31
0000000393,FLVN01,2000-01-01,9999-12-31
0000000394,FLVN01,2000-01-01,9999-12-31
0000000395,FLVN01,2000-01-01,9999-12-31
0000000396,FLVN01,2000-01-01,9999-12-31
0000000397,FLVN01,2000-01-01,9999-12-31
0000000398,FLVN01,2000-01-01,9999-12-31
0000000399,FLVN01,2000-01-01,9999-12-31
0000000401,FLVN01,2000-01-01,9999-12-31
0000000402,FLVN01,2000-01-01,9999-12-31
0000000403,FLVN01,2000-01-01,9999-12-31
0000000404,FLVN01,2000-01-01,9999-12-31
0000000405,FLVN01,2000-01-01,9999-12-31
0000000406,FLVN01,2000-01-01,9999-12-31
0000000407,FLVN01,2000-01-01,9999-12-31
0000000408,FLVN01,2000-01-01,9999-12-31
0000000409,FLVN01,2000-01-01,9999-12-31
0000000410,FLVN01,2000-01-01,9999-12-31
0000000411,FLVN01,2000-01-01,9999-12-31
0000000412,FLVN01,2000-01-01,9999-12-31
0000000413,FLVN01,2000-01-01,9999-12-31
0000000414,FLVN01,2000-01-01,9999-12-31
0000000415,FLVN01,2000-01-01,9999-12-31
0000000416,FLVN01,2000-01-01,9999-12-31
0000000417,FLVN01,2000-01-01,9999-12-31
0000000418,FLVN01,2000-01-01,9999-12-31
0000000419,FLVN01,2000-01-01,9999-12-31
0000000420,FLVN01,2000-01-01,9999-12-31
0000000421,FLVN01,2000-01-01,9999-12-31
0000000422,FLVN01,2000-01-01,9999-12-31
0000000423,FLVN01,2000-01-01,9999-12-31
0000000424,FLVN01,2000-01-01,9999-12-31
0000000425,FLVN01,2000-01-01,9999-12-31
0000000426,FLVN01,2000-01-01,9999-12-31
0000000427,FLVN01,2000-01-01,9999-12-31
0000000428,FLVN01,2000-01-01,9999-12-31
0000000430,FLVN01,2000-01-01,9999-12-31
0000000431,FLVN01,2000-01-01,9999-12-31
0000000432,FLVN01,2000-01-01,9999-12-31
0000000433,FLVN01,2000-01-01,9999-12-31
0000000434,FLVN01,2000-01-01,9999-12-31
0000000435,FLVN01,2000-01-01,9999-12-31
0000000436,FLVN01,2000-01-01,9999-12-31
0000000437,FLVN01,2000-01-01,9999-12-31
0000000438,FLVN01,2000-01-01,9999-12-31
0000000439,FLVN01,2000-01-01,9999-12-31
0000000440,FLVN01,2000-01-01,9999-12-31
0000000441,FLVN01,2000-01-01,9999-12-31
0000000442,FLVN01,2000-01-01,9999-12-31
0000000444,FLVN01,2000-01-01,9999-12-31
0000000445,FLVN01,2000-01-01,9999-12-31
0000000446,FLVN01,2000-01-01,9999-12-31
0000000447,FLVN01,2000-01-01,9999-12-31
0000000448,FLVN01,2000-01-01,9999-12-31
0000000449,FLVN01,2000-01-01,9999-12-31
0000000450,FLVN01,2000-01-01,9999-12-31
0000000451,FLVN01,2000-01-01,9999-12-31
0000000452,FLVN01,2000-01-01,9999-12-31
0000000453,FLVN01,2000-01-01,9999-12-31
0000000454,FLVN01,2000-01-01,9999-12-31
0000000455,FLVN01,2000-01-01,9999-12-31
0000000456,FLVN01,2000-01-01,9999-12-31
0000000457,FLVN01,2000-01-01,9999-12-31
0000000458,FLVN01,2000-01-01,9999-12-31
0000000459,FLVN01,2000-01-01,9999-12-31
0000000460,FLVN01,2000-01-01,9999-12-31
0000000462,FLVN01,2000-01-01,9999-12-31
0000000463,FLVN01,2000-01-01,9999-12-31
0000000464,FLVN01,2000-01-01,9999-12-31
0000000465,FLVN01,2000-01-01,9999-12-31
0000000466,FLVN01,2000-01-01,9999-12-31
0000000467,FLVN01,2000-01-01,9999-12-31
0000000468,FLVN01,2000-01-01,9999-12-31
0000000469,FLVN01,2000-01-01,9999-12-31
0000000470,FLVN01,2000-01-01,9999-12-31
0000000471,FLVN01,2000-01-01,9999-12-31
0000000472,FLVN01,2000-01-01,9999-12-31
0000000473,FLVN01,2000-01-01,9999-12-31
0000000474,FLVN01,2000-01-01,9999-12-31
0000000476,FLVN01,2000-01-01,9999-12-31
0000000477,FLVN01,2000-01-01,9999-12-31
0000000478,FLVN01,2000-01-01,9999-12-31
0000000479,FLVN01,2000-01-01,9999-12-31
0000000480,FLVN01,2000-01-01,9999-12-31
0000000481,FLVN01,2000-01-01,9999-12-31
0000000482,FLVN01,2000-01-01,9999-12-31
0000000483,FLVN01,2000-01-01,9999-12-31
0000000484,FLVN01,2000-01-01,9999-12-31
0000000485,FLVN01,2000-01-01,9999-12-31
0000000486,FLVN01,2000-01-01,9999-12-31
0000000487,FLVN01,2000-01-01,9999-12-31
0000000488,FLVN01,2000-01-01,9999-12-31
0000000489,FLVN01,2000-01-01,9999-12-31
0000000490,FLVN01,2000-01-01,9999-12-31
0000000491,FLVN01,2000-01-01,9999-12-31
0000000492,FLVN01,2000-01-01,9999-12-31
0000000493,FLVN01,2000-01-01,9999-12-31
0000000494,FLVN01,2000-01-01,9999-12-31
0000000495,FLVN01,2000-01-01,9999-12-31
0000000496,FLVN01,2000-01-01,9999-12-31
0000000499,FLVN01,2000-01-01,9999-12-31
0000000501,FLVN01,2000-01-01,9999-12-31
0000000502,FLVN01,2000-01-01,9999-12-31
0000000503,FLVN01,2000-01-01,9999-12-31
0000000505,FLVN01,2000-01-01,9999-12-31
0000000506,FLVN01,2000-01-01,9999-12-31
0000000507,FLVN01,2000-01-01,9999-12-31
0000000508,FLVN01,2000-01-01,9999-12-31
0000000509,FLVN01,2000-01-01,9999-12-31
0000000510,FLVN01,2000-01-01,9999-12-31
0000000511,FLVN01,2000-01-01,9999-12-31
0000000512,FLVN01,2000-01-01,9999-12-31
0000000513,FLVN01,2000-01-01,9999-12-31
0000000515,FLVN01,2000-01-01,9999-12-31
0000000516,FLVN01,2000-01-01,9999-12-31
0000000517,FLVN01,2000-01-01,9999-12-31
0000000518,FLVN01,2000-01-01,9999-12-31
0000000520,FLVN01,2000-01-01,9999-12-31
0000000521,FLVN01,2000-01-01,9999-12-31
0000000522,FLVN01,2000-01-01,9999-12-31
0000000523,FLVN01,2000-01-01,9999-12-31
0000000525,FLVN01,2000-01-01,9999-12-31
0000000526,FLVN01,2000-01-01,9999-12-31
0000000527,FLVN01,2000-01-01,9999-12-31
0000000528,FLVN01,2000-01-01,9999-12-31
0000000529,FLVN01,2000-01-01,9999-12-31
0000000532,FLVN01,2000-01-01,9999-12-31
0000000533,FLVN01,2000-01-01,9999-12-31
0000000534,FLVN01,2000-01-01,9999-12-31
0000000535,FLVN01,2000-01-01,9999-12-31
0000000537,FLVN01,2000-01-01,9999-12-31
0000000538,FLVN01,2000-01-01,9999-12-31
0000000539,FLVN01,2000-01-01,9999-12-31
0000000540,FLVN01,2000-01-01,9999-12-31
0000000541,FLVN01,2000-01-01,9999-12-31
0000000542,FLVN01,2000-01-01,9999-12-31
0000000543,FLVN01,2000-01-01,9999-12-31
0000000545,FLVN01,2000-01-01,9999-12-31
0000000546,FLVN01,2000-01-01,9999-12-31
0000000547,FLVN01,2000-01-01,9999-12-31
0000000548,FLVN01,2000-01-01,9999-12-31
0000000549,FLVN01,2000-01-01,9999-12-31
0000000550,FLVN01,2000-01-01,9999-12-31
0000000551,FLVN01,2000-01-01,9999-12-31
0000000552,FLVN01,2000-01-01,9999-12-31
0000000554,FLVN01,2000-01-01,9999-12-31
0000000555,FLVN01,2000-01-01,9999-12-31
0000000556,FLVN01,2000-01-01,9999-12-31
0000000557,FLVN01,2000-01-01,9999-12-31
0000000558,FLVN01,2000-01-01,9999-12-31
0000000559,FLVN01,2000-01-01,9999-12-31
0000000560,FLVN01,2000-01-01,9999-12-31
0000000561,FLVN01,2000-01-01,9999-12-31
0000000562,FLVN01,2000-01-01,9999-12-31
0000000563,FLVN01,2000-01-01,9999-12-31
0000000564,FLVN01,2000-01-01,9999-12-31
0000000566,FLVN01,2000-01-01,9999-12-31
0000000567,FLVN01,2000-01-01,9999-12-31
0000000568,FLVN01,2000-01-01,9999-12-31
0000000569,FLVN01,2000-01-01,9999-12-31
0000000570,FLVN01,2000-01-01,9999-12-31
0000000571,FLVN01,2000-01-01,9999-12-31
0000000572,FLVN01,2000-01-01,9999-12-31
0000000573,FLVN01,2000-01-01,9999-12-31
0000000574,FLVN01,2000-01-01,9999-12-31
0000000575,FLVN01,2000-01-01,9999-12-31
0000000576,FLVN01,2000-01-01,9999-12-31
0000000577,FLVN01,2000-01-01,9999-12-31
0000000578,FLVN01,2000-01-01,9999-12-31
0000000579,FLVN01,2000-01-01,9999-12-31
0000000580,FLVN01,2000-01-01,9999-12-31
0000000581,FLVN01,2000-01-01,9999-12-31
0000000582,FLVN01,2000-01-01,9999-12-31
0000000583,FLVN01,2000-01-01,9999-12-31
0000000584,FLVN01,2000-01-01,9999-12-31
0000000585,FLVN01,2000-01-01,9999-12-31
0000000586,FLVN01,2000-01-01,9999-12-31
0000000587,FLVN01,2000-01-01,9999-12-31
0000000588,FLVN01,2000-01-01,9999-12-31
0000000589,FLVN01,2000-01-01,9999-12-31
0000000590,FLVN01,2000-01-01,9999-12-31
0000000591,FLVN01,2000-01-01,9999-12-31
0000000593,FLVN01,2000-01-01,9999-12-31
0000000594,FLVN01,2000-01-01,9999-12-31
0000000595,FLVN01,2000-01-01,9999-12-31
0000000596,FLVN01,2000-01-01,9999-12-31
0000000597,FLVN01,2000-01-01,9999-12-31
0000000598,FLVN01,2000-01-01,9999-12-31
0000000599,FLVN01,2000-01-01,9999-12-31
0000000600,FLVN01,2000-01-01,9999-12-31
