PO_NUMBER,ITEM_NUMBER,PRODUCT,PLANT,QUANTITY,UNIT,NET_PRICE,CURRENCY,DELIVERY_DATE
0200000027,00030,P000000002,P004,6,EA,2386.4,USD,
0200000027,00040,P000000008,P007,5,EA,7604.69,USD,
0200000027,00050,P000000021,P002,7,EA,657.5,USD,
0200000027,00060,P000000019,P002,7,EA,1771.0,USD,
0200000029,00010,P000000003,P002,1,EA,3378.85,USD,
0200000029,00020,P000000030,P008,1,EA,4200.0,USD,
0200000029,00030,P000000026,P002,7,EA,7171.4,USD,
0200000029,00040,P000000016,P007,8,EA,3591.4,USD,
0200000030,00010,P000000008,P005,4,EA,8325.23,USD,
0200000030,00020,P000000009,P002,3,EA,3534.08,USD,
0200000030,00030,P000000021,P006,2,EA,388.84,USD,
0200000030,00040,P000000017,P005,3,EA,7157.99,USD,
0200000030,00050,P000000027,P008,6,EA,1065.72,USD,
0200000030,00060,P000000029,P003,7,EA,2229.73,USD,
0200000031,00010,P000000008,P010,5,EA,6090.05,USD,
0200000031,00020,P000000006,P001,10,EA,939.94,USD,
0200000031,00030,P000000019,P008,4,EA,7272.34,USD,
0200000032,00010,P000000002,P002,3,EA,6191.6,USD,
0200000033,00010,P000000031,P002,2,EA,4175.57,USD,
0200000033,00020,P000000026,P007,10,EA,7918.33,USD,
0200000033,00030,P000000026,P003,5,EA,8118.06,USD,
0200000033,00040,P000000019,P005,7,EA,8246.62,USD,
0200000033,00050,P000000009,P002,6,EA,823.35,USD,
0200000033,00060,P000000005,P008,9,EA,116.67,USD,
0200000035,00010,P000000017,P004,7,EA,6424.05,USD,
0200000035,00020,P000000014,P006,9,EA,2407.34,USD,
0200000035,00030,P000000005,P002,4,EA,262.5,USD,
0200000035,00040,P000000029,P010,10,EA,2679.27,USD,
0200000035,00050,P000000004,P007,7,EA,143.0,USD,
0200000036,00010,P000000030,P003,1,EA,4200.0,USD,
0200000036,00020,P000000004,P001,4,EA,250.25,USD,
0200000036,00030,P000000006,P004,4,EA,8999.15,USD,
0200000036,00040,P000000029,P004,3,EA,8027.39,USD,
0200000040,00010,P000000027,P007,2,EA,8242.13,USD,
0200000041,00010,P000000005,P004,7,EA,150.0,USD,
0200000041,00020,P000000030,P002,3,EA,1400.0,USD,
0200000042,00010,P000000015,P005,5,EA,8703.87,USD,
0200000042,00020,P000000007,P005,3,EA,9235.73,USD,
0200000043,00010,P000000014,P004,6,EA,9812.39,USD,
0200000043,00020,P000000002,P004,5,EA,7766.11,USD,
0200000043,00030,P000000034,P009,5,EA,525.0,USD,
0200000043,00040,P000000031,P002,2,EA,3688.76,USD,
0200000044,00010,P000000009,P010,1,EA,8836.32,USD,
0200000044,00020,P000000026,P010,3,EA,1775.69,USD,
0200000044,00030,P000000006,P008,3,EA,3769.04,USD,
0200000044,00040,P000000022,P005,8,EA,6715.34,USD,
0200000048,00010,P000000004,P007,10,EA,100.1,USD,
0200000048,00020,P000000034,P003,7,EA,375.0,USD,
0200000048,00030,P000000023,P007,6,EA,7922.1,USD,
0200000048,00040,P000000034,P005,9,EA,291.67,USD,
0200000048,00050,P000000003,P002,8,EA,149.18,USD,
0200000048,00060,P000000030,P006,3,EA,1400.0,USD,
0200000049,00010,P000000010,P009,6,EA,4618.72,USD,
0200000049,00020,P000000034,P005,7,EA,375.0,USD,
0200000049,00030,P000000023,P003,5,EA,5811.58,USD,
0200000049,00040,P000000034,P002,3,EA,875.0,USD,
0200000049,00050,P000000007,P001,1,EA,6388.5,USD,
0200000049,00060,P000000002,P009,2,EA,271.61,USD,
0200000050,00010,P000000006,P001,10,EA,4478.6,USD,
0200000050,00020,P000000034,P003,5,EA,525.0,USD,
0200000050,00030,P000000030,P006,10,EA,420.0,USD,
0200000050,00040,P000000003,P010,2,EA,2305.94,USD,
0200000052,00010,P000000019,P005,5,EA,7773.22,USD,
0200000052,00020,P000000006,P003,1,EA,2192.34,USD,
0200000052,00030,P000000013,P003,8,EA,4092.7,USD,
0200000053,00010,P000000022,P004,10,EA,8400.07,USD,
0200000053,00020,P000000001,P005,1,EA,3463.47,USD,
0200000053,00030,P000000031,P008,1,EA,5405.2,USD,
0200000053,00040,P000000009,P003,1,EA,1012.22,USD,
0200000053,00050,P000000028,P009,3,EA,9441.38,USD,
0200000054,00010,P000000024,P004,4,EA,4836.1,USD,
0200000054,00020,P000000011,P004,3,EA,1583.9,USD,
0200000054,00030,P000000025,P007,3,EA,5503.06,USD,
0200000054,00040,P000000013,P006,8,EA,3643.07,USD,
0200000054,00050,P000000016,P002,10,EA,5641.53,USD,
0200000055,00010,P000000018,P009,9,EA,6716.09,USD,
0200000055,00020,P000000015,P009,7,EA,3931.49,USD,
0200000055,00030,P000000005,P002,1,EA,1050.0,USD,
0200000055,00040,P000000011,P001,7,EA,8262.17,USD,
0200000055,00050,P000000031,P005,9,EA,1618.95,USD,
0200000056,00010,P000000014,P001,7,EA,4757.99,USD,
0200000056,00020,P000000003,P002,1,EA,2849.49,USD,
0200000056,00030,P000000013,P003,3,EA,6572.63,USD,
0200000057,00010,P000000003,P001,2,EA,7424.67,USD,
0200000057,00020,P000000023,P002,3,EA,3477.86,USD,
0200000057,00030,P000000006,P007,8,EA,9802.81,USD,
0200000057,00040,P000000004,P002,7,EA,143.0,USD,
0200000057,00050,P000000030,P010,10,EA,420.0,USD,
0200000059,00010,P000000025,P001,4,EA,4653.46,USD,
0200000059,00020,P000000005,P006,4,EA,262.5,USD,
0200000059,00030,P000000005,P010,1,EA,1050.0,USD,
0200000059,00040,P000000009,P002,2,EA,8916.99,USD,
0200000059,00050,P000000028,P010,10,EA,7532.94,USD,
0200000059,00060,P000000024,P001,10,EA,2993.57,USD,
0200000060,00010,P000000004,P002,2,EA,500.5,USD,
0200000060,00040,P000000022,P001,2,EA,4267.48,USD,
0200000060,00050,P000000020,P002,10,EA,3216.71,USD,
0200000062,00010,P000000028,P008,5,EA,9459.41,USD,
0200000062,00020,P000000004,P002,1,EA,1001.0,USD,
0200000062,00030,P000000006,P001,2,EA,8761.58,USD,
0200000062,00040,P000000006,P010,3,EA,3368.12,USD,
0200000064,00010,P000000024,P006,5,EA,6053.47,USD,
0200000064,00020,P000000019,P008,6,EA,7612.69,USD,
0200000064,00030,P000000025,P009,3,EA,627.91,USD,
0200000064,00040,P000000025,P001,7,EA,9901.26,USD,
0200000064,00050,P000000033,P005,9,EA,38.89,USD,
0200000065,00010,P000000019,P004,6,EA,9416.45,USD,
0200000066,00010,P000000002,P007,1,EA,2350.5,USD,
0200000068,00010,P000000021,P003,8,EA,3517.94,USD,
0200000068,00020,P000000031,P004,1,EA,9382.43,USD,
0200000068,00030,P000000013,P002,9,EA,6938.68,USD,
0200000069,00010,P000000033,P004,2,EA,175.0,USD,
0200000069,00020,P000000024,P002,2,EA,2218.79,USD,
0200000070,00010,P000000016,P005,1,EA,6406.77,USD,
0200000070,00020,P000000005,P002,6,EA,175.0,USD,
0200000070,00030,P000000030,P008,5,EA,840.0,USD,
0200000070,00040,P000000024,P010,7,EA,9177.54,USD,
0200000071,00010,P000000017,P007,9,EA,6266.72,USD,
0200000071,00020,P000000012,P006,3,EA,1279.76,USD,
0200000072,00010,P000000015,P007,7,EA,1227.03,USD,
0200000072,00020,P000000013,P009,7,EA,6872.21,USD,
0200000073,00010,P000000015,P009,5,EA,615.03,USD,
0200000073,00020,P000000018,P005,2,EA,7292.79,USD,
0200000073,00030,P000000002,P002,5,EA,5955.95,USD,
0200000074,00010,P000000034,P006,6,EA,437.5,USD,
0200000074,00020,P000000010,P006,3,EA,726.21,USD,
0200000074,00030,P000000006,P002,4,EA,3729.67,USD,
0200000074,00040,P000000003,P009,1,EA,1585.95,USD,
0200000075,00010,P000000034,P009,4,EA,656.25,USD,
0200000075,00020,P000000025,P009,7,EA,2469.23,USD,
0200000075,00030,P000000015,P003,10,EA,5044.85,USD,
0200000077,00010,P000000007,P007,10,EA,8406.18,USD,
0200000077,00020,P000000008,P001,7,EA,6528.62,USD,
0200000077,00030,P000000032,P005,10,EA,1370.76,USD,
0200000077,00040,P000000002,P001,6,EA,2676.16,USD,
0200000077,00050,P000000034,P010,1,EA,2625.0,USD,
0200000078,00010,P000000004,P010,3,EA,333.67,USD,
0200000078,00020,P000000033,P006,7,EA,50.0,USD,
0200000078,00030,P000000025,P005,3,EA,7243.46,USD,
0200000078,00040,P000000008,P001,3,EA,8101.35,USD,
0200000078,00050,P000000018,P007,2,EA,7291.51,USD,
0200000079,00010,P000000012,P008,1,EA,9370.85,USD,
0200000079,00020,P000000023,P004,2,EA,3963.52,USD,
0200000080,00010,P000000029,P005,7,EA,8827.3,USD,
0200000080,00020,P000000003,P006,7,EA,783.15,USD,
0200000080,00030,P000000030,P007,5,EA,840.0,USD,
0200000080,00040,P000000018,P010,6,EA,2472.53,USD,
0200000083,00010,P000000022,P010,7,EA,5319.14,USD,
0200000083,00020,P000000011,P005,3,EA,3825.04,USD,
0200000083,00030,P000000007,P010,3,EA,20.21,USD,
0200000083,00040,P000000031,P005,8,EA,8486.52,USD,
0200000083,00050,P000000001,P004,7,EA,2797.93,USD,
0200000087,00010,P000000007,P002,6,EA,8976.97,USD,
0200000089,00010,P000000008,P002,10,EA,1420.89,USD,
0200000089,00020,P000000026,P006,3,EA,4971.86,USD,
0200000089,00030,P000000021,P008,2,EA,3316.35,USD,
0200000089,00040,P000000005,P007,8,EA,131.25,USD,
0200000089,00050,P000000026,P005,6,EA,2603.54,USD,
0200000090,00010,P000000008,P003,6,EA,5907.8,USD,
0200000090,00020,P000000034,P003,2,EA,1312.5,USD,
0200000090,00030,P000000021,P004,8,EA,2452.01,USD,
0200000090,00040,P000000017,P004,7,EA,6826.95,USD,
0200000090,00050,P000000001,P008,2,EA,8905.01,USD,
0200000090,00060,P000000003,P003,10,EA,332.98,USD,
0200000092,00010,P000000008,P010,10,EA,7513.98,USD,
0200000093,00010,P000000019,P007,5,EA,5270.63,USD,
0200000093,00020,P000000026,P002,6,EA,8122.78,USD,
0200000093,00030,P000000020,P002,10,EA,9344.58,USD,
0200000093,00040,P000000006,P007,9,EA,7909.1,USD,
0200000094,00010,P000000010,P007,4,EA,9612.49,USD,
0200000094,00020,P000000017,P004,3,EA,651.35,USD,
0200000095,00010,P000000022,P006,2,EA,2599.78,USD,
0200000095,00020,P000000004,P009,5,EA,200.2,USD,
0200000095,00030,P000000015,P002,7,EA,4045.22,USD,
0200000096,00010,P000000010,P004,9,EA,5639.31,USD,
0200000096,00020,P000000015,P009,9,EA,7159.45,USD,
0200000096,00030,P000000023,P002,7,EA,9069.51,USD,
0200000096,00040,P000000002,P005,8,EA,3225.7,USD,
0200000096,00050,P000000005,P007,1,EA,1050.0,USD,
0200000096,00060,P000000010,P008,7,EA,2612.61,USD,
0200000097,00010,P000000027,P005,8,EA,7349.66,USD,
0200000097,00020,P000000023,P004,5,EA,4620.31,USD,
0200000097,00030,P000000003,P004,1,EA,4365.3,USD,
0200000097,00040,P000000029,P009,2,EA,6875.34,USD,
0200000098,00010,P000000024,P006,1,EA,538.61,USD,
0200000098,00020,P000000032,P003,9,EA,8454.88,USD,
0200000098,00030,P000000006,P003,3,EA,4392.3,USD,
0200000098,00040,P000000014,P010,10,EA,9305.73,USD,
0200000099,00010,P000000026,P005,8,EA,4483.02,USD,
0200000099,00020,P000000007,P009,3,EA,1016.41,USD,
0200000099,00030,P000000017,P003,5,EA,8529.44,USD,
0200000100,00010,P000000005,P009,5,EA,210.0,USD,
0200000100,00020,P000000028,P003,5,EA,8256.42,USD,
0200000100,00030,P000000021,P002,3,EA,4887.71,USD,
0200000100,00040,P000000030,P005,3,EA,1400.0,USD,
0200000100,00050,P000000032,P003,7,EA,9990.84,USD,
0200000100,00060,P000000030,P004,4,EA,1050.0,USD,
0200000101,00010,P000000004,P007,6,EA,166.83,USD,
0200000103,00010,P000000029,P007,6,EA,495.3,USD,
0200000103,00020,P000000032,P006,8,EA,7593.67,USD,
0200000103,00030,P000000017,P007,5,EA,513.74,USD,
0200000103,00040,P000000010,P004,3,EA,5159.47,USD,
0200000103,00050,P000000001,P006,3,EA,1248.81,USD,
0200000103,00060,P000000014,P009,5,EA,9161.42,USD,
0200000104,00010,P000000027,P007,6,EA,6164.88,USD,
0200000104,00020,P000000016,P004,5,EA,3363.35,USD,
0200000104,00030,P000000025,P007,6,EA,8755.62,USD,
0200000104,00040,P000000005,P004,9,EA,116.67,USD,
0200000104,00050,P000000019,P010,10,EA,9169.59,USD,
0200000106,00010,P000000017,P008,8,EA,4898.97,USD,
0200000106,00020,P000000006,P002,4,EA,4496.73,USD,
0200000107,00010,P000000011,P001,2,EA,4414.75,USD,
0200000107,00020,P000000021,P004,8,EA,6822.21,USD,
0200000107,00030,P000000026,P001,6,EA,8355.17,USD,
0200000107,00040,P000000007,P010,1,EA,4331.29,USD,
0200000109,00010,P000000020,P006,7,EA,6457.47,USD,
0200000110,00010,P000000022,P002,5,EA,9884.79,USD,
0200000110,00020,P000000030,P003,10,EA,420.0,USD,
0200000112,00010,P000000004,P003,1,EA,1001.0,USD,
0200000113,00010,P000000020,P001,4,EA,8683.26,USD,
0200000113,00020,P000000023,P004,1,EA,5971.25,USD,
0200000116,00010,P000000018,P004,8,EA,6460.3,USD,
0200000116,00020,P000000004,P001,5,EA,200.2,USD,
0200000117,00010,P000000018,P006,8,EA,3923.97,USD,
0200000117,00020,P000000010,P005,3,EA,7832.43,USD,
0200000117,00030,P000000010,P002,2,EA,8040.02,USD,
0200000117,00040,P000000034,P002,9,EA,291.67,USD,
0200000117,00050,P000000024,P003,7,EA,8053.72,USD,
0200000118,00010,P000000014,P005,3,EA,5881.78,USD,
0200000118,00020,P000000008,P001,1,EA,7.51,USD,
0200000118,00030,P000000006,P004,5,EA,3717.09,USD,
0200000118,00040,P000000018,P007,6,EA,6761.4,USD,
0200000119,00010,P000000034,P003,2,EA,1312.5,USD,
0200000119,00020,P000000023,P004,8,EA,8393.74,USD,
0200000119,00030,P000000008,P009,9,EA,9961.19,USD,
0200000119,00040,P000000003,P001,4,EA,3025.79,USD,
0200000119,00050,P000000015,P001,2,EA,2622.17,USD,
0200000121,00010,P000000012,P010,4,EA,1108.47,USD,
0200000123,00010,P000000009,P008,6,EA,62.64,USD,
0200000123,00020,P000000005,P003,7,EA,150.0,USD,
0200000123,00030,P000000024,P002,10,EA,1804.86,USD,
0200000125,00010,P000000003,P009,4,EA,4731.98,USD,
0200000125,00020,P000000001,P007,7,EA,5367.82,USD,
0200000125,00030,P000000015,P003,6,EA,5134.15,USD,
0200000126,00010,P000000005,P009,3,EA,350.0,USD,
0200000126,00020,P000000031,P004,1,EA,2459.43,USD,
0200000126,00030,P000000025,P002,9,EA,7352.37,USD,
0200000126,00040,P000000012,P006,9,EA,615.77,USD,
0200000126,00050,P000000001,P010,6,EA,4114.82,USD,
0200000127,00010,P000000008,P007,6,EA,4703.97,USD,
0200000127,00020,P000000014,P002,9,EA,6469.83,USD,
0200000127,00030,P000000009,P004,8,EA,5323.77,USD,
0200000127,00040,P000000017,P010,9,EA,2646.58,USD,
0200000129,00010,P000000001,P006,4,EA,814.25,USD,
0200000129,00020,P000000025,P010,8,EA,253.55,USD,
0200000129,00030,P000000003,P002,6,EA,7805.46,USD,
0200000129,00040,P000000022,P006,2,EA,3017.38,USD,
0200000129,00050,P000000007,P001,2,EA,2695.89,USD,
0200000132,00010,P000000009,P008,4,EA,2992.34,USD,
0200000132,00020,P000000026,P001,1,EA,630.99,USD,
0200000132,00030,P000000025,P001,1,EA,3398.31,USD,
0200000132,00040,P000000026,P002,2,EA,2073.57,USD,
0200000132,00050,P000000003,P006,9,EA,8804.98,USD,
0200000133,00010,P000000011,P009,6,EA,5875.4,USD,
0200000133,00020,P000000013,P006,2,EA,5197.4,USD,
0200000133,00030,P000000005,P006,8,EA,131.25,USD,
0200000133,00040,P000000003,P001,6,EA,4212.16,USD,
0200000133,00050,P000000001,P005,3,EA,2060.88,USD,
0200000133,00060,P000000028,P002,9,EA,8282.86,USD,
0200000134,00010,P000000021,P008,1,EA,7129.06,USD,
0200000134,00020,P000000025,P009,2,EA,8802.46,USD,
0200000136,00010,P000000020,P004,3,EA,3976.07,USD,
0200000136,00020,P000000029,P002,8,EA,5239.56,USD,
0200000136,00030,P000000013,P004,3,EA,1227.15,USD,
0200000137,00010,P000000025,P008,8,EA,4760.76,USD,
0200000137,00020,P000000011,P006,10,EA,3272.22,USD,
0200000137,00030,P000000029,P001,5,EA,4611.07,USD,
0200000138,00010,P000000018,P006,6,EA,2500.45,USD,
0200000139,00010,P000000004,P001,5,EA,200.2,USD,
0200000139,00020,P000000028,P010,2,EA,213.55,USD,
0200000139,00030,P000000013,P002,8,EA,1077.76,USD,
0200000139,00040,P000000028,P003,6,EA,8014.43,USD,
0200000139,00050,P000000005,P009,3,EA,350.0,USD,
0200000139,00060,P000000016,P010,1,EA,9961.18,USD,
0200000141,00010,P000000013,P004,2,EA,5973.23,USD,
0200000141,00020,P000000017,P008,3,EA,8071.77,USD,
0200000141,00030,P000000022,P009,10,EA,2892.7,USD,
0200000141,00040,P000000002,P010,1,EA,7833.9,USD,
0200000142,00010,P000000019,P006,3,EA,9544.31,USD,
0200000144,00010,P000000003,P001,6,EA,1489.28,USD,
0200000144,00020,P000000011,P009,8,EA,8775.93,USD,
0200000144,00030,P000000006,P009,3,EA,5520.82,USD,
0200000144,00040,P000000023,P001,2,EA,7452.34,USD,
0200000147,00010,P000000031,P007,6,EA,6924.15,USD,
0200000147,00020,P000000020,P008,7,EA,2190.19,USD,
0200000147,00030,P000000033,P007,10,EA,35.0,USD,
0200000149,00010,P000000024,P005,8,EA,1345.06,USD,
0200000149,00020,P000000010,P003,3,EA,1823.8,USD,
0200000149,00030,P000000007,P010,2,EA,3902.61,USD,
0200000149,00040,P000000003,P001,8,EA,1022.54,USD,
0200000150,00010,P000000007,P005,10,EA,5176.77,USD,
0200000151,00010,P000000026,P008,7,EA,641.87,USD,
0200000151,00020,P000000006,P008,3,EA,1616.1,USD,
0200000151,00030,P000000003,P005,8,EA,1495.25,USD,
0200000151,00040,P000000013,P003,7,EA,8097.88,USD,
0200000151,00050,P000000008,P005,2,EA,1579.25,USD,
0200000153,00010,P000000034,P010,5,EA,525.0,USD,
0200000153,00020,P000000032,P009,7,EA,1758.99,USD,
0200000153,00030,P000000025,P005,8,EA,6403.78,USD,
0200000153,00040,P000000005,P010,7,EA,150.0,USD,
0200000153,00050,P000000020,P002,4,EA,5991.38,USD,
0200000155,00010,P000000010,P010,8,EA,5816.01,USD,
0200000155,00020,P000000034,P001,10,EA,262.5,USD,
0200000155,00030,P000000021,P006,3,EA,6202.56,USD,
0200000155,00040,P000000019,P005,2,EA,9945.93,USD,
0200000155,00050,P000000005,P007,8,EA,131.25,USD,
0200000155,00060,P000000024,P010,3,EA,5388.59,USD,
0200000156,00010,P000000028,P002,10,EA,5201.5,USD,
0200000156,00020,P000000013,P001,10,EA,8984.26,USD,
0200000156,00030,P000000025,P002,2,EA,3135.75,USD,
0200000156,00040,P000000005,P003,4,EA,262.5,USD,
0200000156,00050,P000000002,P006,3,EA,60.11,USD,
0200000159,00010,P000000022,P002,8,EA,6566.72,USD,
0200000159,00020,P000000001,P003,1,EA,7948.9,USD,
0200000161,00010,P000000024,P008,10,EA,4365.7,USD,
0200000161,00020,P000000032,P004,7,EA,4321.31,USD,
0200000161,00030,P000000013,P005,3,EA,1311.04,USD,
0200000162,00010,P000000011,P007,10,EA,1736.12,USD,
0200000162,00020,P000000019,P004,10,EA,7854.15,USD,
0200000163,00010,P000000005,P005,2,EA,525.0,USD,
0200000163,00020,P000000026,P007,5,EA,7478.81,USD,
0200000163,00030,P000000020,P009,8,EA,756.16,USD,
0200000163,00040,P000000002,P008,1,EA,2270.03,USD,
0200000163,00050,P000000020,P007,2,EA,1449.69,USD,
0200000163,00060,P000000019,P006,8,EA,3583.0,USD,
0200000164,00010,P000000017,P008,4,EA,762.17,USD,
0200000164,00020,P000000031,P004,1,EA,2415.64,USD,
0200000165,00010,P000000014,P007,10,EA,8164.33,USD,
0200000165,00020,P000000029,P003,10,EA,9981.57,USD,
0200000165,00030,P000000005,P004,2,EA,525.0,USD,
0200000165,00040,P000000027,P004,10,EA,3468.97,USD,
0200000165,00050,P000000031,P007,7,EA,2317.16,USD,
0200000166,00010,P000000021,P006,1,EA,2256.59,USD,
0200000166,00020,P000000032,P005,9,EA,3185.29,USD,
0200000166,00030,P000000025,P008,4,EA,3302.2,USD,
0200000166,00040,P000000010,P006,6,EA,597.53,USD,
0200000166,00050,P000000023,P002,3,EA,1776.94,USD,
0200000167,00010,P000000022,P005,10,EA,3794.86,USD,
0200000167,00020,P000000031,P004,5,EA,2145.27,USD,
0200000167,00030,P000000008,P006,3,EA,933.45,USD,
0200000167,00040,P000000014,P010,2,EA,86.74,USD,
0200000168,00010,P000000003,P002,6,EA,7070.96,USD,
0200000169,00010,P000000023,P006,10,EA,3776.57,USD,
0200000169,00020,P000000008,P002,7,EA,996.19,USD,
0200000169,00030,P000000018,P008,5,EA,6671.72,USD,
0200000170,00010,P000000016,P006,10,EA,5996.15,USD,
0200000170,00020,P000000034,P008,9,EA,291.67,USD,
0200000170,00030,P000000005,P008,2,EA,525.0,USD,
0200000170,00040,P000000004,P006,7,EA,143.0,USD,
0200000170,00050,P000000015,P006,2,EA,9841.61,USD,
0200000171,00010,P000000031,P010,4,EA,6445.31,USD,
0200000171,00020,P000000007,P001,1,EA,5027.95,USD,
0200000171,00030,P000000006,P009,2,EA,8413.66,USD,
0200000171,00040,P000000017,P004,4,EA,1814.8,USD,
0200000172,00010,P000000019,P006,2,EA,3212.29,USD,
0200000172,00020,P000000005,P009,5,EA,210.0,USD,
0200000172,00030,P000000023,P001,6,EA,8702.68,USD,
0200000172,00040,P000000009,P007,2,EA,4527.28,USD,
0200000172,00050,P000000024,P008,4,EA,6476.16,USD,
0200000172,00060,P000000030,P004,5,EA,840.0,USD,
0200000173,00010,P000000026,P005,5,EA,9758.98,USD,
0200000173,00020,P000000023,P002,3,EA,406.64,USD,
0200000173,00030,P000000013,P008,2,EA,8050.49,USD,
0200000173,00040,P000000013,P008,4,EA,1468.94,USD,
0200000173,00050,P000000034,P008,6,EA,437.5,USD,
0200000174,00010,P000000034,P009,7,EA,375.0,USD,
0200000174,00020,P000000029,P007,4,EA,2297.69,USD,
0200000174,00030,P000000023,P009,1,EA,4068.37,USD,
0200000174,00040,P000000010,P002,6,EA,366.91,USD,
0200000174,00050,P000000012,P002,7,EA,4086.41,USD,
0200000174,00060,P000000030,P004,1,EA,4200.0,USD,
0200000175,00010,P000000022,P001,8,EA,2669.51,USD,
0200000175,00020,P000000004,P002,2,EA,500.5,USD,
0200000175,00030,P000000005,P008,5,EA,210.0,USD,
0200000175,00040,P000000014,P010,4,EA,4080.06,USD,
0200000175,00050,P000000034,P005,7,EA,375.0,USD,
0200000176,00010,P000000015,P005,8,EA,3051.85,USD,
0200000176,00020,P000000001,P004,9,EA,2845.73,USD,
0200000178,00010,P000000020,P003,6,EA,9817.56,USD,
0200000178,00020,P000000030,P001,7,EA,600.0,USD,
0200000179,00010,P000000022,P009,5,EA,3883.82,USD,
0200000179,00020,P000000002,P009,5,EA,7725.32,USD,
0200000179,00030,P000000032,P008,1,EA,3214.68,USD,
0200000179,00040,P000000007,P006,4,EA,4285.88,USD,
0200000179,00050,P000000018,P005,5,EA,935.47,USD,
0200000180,00010,P000000015,P004,5,EA,4566.99,USD,
0200000180,00020,P000000034,P010,2,EA,1312.5,USD,
0200000180,00030,P000000015,P010,6,EA,1605.18,USD,
0200000181,00010,P000000012,P002,3,EA,6881.69,USD,
0200000181,00020,P000000017,P005,3,EA,7579.57,USD,
0200000181,00030,P000000019,P003,8,EA,1725.68,USD,
0200000182,00010,P000000019,P001,9,EA,4337.8,USD,
0200000182,00020,P000000024,P002,4,EA,8105.05,USD,
0200000182,00030,P000000006,P005,3,EA,4461.16,USD,
0200000182,00040,P000000018,P006,7,EA,2592.55,USD,
0200000183,00010,P000000031,P004,3,EA,7393.09,USD,
0200000183,00020,P000000019,P004,5,EA,9066.07,USD,
0200000185,00010,P000000025,P001,2,EA,3754.02,USD,
