ACCOUNT_NUMBER,CHART_OF_ACCOUNTS,ACCOUNT_TYPE,DESCRIPTION,CREATED_AT
0000856081,INT,S,,2013-01-18
0000195508,INT,S,evolve customized ne,2025-06-14
0000255786,INT,S,,2012-02-09
0000383192,INT,S,empower sticky users,2017-06-15
0000490443,INT,S,maximize viral metho,2020-06-23
0000530877,INT,S,brand seamless inter,2014-08-27
0000677578,INT,S,,2019-12-12
0000747824,INT,S,,2022-11-28
0000823037,INT,S,whiteboard front-end,2025-06-13
0000157402,INT,S,,2021-07-12
0000228835,INT,S,engage cutting-edge,2022-05-25
0000338252,INT,S,innovate enterprise,2023-03-26
0000404243,INT,S,revolutionize next-g,2012-09-09
0000527900,INT,S,,2017-08-25
0000604990,INT,S,,2017-04-09
0000760636,INT,S,re-intermediate cros,2023-05-14
0000811497,INT,S,transform strategic,2022-07-04
0000166642,INT,S,seize web-enabled ac,2012-07-23
0000266779,INT,S,grow integrated para,2016-07-07
0000308166,INT,S,monetize open-source,2020-10-28
0000403401,INT,S,architect integrated,2014-05-06
0000533631,INT,S,synthesize interacti,2013-04-10
0000606126,INT,S,,2025-10-30
0000778106,INT,S,seize visionary solu,2019-06-25
0000851477,INT,S,harness real-time ex,2022-02-28
0000120659,INT,S,transition interacti,2013-06-07
0000244689,INT,S,repurpose value-adde,2021-09-01
0000386517,INT,S,transform intuitive,2019-01-09
0000419932,INT,S,e-enable vertical in,2023-05-18
0000515755,INT,S,architect viral supp,2022-08-01
0000636856,INT,S,integrate wireless s,2024-06-14
0000774507,INT,S,drive intuitive comm,2026-01-13
0000895685,INT,S,extend 24/365 networ,2018-04-15
0000122912,INT,S,drive wireless partn,2020-07-09
0000278357,INT,S,grow sticky delivera,2019-12-13
0000314122,INT,S,utilize sticky funct,2013-11-09
0000433222,INT,S,iterate seamless nic,2017-04-20
0000538111,INT,S,enhance enterprise a,2025-10-14
0000666640,INT,S,enable rich delivera,2011-09-26
0000731006,INT,S,mesh sticky info-med,2014-04-22
0000819074,INT,S,,2018-03-16
0000174588,INT,S,,2020-06-27
0000205681,INT,S,,2021-03-24
0000339352,INT,S,aggregate holistic c,2014-12-22
0000475095,INT,S,,2017-11-04
0000552161,INT,S,,2018-08-29
0000627347,INT,S,aggregate cutting-ed,2025-07-04
0000767727,INT,S,,2017-11-30
0000810720,INT,S,,2018-09-09
0000186938,INT,S,benchmark robust web,2016-02-08
0000248018,INT,S,reinvent world-class,2017-08-21
0000374174,INT,S,,2015-09-10
0000489312,INT,S,architect clicks-and,2012-06-04
0000539664,INT,S,cultivate end-to-end,2015-08-15
0000693015,INT,S,,2023-03-14
0000719461,INT,S,,2013-04-23
0000875067,INT,S,,2014-10-12
0000139454,INT,S,morph extensible por,2024-06-23
0000285952,INT,S,,2013-01-31
0000387164,INT,S,implement viral eyeb,2017-07-19
0000409237,INT,S,brand efficient part,2012-09-28
0000551429,INT,S,optimize impactful s,2013-04-26
0000618946,INT,S,,2019-08-25
0000765032,INT,S,harness global e-mar,2019-04-28
0000853626,INT,S,,2020-05-27
0000134430,INT,S,generate bleeding-ed,2018-01-15
0000248494,INT,S,morph plug-and-play,2021-06-09
0000382256,INT,S,maximize robust syst,2021-06-26
0000483227,INT,S,monetize granular sc,2012-12-11
0000533950,INT,S,disintermediate ente,2012-10-17
0000675993,INT,S,facilitate revolutio,2013-03-14
0000779085,INT,S,brand user-centric n,2020-04-23
0000877520,INT,S,empower clicks-and-m,2021-10-07
0000153205,INT,S,scale integrated cha,2017-12-25
0000265992,INT,S,productize cutting-e,2014-11-05
0000348014,INT,S,,2023-03-19
0000431691,INT,S,,2022-11-26
0000597041,INT,S,,2022-10-23
0000680893,INT,S,e-enable dot-com syn,2012-07-11
0000723116,INT,S,,2014-03-15
0000879426,INT,S,leverage scalable pl,2017-12-24
0000139002,INT,S,expedite robust plat,2023-08-30
0000231510,INT,S,,2012-11-02
0000388090,INT,S,,2026-04-24
0000421145,INT,S,deploy B2B bandwidth,2012-05-07
0000591308,INT,S,whiteboard interacti,2020-09-21
0000684076,INT,S,,2013-08-09
0000793218,INT,S,e-enable leading-edg,2011-09-29
0000839093,INT,S,utilize robust actio,2015-06-14
0000115860,INT,S,grow bricks-and-clic,2016-04-27
0000206797,INT,S,morph cross-platform,2026-04-30
0000300670,INT,S,seize dynamic networ,2019-06-07
0000449174,INT,S,scale cross-platform,2012-04-01
0000580090,INT,S,productize robust we,2025-06-28
0000652295,INT,S,embrace virtual mode,2019-10-23
0000785510,INT,S,,2012-07-03
0000858717,INT,S,,2014-11-04
0000104016,INT,S,enable proactive sch,2023-03-30
0000219934,INT,S,synergize cutting-ed,2021-07-14
0000318189,INT,S,repurpose transparen,2025-08-05
0000443332,INT,S,whiteboard value-add,2019-10-07
0000557715,INT,S,matrix granular web,2020-01-09
0000629329,INT,S,reinvent cross-platf,2022-06-01
0000749869,INT,S,generate rich eyebal,2017-08-03
0000874346,INT,S,reinvent best-of-bre,2024-11-05
0000189831,INT,S,,2014-10-27
0000223197,INT,S,enhance revolutionar,2012-08-23
0000362332,INT,S,brand global functio,2013-03-25
0000441270,INT,S,morph proactive syne,2023-07-07
0000518983,INT,S,,2014-09-12
0000662004,INT,S,extend vertical mind,2016-03-04
0000776994,INT,S,synergize seamless r,2011-12-16
0000884064,INT,S,cultivate extensible,2023-08-26
0000118285,INT,S,,2014-10-02
0000241812,INT,S,maximize granular e-,2020-03-05
0000309712,INT,S,reinvent collaborati,2017-02-04
0000450561,INT,S,exploit back-end met,2023-08-14
0000501837,INT,S,utilize killer marke,2022-10-10
0000608323,INT,S,,2023-03-06
0000778847,INT,S,,2022-08-23
0000874625,INT,S,,2019-09-12
0000132911,INT,S,e-enable ubiquitous,2019-09-06
0000293377,INT,S,,2018-08-19
0000304777,INT,S,,2019-05-02
0000459032,INT,S,synergize killer act,2015-12-20
0000559830,INT,S,productize user-cent,2020-05-02
0000612452,INT,S,redefine e-business,2015-04-27
0000737707,INT,S,transform mission-cr,2020-06-08
0000805456,INT,S,empower vertical e-t,2023-10-04
0000164832,INT,S,,2024-04-06
0000274054,INT,S,synthesize intuitive,2012-01-23
0000321460,INT,S,exploit cutting-edge,2017-09-08
0000499861,INT,S,streamline bricks-an,2023-05-29
0000504910,INT,S,,2012-04-03
0000639438,INT,S,optimize enterprise,2019-05-10
0000787669,INT,S,matrix magnetic part,2018-04-30
0000871032,INT,S,enhance bleeding-edg,2025-03-08
0000131631,INT,S,,2013-06-26
0000212939,INT,S,,2018-04-27
0000359267,INT,S,monetize cutting-edg,2012-02-27
0000432264,INT,S,,2014-05-22
0000549356,INT,S,transition frictionl,2018-01-22
0000696917,INT,S,transform interactiv,2022-07-21
0000711313,INT,S,integrate frictionle,2022-03-22
0000892591,INT,S,evolve transparent p,2017-07-21
0000163644,INT,S,,2023-04-09
0000250723,INT,S,deploy cross-media R,2016-04-01
0000389920,INT,S,,2024-07-26
0000411991,INT,S,harness revolutionar,2012-08-19
0000597421,INT,S,target end-to-end ey,2019-01-20
0000649973,INT,S,leverage open-source,2023-07-28
0000764588,INT,S,extend global synerg,2021-06-21
0000865665,INT,S,strategize intuitive,2015-12-20
0000174328,INT,S,productize wireless,2021-03-08
0000207769,INT,S,,2020-06-10
0000395921,INT,S,engage cross-media a,2024-05-14
0000405007,INT,S,enhance B2C relation,2022-10-27
0000567686,INT,S,orchestrate back-end,2015-07-18
0000671008,INT,S,productize customize,2019-01-29
0000785775,INT,S,revolutionize user-c,2017-01-13
0000865113,INT,S,re-contextualize web,2016-02-04
0000153155,INT,S,maximize wireless pl,2017-04-13
0000242771,INT,S,productize distribut,2015-10-30
0000326361,INT,S,re-contextualize cli,2016-03-20
0000439453,INT,S,implement 24/365 mod,2023-01-14
0000590051,INT,S,extend out-of-the-bo,2014-03-24
0000602659,INT,S,implement scalable n,2025-11-21
0000718326,INT,S,envisioneer killer s,2019-09-09
0000874059,INT,S,grow open-source par,2014-11-08
0000147443,INT,S,,2016-01-10
0000213643,INT,S,,2016-12-20
0000359511,INT,S,,2022-04-05
0000440811,INT,S,cultivate proactive,2015-07-10
0000575537,INT,S,strategize e-busines,2011-10-13
0000659410,INT,S,,2021-12-03
0000766955,INT,S,re-intermediate dist,2024-02-28
0000820990,INT,S,strategize killer ma,2019-01-02
0000132261,INT,S,orchestrate scalable,2014-10-26
0000235100,INT,S,,2019-12-17
0000313635,INT,S,architect synergisti,2024-05-18
0000447533,INT,S,disintermediate plug,2016-04-16
0000583175,INT,S,,2017-08-31
0000676509,INT,S,,2017-08-25
0000762947,INT,S,repurpose ubiquitous,2016-11-19
0000849116,INT,S,re-intermediate cutt,2015-10-13
0000140238,INT,S,drive bricks-and-cli,2017-12-17
0000230298,INT,S,monetize scalable sy,2015-09-18
0000375570,INT,S,,2023-12-09
0000408951,INT,S,implement world-clas,2023-10-28
0000549549,INT,S,,2014-04-26
0000604806,INT,S,whiteboard vertical,2011-08-09
0000754138,INT,S,transform front-end,2026-03-28
0000838758,INT,S,e-enable seamless te,2024-06-01
0000184481,INT,S,,2019-05-01
0000228344,INT,S,evolve efficient web,2020-07-22
0000375643,INT,S,aggregate dot-com mi,2026-05-15
0000462845,INT,S,grow compelling info,2016-04-23
0000534430,INT,S,generate innovative,2023-09-22
0000601032,INT,S,,2023-06-07
0000783278,INT,S,reinvent intuitive R,2012-11-08
0000854858,INT,S,,2022-11-05
0000145257,INT,S,drive robust deliver,2019-11-11
0000245226,INT,S,disintermediate comp,2015-08-02
0000345591,INT,S,,2019-11-29
0000481541,INT,S,,2025-06-07
0000584727,INT,S,,2013-04-26
0000695126,INT,S,,2014-04-25
0000713574,INT,S,grow mission-critica,2018-07-14
0000869519,INT,S,enable dynamic web-r,2020-01-13
0000101765,INT,S,,2014-07-17
0000211245,INT,S,architect out-of-the,2023-01-20
0000326468,INT,S,,2018-06-29
0000472462,INT,S,grow leading-edge e-,2018-05-09
0000520605,INT,S,syndicate customized,2012-05-11
0000661129,INT,S,harness web-enabled,2018-04-28
0000717473,INT,S,whiteboard extensibl,2013-03-05
0000813221,INT,S,,2021-11-27
0000158097,INT,S,reinvent clicks-and-,2023-03-05
0000269558,INT,S,,2023-06-15
0000343419,INT,S,e-enable visionary p,2015-11-30
0000480395,INT,S,engage frictionless,2019-06-03
0000580704,INT,S,disintermediate magn,2025-06-05
0000623116,INT,S,,2015-09-16
0000714328,INT,S,monetize granular ac,2017-07-06
0000802335,INT,S,,2019-04-18
0000148504,INT,S,engineer impactful e,2013-02-14
0000248588,INT,S,whiteboard one-to-on,2016-05-05
0000300098,INT,S,embrace back-end web,2017-09-26
0000461929,INT,S,,2022-12-07
0000573509,INT,S,,2021-12-24
0000659448,INT,S,e-enable value-added,2012-08-11
0000702511,INT,S,,2017-10-03
0000818891,INT,S,,2021-09-21
0000170100,INT,S,,2022-12-09
0000215113,INT,S,brand intuitive acti,2016-10-18
0000350377,INT,S,grow sticky converge,2021-08-05
0000407982,INT,S,,2019-04-04
0000576009,INT,S,monetize customized,2015-01-15
0000626859,INT,S,expedite 24/7 vortal,2024-03-16
0000772705,INT,S,,2013-05-28
0000852627,INT,S,synergize distribute,2019-09-12
0000169658,INT,S,utilize killer actio,2025-11-05
0000262121,INT,S,,2018-02-04
0000336757,INT,S,,2022-05-06
0000467084,INT,S,,2025-09-18
0000537503,INT,S,grow synergistic act,2013-09-28
0000692168,INT,S,,2018-03-31
0000773045,INT,S,aggregate dot-com mo,2014-10-05
0000894633,INT,S,brand interactive we,2022-02-11
0000192674,INT,S,reinvent compelling,2025-12-23
0000262698,INT,S,repurpose interactiv,2021-03-24
0000318284,INT,S,,2023-04-05
0000483635,INT,S,,2023-07-07
0000593312,INT,S,seize scalable solut,2025-12-13
0000610817,INT,S,harness one-to-one R,2022-06-01
0000702592,INT,S,,2014-05-10
0000890112,INT,S,deliver dynamic syst,2022-09-04
0000133389,INT,S,whiteboard open-sour,2018-04-12
0000267294,INT,S,redefine cutting-edg,2021-08-29
0000348001,INT,S,,2026-05-09
0000463658,INT,S,,2014-12-08
0000509481,INT,S,aggregate viral user,2013-07-19
0000691854,INT,S,facilitate one-to-on,2014-05-21
0000721376,INT,S,aggregate granular w,2021-07-12
0000844518,INT,S,deliver magnetic com,2014-03-15
0000117833,INT,S,monetize impactful c,2025-02-19
0000213707,INT,S,,2016-02-22
0000321611,INT,S,,2024-08-02
0000415809,INT,S,,2021-07-24
0000501577,INT,S,enable efficient syn,2014-11-10
0000612282,INT,S,,2025-04-11
0000777365,INT,S,,2016-03-10
0000822145,INT,S,integrate dynamic sy,2026-06-15
0000169403,INT,S,re-contextualize hol,2011-08-13
0000231958,INT,S,streamline revolutio,2017-08-11
0000307208,INT,S,benchmark B2C soluti,2026-01-22
0000442815,INT,S,enhance proactive e-,2013-12-25
0000567667,INT,S,morph vertical archi,2023-07-05
0000673531,INT,S,repurpose strategic,2025-03-01
0000716700,INT,S,,2012-02-11
0000833204,INT,S,,2016-01-15
0000116587,INT,S,transform enterprise,2015-10-10
0000200538,INT,S,integrate best-of-br,2024-04-22
0000388484,INT,S,matrix plug-and-play,2016-07-07
0000458780,INT,S,deploy end-to-end pa,2026-02-23
0000506652,INT,S,enable B2B e-service,2019-10-21
0000667021,INT,S,,2019-12-26
0000744664,INT,S,,2012-04-28
0000876831,INT,S,transform frictionle,2025-11-05
0000172942,INT,S,productize seamless,2020-07-11
0000201607,INT,S,,2025-03-01
0000392118,INT,S,expedite synergistic,2018-08-04
0000459461,INT,S,engineer cross-platf,2025-03-06
0000581810,INT,S,evolve intuitive web,2021-07-27
0000691531,INT,S,unleash extensible m,2018-10-16
0000762516,INT,S,generate B2B portals,2025-12-07
0000830305,INT,S,matrix end-to-end we,2022-08-05
0000175278,INT,S,evolve world-class c,2012-05-06
0000203192,INT,S,,2016-07-08
0000376279,INT,S,redefine ubiquitous,2025-01-31
0000450480,INT,S,grow dot-com metrics,2017-01-30
0000577142,INT,S,,2022-12-17
0000652748,INT,S,monetize virtual con,2017-02-19
0000790274,INT,S,,2016-11-10
0000810569,INT,S,,2016-08-03
0000149310,INT,S,transform virtual vo,2015-01-19
0000245279,INT,S,,2017-06-12
0000304058,INT,S,,2023-08-05
0000416112,INT,S,e-enable best-of-bre,2014-02-14
0000562543,INT,S,,2019-09-05
0000697288,INT,S,engage ubiquitous ba,2018-06-27
0000737786,INT,S,synergize integrated,2011-12-16
0000801302,INT,S,innovate dot-com por,2012-12-09
0000143763,INT,S,facilitate global pa,2014-07-21
0000284564,INT,S,evolve back-end infr,2017-09-27
0000302083,INT,S,,2018-08-23
0000468383,INT,S,seize web-enabled ap,2021-04-08
0000508440,INT,S,seize granular syste,2011-07-13
0000690345,INT,S,,2021-09-09
0000749779,INT,S,,2013-03-12
0000806430,INT,S,harness visionary pa,2014-10-01
0000120341,INT,S,,2011-09-10
0000265688,INT,S,revolutionize compel,2024-07-24
0000309232,INT,S,architect holistic e,2013-05-04
0000466171,INT,S,expedite global infr,2024-08-28
0000583874,INT,S,,2026-05-24
0000679439,INT,S,reinvent cutting-edg,2011-12-13
0000792889,INT,S,,2019-07-28
0000896011,INT,S,,2024-09-04
0000157609,INT,S,morph bricks-and-cli,2014-09-15
0000246495,INT,S,seize turn-key conve,2019-08-23
0000384687,INT,S,,2025-04-10
0000457479,INT,S,enhance virtual chan,2019-09-29
0000506339,INT,S,optimize innovative,2025-02-18
0000699308,INT,S,integrate virtual e-,2023-10-27
0000779580,INT,S,whiteboard strategic,2017-07-23
0000803970,INT,S,deploy out-of-the-bo,2012-12-14
0000183386,INT,S,mesh turn-key niches,2015-02-20
0000296645,INT,S,monetize wireless ne,2023-01-02
0000356441,INT,S,mesh real-time commu,2019-05-26
0000420813,INT,S,,2017-08-26
0000540753,INT,S,revolutionize vertic,2026-06-06
0000659627,INT,S,scale impactful web,2021-10-10
0000782645,INT,S,e-enable customized,2025-05-18
0000820155,INT,S,reinvent global syst,2015-01-05
0000167692,INT,S,deliver plug-and-pla,2020-01-09
0000255845,INT,S,syndicate virtual RO,2020-07-26
0000321997,INT,S,e-enable back-end e-,2024-05-10
0000478891,INT,S,revolutionize ubiqui,2014-09-05
0000584783,INT,S,incentivize distribu,2025-03-02
0000633945,INT,S,engineer extensible,2015-09-14
0000734905,INT,S,re-intermediate inte,2021-07-22
0000896451,INT,S,mesh global supply-c,2021-05-10
